Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309)
7.473158352775653e-14,0.11224537200169876,0.0,0.0,0.0,0.0,0.99999999996973155,3.0074724656632662e-11,9.6866602440406378e-14,2.4591820804568728e-19,9.6866605337271391e-14,1.7774883545728649e-19,5.3341298939160143e-20,3.4056343033652716e-37,2.2610211029589162e-34,8.1441351181824233e-40,3.3329707530478692e-57,5.2425017692640491e-60,1.22963951000518e-63,1.2433169757563031e-65,2.802427916031491e-66,7.887465699581912e-43,3.2758913648767989e-44,2.5886524766261475e-62,1.5213276224872328e-58,2.4180663588137417e-55,7.681631685954069e-64,9.33822154861756e-75
1.4946367386493644e-13,0.11224537200339756,0.0,0.0,0.0,0.0,0.99999999993946265,6.0149652778571292e-11,1.9373410482152585e-13,9.8367782928219239e-19,1.9373411641011012e-13,7.1099972263914272e-19,2.1336651586835618e-19,5.4489013831762272e-36,1.8092144813749317e-33,1.3033396111630166e-38,2.1334344966272959e-55,3.3551843397099031e-58,1.4874981916725818e-61,1.5914381226244256e-63,3.5870882238391648e-64,2.5239394719166389e-41,1.0482535600630206e-42,3.3141174251370054e-60,9.74646594453904e-57,1.5475378934837037e-53,9.8346749969572442e-62,2.391059280809655e-72
2.989278545392963e-13,0.11224537200679505,0.0,0.0,0.0,0.0,0.99999999987892552,1.2029950754237206e-10,3.8746983863572026e-13,3.9347212744621341e-18,3.8746988499869797e-13,2.84401223907702e-18,8.5347011295844992e-19,8.7177602325829476e-35,1.4479948616399235e-32,2.0862130679231066e-37,1.3658042647545445e-53,2.8376032367017063e-56,2.263166271126209e-59,2.6867605916981544e-61,6.0559278322574606e-62,8.0761754770545757e-40,3.3541614460785403e-41,4.2436508978829852e-58,6.2504082724324137e-55,9.903786260247209e-52,1.2593799205435903e-59,6.1234495026698813e-70
5.978562158880159e-13,0.11224537201359008,0.0,0.0,0.0,0.0,0.99999999975785081,2.4059921114966491e-10,7.7494422244939529e-13,1.5738904717435386e-17,7.7494440796972439e-13,1.1376112348175316e-17,3.4138998249410593e-18,1.3946779368278672e-33,1.159387966559844e-31,3.3407079745298735e-36,8.7462796965238782e-52,1.8235055155447903e-54,2.4318637057774528e-57,3.4595568604782382e-59,7.7977812641211516e-60,2.584082289788498e-38,1.0731641780731498e-39,5.4358775653772472e-56,4.0164469441538028e-53,6.3377939955498203e-50,1.6133806805992501e-57,1.5687878991364267e-67
1e-12,0.11224537202718013,0.0,0.0,0.0,0.0,0.99999999959497088,4.0243655926275986e-10,1.2962154717605765e-12,4.7498893712852685e-17,1.2962160320146332e-12,3.433256181230196e-17,1.0302987927448957e-17,1.5462897373130955e-32,6.6290253889958035e-31,3.7106708308979093e-35,3.7982288321263842e-50,7.9179525403360849e-53,1.5828952665247668e-55,2.9931811208365099e-57,6.7465429859835164e-58,5.6454303776273755e-37,2.3443403413036393e-38,4.7048619922473503e-54,1.7561162763428134e-51,2.7485601121469935e-48,1.396734288396147e-55,2.7106004004801778e-65
1.1957129385854553e-12,0.11224537202718013,0.0,0.0,0.0,0.0,0.99999999951570162,4.8119859468299689e-10,1.5499046546376187e-12,6.2955655748123509e-17,1.5499053972648511e-12,4.550486973069971e-17,1.3655728240294929e-17,2.2309534508876967e-32,9.2909559101305437e-31,5.3539743979355569e-35,5.6041623159927459e-50,1.168266918294631e-52,2.3414140455735205e-55,4.4330478930962425e-57,9.9919605148094666e-58,8.267154190013086e-37,3.4330418033123256e-38,6.9681411632042555e-54,2.5912254681971645e-51,4.0553685579214644e-48,2.0686366972036074e-55,4.0221443546211787e-65
2.3914263839803344e-12,0.1122453720543603,0.0,0.0,0.0,0.0,0.99999999903140246,9.6239726702448611e-10,3.0998721758154553e-12,2.5182267786281609e-16,3.0998751506886888e-12,1.820226679650525e-16,5.462389241677228e-17,3.5678206918880048e-31,7.4581185172772222e-30,8.5946405068058031e-34,3.5950187681165171e-48,7.4966404090784658e-51,2.0064432618851015e-53,5.6892180318368759e-55,1.2823196117598951e-55,2.6442637202407908e-35,1.0978785028290692e-36,8.9453234479782541e-52,1.6848533938218899e-49,2.5943829099327359e-46,2.6568263557728759e-53,1.0327592064857459e-62
3.5871398293752134e-12,0.11224537208154046,0.0,0.0,0.0,0.0,0.9999999985471032,1.4435958445823229e-09,4.6498863521649445e-12,5.3512320415502793e-16,4.6498926801789568e-12,3.8680280440802638e-16,1.1607719532464451e-16,1.3599311245730436e-30,2.1373965214235987e-29,3.1691347882853661e-33,2.0077322442997172e-47,3.7226389935916468e-50,1.0600827023562357e-52,3.3720299016002863e-54,7.6003504578182071e-55,1.2408207075716472e-34,5.1514501983252277e-36,5.8540615110441024e-51,9.5226094785038813e-49,1.4578499487008738e-45,1.7490233461443994e-52,7.765756349700103e-62
4.7828532747700925e-12,0.11224537210872064,0.0,0.0,0.0,0.0,0.99999999806280404,1.9247943273562906e-09,6.1999471822440896e-12,9.1285721876052845e-16,6.1999579871560752e-12,6.5984733374370149e-16,1.9801626837078807e-16,3.658318126811693e-30,4.5196643846188586e-29,8.0530842421469138e-33,7.5512024017503019e-47,1.577581335474227e-49,4.5631616943677549e-52,1.5251055605960185e-53,3.4374887558836422e-54,3.8674027385530762e-34,1.6055162628171939e-35,2.4469606662271298e-50,3.4239307176759546e-48,5.1932193892739674e-45,7.0447449737336345e-52,3.5897297967434499e-61
7.174280165559851e-12,0.11224537216308102,0.0,0.0,0.0,0.0,0.99999999709420484,2.8871910702992312e-09,9.3001783308862931e-12,1.8899548163211399e-15,9.3002007358601608e-12,1.366155116523475e-15,4.0997522142857516e-16,1.4792400241352483e-29,1.2413302171763956e-28,2.8280971855173387e-32,5.4414931634293293e-46,1.4294822925406986e-48,4.3153744291498158e-51,1.587666684680109e-52,3.5784852205466684e-53,1.9050313473911173e-33,7.9078149033846271e-35,2.0300657452226023e-49,2.1008712611713633e-47,3.0787178779836176e-44,5.0048138719294304e-51,3.4211239460494103e-60
