Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39)
1.0977813879221025e-15,0.11224537200002492,0.0,0.0,0.0,0.0,0.99999999999955558,4.4178741682208898e-13,1.4229354821743821e-15,5.3077060641445597e-23,1.4229354827995621e-15,3.836387610502906e-23,1.1512755776687031e-23,1.5867291804760842e-44,7.1693560748995879e-40,3.7948755552230915e-47,3.3528314470941786e-68,5.2721741704985694e-71,1.9276087711688746e-76,1.8374867832289743e-78,4.141685266875462e-79,5.4003586654165354e-52,2.2429476731681876e-53,3.826764285324451e-75,1.5291502032965713e-69
2.1960394503504674e-15,0.11224537200004991,0.0,0.0,0.0,0.0,0.99999999999911049,8.8376666480852374e-13,2.8464888785167471e-15,2.1237737861936958e-22,2.846488881018285e-15,1.5350547810845704e-22,4.6066019910819782e-23,2.5402420738535142e-43,5.7376818116488823e-39,6.0742907698063608e-46,2.1471744361909188e-66,3.3771555074661132e-69,2.4672898171276694e-74,2.3540655891353814e-76,5.3060510487848429e-77,1.7291525695268257e-50,7.1817417495788737e-52,4.9013905366623331e-73,9.7926837584217271e-68
4.3925555752071964e-15,0.11224537200009987,0.0,0.0,0.0,0.0,0.99999999999822065,1.7677251604617404e-12,5.6935958286564303e-15,8.4964780616526339e-22,5.6935958386642376e-15,6.1412188860628372e-22,1.842940819967724e-22,4.0655653315615787e-42,4.5910460701664301e-38,9.720902000569735e-45,1.3746321971647767e-64,2.1623257508087637e-67,3.1538183665841171e-72,3.0145336372661693e-74,6.7947423094501632e-75,5.5349457386099126e-49,2.2988450658094743e-50,6.2758108312505321e-71,6.2694179745489694e-66
8.785587824920654e-15,0.1122453720001997,0.0,0.0,0.0,0.0,0.99999999999644174,3.5356421504895634e-12,1.1387810358755541e-14,3.3988678267976907e-21,1.1387810398790245e-14,2.4566876374743833e-21,7.3723637274899337e-22,6.5058385146215936e-41,3.6732317879387343e-37,1.5555214799478837e-43,8.7991130898280588e-63,1.3841879396001739e-65,4.0232357409425094e-70,3.8594448201128296e-72,8.6991671514411618e-73,1.7714456188914932e-47,7.357391885336273e-49,8.0344032558654188e-69,4.0132795582505149e-64
1.757165232434757e-14,0.11224537200039945,0.0,0.0,0.0,0.0,0.99999999999288269,7.0714761254307618e-12,2.2776241938232141e-14,1.3596024523668736e-20,2.2776242098379194e-14,9.8271516619686758e-21,2.9490658710512837e-21,1.0410061412223465e-39,2.9387988444379758e-36,2.4890215392723956e-42,5.6319747951458505e-61,8.8597199772670496e-64,5.1134707888655579e-68,4.9406053138383588e-70,1.1136096026105281e-70,5.6690322829388379e-46,2.3545312237114058e-47,1.0285077360484266e-66,2.5690017673230796e-62
3.514378132320141e-14,0.11224537200079886,0.0,0.0,0.0,0.0,0.99999999998576583,1.4143144054855384e-11,4.5553115174294324e-14,5.4385204487384765e-20,4.5553115814909433e-14,3.9309416340133215e-20,1.1796506538660855e-20,1.6656586243185423e-38,2.351213136850369e-35,3.9827295967982584e-41,3.6047307917529039e-59,5.6704675214207796e-62,6.4532842566888409e-66,6.3242531671512863e-68,1.4254828138525949e-68,1.81414605761397e-44,7.534712614013019e-46,1.3165993591086857e-64,1.6446166654370008e-60
7.028803932090907e-14,0.11224537200159773,0.0,0.0,0.0,0.0,0.99999999997153144,2.8286479831873492e-11,9.1106901954817889e-14,2.1754303027510551e-19,9.1106904517415223e-14,1.5723934439026696e-19,4.7186530588422642e-20,2.6650647201869447e-37,1.8811820446983331e-34,6.3730687223178955e-40,2.3072325945498992e-57,3.6291328521572817e-60,8.0338226911051069e-64,8.0951217254284492e-66,1.8246349433297831e-66,5.8052971319454827e-43,2.4111083888522403e-44,1.6854268416858805e-62,1.0530775393165337e-58
1.405765553163244e-13,0.11224537200319552,0.0,0.0,0.0,0.0,0.99999999994306221,5.6573151058585152e-11,1.8221463674916892e-13,8.7017654193484647e-19,1.8221464700049681e-13,6.2896121268180265e-19,1.8874727779052261e-19,4.264022315329517e-36,1.5052573056492421e-33,1.0198959873210142e-38,1.4768473308430673e-55,2.3226313973414641e-58,9.7486242461157565e-62,1.0361697390145766e-63,2.3355181123143713e-64,1.8576618163060969e-41,7.715331866357898e-43,2.1577419116756684e-60,6.7461960722015614e-57
2.8115358730715506e-13,0.112245372006391,0.0,0.0,0.0,0.0,0.99999999988612476,1.1314649220271009e-10,3.6443075126874342e-13,3.4807149787366987e-18,3.6443079228125025e-13,2.5158563373462081e-18,7.5499259456386519e-19,6.8220827981963168e-35,1.204693798842215e-32,1.6324739928481223e-37,9.4544786917421899e-54,1.9643115886481583e-56,1.491046339435379e-59,1.7493025952058936e-61,3.9429087820639015e-62,5.9442212229420436e-40,2.4687338586440484e-41,2.762880894766781e-58,4.3258227798598383e-55
5.623076512888164e-13,0.11224537201278201,0.0,0.0,0.0,0.0,0.99999999977224896,2.2629316925376409e-10,7.2886556001263141e-13,1.3922877291431364e-17,7.2886572411959605e-13,1.0063478853336287e-17,3.0199867253152296e-18,1.091412906618608e-33,9.6453146981156021e-32,2.6139952385147517e-36,6.0542196904885544e-52,1.2622669265121715e-54,1.6150506328986675e-57,2.2523813796442113e-59,5.0768302230821201e-60,1.9019476254930381e-38,7.8987900086985772e-40,3.538946772710113e-56,2.7790741006865508e-53
1e-12,0.11224537202556399,0.0,0.0,0.0,0.0,0.99999999959497077,4.0243656032797958e-10,1.2962149461018227e-12,4.6434989477284073e-17,1.2962154937776778e-12,3.3563542553794878e-17,1.0072209887757266e-17,1.3831465662714922e-32,6.229627097763913e-31,3.3185080701457498e-35,3.0327540957388388e-50,6.3221860673306076e-53,1.2262032645559605e-55,2.2513510076640355e-57,5.07448267363521e-58,4.7785550227311898e-37,1.9843776330293374e-38,3.5386966241659711e-54,1.4011003686448111e-51
1.124615779252139e-12,0.11224537202556399,0.0,0.0,0.0,0.0,0.99999999954449803,4.5258650240707269e-10,1.457745496169375e-12,5.569154195447869e-17,1.457746153051471e-12,4.0254266663542719e-17,1.2080054638380317e-17,1.7458697453282775e-32,7.7286571730475511e-31,4.1889001728023955e-35,3.8789751981275809e-50,8.0862431907322146e-53,1.5707184653116967e-55,2.8859223872378075e-57,6.5047888759365291e-58,6.0849111674768194e-37,2.5268628444381305e-38,4.5361263313450313e-54,1.7920965783957964e-51
2.2492320351787842e-12,0.11224537205112801,0.0,0.0,0.0,0.0,0.99999999908899562,9.0517308491836015e-10,2.915546641958872e-12,2.2276621768159387e-16,2.9155492731184941e-12,1.6101972303981195e-16,4.8321034387407815e-17,2.7921367990362931e-31,6.2027664747934914e-30,6.7230561388728887e-34,2.4880025299144173e-48,5.1878067798850533e-51,1.3596776998828863e-53,3.702947237034499e-55,8.3462574132768594e-56,1.9463231319295568e-35,8.0811506654105165e-37,5.8222715907375313e-52,1.1641921918852906e-49
3.37384829110543e-12,0.11224537207669204,0.0,0.0,0.0,0.0,0.99999999863349265,1.3577595835825981e-09,4.3733890598585252e-12,4.7337822660080323e-16,4.3733946564046786e-12,3.4217076975756269e-16,1.0268338337955341e-16,1.0642809540074218e-30,1.7773916901058662e-29,2.4787531922742813e-33,1.3894185694343136e-47,2.5759971755940256e-50,7.2013580590449741e-53,2.1946584792407403e-54,4.9466340526496481e-55,9.1332204203838405e-35,3.7918826047901846e-36,3.8100393394987053e-51,6.5777809514588476e-49
