Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52)
5.415573818390997e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,2.1794268626979514e-16,7.019620706295982e-19,1.9371417702563151e-29,7.0196207062982613e-19,1.4001578986078668e-29,4.2017800481736073e-30,2.641566232215664e-57,2.2581800892259054e-49,1.1052000980288087e-59,4.363710554117211e-87,7.8070760587647507e-90,2.7956349604643267e-98,2.6625193308108319e-100,6.0013041625958218e-101
1.5163606691494792e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,6.1023952155536334e-16,1.965493797793886e-18,1.1700336292347255e-28,1.9654937977952638e-18,8.4569537077028575e-29,2.5378751491310673e-29,8.3055068820207812e-56,2.6809114092745655e-48,2.4722884177576571e-58,4.9634059127537584e-85,6.0242896588377161e-88,3.9109804726621497e-96,3.7247596968847012e-98,8.3955883326857176e-99
3.465967243770238e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999856,1.3948331921262478e-15,4.4925572522465071e-18,5.6332082679040244e-28,4.4925572522531415e-18,4.0716591693186926e-28,1.2218776380601976e-28,1.8529128955253877e-54,2.6321347339463496e-47,4.8848253237849037e-57,4.493352527657202e-83,6.5655655512726682e-86,8.5029154721843208e-94,8.0980633732913168e-96,1.8252991264937865e-96
7.365180393011756e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999711,2.9640205332670101e-15,9.5466841616479336e-18,2.4601700482241347e-27,9.5466841616769119e-18,1.7782005314045742e-27,5.3362606617107144e-28,3.4703007824984752e-53,2.3280933902028954e-46,8.6922857624708508e-56,3.4055613767448285e-81,5.3710402617073878e-84,1.3932821499982456e-91,1.3269476220668163e-93,2.9909327942813874e-94
1.516360669149479e-17,0.11224537200000033,0.0,0.0,0.0,0.0,0.999999999999994,6.1023952155445057e-15,1.9654937982435517e-17,1.0270725665886501e-26,1.9654937982556494e-17,7.4236371799721645e-27,2.2277837820188566e-27,5.9940815817094455e-52,1.9569028163070021e-45,1.4660810746408314e-54,2.3680162682957643e-79,3.8655766609236799e-82,2.0071912768043515e-89,1.9116406779150588e-91,4.3088277893110863e-92
3.076045928846086e-17,0.1122453720000007,0.0,0.0,0.0,0.0,0.99999999999998757,1.2379144580083377e-14,3.9871445631949599e-17,4.1959265600354162e-26,3.9871445632443839e-17,3.0327980160156736e-26,9.1012236595863342e-27,9.9592561399205173e-51,1.6043872315298061e-44,2.4080426715124102e-53,1.5790010932599617e-77,2.6202136983428237e-80,2.7222279349556006e-87,2.5926720058150811e-89,5.8438687299432889e-90
6.1954164482393e-17,0.11224537200000141,0.0,0.0,0.0,0.0,0.99999999999997502,2.4932643309096656e-14,8.030446096273347e-17,1.6960606026556782e-25,8.0304460964731297e-17,1.2259054488920886e-25,3.6788601209418417e-26,1.6236100908151512e-49,1.2992744926582981e-43,3.9035412774454466e-52,1.0313890668387282e-75,1.7252663141936118e-78,3.5855719623272499e-85,3.4150157754780838e-87,7.6974271514904264e-88
1.2434157487025728e-16,0.11224537200000284,0.0,0.0,0.0,0.0,0.99999999999994948,5.0039640766865332e-14,1.6117049175132396e-16,6.8197850877876084e-25,1.6117049175935711e-16,4.9293118971392815e-25,1.4792534757754679e-25,2.6221345733475477e-48,1.0457693327783631e-42,6.2865339743312503e-51,6.6683790181256769e-74,1.119885053796604e-76,4.6551271370328198e-83,4.4339232811650518e-85,9.994039170887259e-86
2.491163956459858e-16,0.11224537200000564,0.0,0.0,0.0,0.0,0.9999999999998993,1.0025363568137125e-13,3.2290255383659619e-16,2.7350388425174338e-24,3.2290255386881287e-16,1.9768745431648938e-24,5.9324680610506729e-25,4.2150045507286543e-47,8.3916432902952835e-42,1.0091282774129635e-49,4.2894946212889918e-72,7.2179526695668399e-75,6.0004188643503989e-81,5.7158774075479291e-83,1.2883556845357901e-83
4.9866603719744295e-16,0.11224537200001133,0.0,0.0,0.0,0.0,0.99999999999979794,2.0068162550625704e-13,6.4636668003950487e-16,1.0954421256693691e-23,6.4636668016853954e-16,7.917809523953453e-24,2.376081592064412e-24,6.7597193693612572e-46,6.7235311737836692e-41,1.6172376141811408e-48,2.7522534756301002e-70,4.6357738952474587e-73,7.7062389044682446e-79,7.3423183839992413e-81,1.6549545996407863e-81
