Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550)
0.0016910456245714477,0.19225198413973812,0.0,0.0,0.0,0.0,0.17835958517071313,0.00025334200184512929,7.6797415714162763e-05,0.12094057661855083,2.7630232462769349e-05,0.26089284621874259,0.36042359107926042,1.4116424584141693e-07,1.2836811933631155e-05,0.071669520132044348,4.2769577626213118e-08,1.8910681073079313e-07,7.6061549866141778e-10,0.0024397361619864139,3.289102071318586e-06,0.002980633068276077,2.0533046535478985e-07,0.0014186909030487786,1.1331951531536711e-07,6.5272155672092304e-05,0.00032702645441703109,0.00010793395199947225,7.0031427244635699e-11
0.0016973705319934958,0.19237048032418674,0.0,0.0,0.0,0.0,0.17772699481038226,0.00025286954215958374,7.6591215296511615e-05,0.12113811052811209,2.756184822050175e-05,0.2608564047664198,0.36069632417638381,1.4088523529098352e-07,1.2836781282733784e-05,0.071853426317653193,4.2797142377898795e-08,1.8914448811924166e-07,7.6076704267876723e-10,0.0024472467726842748,3.2909892625971211e-06,0.002983275736449209,2.0500341373092465e-07,0.0014229148989479152,1.1336811177477411e-07,6.529124552726018e-05,0.00032807462032177927,0.00010809372142311845,7.0315060159813738e-11
0.001703695439415544,0.19248848669850827,0.0,0.0,0.0,0.0,0.17709806819400498,0.00025239906228413032,7.6385897339144079e-05,0.12133494956324906,2.7493817610579954e-05,0.26081922301194232,0.36096743030472722,1.4060696025460394e-07,1.2836663759791013e-05,0.072036791946805748,4.2824319574138347e-08,1.8917995951233329e-07,7.6090971385724966e-10,0.0024547287023053308,3.2928306475129491e-06,0.0029858964509298131,2.0467659343552365e-07,0.0014271289994217051,1.1341575688654353e-07,6.5309849238742609e-05,0.00032912078489210641,0.00010825238574432021,7.0597974668537001e-11
0.001710020346837592,0.19260600643556372,0.0,0.0,0.0,0.0,0.17647277395138999,0.00025193054793337227,7.6181457021153853e-05,0.12153109786730017,2.7426137670411815e-05,0.26078131136807819,0.36123692347962044,1.4032942061838003e-07,1.2836460449720844e-05,0.072219619501048229,4.2851112604410895e-08,1.8921325078053604e-07,7.6104361625170238e-10,0.002462182051266902,3.294626710087797e-06,0.0029884953980433941,2.0435001398955468e-07,0.0014313332384365952,1.1346246062257286e-07,6.5327971683464396e-05,0.00033016495313607308,0.00010840995202951255,7.0880169889378538e-11
0.0017163452542596402,0.1927230426713555,0.0,0.0,0.0,0.0,0.17585108107167541,0.00025146398467716966,7.5977889972555972e-05,0.12172655954648988,2.7358805622007345e-05,0.26074268010156171,0.36150481755656882,1.4005261604356833e-07,1.2836172280992417e-05,0.072401911447288775,4.28775248310295e-08,1.8924438506926881e-07,7.6116884295641813e-10,0.0024696069201733976,3.2963778806987286e-06,0.002991072762024869,2.0402368424817617e-07,0.0014355276500233045,1.1350823142488943e-07,6.5345617616622509e-05,0.00033120713018710814,0.00010856642718450284,7.1161645119491334e-11
0.0017226701616816884,0.192839598520629,0.0,0.0,0.0,0.0,0.17523295890348103,0.00025099935851542391,7.5775191427308153e-05,0.12192133866994884,2.7291818574247665e-05,0.26070333933384598,0.36177112623100816,1.3977654629583821e-07,1.2835800307196881e-05,0.072583670237563999,4.2903559573013997e-08,1.8927338760908803e-07,7.6128549545241626e-10,0.0024770034096718487,3.298084632286209e-06,0.002993628725259012,2.0369761329528545e-07,0.0014397122678554259,1.1355307899259199e-07,6.5362791800764334e-05,0.00033224732103837967,0.0001087218181563551,7.1442399561604735e-11
0.0017289950691037365,0.19295567706291666,0.0,0.0,0.0,0.0,0.17461837714458892,0.00025053665533231087,7.5573357032585493e-05,0.12211543927057597,2.7225173805661481e-05,0.26066329904497565,0.36203586304303842,1.3950121093791563e-07,1.2835345438897594e-05,0.072764898309435763,4.2929220127648114e-08,1.893002811286148e-07,7.6139366515756641e-10,0.0024843716205619833,3.2997473887149173e-06,0.0029961634681013355,2.0337180960371061e-07,0.0014438871256503378,1.1359701162764107e-07,6.5379498885750323e-05,0.00033328553079328417,0.00010887613174470701,7.1722432589579903e-11
0.0017353199765257846,0.19307128135640156,0.0,0.0,0.0,0.0,0.17400730584177837,0.00025007586141352378,7.5372382075101899e-05,0.12230886534508618,2.7158868493438184e-05,0.26062256907440579,0.36229904137733804,1.3922660962658361e-07,1.2834808700509535e-05,0.072945598085785601,4.2954509747492754e-08,1.8932509025183157e-07,7.6149345111315855e-10,0.0024917116536652406,3.3013666124322103e-06,0.0029986771691006735,2.0304628184326221e-07,0.0014480522567850466,1.1364003877667164e-07,6.5395743525593707e-05,0.00033432176442425491,0.00010902937478463535,7.20017434913583e-11
0.0017416448839478328,0.19318641442537612,0.0,0.0,0.0,0.0,0.17339971538107185,0.00024961696294184847,7.5172262226624358e-05,0.12250162085482608,2.7092899973103237e-05,0.26058115912467872,0.36256067446763746,1.3895274182764754e-07,1.2834190983367731e-05,0.073125771975188797,4.2979431662282759e-08,1.8934783726870259e-07,7.6158494297271978e-10,0.0024990236099246724,3.3029427202152617e-06,0.0030011700048331808,2.0272103811460561e-07,0.0014522076946680254,1.1368216858615395e-07,6.5411530266779001e-05,0.00033535602700583179,0.00010918155397077517,7.2280331714355903e-11
0.001747969791369881,0.19330107927288928,0.0,0.0,0.0,0.0,0.17279557648740981,0.00024915994648176448,7.4972992821063859e-05,0.12269370972583385,2.7027265486189528e-05,0.26053907876226051,0.36282077539671415,1.3867960709507511e-07,1.2833493285104064e-05,0.073305422371726603,4.3003989059556421e-08,1.8936854623819498e-07,7.616682375049644e-10,0.0025063075902836567,3.3044761648093868e-06,0.0030036421501122177,2.0239608669323562e-07,0.0014563534723793425,1.1372341027289559e-07,6.5426863657678746e-05,0.00033638832348876027,0.0001093326760286163,7.2558196626405148e-11
0.001754294698791929,0.19341527886919724,0.0,0.0,0.0,0.0,0.17219486021533453,0.00024870479850438624,7.4774569560149165e-05,0.12288513584962017,2.6961962425096773e-05,0.2604963374210541,0.36307935710066491,1.3840720480199144e-07,1.28327164768534e-05,0.073484551655344399,4.3028185104593074e-08,1.8938723899499371e-07,7.617434225322195e-10,0.002513563695779051,3.3059673555087899e-06,0.0030060937778308172,2.0207143531720611e-07,0.001460489623023393,1.1376377181750861e-07,6.5441748143107984e-05,0.00033741865892056533,0.00010948274754813657,7.2835337748279402e-11
0.0017606196062139772,0.1935290161635875,0.0,0.0,0.0,0.0,0.17159753794863214,0.00024825150584973634,7.4576987821502722e-05,0.12307590308323253,2.6896988092496554e-05,0.26045294440321476,0.36333643236892038,1.3813553440748335e-07,1.2831861531735637e-05,0.073663162191675596,4.3052022921303742e-08,1.8940393907188598e-07,7.6181059270682584e-10,0.0025207920274264864,3.3074167360557594e-06,0.0030085250591639131,2.0174709188873344e-07,0.0014646161793832912,1.1380326222811046e-07,6.5456188169396627e-05,0.00033844703822849943,0.00010963177514849237,7.3111754523772222e-11
0.0017669445136360253,0.193642294073474,0.0,0.0,0.0,0.0,0.1710035813913314,0.00024780005526681576,7.4380243341839425e-05,0.12326601525001091,2.6832339937514945e-05,0.26040890888253809,0.36359201384837497,1.3786459519561327e-07,1.2830929299915682e-05,0.073841256332391372,4.307550561184953e-08,1.8941866783544368e-07,7.6186983396829088e-10,0.002527992686309646,3.3088247079404128e-06,0.0030109361634148147,2.0142306379363065e-07,0.0014687331742634338,1.1384188931058765e-07,6.5470188082054957e-05,0.00033947346643376224,0.00010977976531641927,7.3387446545870875e-11
0.0017732694210580735,0.1937551154957089,0.0,0.0,0.0,0.0,0.17041296256741134,0.00024735043386566152,7.4184331539121643e-05,0.12345547613964811,2.6768015320903165e-05,0.26036423990522806,0.36384611404337514,1.3759438653684782e-07,1.2829920731865783e-05,0.074018836415029335,4.3098636237825521e-08,1.8943144832449142e-07,7.6192123898216515e-10,0.0025351657734695022,3.3101917064824868e-06,0.0030133272582141477,2.010993585786645e-07,0.0014728406401500643,1.1387966188170416e-07,6.5483752228732628e-05,0.00034049794843850974,0.00010992672456784308,7.3662413330533163e-11
0.0017795943284801216,0.19386748329603135,0.0,0.0,0.0,0.0,0.16982565381200698,0.00024690262866303029,7.3989248189452415e-05,0.1236442895089287,2.6704011748209519e-05,0.26031894639319242,0.36409874531975628,1.3732490762961788e-07,1.2828836656121284e-05,0.074195904763340675,4.3121417839920038e-08,1.8944230142652168e-07,7.619648917610275e-10,0.0025423113899920584,3.3115181250866345e-06,0.0030156985093661918,2.0077598328743792e-07,0.0014769386095516859,1.1391658756494167e-07,6.5496884857658226e-05,0.00034152048923863685,0.00011007265928732754,7.3936654541672296e-11
0.0017859192359021697,0.19397940032013866,0.0,0.0,0.0,0.0,0.16924162777127463,0.00024645662703454819,7.379498874799192e-05,0.12383245908177777,2.6640326635390741e-05,0.26027303714473732,0.36434991990476212,1.3705615776225638e-07,1.2827678002376411e-05,0.074372463687117682,4.3143853418887705e-08,1.8945124971887127e-07,7.6200088311425668e-10,0.0025494296368992237,3.3128043912330232e-06,0.0030180500810484852,2.0045294512902587e-07,0.0014810271146580263,1.1395267500311229e-07,6.5509590220962557e-05,0.0003425410937098105,0.00011021757589045263,7.4210169763772083e-11
0.0017922441433242179,0.1940908693832322,0.0,0.0,0.0,0.0,0.16866085739370223,0.0002460124162552554,7.3601549034579155e-05,0.12401998854999126,2.6576957544164105e-05,0.26022652083780218,0.36459964989103605,1.3678813605096617e-07,1.2826445576902823e-05,0.074548515482544056,4.3165945955513817e-08,1.8945831359939371e-07,7.6202929508503144e-10,0.0025565206152372093,3.3140508899740767e-06,0.0030203821356541531,2.0013025081473586e-07,0.0014851061876858431,1.1398793162989072e-07,6.5521872471633241e-05,0.00034355976682353513,0.00011036148066074475,7.4482958730652227e-11
0.001798569050746266,0.19420189328109583,0.0,0.0,0.0,0.0,0.16808331593022099,0.00024556998396177388,7.3408924538277017e-05,0.12420688157326637,2.6513901942853702e-05,0.26017940603055445,0.36484794723642899,1.3652084170798242e-07,1.2825140290428478e-05,0.074724062432015542,4.3187698390967862e-08,1.8946351521562788e-07,7.6205021675401953e-10,0.0025635844259668541,3.3152580415182334e-06,0.0030226948339961723,1.9980790723264368e-07,0.0014891758605286871,1.1402236593103133e-07,6.5533735769424565e-05,0.00034457651342753251,0.00011050437991635204,7.4755021091716814e-11
