Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535)
2.4230082587194723e-15,0.11224537200005509,0.0,0.0,0.0,0.0,0.99999999999901867,9.7510798731151502e-13,3.1406828170763153e-15,2.5854617102635495e-22,3.1406828201217957e-15,1.8687608814506686e-22,5.6080262096181586e-23,3.7647381445866996e-43,7.706928923287136e-39,9.002335999193893e-46,3.8739743189845462e-66,6.0931266421501169e-69,4.9106939104010882e-74,4.6862177212383774e-76,1.0562709263323135e-76,2.8275333871449889e-50,1.1743679695862553e-51,9.7571621767272785e-73,1.7668198962888429e-67,2.8110910151660554e-64,2.8953432543111017e-74,1.1414399702397658e-86,2.9674270358671835e-141,2.9423387308600753e-118
4.84654245802039e-15,0.11224537200011016,0.0,0.0,0.0,0.0,0.99999999999803713,1.9504276320133498e-12,6.2820476094381701e-15,1.0343530390518057e-21,6.2820476216221134e-15,7.4762606505008707e-22,2.2435757366761462e-22,6.0253263457524067e-42,6.1667568716857047e-38,1.4406765229782407e-44,2.4801394963861562e-64,3.9013075841671074e-67,6.2759345433705039e-72,6.0010046543648603e-74,1.3526231572567148e-74,9.0508164335172793e-49,3.759101596331208e-50,1.2493217377215311e-70,1.1311471495192532e-65,1.7996459434667041e-62,3.7072052023024615e-72,2.9230375562795876e-84,2.4322641950888104e-137,6.0293891155706907e-115
9.693610856622225e-15,0.11224537200022038,0.0,0.0,0.0,0.0,0.9999999999960737,3.9010669198604477e-12,1.2564777960897935e-14,4.137748888821685e-21,1.2564778009637967e-14,2.990747858912364e-21,8.9750339850092409e-22,9.6419046017471369e-41,4.933942387652968e-37,2.30534789425987e-43,1.5875553301643894e-62,2.497376333940495e-65,8.0030621167578933e-70,7.6829591747534092e-72,1.731734709493899e-72,2.8966907805397421e-47,1.2030900793395312e-48,1.5994053743259278e-68,7.2409233800271716e-64,1.1519472731170776e-60,4.7460180687532775e-70,7.4842626283396271e-82,1.9925880958558607e-133,1.2351692163008777e-111
1.9387747653825893e-14,0.11224537200044073,0.0,0.0,0.0,0.0,0.99999999999214739,7.8023454893283717e-12,2.513024173076093e-14,1.6551669034430783e-20,2.5130241925731317e-14,1.1963479901924844e-20,3.5901601913726992e-21,1.5428108509854027e-39,3.9474508314759974e-36,3.6888433053681937e-42,1.0161350269819933e-60,1.5984854002143709e-63,1.0164314287221808e-67,9.8352091412650622e-70,2.2168504610762135e-70,9.2700716200771967e-46,3.8501575526809214e-47,2.0474506095801112e-66,4.6351549565301759e-62,7.3730007462649447e-59,6.0755380301101325e-68,1.9161710772366471e-79,1.6315822357943402e-129,2.5299604007486479e-108
3.877602124823324e-14,0.11224537200088143,0.0,0.0,0.0,0.0,0.99999999998429479,1.5604902603359109e-11,5.0261181538254614e-14,6.620802303947367e-20,5.0261182318170632e-14,4.7854906569728932e-20,1.4360937041485233e-20,2.4685678880680526e-38,3.1582108839392062e-35,5.9026163826248484e-41,6.5037681799708202e-59,1.0230742442771108e-61,1.2809154990338234e-65,1.2589610483369552e-67,2.8376904478616695e-68,2.9665119519984131e-44,1.232084011672572e-45,2.6209660950154081e-64,2.9673936829940778e-60,4.7188693694706029e-57,7.7774170640075984e-66,4.9058337794945217e-77,1.335015545593493e-125,5.1815985941391202e-105
7.755256843704792e-14,0.1122453720017629,0.0,0.0,0.0,0.0,0.9999999999685889,3.1210016731800152e-11,1.0052311022426354e-13,2.6483478534123694e-19,1.0052311334410817e-13,1.9142168031740266e-19,5.7444365331593834e-20,3.9497190642157688e-37,2.5268791117416797e-34,9.4453206867650065e-40,4.1628099921861946e-57,6.5477301730899795e-60,1.5902688733749654e-63,1.6114842142215235e-65,3.6322742501624469e-66,9.4928735012641799e-43,3.9426618243353886e-44,3.3552234848664655e-62,1.9001682920187734e-58,3.0200941690869365e-55,9.9563843930943397e-64,1.2560413945594544e-74,1.0909261623146039e-121,1.0611740852393878e-101
1.551056628146773e-13,0.11224537200352576,0.0,0.0,0.0,0.0,0.99999999993717781,6.2420244590200516e-11,2.0104716387997429e-13,1.0593445226025055e-18,2.0104717636060686e-13,7.6569147013948178e-19,2.2977889253093874e-19,6.3194117321701269e-36,2.0219639565425647e-33,1.5115855220681403e-38,2.6646292843092908e-55,4.1905291029237288e-58,1.9200118127300705e-61,2.062691290121999e-63,4.6492886923368778e-64,3.0376565554756513e-41,1.2616117736712403e-42,4.2955483055101655e-60,1.217399386200998e-56,1.9328277189407898e-53,1.2747108247593916e-61,3.2161271610019465e-72,8.8920886016821304e-118,2.1730954336375731e-98
3.10211851569936e-13,0.11224537200705155,0.0,0.0,0.0,0.0,0.99999999987435495,1.248406987130739e-10,4.020960563230188e-13,4.2373888116842759e-18,4.0209610625520103e-13,3.0627805045003342e-18,9.1912000748820537e-19,1.0110476959376189e-34,1.618293835846228e-32,2.4195832517504719e-37,1.7058888827282185e-53,3.5441131545310153e-56,2.9116102611710751e-59,3.482385663141259e-61,7.8492569187654453e-62,9.7199611610826524e-40,4.0368447872939423e-41,5.5004267412285834e-58,7.8077764538188455e-55,1.2369503814565454e-51,1.6323579239884647e-59,8.2365470089727696e-70,3.8115111964054736e-113,7.0685528152362638e-95
6.204242290804534e-13,0.11224537201410309,0.0,0.0,0.0,0.0,0.99999999974871001,2.4968160058310852e-10,8.041969817104163e-13,1.6949576359511069e-17,8.0419718151559822e-13,1.2251192275079228e-17,3.6765015043786808e-18,1.6174791575650568e-33,1.2957855679229815e-31,3.8746632426297647e-36,1.0924339831279036e-51,2.2775741227390081e-54,3.1132074807957765e-57,4.4841264746866234e-59,1.0107141423487038e-59,3.1100202746497923e-38,1.2915810369735666e-39,7.0459315424108954e-56,5.0179546652539386e-53,7.915666208275163e-50,2.0912665289381727e-57,2.1102095981030427e-67,3.0631191722397791e-109,1.4473053978640697e-91
1e-12,0.11224537202820618,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243687460559221e-10,1.2962152372419144e-12,4.8058845310082791e-17,1.2962158041426844e-12,3.4737311676174852e-17,1.0424438636086041e-17,1.6457169416399546e-32,6.8563630462574039e-31,3.9497540990827264e-35,4.3250424485404072e-50,9.0161696500405435e-53,1.8346849617580273e-55,3.532966470219439e-57,7.9632003132963067e-58,6.2079437749975968e-37,2.5779161956857437e-38,5.5534556781072196e-54,2.0006827021819548e-51,3.1294727592308202e-48,1.6486848078685058e-55,3.3183819507436651e-65,1.4791495422793052e-105,1.8124866904476041e-88
