Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28)
9.15612092701331e-16,0.1122453720000208,0.0,0.0,0.0,0.0,0.99999999999962941,3.6847617744398027e-13,1.1868085491429698e-15,3.6923137184749376e-23,1.1868085495779002e-15,2.6687888486048363e-23,8.0088545356796179e-24,7.6786755688366948e-45,4.1597525465494032e-40,1.8364553282293967e-47,1.0532184923144782e-68,1.7748682292598691e-71
1.8316217590425675e-15,0.11224537200004166,0.0,0.0,0.0,0.0,0.99999999999925804,7.3711235315403808e-13,2.3741324663346897e-15,1.4774064334106622e-22,2.3741324680749811e-15,1.0678631793612841e-22,3.2045850591233616e-23,1.2293022017317878e-43,3.3290750001373329e-39,2.9395319702377079e-46,6.74488629940937e-67,1.1369171679558231e-69
3.6636410917250395e-15,0.11224537200008328,0.0,0.0,0.0,0.0,0.99999999999851619,1.4743847043517874e-12,4.7487804102518389e-15,5.9105877620319941e-22,4.7487804172141525e-15,4.2721481807961663e-22,1.2820427282934496e-22,1.9674540035155494e-42,2.6637797723359547e-38,4.7042320561897579e-45,4.3181118632827315e-65,7.2795021002098945e-68
7.327679757089984e-15,0.11224537200016657,0.0,0.0,0.0,0.0,0.99999999999703204,2.9489294058578177e-12,9.4980767362209221e-15,2.3644275236499516e-21,9.4980767640725699e-15,1.7089984424686177e-21,5.1285885597980621e-22,3.1483796807602837e-41,2.1312485147584892e-37,7.5276134177281268e-44,2.7640500655781941e-63,4.6599489791437814e-66
1.4655757087819875e-14,0.11224537200033316,0.0,0.0,0.0,0.0,0.99999999999406386,5.8980188053120073e-12,1.8996671140697897e-14,9.4580949416293201e-21,1.8996671252110029e-14,6.8362726606843238e-21,2.0515191223075132e-21,5.0377599492964893e-40,1.7051155210897503e-36,1.2045038598630083e-42,1.7691583585519428e-61,2.9827513588500348e-64
2.931191174927966e-14,0.11224537200066628,0.0,0.0,0.0,0.0,0.99999999998812794,1.1796197589988902e-11,3.7993866959804453e-14,3.783314943949884e-20,3.799386740547009e-14,2.7345652759101989e-20,8.2062452177091379e-21,8.060665291232264e-39,1.3641820233408281e-35,1.9273334324280071e-41,1.1323396497298035e-59,1.9091379403048448e-62
5.862422107219922e-14,0.1122453720013326,0.0,0.0,0.0,0.0,0.99999999997625566,2.3592555102416742e-11,7.5988286638606662e-14,1.5133413683941958e-19,7.5988288421351655e-14,1.0938376987774281e-19,3.2825328960616535e-20,1.289715962603344e-37,1.0914501363461482e-34,3.0840230885462124e-40,7.2475452925906859e-58,1.2219742959374319e-60
1.1724883971803833e-13,0.11224537200266518,0.0,0.0,0.0,0.0,0.99999999995251099,4.7185269899568626e-11,1.5197723815839757e-13,6.053396233082973e-19,1.5197724528992813e-13,4.3753767399276322e-19,1.3130209706391103e-19,2.0635197648089148e-36,8.7331179567986712e-34,4.9352695476455717e-39,4.6390226878216786e-56,7.8219264219870315e-59
2.3449807700971654e-13,0.11224537200533047,0.0,0.0,0.0,0.0,0.99999999990502131,9.4370698583056991e-11,3.0395558984536544e-13,2.4213646273406742e-18,3.0395561837567456e-13,1.7501580992520207e-18,5.2521063101465998e-19,3.3015041577997802e-35,6.9888591724592369e-33,7.8990203196611257e-38,2.9696902335209864e-54,6.6170206024419807e-57
4.689965515930731e-13,0.11224537201066093,0.0,0.0,0.0,0.0,0.99999999981004262,1.887415523067711e-10,6.079140877979671e-13,9.6854706351318018e-18,6.0791420195226366e-13,7.0006649179395395e-18,2.1008524521145208e-18,5.2819628519582369e-34,5.5948461206751414e-32,1.2646657134014783e-36,1.9015035192867297e-52,4.2537989817096968e-55
9.379935007597861e-13,0.11224537202132187,0.0,0.0,0.0,0.0,0.9999999996200849,3.7748324518113906e-10,1.2158382619308066e-12,3.8741905652403725e-17,1.2158387188115972e-12,2.8002866426904493e-17,8.4034732053260639e-18,8.4496919986945347e-33,4.4818808673806963e-31,2.0260921445005111e-35,1.2181113770658499e-50,2.7261881565052241e-53
1e-12,0.1122453720426437,0.0,0.0,0.0,0.0,0.99999999959497055,4.024369465888555e-10,1.296214349850117e-12,4.6425060249806265e-17,1.2962148974771098e-12,3.35563941135322e-17,1.0070050492025108e-17,1.682517324150607e-32,6.5621652174907745e-31,4.040682131514311e-35,6.3008132527539185e-50,1.4110198936966665e-52
1.875987399093212e-12,0.1122453720426437,0.0,0.0,0.0,0.0,0.9999999992401698,7.5496657263755777e-10,2.4317153224108437e-12,1.5496765971599689e-16,2.4317171520410274e-12,1.1201301289845413e-16,3.3614367948656851e-17,1.3514851222292221e-31,3.5951066368343505e-30,3.2501496147018178e-34,7.8105911914360584e-49,1.7493608195123843e-51
2.8139812974266375e-12,0.11224537206396556,0.0,0.0,0.0,0.0,0.99999999886025415,1.1324498417657015e-09,3.6476210942935726e-12,3.2930629014463725e-16,3.6476249853515076e-12,2.380298947624066e-16,7.1431220722414509e-17,5.1517159626708133e-31,1.0298090670153145e-29,1.1979750856982205e-33,4.358997602096824e-48,8.6869454712489986e-51
4.68996909409349e-12,0.11224537210660934,0.0,0.0,0.0,0.0,0.99999999810042295,1.8874161468516907e-09,6.07954747856298e-12,9.1043499268516279e-16,6.0795582582469731e-12,6.5809853525275454e-16,1.9749119691477216e-16,4.2339525841289518e-30,4.7592315250602407e-29,9.2666928266492843e-33,1.1380990472605448e-46,2.7654461475347156e-49
6.326133968454361e-12,0.11224537214380159,0.0,0.0,0.0,0.0,0.99999999743772694,2.5458687340439433e-09,8.2006676904213817e-12,1.5932667112854088e-15,8.2006865792622205e-12,1.1516939535050755e-15,3.456161774433044e-16,1.1889906066614578e-29,1.0458078836993566e-28,2.4605020425546353e-32,4.5944471769405374e-46,1.2034653727436191e-48
7.962298842815232e-12,0.11224537218099387,0.0,0.0,0.0,0.0,0.99999999677503038,3.2043211307904995e-09,1.032188164880295e-11,2.4658708178716294e-15,1.0321910921754462e-11,1.7824846084987501e-15,5.3491272380823682e-16,2.6837779901071302e-29,1.9619466132989632e-28,5.4949721372949447e-32,1.3584116898491093e-45,3.4311466871702592e-48
9.598463717176103e-12,0.11224537221818617,0.0,0.0,0.0,0.0,0.99999999611233337,3.8627733509471451e-09,1.2443182513612985e-11,3.5144081663289279e-15,1.2443224286771556e-11,2.540470625815533e-15,7.6237996336557061e-16,5.2512641155483993e-29,3.2645937391996703e-28,1.0489314723927877e-31,3.4466467396363111e-45,9.0008326944348852e-48
1e-11,0.11224537229257082,0.0,0.0,0.0,0.0,0.99999999594969879,4.024366126631377e-09,1.2963787550236937e-11,3.7920383275369123e-15,1.296383263636461e-11,2.7411713347681385e-15,8.2260910716273537e-16,6.0878549608004368e-29,3.6387836441675637e-28,1.2039553708228458e-31,4.3103234757192805e-45,1.1464911359529976e-47
1.2870793465897845e-11,0.11224537229257082,0.0,0.0,0.0,0.0,0.99999999478693891,5.1796773908374275e-09,1.6685981136293673e-11,6.0100953881052141e-15,1.6686052724434029e-11,4.3446441363317908e-15,1.303802372101261e-15,1.443994021802702e-28,6.9398354434132405e-28,2.6849440803310923e-31,1.4517418608654036e-44,4.1679316482843996e-47
1.6143123214619586e-11,0.11224537236695549,0.0,0.0,0.0,0.0,0.999999993461543,6.4965807757179383e-09,2.092910201727056e-11,9.1582239624695622e-15,2.0929211328282823e-11,6.6205601585343181e-15,1.9867926711697466e-15,3.2058767802543088e-28,1.2625653071744874e-27,5.6706685214997447e-31,4.2592435007979838e-44,1.2897546482299134e-46
1.9415452963341328e-11,0.11224537244134024,0.0,0.0,0.0,0.0,0.99999999213614588,7.8134834626212571e-09,2.5172566325975533e-11,1.3001703056173929e-14,2.5172721837581309e-11,9.3992797414897985e-15,2.8206724105200736e-15,6.297796273433962e-28,2.0938852929198539e-27,1.0726853442315114e-30,1.0794131874523855e-43,3.4188864023955945e-46
2.5960112460784812e-11,0.11224537259010989,0.0,0.0,0.0,0.0,0.99999998948534774,1.0447286703646875e-08,3.366054421970502e-11,2.2813487320600392e-14,3.366081835293788e-11,1.6493394302573664e-14,4.9495840258528481e-15,1.9868900251039838e-27,4.8744147509286841e-27,3.2627603877034506e-30,6.3258787824690736e-43,2.0406266130181149e-45
3.2504771958228296e-11,0.11224537273887977,0.0,0.0,0.0,0.0,0.99999998683454394,1.3081087107939375e-08,4.2149917543257422e-11,3.5451382141714432e-14,4.2150345477815695e-11,2.5631574104849864e-14,7.691915754874959e-15,4.7623434105343786e-27,9.4641052872480549e-27,7.7245397089080154e-30,2.2411561983857466e-42,7.3725239598246589e-45
4.5594090953115265e-11,0.11224537303642024,0.0,0.0,0.0,0.0,0.9999999815329198,1.8348679398216177e-08,5.9132853169982752e-11,6.921340501351801e-14,5.9133696762625313e-11,5.0047590866531592e-14,1.50190920385533e-14,1.8827210449713126e-26,2.6746761246005688e-26,3.1034645972690269e-29,1.9329578785291167e-41,6.2934020220558883e-44
7.17727289428892e-11,0.1122453736315039,0.0,0.0,0.0,0.0,0.99999997092960591,2.888382990259644e-08,9.3115473392087825e-11,1.7068405641234723e-13,9.3117596063886072e-11,1.2345067769300064e-13,3.7047313587986918e-14,1.2231276789130125e-25,1.129488790732591e-25,2.1832641782418041e-28,3.8299519938952374e-40,1.1880227484693467e-42
9.999999999999999e-11,0.11224537482168227,0.0,0.0,0.0,0.0,0.99999995949642151,4.0243367254384885e-08,1.2978243394468577e-10,3.308116776149607e-13,1.2978665153013919e-10,2.3934101833478083e-13,7.1826386801665067e-14,5.4243806201877305e-25,3.5187204928180181e-25,1.1003120694797846e-27,5.5346873365771648e-39,1.6449385444700128e-41
1.2413000492243707e-10,0.11224537482168227,0.0,0.0,0.0,0.0,0.99999994972271455,4.9953994589693912e-08,1.611476502783886e-10,5.0941851191043713e-13,1.6115424750363678e-10,3.6863651422712897e-13,1.1062864565000039e-13,1.1554051391504371e-24,6.7620259527011823e-25,2.4137133129462489e-27,1.3854094891483397e-38,4.1052411559725589e-41
1.7648728090198494e-10,0.11224537601187533,0.0,0.0,0.0,0.0,0.9999999285154727,7.1023977501775473e-08,2.2926899397277408e-10,1.0292099877423435e-12,2.292827836627872e-10,7.4511263107084133e-13,2.2361279220054315e-13,4.340193511029262e-24,2.0563858134164311e-24,9.6322725374013234e-27,8.7400546760141018e-38,2.7971866088098883e-40
2.2884455688153282e-10,0.11224537720208312,0.0,0.0,0.0,0.0,0.99999990730787935,9.2093778620544813e-08,2.9747939056460956e-10,1.7300581722425776e-12,2.9750331768080307e-10,1.2530432555065972e-12,3.7605061130720606e-13,1.1541787175407978e-23,4.7294647090195684e-24,2.6957312870089822e-26,3.5856881342900951e-37,1.2321364697824163e-39
2.812018328610807e-10,0.11224537839230571,0.0,0.0,0.0,0.0,0.99999988609993495,1.1316339792775876e-07,3.6577872223338283e-10,2.6119620745289199e-12,3.6581596591143656e-10,1.8925974681355153e-12,5.6799459188348645e-13,2.5239407797423651e-23,9.2761632480703113e-24,6.1993507742303648e-26,1.1533890832290781e-36,4.1917100008025374e-39
3.8591638482017644e-10,0.1122453807727952,0.0,0.0,0.0,0.0,0.99999984368299033,1.5530209104087615e-07,5.0264375496816989e-10,4.9189323609975828e-12,5.0271803440285773e-10,3.5672016861385776e-12,1.0705957884209365e-12,8.4524075790334006e-23,2.6676927621280226e-23,2.2978478273036991e-25,7.7275210970627503e-36,3.0470349209597256e-38
4.906309367792722e-10,0.1122453831533439,0.0,0.0,0.0,0.0,0.99999980126463794,1.9744005669694394e-07,6.3986315099695196e-10,7.9501107774824167e-12,6.3998991641413196e-10,5.7702761018056861e-12,1.7318380047786192e-12,2.1196682269455254e-22,6.0589543805724246e-23,6.299842880470628e-25,3.0821880030922674e-35,1.2891560044598953e-37
5.95345488738368e-10,0.112245385533952,0.0,0.0,0.0,0.0,0.99999975884487613,2.3957729474442688e-07,7.7743592375404193e-10,1.1705486471557553e-11,7.7763258360834148e-10,8.5032392481953282e-12,2.5521660858951078e-12,4.4678109089324951e-22,1.1910043910424302e-22,1.4475080632704587e-24,9.6061925852271054e-35,4.2326964663673325e-37
7.000600406974637e-10,0.11224538791461962,0.0,0.0,0.0,0.0,0.99999971642370233,2.8171380503331284e-07,9.1536110062696575e-10,1.6185048444456546e-11,9.1564699356459502e-10,1.1767493081769575e-11,3.5320223918881179e-12,8.3744041990976789e-22,2.1205173469470166e-22,2.9587061328733402e-24,2.5816944840286927e-34,1.1853021209665418e-36
9.094891446156552e-10,0.11224539267613401,0.0,0.0,0.0,0.0,0.99999963157711469,3.6598464175988829e-07,1.1922649748047936e-09,2.7316688902429537e-11,1.1927946757403322e-09,1.989522099387428e-11,5.9720260780706581e-12,2.3322803783076523e-21,5.519682705216678e-22,1.0019052376906207e-23,1.5377286298638047e-33,7.4646898880052648e-36
9.999999999999999e-10,0.11224539696170206,0.0,0.0,0.0,0.0,0.99999959490645096,4.0240382419164677e-07,1.3123702378598854e-09,3.3023996664188478e-11,1.3130352314432297e-09,2.4069917592312896e-11,7.2254224731281302e-12,3.374701221316161e-21,7.837867435599481e-22,1.5637985557168359e-23,2.88566141433904e-33,1.4292884071543127e-35
1.0979753381420275e-09,0.11224539696170206,0.0,0.0,0.0,0.0,0.99999955521034267,4.4182590442342425e-07,1.4426743536259566e-09,3.9811775823011919e-11,1.44350813386705e-09,2.9040712383559234e-11,8.7179343580558569e-12,4.8409252344417415e-21,1.1067739949322891e-21,2.40698424945927e-23,5.1535511777241053e-33,2.5922551603781649e-35
1.2864615316683998e-09,0.11224540124746518,0.0,0.0,0.0,0.0,0.99999947883897278,5.1766480688913224e-07,1.6942110996927804e-09,5.4653061283382904e-11,1.6954402340824402e-09,3.9928527433453835e-11,1.198742960893325e-11,8.906572110291153e-21,1.9955078811468707e-21,5.0434322367133161e-23,1.4090860431179656e-32,7.3655648603925317e-35
1.4749477251947721e-09,0.1122454055334242,0.0,0.0,0.0,0.0,0.99999940246299546,5.9350134830779137e-07,1.9468698771694105e-09,7.1840483563759022e-11,1.948596227093373e-09,5.2566470498219016e-11,1.5783053774566757e-11,1.5024536901925382e-20,3.3285596092456744e-21,9.5677881874011874e-23,3.3598938794048771e-32,1.8180683484559111e-34
1.6634339187211444e-09,0.11224540981957998,0.0,0.0,0.0,0.0,0.99999932608240183,6.6933552783004021e-07,2.2006453979745519e-09,9.1373980977136102e-11,2.2029813157075471e-09,6.6962309809595427e-11,2.0107360486455632e-11,2.3740791720962576e-20,5.2322167849898015e-21,1.6839961126987744e-22,7.2279999705357599e-32,4.038899568241658e-34
