Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32)
2.2500710912495092e-10,0.11224537711484814,0.0,0.0,0.0,0.0,0.99999990886227019,9.0549505458272411e-08,2.9247697763029716e-10,1.6725111463929561e-12,2.9250005166395682e-10,1.211321807127787e-12,3.6352921711902144e-13,1.0794750760654094e-23,4.4685988877916639e-24,2.5059329567646606e-26,3.2274863552176619e-37
2.765028325879671e-10,0.11224537828548409,0.0,0.0,0.0,0.0,0.99999988800333584,1.1127243330939426e-07,3.5964530110744481e-10,2.5253861425638283e-12,3.5968120621665642e-10,1.8297901652102287e-12,5.4914453935938006e-13,2.361311111634363e-23,8.7596539723320462e-24,5.7603678517462804e-26,1.0379928260151071e-36
3.794942795139995e-10,0.11224538062679891,0.0,0.0,0.0,0.0,0.99999984628444694,1.5271776132024782e-07,4.9423965560269864e-10,4.7565703356155456e-12,4.9431122174617639e-10,3.449267415204045e-12,1.0351991757747586e-12,7.9114388088513305e-23,2.5166798280234167e-23,2.1333299221309075e-25,6.9509705504901997e-36
4.824857264400318e-10,0.11224538296817102,0.0,0.0,0.0,0.0,0.99999980456419557,1.9416238562657979e-07,6.2917686268210115e-10,7.6883253182594263e-12,6.2929892541494094e-10,5.5798858245859545e-12,1.6746917993216748e-12,1.9846725201261365e-22,5.7114708372203173e-23,5.8448477228272679e-25,2.7716070998789782e-35
5.854771733660642e-10,0.11224538530960057,0.0,0.0,0.0,0.0,0.99999976284258107,2.3560630608423671e-07,7.6445598336980741e-10,1.1320640741076105e-11,7.6464524199687876e-10,8.2229952631802253e-12,2.4680455796960768e-12,4.1844556502782937e-22,1.1219714939002076e-22,1.3421831894967494e-24,8.6357406742480624e-35
6.884686202920966e-10,0.1122453876510877,0.0,0.0,0.0,0.0,0.99999972111960111,2.7704952255048372e-07,9.0007609189490464e-10,1.5653506145752152e-11,9.0035108296720207e-10,1.1379929917366607e-11,3.4156813094313912e-12,7.8453409449920101e-22,1.9965128836830272e-22,2.7419906095053303e-24,2.3202353855052096e-34
8.944515141441613e-10,0.11224539233423521,0.0,0.0,0.0,0.0,0.99999963766953992,3.5993384296123531e-07,1.1723357577328905e-09,2.6420846675218401e-11,1.1728447977230941e-09,1.9240365017134633e-11,5.7754216874074331e-12,2.1861196279776988e-21,5.192232386344223e-22,9.2758745920302047e-24,1.3813955435401953e-33
9.999999999999999e-10,0.11224539654926625,0.0,0.0,0.0,0.0,0.99999959490645129,4.0240382422321997e-07,1.3123702289265814e-09,3.3023966080122286e-11,1.3130352098153735e-09,2.4069886541079434e-11,7.2254130612044681e-12,3.3751041012111524e-21,7.838453813420647e-22,1.5638958555296796e-23,2.8829021552324633e-33
1.0798361186110196e-09,0.11224539654926625,0.0,0.0,0.0,0.0,0.99999956255980038,4.3452732229494909e-07,1.4185267530043711e-09,3.8507232749703325e-11,1.4193274578686361e-09,2.808490860429863e-11,8.4309398034594308e-12,4.5394475182181132e-21,1.0405094160010592e-21,2.2270436226536305e-23,4.6287932535791103e-33
1.2652207230778779e-09,0.11224540076448594,0.0,0.0,0.0,0.0,0.99999948744561384,5.0911851854620641e-07,1.6658088177902219e-09,5.2863243812075225e-11,1.6669884926320738e-09,3.8614178066027228e-11,1.1592718750324938e-11,8.3550759648277256e-21,1.8751982444098566e-21,4.6641342962380828e-23,1.2655314047851952e-32
1.4506053275447361e-09,0.11224540497989505,0.0,0.0,0.0,0.0,0.99999941232697165,5.8370743090702392e-07,1.9141768706173415e-09,6.9488821130458786e-11,1.9158329024987291e-09,5.0835602447112385e-11,1.5263175960155846e-11,1.409919010079057e-20,3.1267836055759241e-21,8.8448151148726783e-23,3.017504760081604e-32
1.6359899320115944e-09,0.11224540919549443,0.0,0.0,0.0,0.0,0.99999933720386458,6.5829405856928179e-07,2.1636258747282404e-09,8.8383906004825903e-11,2.1658656431041757e-09,6.4756576981684153e-11,1.9444739821271456e-11,2.2286022382132609e-20,4.9136527526828217e-21,1.556256350440814e-22,6.4914630248308321e-32
1.8213745364784527e-09,0.11224541341128476,0.0,0.0,0.0,0.0,0.99999926207628398,7.3287840072464897e-07,2.4141508367768035e-09,1.0954843976422168e-10,2.4170916265343692e-09,8.0384464418886669e-11,2.4139849703034319e-11,3.3471507951947427e-20,7.3688014130597158e-21,2.5822601823488029e-22,1.2881720693127577e-31
2.192143745412169e-09,0.11224542184344151,0.0,0.0,0.0,0.0,0.99999911180766643,8.8204022528118169e-07,2.9184088651558006e-09,1.5868561948200149e-10,2.9231427658273979e-09,1.1679027286482019e-10,3.5080512878809997e-11,6.7222324601556676e-20,1.4882630702467977e-20,6.2144328330101784e-22,4.2245452396797451e-31
2.5629129543458857e-09,0.11224543027637145,0.0,0.0,0.0,0.0,0.99999896152104928,1.0311928981091299e-06,3.4269118645504332e-09,2.1689989187362961e-10,3.4340247592556096e-09,1.6011127449638848e-10,4.8104881370573522e-11,1.2045312634180651e-19,2.7012139495001029e-20,1.3085254626493727e-21,1.145174472574571e-30
2.9336821632796022e-09,0.11224543871008069,0.0,0.0,0.0,0.0,0.99999881121636158,1.1803364127410347e-06,3.939621459884155e-09,2.8419078942641051e-10,3.9497753277590954e-09,2.104051642048093e-10,6.3232835825842221e-11,1.9870963119986327e-19,4.5333326299846425e-20,2.4993978687737373e-21,2.7078453734252147e-30
3.6752205811470354e-09,0.11224545557986103,0.0,0.0,0.0,0.0,0.99999851055249822,1.478595941551499e-06,4.9775101662786689e-09,4.4600059475788147e-10,4.9960298375949197e-09,3.3213987929823836e-10,9.9879746891521012e-11,4.5367063140007478e-19,1.0788777103612488e-19,7.4233518881503811e-21,1.1611284255235779e-29
4.2839886700914315e-09,0.11224546943153677,0.0,0.0,0.0,0.0,0.99999826366701494,1.7234255191908891e-06,5.8418257069384341e-09,6.0597240075086459e-10,5.8698252250373041e-09,4.5341424310160739e-10,1.3642828479047918e-10,7.9009182083666576e-19,1.9496461559543909e-19,1.5600194615072015e-20,3.0823510289569431e-29
4.892756759035827e-09,0.11224548328538742,0.0,0.0,0.0,0.0,0.99999801673195432,1.9682303267519689e-06,6.7170246359026746e-09,7.9040764981928207e-10,6.7571943183939347e-09,5.9419049656673729e-10,1.7890183223201028e-10,1.2721947191722009e-18,3.2592578786241176e-19,2.9730490480027528e-20,7.149016839340751e-29
5.501524847980223e-09,0.11224549714143833,0.0,0.0,0.0,0.0,0.99999776974701571,2.2130103356177057e-06,7.6029539956500794e-09,9.9930429735378158e-10,7.6582871344693378e-09,7.5471094390547848e-10,2.2739222862386546e-10,1.9300219007519799e-18,5.1318270644160196e-19,5.2555938155558478e-20,1.4986101333022366e-28
6.1102929369246184e-09,0.11224551099971458,0.0,0.0,0.0,0.0,0.99999752271190134,2.4577655171732705e-06,8.4994651795651266e-09,1.2326603058529431e-09,8.5732493263041616e-09,9.3521452435932599e-10,2.819923021886351e-10,2.7943922277520974e-18,7.7054333893601247e-19,8.7545433609940621e-20,2.9008233892925588e-28
