Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50)
9.437913425751043e-16,0.11224537200002149,0.0,0.0,0.0,0.0,0.99999999999961742,3.7981655003016631e-13,1.2233342519543839e-15,3.9230833258703663e-23,1.2233342524164978e-15,2.8355881527926587e-23,8.5094079476928167e-24,8.6685047514526724e-45,4.5557610728014866e-40,2.0731860597279156e-47,1.2632965689703155e-68,2.1288820390087991e-71,6.6926179244475677e-77
1.887992494678031e-15,0.11224537200004292,0.0,0.0,0.0,0.0,0.99999999999923528,7.5979802249572021e-13,2.4471997342923031e-15,1.5697443354914265e-22,2.4471997361413631e-15,1.1346046289917309e-22,3.4048716281462306e-23,1.3877669098791223e-43,3.6460033014602074e-39,3.3184565314891549e-46,8.0902417364513908e-67,1.3636815836790055e-69,8.5674670743519865e-75
3.776394798883885e-15,0.11224537200008584,0.0,0.0,0.0,0.0,0.99999999999847045,1.5197609671905625e-12,4.8949308153477045e-15,6.2799994970997648e-22,4.8949308227451641e-15,4.5391574494602595e-22,1.3621704010743473e-22,2.2210710289858096e-42,2.9173723666189675e-38,5.31063862846434e-45,5.1794161141939138e-65,8.7313856316846091e-68,1.0954156861060211e-72
7.553199407295592e-15,0.1122453720001717,0.0,0.0,0.0,0.0,0.99999999999694067,3.0396868556351879e-12,9.7903934429767148e-15,2.5122042438306891e-21,9.7903934725691009e-15,1.8158108510149316e-21,5.449125362887623e-22,3.5542252039945288e-41,2.3341447348240231e-37,8.4979751437564157e-44,3.3153769878908095e-63,5.5892993176617733e-66,1.3980948954791195e-70
1.5106808624119004e-14,0.1122453720003434,0.0,0.0,0.0,0.0,0.99999999999388134,6.0795386287442001e-12,1.9581320560307197e-14,1.0049225875102061e-20,1.9581320678682661e-14,7.263539749115531e-21,2.1797390819341705e-21,5.6871577487309252e-40,1.8674448134739786e-36,1.359773634523475e-42,2.1220417271077527e-61,3.5775258601098565e-64,1.7787313161474122e-68
3.021402705776583e-14,0.11224537200068681,0.0,0.0,0.0,0.0,0.99999999998776257,1.2159242159841273e-11,3.9163182243255139e-14,4.0197721276434737e-20,3.9163182716775403e-14,2.9054756433662176e-20,8.7191356596782541e-21,9.0997324054560048e-39,1.4940559167608305e-35,2.1757841946216823e-41,1.3582018578490364e-59,2.2897205274472722e-62,2.2491843462150176e-66
6.042846392505948e-14,0.11224537200137363,0.0,0.0,0.0,0.0,0.99999999997552458,2.431864916155159e-11,7.8326935402275525e-14,1.6079252036762082e-19,7.8326937296446287e-14,1.162202585120656e-19,3.4876912947565193e-20,1.4559674441994143e-37,1.1953622875213021e-34,3.4815903382424059e-40,8.6931932217245698e-58,1.4654385876350666e-60,2.8106091545062597e-64
1.208573376596468e-13,0.11224537200274728,0.0,0.0,0.0,0.0,0.99999999995104905,4.863746292303694e-11,1.5665456089262836e-13,6.4317334957096537e-19,1.5665456846991324e-13,4.648838027531257e-19,1.3950848554574227e-19,2.3295172661340531e-36,9.5646089532796999e-34,5.5715123130893918e-39,5.5643760014272679e-56,9.3787634797624446e-59,3.4343939817458634e-62
2.4171508512882144e-13,0.11224537200549452,0.0,0.0,0.0,0.0,0.99999999990209831,9.7275089478266319e-11,3.1331028856109291e-13,2.572699914996662e-18,3.1331031887481545e-13,1.8595431735417322e-18,5.5803635477613542e-19,3.7270787798474487e-35,7.654356108674159e-33,8.9174315682681487e-38,3.5620849831702158e-54,7.9317156336648483e-57,5.3165675935661191e-60
4.834305800671707e-13,0.11224537201098901,0.0,0.0,0.0,0.0,0.99999999980419652,1.9455033871775841e-10,6.2662365063714313e-13,1.0290812537405108e-17,6.2662377192823568e-13,7.4382080199946058e-18,2.232156204959855e-18,5.9628092068496741e-34,6.1277279179157316e-32,1.4277460386681719e-36,2.280849125415471e-52,5.0966138889394178e-55,5.8674334660554705e-58
9.668615699438693e-13,0.11224537202197805,0.0,0.0,0.0,0.0,0.9999999996083927,3.8910082171286555e-10,1.2532580016504155e-12,4.1163274656299573e-17,1.2532584871034751e-12,2.9753057935903669e-17,8.928694077415163e-18,9.5388088032025463e-33,4.9089601334087302e-31,2.2874505138266964e-35,1.4611640897734107e-50,3.2643801539178613e-53,5.8467825416972602e-56
1e-12,0.11224537204395613,0.0,0.0,0.0,0.0,0.99999999959497055,4.0243694761939681e-10,1.2962138413098103e-12,4.5395792093154333e-17,1.2962143767575214e-12,3.2812403596878692e-17,9.8467836947778266e-18,1.4440978792102615e-32,6.0904304236847843e-31,3.4668099198454922e-35,4.6224390857155755e-50,1.0327603560618548e-52,2.3438258838562594e-55
1.9337235496972664e-12,0.11224537204395613,0.0,0.0,0.0,0.0,0.99999999921678495,7.7820172576748763e-10,2.5065572103591853e-12,1.6465313765321316e-16,2.5065591544790123e-12,1.1901392506058939e-16,3.5715296320276673e-17,1.5256676068961195e-31,3.9380077254082311e-30,3.6696979510737053e-34,9.3695968073136648e-49,2.0934421415886266e-51,5.1910373427859775e-54
