Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535)
7.755255488095572e-14,0.1122453720017629,0.0,0.0,0.0,0.0,0.9999999999685889,3.1210016731953426e-11,1.005230864376639e-13,2.648347390497474e-19,1.0052308955754031e-13,1.9142164941710572e-19,5.744434169745434e-20,3.949717736243972e-37,2.5268793089664669e-34,9.4453158687760072e-40,4.1628072233957812e-57,6.5477284829821406e-60,1.5902681275130675e-63,1.6114837710316924e-65,3.6322710230737865e-66,9.492867102315389e-43,3.9426598096005891e-44,3.3552159976355164e-62,1.9001675945680725e-58,3.0200925794427217e-55,9.9563827383631569e-64,1.2560403701722962e-74,1.0909245247646244e-121,1.0611728629209808e-101
1.5510563570240096e-13,0.11224537200352576,0.0,0.0,0.0,0.0,0.99999999993717781,6.2420244590507154e-11,2.0104711630653567e-13,1.0593443374356078e-18,2.0104712878729532e-13,7.6569134653747471e-19,2.2977879799383987e-19,6.319409607460097e-36,2.0219641143461957e-33,1.5115847510106278e-38,2.6646275120523387e-55,4.1905280214892569e-58,1.9200108508513504e-61,2.0626907229539543e-63,4.6492845619360789e-64,3.0376545078526827e-41,1.2616111289878207e-42,4.2955387199521749e-60,1.2173989386618446e-56,1.9328267015820721e-53,1.2747106127359149e-61,3.2161245380224741e-72,8.8920752486873335e-118,2.1730929304040904e-98
3.1021179734529143e-13,0.11224537200705155,0.0,0.0,0.0,0.0,0.99999999987435495,1.2484069871368751e-10,4.02095961175668e-13,4.2373880710148179e-18,4.0209601110835853e-13,3.062780010089523e-18,9.1911962933836716e-19,1.0110473560029976e-34,1.6182939621260942e-32,2.4195820174965479e-37,1.7058877482049182e-53,3.5441122403406833e-56,2.9116086452031496e-59,3.4823847060242655e-61,7.849249946469176e-62,9.7199546090415389e-40,4.0368427245390195e-41,5.5004144670284518e-58,7.8077735746263294e-55,1.2369497303736671e-51,1.6323576520446307e-59,8.2365402914390408e-70,3.8115054681697585e-113,7.0685446718929279e-95
6.204241206310724e-13,0.11224537201410309,0.0,0.0,0.0,0.0,0.99999999974871001,2.4968160058433724e-10,8.041967914143046e-13,1.6949573396829626e-17,8.0419699122151922e-13,1.2251190297421278e-17,3.6764999917735563e-18,1.6174786137341012e-33,1.2957856690055779e-31,3.8746612660348714e-36,1.0924332566817105e-51,2.2775735358162989e-54,3.1132055011321532e-57,4.4841252433598615e-59,1.0107132448071365e-59,3.1100181782368689e-38,1.2915803770450917e-39,7.045915819561089e-56,5.0179528034639647e-53,7.9156620417162243e-50,2.0912661794353431e-57,2.1102078770422643e-67,3.0631145616126625e-109,1.4473037301118826e-91
1e-12,0.11224537202820618,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243694495304623e-10,1.2962151570992355e-12,4.8058851235848484e-17,1.296215724005938e-12,3.4737316423763212e-17,1.0424437454722349e-17,1.6457170716949287e-32,6.8563661415167947e-31,3.9497537244772815e-35,4.3250415146098997e-50,9.0161713774602255e-53,1.8346844430274448e-55,3.5329671078475583e-57,7.963196865606718e-58,6.2079423059013652e-37,2.5779160063690297e-38,5.5534458108873338e-54,2.0006828492438941e-51,3.1294725166318835e-48,1.6486852802081386e-55,3.3183807626718551e-65,1.4791479903931061e-105,1.8124854349450594e-88
1.240848767202634e-12,0.11224537202820618,0.0,0.0,0.0,0.0,0.99999999949741958,4.9936337882277049e-10,1.6084110136915969e-12,6.7798333174499436e-17,1.6084118135305374e-12,4.9005229772251052e-17,1.4706143714902926e-17,2.5873263104640531e-32,1.0384669767642118e-30,6.2100990806884757e-35,7.0000528934737564e-50,1.459260233132031e-52,2.9790758356171571e-55,5.7462553004884473e-57,1.2951878567623296e-57,9.949673337398049e-37,4.1317037202694114e-38,9.0325145491826113e-54,3.2383176564395047e-51,5.0649612107792564e-48,2.6815407636327212e-55,5.4105724671651106e-65,2.4175037041630512e-105,2.9616266868351132e-88
2.4816980603457574e-12,0.11224537205641236,0.0,0.0,0.0,0.0,0.99999999899483882,9.9872683328799544e-10,3.2168897038346109e-12,2.7119339076536982e-16,3.2168929080677515e-12,1.9602448072296682e-16,5.8825668770177351e-17,4.1376702905702208e-31,8.3371399191760961e-30,9.9701961082267868e-34,4.4908613139309411e-48,9.3651145947317603e-51,2.5374705819527301e-53,7.3754854850128562e-55,1.662393021375115e-55,3.1823647161424866e-35,1.3212773345585886e-36,1.1596723783959562e-51,2.106828048394183e-49,3.2402104071726284e-46,3.4444381975712661e-53,1.3894195196662526e-62,1.8466384436390311e-101,6.05539929875362e-85
3.722547353488881e-12,0.11224537208461856,0.0,0.0,0.0,0.0,0.99999999849225796,1.4980901856785946e-09,4.8254186377523384e-12,5.7628596864940227e-16,4.8254254539095579e-12,4.165571999912307e-16,1.2500613705728541e-16,1.5771251367823071e-30,2.3895150302858427e-29,3.6765981189282629e-33,2.5081246168632849e-47,4.6506291548632235e-50,1.3386899564392586e-52,4.3716136263114154e-54,9.8533362421475521e-55,1.4933142699158001e-34,6.1996205841651492e-36,7.5894885179272454e-51,1.1910010437777815e-48,1.8207474764935649e-45,2.2676087582376766e-52,1.0447982229055505e-61,1.058067954287908e-100,4.8060732991881626e-84
4.963396646632005e-12,0.11224537211282476,0.0,0.0,0.0,0.0,0.99999999798967654,1.9974534359943237e-09,6.4339978138332514e-12,9.8307604909715886e-16,6.4340094526433656e-12,7.1060568382912414e-16,2.1324825422358639e-16,4.2425569252420595e-30,5.0532567369021345e-29,9.3432702165106495e-33,9.4336269761873115e-47,1.9709798263624229e-49,5.7601025027108641e-52,1.9773124013671505e-53,4.456726387876696e-54,4.6543496097801606e-34,1.9321764498374755e-35,3.172506236196982e-50,4.2837617815517784e-48,6.4859234794572173e-45,9.1341001101450199e-52,4.8297944210364081e-61,1.8120134683905177e-99,4.0218007205925448e-83
7.445095232918252e-12,0.11224537216923716,0.0,0.0,0.0,0.0,0.99999999698451381,2.9961796968974496e-09,9.65127407574923e-12,2.0353339695172415e-15,9.6512982112916923e-12,1.4712467727378623e-15,4.4151201674811871e-16,1.7154580659071134e-29,1.3881683015951051e-28,3.2817024096122478e-32,6.7989475863523141e-46,1.786358258130578e-48,5.442647029564526e-51,2.0588296743175378e-52,4.6404442600990296e-53,2.292649124214834e-33,9.5166235854575016e-35,2.6323796610203215e-49,2.6316298575694938e-47,3.845061354444359e-44,6.4907644271943117e-51,4.6035478016318985e-60,1.973647804183695e-97,1.60849201016994e-81
