Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309)
1.1671811859132185e-15,0.11224537200002654,0.0,0.0,0.0,0.0,0.99999999999952727,4.6971680475495477e-13,1.5128903521268206e-15,6.0000108411604404e-23,1.5128903528335763e-15,4.3367825947509872e-23,1.3014394023191706e-23,2.0276506849181935e-44,8.6168359166787593e-40,4.8493957043779539e-47,4.84336221716295e-68,7.615964266840198e-71,2.9604082008399589e-76,2.8221610119362037e-78,6.3611356464779228e-79,7.3372843481382037e-52,3.04741697983389e-53,5.877455783422389e-75,2.2089491751113913e-69,3.514600331990259e-66,1.744114200392487e-76,3.3128027839487673e-89
2.334869180852018e-15,0.11224537200005312,0.0,0.0,0.0,0.0,0.99999999999905409,9.3963756805416524e-13,3.0264376851313019e-15,2.4007858738338523e-22,3.0264376879592483e-15,1.7352779591461494e-22,5.2074529021692823e-23,3.2461263718704541e-43,6.8961106161743313e-39,7.7622163897451101e-46,3.1017201565377544e-66,4.8784985967309601e-69,3.7890299233095503e-74,3.6155643852936769e-76,8.1494624718975321e-77,2.3493409471349002e-50,9.7575887342248561e-52,7.5279554027584877e-73,1.4146132154951016e-67,2.2507168897642257e-64,2.2338476861547232e-74,8.4862192156556823e-87
4.6702451707296165e-15,0.11224537200010616,0.0,0.0,0.0,0.0,0.99999999999810862,1.8794790942912407e-12,6.0535325291325898e-15,9.6047067913369637e-22,6.0535325404462499e-15,6.9422420149974123e-22,2.0833203215030452e-22,5.1953072668277706e-42,5.5179731410322751e-38,1.2422153748770326e-44,1.9857378250900929e-64,3.1236056545716066e-67,4.8427830509814219e-72,4.6299641675613006e-74,1.0435913852349223e-74,7.5201426362785498e-49,3.1233625278264608e-50,9.6389053642000635e-71,9.0565755631775899e-66,1.4408973669507214e-62,2.8602237996794181e-72,2.1731788448172794e-84
9.340997150484815e-15,0.11224537200021237,0.0,0.0,0.0,0.0,0.99999999999621636,3.7591621453200039e-12,1.210772292910436e-14,3.8421953968763025e-21,1.2107722974362942e-14,2.7771229977574243e-21,8.333960085648876e-22,8.3136842229610104e-41,4.4148566905642622e-37,1.9877725182086959e-43,1.2710847855347121e-62,1.9995398078284056e-65,6.1763984310366076e-70,5.9276458136493876e-72,1.3360880618416756e-72,2.4068026894897816e-47,9.996236404451064e-49,1.2339904034506698e-68,5.7974608063378409e-64,9.2231357966130528e-61,3.661698308424997e-70,5.5642918241799218e-82
1.868250110999521e-14,0.11224537200042468,0.0,0.0,0.0,0.0,0.99999999999243316,7.5185282415959957e-12,2.4216106576924042e-14,1.5369406961449397e-20,2.4216106757967813e-14,1.1108945510492442e-20,3.3337201430709497e-21,1.330281160322012e-39,3.5321474704272994e-36,3.1806801057189493e-42,8.135734586870325e-61,1.27983750932432e-63,7.8465864213714454e-68,7.5881763744377704e-70,1.7103705836254884e-70,7.7023189744402238e-46,3.1990200022722029e-47,1.5796697019598794e-66,3.7111289640012475e-62,5.9032385296173736e-59,4.6874589744122577e-68,1.4246060167571619e-79
3.7365509029016e-14,0.11224537200084937,0.0,0.0,0.0,0.0,0.99999999998486599,1.5037260411021799e-11,4.8432885264062378e-14,6.1478878543906464e-20,4.8432885988268843e-14,4.4436698055796613e-20,1.3335155547171396e-20,2.1285112685191093e-38,2.8259361658852292e-35,5.0894809759449203e-41,5.2072664795649795e-59,8.1913118898426958e-62,9.8938339125791889e-66,9.7132878797256967e-68,2.1893691320236271e-68,2.4648167230600657e-44,1.0237146966147984e-45,2.0221506320807606e-64,2.3758159758291011e-60,3.7781927764439729e-57,6.0004974092024547e-66,3.647308930874155e-77
7.473152486705757e-14,0.11224537200169876,0.0,0.0,0.0,0.0,0.99999999996973155,3.0074724657368736e-11,9.6866488204290964e-14,2.4591801501773933e-19,9.6866491101279506e-14,1.7774869593732519e-19,5.3341194162789454e-20,3.4056289570980698e-37,2.2610175534024775e-34,8.1441159400377134e-40,3.3329602884443777e-57,5.2424853099666208e-60,1.2296347403159439e-63,1.2433120963109819e-65,2.8024169177967302e-66,7.8874471263237851e-43,3.2758836508957128e-44,2.588642316980882e-62,1.5213228454988284e-58,2.4180587667327021e-55,7.6816015375002094e-64,9.3381775689951435e-75
1.4946355654314075e-13,0.11224537200339756,0.0,0.0,0.0,0.0,0.99999999993946265,6.0149652780043829e-11,1.9373387634820374e-13,9.8367705716648286e-19,1.9373388793728218e-13,7.109991645557645e-19,2.133660967604918e-19,5.448892829458568e-36,1.8092116410835923e-33,1.3033365419898972e-38,2.1334277983040358e-55,3.3551738062469043e-58,1.4874924823733212e-61,1.5914318771696339e-63,3.5870741466399868e-64,2.5239335286499197e-41,1.0482510916969606e-42,3.3141044183352012e-60,9.7464353380018156e-57,1.5475330346641181e-53,9.834636397945795e-62,2.3910480198330774e-72
2.9892761989530704e-13,0.11224537200679505,0.0,0.0,0.0,0.0,0.99999999987892552,1.2029950754531868e-10,3.8746938168703496e-13,3.934718185991516e-18,3.8746942805198938e-13,2.8440100067322751e-18,8.5346843652072936e-19,8.7177465478126679e-35,1.4479925883931787e-32,2.0862081551490569e-37,1.3657999766409502e-53,2.8375943286585612e-56,2.263157741362813e-59,2.6867500482179488e-61,6.055904067385448e-62,8.0761564599944096e-40,3.3541535481087778e-41,4.2436342431394131e-58,6.2503886412554778e-55,9.9037551656838528e-52,1.2593749776400791e-59,6.1234206637741749e-70
5.978557465996396e-13,0.11224537201359008,0.0,0.0,0.0,0.0,0.99999999975785081,2.4059921115556441e-10,7.7494330854618504e-13,1.5738892363537809e-17,7.7494349407442083e-13,1.1376103418740546e-17,3.413893119165653e-18,1.3946757476563832e-33,1.1593861463486957e-31,3.3407001074183912e-36,8.7462522376179872e-52,1.8234997913473329e-54,2.4318547943154781e-57,3.4595432849396612e-59,7.7977506651245172e-60,2.5840762052635802e-38,1.0731616512535195e-39,5.435856232015525e-56,4.0164343252737935e-53,6.3377740975799338e-50,1.6133743480209016e-57,1.5687805109090017e-67
1e-12,0.11224537202718013,0.0,0.0,0.0,0.0,0.99999999959497043,4.024368751662115e-10,1.2962149605917761e-12,4.7498918422582214e-17,1.2962155208704253e-12,3.4332579672782548e-17,1.0302981136732199e-17,1.546290056452121e-32,6.6290256572594339e-31,3.710668683052813e-35,3.7982241516787912e-50,7.9179427844041492e-53,1.5828927143720315e-55,2.9931751503724899e-57,6.7465295287866053e-58,5.6454276008538743e-37,2.3443391885031859e-38,4.7048526059024392e-54,1.7561141048622145e-51,2.7485567245800019e-48,1.3967315005147495e-55,2.7105928954808714e-65
1.1957120000083048e-12,0.11224537202718013,0.0,0.0,0.0,0.0,0.99999999951570162,4.811985946948204e-10,1.5499028268101637e-12,6.2955606332506524e-17,1.549903569469022e-12,4.5504834012582415e-17,1.3655701417048276e-17,2.2309499494782736e-32,9.2909413226548929e-31,5.3539617892344082e-35,5.6041447232055019e-50,1.1682632510005174e-52,2.3414057719550328e-55,4.4330304976373533e-57,9.9919213060357385e-58,8.2671347255788939e-37,3.4330337209127361e-38,6.9681138174952878e-54,2.5912173218746474e-51,4.0553558265296905e-48,2.0686285770458782e-55,4.022125412844187e-65
2.3914245068256352e-12,0.1122453720543603,0.0,0.0,0.0,0.0,0.99999999903140246,9.6239726704823198e-10,3.0998685200787331e-12,2.518224802003233e-16,3.0998714950784663e-12,1.8202252508969379e-16,5.4623785122727679e-17,3.5678150936863772e-31,7.458106806055249e-30,8.594620264680641e-34,3.5950074843738351e-48,7.496616874891961e-51,2.0064364350887377e-53,5.6891957059315329e-55,1.2823145796403045e-55,2.6442574954984753e-35,1.0978759186544816e-36,8.9452883458576926e-52,1.6848480903763554e-49,2.5943747660883774e-46,2.656815925018211e-53,1.0327543431295941e-62
3.587137013642966e-12,0.11224537208154046,0.0,0.0,0.0,0.0,0.99999999854710342,1.443595844618066e-09,4.649880868458178e-12,5.351227841222465e-16,4.6498871967409965e-12,3.8680250079368369e-16,1.1607696732327463e-16,1.3599289909727918e-30,2.1373931648640268e-29,3.1691273239968862e-33,2.0077259429328029e-47,3.7226273068670428e-50,1.060079129098195e-52,3.3720166687208284e-54,7.6003206318586997e-55,1.2408177867949825e-34,5.151438073929737e-36,5.8540385397307278e-51,9.5225794908348178e-49,1.4578453726464657e-45,1.7490164790760704e-52,7.7657197805265913e-62
4.782849520460297e-12,0.11224537210872064,0.0,0.0,0.0,0.0,0.99999999806280404,1.9247943274041046e-09,6.1999398705065007e-12,9.1285650223406853e-16,6.1999506758770312e-12,6.5984681580676553e-16,1.9801587942489352e-16,3.6583123878153963e-30,4.5196572862817345e-29,8.053065273735736e-33,7.5511787025497691e-47,1.5775763826900833e-49,4.5631463585721532e-52,1.5250995754645052e-53,3.4374752658577552e-54,3.8673936355414039e-34,1.6055124843706216e-35,2.4469510643861929e-50,3.4239199274692676e-48,5.1932030887973046e-45,7.0447173116710834e-52,3.5897128926099042e-61
