Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14)
3.581453484373534e-05,0.11655278971030451,0.0,0.0,0.0,0.0,0.92268229160243997,0.00064752799663028444,6.164444055303918e-05,0.0068363915406630315,8.9906740383424019e-05,0.036557231156117066,0.033124955379541653,5.1143671277869928e-08
3.626271205853461e-05,0.11660553270730294,0.0,0.0,0.0,0.0,0.92176874036994705,0.00064724942723792388,6.195675725346836e-05,0.0069206651069785184,8.9805590233125394e-05,0.036992868128273598,0.033518662889185445,5.1730890934191565e-08
3.6710889273333884e-05,0.11665819002481986,0.0,0.0,0.0,0.0,0.92085745517925699,0.00064697111743328183,6.2267556735599467e-05,0.0070048109077562367,8.9704889276024164e-05,0.037427404918775803,0.033911333114696726,5.2316069239609893e-08
3.727800251133389e-05,0.11672469912314533,0.0,0.0,0.0,0.0,0.91970756650275309,0.00064661932523117063,6.2658677125053885e-05,0.0071111047370508926,8.9578102887820051e-05,0.037975689314548568,0.034406730286772581,5.305363081933691e-08
3.78451157493339e-05,0.11679107230255721,0.0,0.0,0.0,0.0,0.91856126677987571,0.00064626795466621149,6.3047406589934377e-05,0.0072171957811944035,8.9452022493239689e-05,0.038522231338903555,0.034900484928315767,5.378796106441169e-08
3.841222898733391e-05,0.11685731023644698,0.0,0.0,0.0,0.0,0.91741853428059028,0.00064591700889047427,6.3433767177351635e-05,0.0073230850286101247,8.9326639876668299e-05,0.039067041593674433,0.03539260716210018,5.4519080456485199e-08
3.8979342225333915e-05,0.116923413631042,0.0,0.0,0.0,0.0,0.91627934751620965,0.00064556649094742397,6.3817780390879348e-05,0.0074287734581665443,8.9201947191685425e-05,0.039610130562779414,0.035883106997305063,5.5247009311099304e-08
3.954645546333392e-05,0.11698938315656729,0.0,0.0,0.0,0.0,0.91514368519428224,0.00064521640377305188,6.4199466833294189e-05,0.0075342620403204665,8.907793734851806e-05,0.040151508634662214,0.036371994351012203,5.5971767829042532e-08
4.011356870133393e-05,0.11705521949422637,0.0,0.0,0.0,0.0,0.91401152621657367,0.00064486675021655805,6.4578847106232292e-05,0.0076395517372241303,8.8954603114958504e-05,0.040691186102814449,0.036859279049574013,5.6693375996196032e-08
4.068068193933394e-05,0.11712092332469881,0.0,0.0,0.0,0.0,0.91288284973220479,0.00064451753299246976,6.4955942172041249e-05,0.0077446435015141478,8.8831936696433814e-05,0.041229173139366096,0.037344970803200393,5.741185355964265e-08
4.1247795177333945e-05,0.11718649529174878,0.0,0.0,0.0,0.0,0.91175763511050234,0.00064416875471877302,6.5330772076544787e-05,0.0078495382769703231,8.8709931059150805e-05,0.041765479809104437,0.037829079218348112,5.8127220124428047e-08
4.181490841533395e-05,0.11725193606381144,0.0,0.0,0.0,0.0,0.91063586191562784,0.00064382041794057931,6.5703356731101843e-05,0.0079542369991889988,8.8588579164060433e-05,0.042300116081584065,0.038311613810268222,5.8839495116863618e-08
4.238202165333396e-05,0.11731724628588969,0.0,0.0,0.0,0.0,0.90951750990073554,0.00064347252511083044,6.6073715798269537e-05,0.0080587405957732484,8.8467874081208446e-05,0.042833091834066556,0.038792584005736257,5.954869779787709e-08
4.351624812933397e-05,0.11744747764133476,0.0,0.0,0.0,0.0,0.90729098940099895,0.00064277808065016785,6.6807834672574234e-05,0.0082671660819577785,8.8228377050733107e-05,0.043894100810456499,0.039749868456250968,6.0957962422705721e-08
4.4650474605333984e-05,0.1175771944281804,0.0,0.0,0.0,0.0,0.90507791549724514,0.0006420854391462231,6.7533281088304642e-05,0.0084748219961331261,8.7991386561134046e-05,0.044948583870149883,0.040701006174511639,6.2355164734975707e-08
4.5784701081334e-05,0.1177064016271081,0.0,0.0,0.0,0.0,0.90287813310749532,0.00064139461704707087,6.825020353182859e-05,0.0086817154734816319,8.7756850854611341e-05,0.045996616663543009,0.041646069343593634,6.3740452829563858e-08
4.6918927557334014e-05,0.11783510410683694,0.0,0.0,0.0,0.0,0.90069149009451432,0.00064070562952606614,6.8958746696706974e-05,0.008887853527150916,8.7524719789198254e-05,0.047038273402249989,0.042585128766100523,6.5113972226038115e-08
