Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18)
2.0478157390990958e-15,0.11224537200004654,0.0,0.0,0.0,0.0,0.99999999999917066,8.2411666433002736e-13,2.6543614288866263e-15,1.8467583645319219e-22,2.654361431061969e-15,1.334829193829389e-22,4.0057329847285234e-23,1.9207850612378217e-43,4.6525262677041862e-39,4.5930237971422299e-46,1.4117975004414339e-66,2.220527849842021e-69,1.5129657955565562e-74,1.4433593274359895e-76,3.2533240868369206e-77,1.2192359072024613e-50
4.096075979118335e-15,0.11224537200009312,0.0,0.0,0.0,0.0,0.99999999999834088,1.6484122118719293e-12,5.3092991986402348e-15,7.3882359936909272e-22,5.3092992073430438e-15,5.3401861212638229e-22,1.6025540799091803e-22,3.074147034544864e-42,3.7227497226602192e-38,7.3503751423540809e-45,9.0384000129357347e-65,1.421760140001942e-67,1.9341872889637116e-72,1.8483154195258887e-74,4.1660928442950062e-75,3.9027238175552218e-49
8.192596459156812e-15,0.11224537200018624,0.0,0.0,0.0,0.0,0.99999999999668177,3.2970033058438982e-12,1.0619175285816087e-14,2.955534920957948e-21,1.0619175320630331e-14,2.136248424515018e-21,6.4107384189743091e-22,4.9193420902387155e-41,2.978517489207678e-37,1.1761930145775069e-43,5.7855396769102517e-63,9.1012358252743328e-66,2.4679853684691174e-70,2.3663603542212773e-72,5.3337631004057549e-73,1.2490571737466402e-47
1.638563741923377e-14,0.11224537200037248,0.0,0.0,0.0,0.0,0.9999999999933632,6.5941854893404959e-12,2.1238929650841855e-14,1.1822620741847505e-20,2.1238929790105904e-14,8.5453424179783733e-21,2.5644000232921115e-21,7.8714935589380436e-40,2.3829829977771765e-36,1.8820472596286851e-42,3.7031008591653479e-61,5.825396230430417e-64,3.1382764424223838e-68,3.0292587618105533e-70,6.8279319373671073e-71,3.9972702203183383e-46
3.2771719339387685e-14,0.11224537200074491,0.0,0.0,0.0,0.0,0.99999999998672673,1.3188549838544335e-11,4.2478447143585989e-14,4.7291445051943079e-20,4.2478447700664743e-14,3.4182073168279935e-20,1.0257811265246108e-20,1.2594764924588754e-38,1.9065210674330935e-35,3.0114888848212005e-41,2.3701585436775534e-59,3.7284181287071632e-62,3.9642798286369987e-66,3.8776242776183396e-68,8.7401416987248077e-69,1.2791662619105205e-44
6.55438831796955e-14,0.11224537200148994,0.0,0.0,0.0,0.0,0.99999999997345257,2.637727846579455e-11,8.495751717981477e-14,1.8916770400515198e-19,8.4957519408242306e-14,1.3672974803139044e-19,4.10316822645272e-20,2.0151726443370876e-37,1.5253780263770014e-34,4.818880889160833e-40,1.5170342505333938e-57,2.3862113020079435e-60,4.9441237702939826e-64,4.9634099687353957e-66,1.1187492854464079e-66,4.0933561998247768e-43
1.3108821086031116e-13,0.1122453720029798,0.0,0.0,0.0,0.0,0.99999999994690547,5.2754735435665196e-11,1.6991579745499721e-13,7.5667466052166012e-19,1.6991580636947141e-13,5.4692228967913285e-19,1.6412772231446868e-19,3.2242211984422988e-36,1.2205385766970993e-33,7.7116581402669421e-39,9.7104309455306585e-56,1.5271652389740027e-58,6.0194762551695574e-62,6.3531246610924236e-64,1.4319892193957022e-64,1.3098525671341057e-41
2.6217686622154243e-13,0.11224537200595962,0.0,0.0,0.0,0.0,0.99999999989381094,1.0550964823688704e-10,3.398329188143607e-13,3.0267063062191938e-18,3.3983295447809821e-13,2.187698848423457e-18,6.5651382654167542e-19,5.1585075295917782e-35,9.7680002012625486e-33,1.2343171265707972e-37,6.216390425642094e-54,1.2915489203869927e-56,9.2596911473823354e-60,1.0725466225627224e-61,2.4175086779845537e-62,4.1913321375714548e-40
5.24354176944005e-13,0.11224537201191927,0.0,0.0,0.0,0.0,0.99999999978762122,2.1101946928525115e-10,6.796694047538788e-13,1.210684035406566e-17,6.7966954745501023e-13,8.7508395296626997e-18,2.6260687869232595e-18,8.2527675440021592e-34,7.8202718758387408e-32,1.9763438117289587e-36,3.9806544594944385e-52,8.2992095046098867e-55,1.0118682706692638e-57,1.3809510449336663e-59,3.1126417627822816e-60,1.3410913790128581e-38
1e-12,0.11224537202383854,0.0,0.0,0.0,0.0,0.99999999959497055,4.0243687761468332e-10,1.2962137523314691e-12,4.5053470483333817e-17,1.2962142837023844e-12,3.2564946412190242e-17,9.7725257127179009e-18,1.2052001970117553e-32,5.7562135436336226e-31,2.8909303616219837e-35,2.3171641437943317e-50,4.8299583305297462e-53,9.0379304655481306e-56,1.6061477372901593e-57,3.6202148099969423e-58,3.904504568713699e-37
1.04870879838893e-12,0.11224537202383854,0.0,0.0,0.0,0.0,0.99999999957524222,4.2203909316564828e-10,1.3593513493944564e-12,4.8427390081912611e-17,1.3593519205673362e-12,3.500364444043664e-17,1.0504362959432799e-17,1.3201681560550641e-32,6.2655981079369292e-31,3.1667389665553982e-35,2.55037832705872e-50,5.3160742808667233e-53,9.9531031066056056e-56,1.7692120971359288e-57,3.9877575790308078e-58,4.2906141947512698e-37
2.0974180412787806e-12,0.11224537204767712,0.0,0.0,0.0,0.0,0.99999999915048376,8.4407826806101047e-10,2.7187511287488348e-12,1.9370960491703655e-16,2.7187534163848952e-12,1.400167347639316e-16,4.2018114274853427e-17,2.11138713151044e-31,5.0274811433805521e-30,5.0814599746005023e-34,1.6357667147991373e-48,3.4098468234386647e-51,8.7166613464616324e-54,2.2696033654586447e-55,5.1155790404405364e-56,1.372432423347696e-35
3.146127284168631e-12,0.1122453720715157,0.0,0.0,0.0,0.0,0.99999999872572565,1.2661173700459789e-09,4.078186797059153e-12,4.1163292442082839e-16,4.0781916626093887e-12,2.9753869185437453e-16,8.9289454526185e-17,8.0481086221924773e-31,1.4404098074481657e-29,1.8732917635803926e-33,9.1347072905792183e-48,1.6930596963363858e-50,4.6298525441520863e-53,1.3450816876154297e-54,3.0317415293728001e-55,6.4402723110902871e-35
4.194836527058482e-12,0.1122453720953543,0.0,0.0,0.0,0.0,0.99999999830096686,1.6881563991204059e-09,5.4376583533525242e-12,7.0219733789031717e-16,5.4376666601991401e-12,5.0757090194476559e-16,1.5231880969171742e-16,2.1650527713582381e-30,3.0449138318832839e-29,4.7591032906142813e-33,3.4352257051439587e-47,7.1732570556426357e-50,1.9959912076272537e-52,6.0824067532444012e-54,1.370939382921493e-54,2.0073464205014782e-34
6.292255012838182e-12,0.11224537214303147,0.0,0.0,0.0,0.0,0.99999999745144952,2.5322342860350313e-09,8.156685689443313e-12,1.4538103331900906e-15,8.156702911176773e-12,1.0508779709914497e-15,3.1536193766745713e-16,8.7547048921006541e-30,8.3572539044454849e-29,1.6704545238073255e-32,2.4744503875456054e-46,6.4949986854969135e-49,1.8936973661532684e-51,6.3278352567268174e-53,1.4262532645126945e-53,9.8882040313564113e-34
8.389673498617883e-12,0.11224537219070865,0.0,0.0,0.0,0.0,0.99999999660193151,3.3763119047722805e-09,1.0875844990179766e-11,2.472550452934745e-15,1.08758743178029e-11,1.7872954834743159e-15,5.3635644543988723e-16,2.3708699963252714e-29,1.7563342379442541e-28,4.1876074149902334e-32,9.1001131916077993e-46,2.5688088011032914e-48,7.7795621175608086e-51,2.8399666644065416e-52,6.4010828617882172e-53,3.1021074119159906e-33
