Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32)
8.865384475103316e-16,0.11224537200002015,0.0,0.0,0.0,0.0,0.99999999999964106,3.567755246693334e-13,1.1491240630232436e-15,3.4615474331989323e-23,1.1491240634309697e-15,2.5019919122864107e-23,7.5083189614254145e-24,6.748848885206342e-45,3.7759394602782416e-40,1.6140765600130461e-47,8.6782856408406825e-69
1.7734618444116793e-15,0.11224537200004031,0.0,0.0,0.0,0.0,0.9999999999992818,7.1370596699592644e-13,2.2987471285979779e-15,1.3850698606100644e-22,2.2987471302294156e-15,1.0011226772282817e-22,3.0043056276543293e-23,1.0804434707742364e-43,3.0219068254511707e-39,2.5835800061844748e-46,5.5576356585042639e-67
3.5473086382143746e-15,0.11224537200008065,0.0,0.0,0.0,0.0,0.99999999999856304,1.4275668514406434e-12,4.5979933624354627e-15,5.5411813449478028e-22,4.5979933689622872e-15,4.0051427030689259e-22,1.2019179111002776e-22,1.7292109903159611e-42,2.4179968714215739e-38,4.1345894684191761e-45,3.5580273099660114e-65
7.095002225819766e-15,0.11224537200016126,0.0,0.0,0.0,0.0,0.99999999999712652,2.8552886194962012e-12,9.196486240862458e-15,2.216652930833652e-21,9.1964862669719933e-15,1.6021875506845619e-21,4.8080631808004981e-22,2.7671360901081897e-41,1.934600817285489e-37,6.6160811704091622e-44,2.27751471602201e-63
1.4190389401030549e-14,0.11224537200032257,0.0,0.0,0.0,0.0,0.99999999999425249,5.710732152271807e-12,1.8393473640724225e-14,8.8669725179435952e-21,1.8393473745167525e-14,6.4090116416619393e-21,1.9233037331527887e-21,4.4277279033079346e-40,1.5477855635679972e-36,1.0586476387675693e-42,1.4577457759412035e-61
2.838116375145211e-14,0.11224537200064515,0.0,0.0,0.0,0.0,0.99999999998850475,1.1421619204480988e-11,3.6787455012476489e-14,3.5468611642267564e-20,3.6787455430265492e-14,2.5636573379574626e-20,7.6933730631932977e-21,7.084585033981548e-39,1.2383081399149589e-35,1.693945885243125e-41,9.3302093945036444e-60
5.6762712452295237e-14,0.11224537200129027,0.0,0.0,0.0,0.0,0.99999999997700972,2.2843393255531232e-11,7.3575444044076714e-14,1.4187588947033416e-19,7.3575445715308026e-14,1.0254737855976983e-19,3.0773818165774402e-20,1.1335423573887849e-37,9.9073874662479516e-35,2.7105609573954183e-40,5.9717937470785534e-58
1.135258098539815e-13,0.11224537200258061,0.0,0.0,0.0,0.0,0.99999999995401867,4.5686941144159174e-11,1.4715152725950534e-13,5.6750644167616001e-19,1.471515339449315e-13,4.1019193558162127e-19,1.2309600168439192e-19,1.8136463600034727e-36,7.9272446515912586e-34,4.3376069549205393e-39,3.8224228639847286e-56
2.2705200465735403e-13,0.11224537200516119,0.0,0.0,0.0,0.0,0.99999999990803745,9.137403606752488e-11,2.9430411429804157e-13,2.2700315181427353e-18,2.9430414104354883e-13,1.6407745950178638e-18,4.923860823246151e-19,2.9017261205250536e-35,6.3438747662461984e-33,6.9423751044943937e-38,2.4469220276538361e-54
4.541043942640991e-13,0.11224537201032239,0.0,0.0,0.0,0.0,0.99999999981607457,1.8274822249869433e-10,5.8861097079595411e-13,9.0801374461448413e-18,5.8861107780799714e-13,6.5631281653514807e-18,1.9695534208347728e-18,4.64238445024623e-34,5.0784036770883834e-32,1.1114799884747162e-36,1.5667496766176023e-52
