Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52)
1.566304880257779e-05,0.1141049524162452,0.0,0.0,0.0,0.0,0.96602809860381922,0.00065619414592391122,4.6530138695748954e-05,0.0029238374818235679,9.6515604779555354e-05,0.015778853903853737,0.014410605158617716,2.2368793734945753e-08,1.2968754760451525e-07,5.9192693317905893e-05,8.9263472842825892e-11,6.4531381862323405e-11,2.5955499842133423e-13,1.9909060592460658e-08,1.4971225782939533e-10
1.593573564820491e-05,0.11414039813710225,0.0,0.0,0.0,0.0,0.96539139733068058,0.0006559325834819622,4.6788596312666753e-05,0.0029796317791669471,9.6466899163135368e-05,0.016079723922935208,0.014688372915392019,2.2786277743676199e-08,1.328128470598997e-07,6.1508887762473446e-05,9.2719536709280422e-11,6.7395484370765122e-11,2.7107485329287283e-13,2.1167601728803413e-08,1.5799263154077978e-10
1.620842249383203e-05,0.11417581842595734,0.0,0.0,0.0,0.0,0.96475557940698198,0.00065567139351772842,4.7046346739020928e-05,0.0030353791029057477,9.6418284569050301e-05,0.016380100999104474,0.01496575527590272,2.3202736472482943e-08,1.3595755620609078e-07,6.3867217034194616e-05,9.6236366418184575e-11,7.0330795799133197e-11,2.8288112125563957e-13,2.2479529182372165e-08,1.6657299402199965e-10
1.648110933945915e-05,0.11421121332562265,0.0,0.0,0.0,0.0,0.96412064271668196,0.00065541055919146043,4.7303392969226364e-05,0.0030910795438570757,9.6369761792224529e-05,0.016679986364086442,0.015242753174072785,2.3618172633937353e-08,1.3912157958738003e-07,6.6267552645325804e-05,9.981369595108725e-11,7.3337801766372646e-11,2.9497575554346169e-13,2.3846045772302521e-08,1.7545882088561441e-10
1.6753796185086268e-05,0.11424658288349322,0.0,0.0,0.0,0.0,0.96348658514520458,0.00065515006674777415,4.7559737844147464e-05,0.0031467331915630828,9.6321331366736162e-05,0.016979381247103312,0.015519367542983085,2.4032589145927718e-08,1.4230482154083746e-07,6.870976658682712e-05,1.0345126125307853e-10,7.6416983723889939e-11,3.0736069262915887e-13,2.5268358377131748e-08,1.846555919045872e-10
1.7026483030713388e-05,0.11428192714343191,0.0,0.0,0.0,0.0,0.96285340457994495,0.00065488990524354242,4.7815384101350744e-05,0.0032023401343822542,9.6272993545571352e-05,0.017278286874708063,0.015795599314689244,2.4445988724401898e-08,1.4550718720561873e-07,7.1193731324774713e-05,1.0714879893034656e-10,7.9568823599535547e-11,3.200378708978826e-13,2.6747677867077524e-08,1.9416879024902179e-10
1.7299169876340508e-05,0.11431724615171221,0.0,0.0,0.0,0.0,0.96222109891268803,0.00065463006574610302,4.8070334426659094e-05,0.0032579004597246123,9.6224748392114725e-05,0.017576704469862623,0.016071449419152159,2.4858374060436612e-08,1.4872858258404031e-07,7.3719319795407363e-05,1.1090604645973331e-10,8.2793796830917103e-11,3.3300920263003545e-13,2.8285218979909108e-08,2.0400390300606391e-10
1.7571856721967628e-05,0.11435253995319848,0.0,0.0,0.0,0.0,0.96158966604009466,0.00065437054109176442,4.8324591416736046e-05,0.003313414254128488,9.6176595851950322e-05,0.017874635251809746,0.016346918784012929,2.5269748250026004e-08,1.5196891338688394e-07,7.6286405403899952e-05,1.1472274369779933e-10,8.6092369498035935e-11,3.462765624737927e-13,2.9882200246608739e-08,2.1416642120090094e-10
1.7844543567594748e-05,0.1143878085936053,0.0,0.0,0.0,0.0,0.96095910386466421,0.00065411132551153003,4.8578157597582521e-05,0.0033688816033757276,9.6128535792308848e-05,0.018172080435731795,0.016622008334176746,2.5680114300135612e-08,1.5522808551427193e-07,7.8894862020963569e-05,1.1859863181564912e-10,8.9465009105079309e-11,3.5984183080221267e-13,3.1539843895468306e-08,2.2466183787219431e-10
1.8117230413221868e-05,0.11442305211818321,0.0,0.0,0.0,0.0,0.96032941029556451,0.00065385241424423301,4.8831035487589403e-05,0.0034243025926172263,9.6080567987616672e-05,0.018469041232459304,0.016896718991489385,2.6089474833803605e-08,1.5850600621609751e-07,8.1544563978319562e-05,1.2253345183893089e-10,9.2912182486667886e-11,3.7370688529013055e-13,3.3259375720252653e-08,2.3549564805594479e-10
1.8389917258848988e-05,0.11445827057206717,0.0,0.0,0.0,0.0,0.95970058324880692,0.00065359380340959683,4.9083227593070967e-05,0.0034796773064161091,9.603269213806853e-05,0.018765518848437884,0.017171051674667349,2.6497832848022751e-08,1.6180258330678258e-07,8.4235386067155711e-05,1.2652694636516003e-10,9.6434340988911155e-11,3.8787354132413333e-13,3.5042025030334184e-08,2.4667335065801982e-10
1.8662604104476107e-05,0.11449346400047032,0.0,0.0,0.0,0.0,0.95907262064746701,0.0006533354898180468,4.9334736328944607e-05,0.0035350058288117089,9.5984907971004448e-05,0.019061514485734701,0.017445007299177903,2.6905191944458084e-08,1.6511772327557765e-07,8.6967203537571247e-05,1.305788618528782e-10,1.0003193184462305e-10,4.0234359775153118e-13,3.6889024515785183e-08,2.5820044575451886e-10
1.8935290950103227e-05,0.11452863244824031,0.0,0.0,0.0,0.0,0.95844552042179387,0.00065307747093187342,4.9585564080637987e-05,0.0035902882433336736,9.5937215180309619e-05,0.019357029341971487,0.017718586777220675,2.731155454577893e-08,1.6845133386694629e-07,8.9739892094784412e-05,1.346889435849547e-10,1.0370542291548361e-10,4.171189363675509e-13,3.8801610204698621e-08,2.7008243151923567e-10
1.9207977795730347e-05,0.11456377596024697,0.0,0.0,0.0,0.0,0.95781928050955445,0.00065281974464035861,4.9835713330327593e-05,0.0036455246330827831,9.5889613318969223e-05,0.019652064610185468,0.017991791017655589,2.7716922359946516e-08,1.7180332651259428e-07,9.255332789256494e-05,1.388569331788111e-10,1.0745526586538872e-10,4.3220137381962811e-13,4.078102133631597e-08,2.8232480988356454e-10
1.9480664641357467e-05,0.11459889458110796,0.0,0.0,0.0,0.0,0.95719389885604456,0.00065256230920708016,5.0085186443673345e-05,0.0037007150807418609,9.5842102032114672e-05,0.0199466214789428,0.018264620925893295,2.8121300867440188e-08,1.7517360819017558e-07,9.5407387539990065e-05,1.430825843588931e-10,1.112818594133655e-10,4.4759251386636141e-13,4.2828500328411606e-08,2.9493308882979808e-10
1.9698828787250028e-05,0.1146269734736272,0.0,0.0,0.0,0.0,0.95669417652065292,0.00065235655547238704,5.0284293037784449e-05,0.0037448373816839765,9.5804155455292688e-05,0.020181939134707848,0.018482630590493012,2.8444114331294974e-08,1.7788312261626676e-07,9.7719958164529968e-05,1.4650468419086283e-10,1.1439892117749345e-10,4.6012980939060907e-13,4.4516444230278376e-08,3.0528755944466276e-10
1.991699293314259e-05,0.11465503648491433,0.0,0.0,0.0,0.0,0.95619500118960887,0.00065215098632536166,5.0482969541039062e-05,0.0037889303704049548,9.576626644098713e-05,0.020416951935838722,0.018700401687934857,2.8766296030975055e-08,1.8060424003079067e-07,0.00010005839009094045,1.4996340037261415e-10,1.1756565230118627e-10,4.728668825971642e-13,4.6249393696189941e-08,3.1588257277211262e-10
2.013515707903515e-05,0.11468308363758463,0.0,0.0,0.0,0.0,0.95569637182135381,0.00065194560119682238,5.0681217196769133e-05,0.0038329940887462145,9.5728434746202473e-05,0.020651660484694832,0.018917934677118164,2.9087849392691006e-08,1.8333691487768297e-07,0.00010242262074622366,1.534586074429682e-10,1.2078223138768973e-10,4.8580445191157356e-13,4.8027989104516035e-08,3.2672095225069882e-10
2.035332122492771e-05,0.11471111495424981,0.0,0.0,0.0,0.0,0.9551982873774183,0.00065174039958671825,5.0879037163430413e-05,0.0038770285784107327,9.5690660209261135e-05,0.020886065381861385,0.01913523001551885,2.9408775574317733e-08,1.8608110017180092e-07,0.00010481258774013117,1.569901795352946e-10,1.240488899943786e-10,4.9894344866937918e-13,4.9852871973871027e-08,3.3780551401198127e-10
2.0549668956231015e-05,0.11473632961807058,0.0,0.0,0.0,0.0,0.95475047643242639,0.00065155587467131298,5.1056710430594236e-05,0.0039166346629532171,9.5656711842871114e-05,0.021096770662006707,0.019330593005631856,2.9697072945464966e-08,1.8856067101179656e-07,0.00010698551118287627,1.6019957953986123e-10,1.2703190267563572e-10,5.1094157844250149e-13,5.1535373442729127e-08,3.4799443109354765e-10
2.074601668753432e-05,0.11476153148932162,0.0,0.0,0.0,0.0,0.95430310528495854,0.00065137149773565454,5.1234039101871986e-05,0.0039562171361627449,9.5622809462050625e-05,0.021307230904464094,0.019525764199553593,2.998486455388928e-08,1.910494958222228e-07,0.00010917918543930671,1.6343823979962294e-10,1.300558146573765e-10,5.2310421142581365e-13,5.3256357518239197e-08,3.583870907576612e-10
2.0942364418837626e-05,0.11478672058431444,0.0,0.0,0.0,0.0,0.95385617318451665,0.00065118726850367655,5.1411024036138307e-05,0.0039957760281753713,9.5588952923664355e-05,0.021517446543239092,0.019720743927870456,3.0272151221090118e-08,1.9354754147692795e-07,0.000111393565400186,1.6670606828387287e-10,1.3312078459600337e-10,5.3543198574804773e-13,5.5016294153086358e-08,3.6898554602662941e-10
2.113871215014093e-05,0.11481189691934347,0.0,0.0,0.0,0.0,0.95340967938264809,0.00065100318672099288,5.1587666086031064e-05,0.0040353113690460895,9.555514208785376e-05,0.02172741801115026,0.019915532520254513,3.0558933998243076e-08,1.9605477510829181e-07,0.00011362860607337372,1.7000297352948538e-10,1.3622697074838584e-10,5.4792553794347142e-13,5.6815653994483075e-08,3.7979184922059316e-10
2.1335059881444236e-05,0.11483706051061812,0.0,0.0,0.0,0.0,0.95296362313294314,0.00065081925215055745,5.1763966105328731e-05,0.0040748231887508882,9.5521376810872051e-05,0.021937145739828984,0.020110130305468522,3.0845213989397521e-08,1.9857116399079818e-07,0.00011588426258351791,1.7332886440718901e-10,1.3937452659445518e-10,5.6058548533138594e-13,5.8654908367670673e-08,3.908080525260132e-10
2.153140761274754e-05,0.11486221137432948,0.0,0.0,0.0,0.0,0.95251800369102702,0.00065063546456949918,5.193992494492716e-05,0.0041143115171881585,9.5487656949401199e-05,0.022146630159727322,0.020304537611368041,3.1130992276679779e-08,2.0109667548840097e-07,0.00011816049017169645,1.76683650065419e-10,1.4256360523733694e-10,5.7341244371579486e-13,6.0534529256908181e-08,4.0203620754628174e-10
2.1924103075354152e-05,0.11491247498357822,0.0,0.0,0.0,0.0,0.95162807226319301,0.00065026832953843318,5.229082246966221e-05,0.0041932178194735176,9.5420352906991978e-05,0.022564870789131782,0.020692782092132312,3.17010480665246e-08,2.0617493639604713e-07,0.00012277448012570512,1.8347954376989476e-10,1.490669393666399e-10,5.9956984076514163e-13,6.4416761692882857e-08,4.2513657580696544e-10
2.2316798537960763e-05,0.11496268787566552,0.0,0.0,0.0,0.0,0.95073987918457326,0.00064990178005540876,5.2640365399998559e-05,0.0042720305135751542,9.535322883470789e-05,0.02298214331959008,0.021080268567381825,3.2269109995892007e-08,2.11289299118636e-07,0.00012747022017697629,1.9038993361374913e-10,1.5573817911396547e-10,6.2640257971711246e-13,6.8466139781240987e-08,4.4910935324969423e-10
2.3102189463173987e-05,0.11506296201914727,0.0,0.0,0.0,0.0,0.94896868457660377,0.00064917043193631258,5.3335414197656327e-05,0.0044293760220583088,9.5219516157610371e-05,0.023813797672153632,0.02185297784950949,3.339928656383335e-08,2.2162530438549451e-07,0.00013710553669838511,2.045513403804927e-10,1.6958911808085802e-10,6.8211315886023417e-13,7.7081533385652078e-08,4.9973766256215854e-10
2.373606302125174e-05,0.11514374443412027,0.0,0.0,0.0,0.0,0.94754420988684274,0.00064858187169354543,5.3892478813779097e-05,0.0045560954088569852,9.5112115017105059e-05,0.024482214004164775,0.022474426842287839,3.430568542250845e-08,2.3007046073429265e-07,0.00014511752030743003,2.1630874603373955e-10,1.8126753608711598e-10,7.2908552895950469e-13,8.4554283732997747e-08,5.4328063560310508e-10
2.4369936579329496e-05,0.1152243962265806,0.0,0.0,0.0,0.0,0.94612419446735552,0.00064799482101190336,5.4446093427316427e-05,0.0046825737160831786,9.5005169667448157e-05,0.025148148433555114,0.023093931675001875,3.520699145390953e-08,2.3860663280504473e-07,0.00015333829006181177,2.2835595890432105e-10,1.933973879796909e-10,7.7787363472970698e-13,9.2508386916490331e-08,5.8929332199164199e-10
2.500381013740725e-05,0.11530491792023978,0.0,0.0,0.0,0.0,0.94470861422593977,0.0006474092747017165,5.4996285218786624e-05,0.004808811915031872,9.4898675673616326e-05,0.025811614892647172,0.023711502954721242,3.610323981679836e-08,2.4723277742678421e-07,0.00016176639471631916,2.4069005804134475e-10,2.0598335321650526e-10,8.2849629766207723e-13,1.0095998614363395e-07,6.3784426213063465e-10
2.5637683695485004e-05,0.11538531003382925,0.0,0.0,0.0,0.0,0.94329744527711901,0.0006468252276299512,5.5543081062051094e-05,0.004934810969647211,9.4792628676714253e-05,0.026472627194403686,0.02432715119667506,3.6994465358727816e-08,2.5594786324083872e-07,0.00017040039496706437,2.533081520250052e-10,2.1903000771850423e-10,8.8097192280637127e-13,1.0992526987316322e-07,6.8900183242834139e-10
2.627155725356276e-05,0.11546557308194332,0.0,0.0,0.0,0.0,0.94189066393954091,0.00064624267471031453,5.6086507527497525e-05,0.0050605718366200977,9.4687024391796684e-05,0.027131199033903233,0.02494088682541977,3.7880702618997819e-08,2.6475087054729728e-07,0.00017923886332710723,2.6620737864381538e-10,2.3254182533587784e-10,9.353185046683158e-13,1.194204676298012e-07,7.4283422995579602e-10
2.6905430811640513e-05,0.11554570757454145,0.0,0.0,0.0,0.0,0.94048824673319886,0.00064566161088346606,5.6626590887077131e-05,0.0051860954654922627,9.4581858605041213e-05,0.027787343989921699,0.025552720176088419,3.8761985830412121e-08,2.7364079112846866e-07,0.00018828038399193648,2.7938490444813369e-10,2.4652317985270043e-10,9.9155363527248867e-13,1.2946184505302489e-07,7.9940945417385449e-10
2.7539304369718267e-05,0.11562571401744781,0.0,0.0,0.0,0.0,0.93909017037708675,0.00064508203110534806,5.7163357120015486e-05,0.0053113827987477796,9.447712717069098e-05,0.028441075526262672,0.02616266149544174,3.9638348921875672e-08,2.8261662806403227e-07,0.00019752355272590824,2.9283792442832478e-10,2.6097834663636072e-10,1.0496945107965228e-12,1.400657004249752e-07,8.5879529500396747e-10
