Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19)
1.3432544426833386e-13,0.11224537200305339,0.0,0.0,0.0,0.0,0.99999999994559441,5.4057517648841888e-11,1.7411189054881008e-13,7.9450839333264215e-19,1.7411189990904523e-13,5.7426843091037783e-19,1.723341166478678e-19,3.5546986655329692e-36,1.3132260283726173e-33,8.5021793164572914e-39,1.1241113286383034e-55,1.7678837240547993e-58,7.1231972978727149e-62,7.5361528013980162e-64,1.6986427679165228e-64,1.4797737964330365e-41,6.1458743111823507e-43
2.686513440145721e-13,0.11224537200610679,0.0,0.0,0.0,0.0,0.99999999989118848,1.0811521700488288e-10,3.4822515661745015e-13,3.1780416198093382e-18,3.4822519406467268e-13,2.297084004822787e-18,6.8933958361059113e-19,5.6872378941598699e-35,1.0509877431685941e-32,1.360859021336402e-37,7.1963457937649321e-54,1.495134580425165e-56,1.0935978367756671e-59,1.2722728180412404e-61,2.8676892344127551e-62,4.7350513845740992e-40,1.9665490125094599e-41
5.373031435070488e-13,0.11224537201221363,0.0,0.0,0.0,0.0,0.9999999997823763,2.1623061093518118e-10,6.9645404413577236e-13,1.2712182358002409e-17,6.964541939743458e-13,9.1883832179611019e-18,2.7573727522085608e-18,9.0986229254735991e-34,8.4143751991489862e-32,2.1789970970465939e-36,4.6082290051908394e-52,9.6075174509179904e-55,1.191413724594397e-57,1.6381261987448456e-59,3.6923100607965952e-60,1.5150619581247107e-38,6.2920758068000636e-40
1e-12,0.11224537202442723,0.0,0.0,0.0,0.0,0.99999999959497055,4.0243687711419154e-10,1.2962139993124223e-12,4.5553344009335235e-17,1.2962145365909539e-12,3.2926266958578586e-17,9.8809556880467484e-18,1.2660045752346847e-32,5.9225474850829915e-31,3.037015989089715e-35,2.5489669129247326e-50,5.3131013685039863e-53,1.0068805931179154e-55,1.8096139263687963e-57,4.0788213332819687e-58,4.195178053654461e-37,1.7421320351634125e-38
1.074606742492002e-12,0.11224537202442723,0.0,0.0,0.0,0.0,0.99999999956475283,4.3246137966862945e-10,1.3929212405657284e-12,5.0848759475876067e-17,1.3929218403163361e-12,3.6753840356790347e-17,1.1029585314979964e-17,1.4554683459998982e-32,6.7418421428788085e-31,3.4915794453500015e-35,2.9525401507913066e-50,6.1543116000521618e-53,1.1673122128958938e-55,2.098760579793762e-57,4.7305501193316944e-58,4.8471928247812718e-37,2.01289351012969e-38
2.1492139404619085e-12,0.11224537204885447,0.0,0.0,0.0,0.0,0.99999999912950521,8.6492284062681739e-10,2.7858933179520713e-12,2.033950842818331e-16,2.7858957201225966e-12,1.4701768105361716e-16,4.4119053650161265e-17,2.3277498120400088e-31,5.4100140533621701e-30,5.6031087202043175e-34,1.8938069012962027e-48,3.9477991259547303e-51,1.0181433666271677e-53,2.6925549763879429e-55,6.0688892697090408e-56,1.5504559099606673e-35,6.437597674222095e-37
3.2238211384318147e-12,0.11224537207328177,0.0,0.0,0.0,0.0,0.99999999869425704,1.2973842250290816e-09,4.1789030786664713e-12,4.3221456813397353e-16,4.178908187930708e-12,3.1241593969048421e-16,9.3754023504865009e-17,8.8727840307476885e-31,1.5500839004942367e-29,2.0656793296827085e-33,1.0575915279906861e-47,1.9602014208177375e-50,5.4024507471462203e-53,1.5957701770463936e-54,3.5967779413519673e-55,7.2756490456743557e-35,3.0207170834509246e-36
4.298428336401721e-12,0.11224537209770905,0.0,0.0,0.0,0.0,0.9999999982590092,1.7298455328752653e-09,5.5719505216621782e-12,7.3730719951665699e-16,5.5719592447717597e-12,5.3295010775283524e-16,1.5993495320302124e-16,2.3868910702654677e-30,3.2769321477712328e-29,5.2480814511500192e-33,3.9773154507020022e-47,8.305425438802343e-50,2.3283787718725944e-52,7.2162497006321244e-54,1.6265001091716951e-54,2.2677179394990749e-34,9.4146619199786581e-36
6.447642732341533e-12,0.11224537214656362,0.0,0.0,0.0,0.0,0.99999999738851275,2.5947679687716455e-09,8.3581338420177954e-12,1.52650083557717e-15,8.3581519273522393e-12,1.1034236741007931e-15,3.3113058909125828e-16,9.6516715197765358e-30,8.995134333815506e-29,1.8422533372189764e-32,2.8651616813586819e-46,7.5211071972809021e-49,2.2076809157996284e-51,7.5082824577419185e-53,1.692317359421566e-53,1.1170763483257964e-33,4.6372632941515542e-35
8.596857128281345e-12,0.11224537219541822,0.0,0.0,0.0,0.0,0.99999999651801585,3.4596901230816938e-09,1.1144455724670826e-11,2.5961779459063888e-15,1.1144486523935494e-11,1.8766640333052578e-15,5.6317542801797489e-16,2.6137617465438482e-29,1.8905911329126531e-28,4.6186496194366481e-32,1.0537489193122808e-45,2.9748460288635563e-48,9.0640393616682759e-51,3.3699697900936522e-52,7.5956667545811531e-53,3.5044611815617587e-33,1.4546920635616251e-34
