Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806)
1.23268168774755e-15,0.11224537200002802,0.0,0.0,0.0,0.0,0.99999999999950084,4.9607623573998997e-13,1.5977902945002562e-15,6.6923250376516309e-23,1.597790295288561e-15,4.8371843880885571e-23,1.4516066280800578e-23,2.5225693172490306e-44,1.0150456193615391e-39,6.0330652834849719e-47,6.7208208448292061e-68,1.0568179687583618e-70,4.3382651763490237e-76,4.135897288942501e-78,9.3222900991075254e-79,9.6404658149346866e-52,4.0040041185508454e-53,8.613457568576572e-75,3.0652183967063617e-69,4.8769830867061432e-66,2.5560125295065012e-76,5.1273894848583181e-89,4.5443059032779006e-145,1.7405246059776716e-121,5.9467043562189546e-127
2.4658986259022852e-15,0.11224537200005606,0.0,0.0,0.0,0.0,0.99999999999900135,9.9236787570334336e-13,3.196274441656326e-15,2.6778017304887354e-22,3.1962744448105769e-15,1.9355038620218701e-22,5.8083174230237704e-23,4.038456244812068e-43,8.1234785625068967e-39,9.656866459123906e-46,4.3040572279737148e-66,6.7695757713509966e-69,5.5522510442109814e-74,5.2986353813047238e-76,1.1943095334698895e-76,3.0868015245880764e-50,1.2820504834327333e-51,1.1032279490941263e-72,1.9629706115366455e-67,3.123173881188843e-64,3.273721261501037e-74,1.3134545339947423e-86,3.7277092178993327e-141,3.5687179725727212e-118,2.4385673823000663e-123
4.932332502211755e-15,0.11224537200011213,0.0,0.0,0.0,0.0,0.99999999999800226,1.9849511552270106e-12,6.3932429344985172e-15,1.0712950599515669e-21,6.3932429471176127e-15,7.7432760472945847e-22,2.3237052685478479e-22,6.4634020895119679e-42,6.5000629819471239e-38,1.5454235931312928e-44,2.7554811528801238e-64,4.3344243441167179e-67,7.0956034937758568e-72,6.7852448307984591e-74,1.5293904616745273e-74,9.8807227625892088e-49,4.1037886200001254e-50,1.412589827893913e-70,1.2567267952238362e-65,1.9994397526389023e-62,4.1916819209771117e-72,3.3635385539789078e-84,3.0554241243093987e-137,7.312904120476073e-115,9.9938985296557297e-120
9.865200254830695e-15,0.11224537200022429,0.0,0.0,0.0,0.0,0.99999999999600409,3.9701177126621807e-12,1.2787180714303004e-14,4.2855289988285465e-21,1.2787180764783802e-14,3.097562721606016e-21,9.2955782333501847e-22,1.0342925948474345e-40,5.2006175713459057e-37,2.472963094812903e-43,1.7638038234846047e-62,2.7746307835521448e-65,9.0476691978898523e-70,8.6870047388267658e-72,1.9580460162320128e-72,3.1623000850950184e-47,1.3134061491584447e-48,1.8084246606226562e-68,8.0448180807756597e-64,1.2798345763286897e-60,5.3662535279781999e-70,8.6121409198560726e-82,2.5030864296694729e-133,1.4980870208242415e-111,4.0944640050789991e-116
1.9730935760068578e-14,0.11224537200044853,0.0,0.0,0.0,0.0,0.99999999999200839,7.9404508210838748e-12,2.5575059450391608e-14,1.7142813527586317e-20,2.5575059652325468e-14,1.2390756828913637e-20,3.7183831358477227e-21,1.6549818679282927e-39,4.1608090703207178e-36,3.9570503503270203e-42,1.1289455013103525e-60,1.7759463229506688e-63,1.1489431023979149e-67,1.1120519744936397e-69,2.5065587213518052e-70,1.0120081341307689e-45,4.203193286932227e-47,2.3150239438299878e-66,5.1497665908848642e-62,8.1915387586110248e-59,6.8695257468570884e-68,2.2049389911111034e-79,2.0495683366454766e-129,3.0684025726721064e-108,1.6771512645175696e-112
3.9462406770544337e-14,0.11224537200089703,0.0,0.0,0.0,0.0,0.99999999998401679,1.5881117012132671e-11,5.115082962848083e-14,6.8572649114856573e-20,5.1150830436252302e-14,4.9564049771873737e-20,1.4873839476104873e-20,2.648046279077823e-38,3.3289142689156885e-35,6.3317876343778252e-41,7.2258160261752953e-59,1.1366538851812369e-61,1.4475166503599183e-65,1.4234876639967065e-67,3.2085324066675565e-68,3.23852279505494e-44,1.3450582824348527e-45,2.9634924338484585e-64,3.2968598019345688e-60,5.2427496151075834e-57,8.7938251236469934e-66,5.6451502054959262e-77,1.6769882515132144e-125,6.2840329654063887e-105,6.8685979697787273e-109
7.892534879149585e-14,0.11224537200179409,0.0,0.0,0.0,0.0,0.9999999999680329,3.1762449291051874e-11,1.0230242080825538e-13,2.7429338581433176e-19,1.0230242403953104e-13,1.982583284441124e-19,5.9495997713750811e-20,4.2368840850751085e-37,2.6634638285209962e-34,1.0132096434082859e-39,4.6249710542467976e-57,7.2746449322852822e-60,1.7961791819294149e-63,1.8220798600353127e-65,4.1069553265344505e-66,1.036330866964752e-42,4.3041772820914352e-44,3.79371416542938e-62,2.1111613274630561e-58,3.3553787160540483e-55,1.1257577362350675e-63,1.4453311977815909e-74,1.3703126357871297e-121,1.2868072712619995e-101,2.812241806611003e-105
1.5785123283339892e-13,0.11224537200358817,0.0,0.0,0.0,0.0,0.99999999993606581,6.3525113436176734e-11,2.0460580646177439e-13,1.0971791165603491e-18,2.0460581938819774e-13,7.9303824791617196e-19,2.3798547798756324e-19,6.7788619515362857e-36,2.1312649993011477e-33,1.6215001044566814e-38,2.9604681548126796e-55,4.6557541661860074e-58,2.1665743100654013e-61,2.3322534222699051e-63,5.2568793271238354e-64,3.3161882682917778e-41,1.3772920495622468e-42,4.8569454578903161e-60,1.3526035000148428e-56,2.1474052128633835e-53,1.4413075275120918e-61,3.7008215096289962e-72,1.1168365917862542e-117,2.6345726109218349e-98,1.1509022734037536e-101
3.1570300091720504e-13,0.11224537200717635,0.0,0.0,0.0,0.0,0.99999999987213117,1.270504400755718e-10,4.0921339094137348e-13,4.3887275694192836e-18,4.0921344265723797e-13,3.1721682632097902e-18,9.5194654629492771e-19,1.0845543092004158e-34,1.7057871226613675e-32,2.5955423874992086e-37,1.895294347688769e-53,3.9375897485014593e-56,3.2802935683132694e-59,3.937495498290143e-61,8.8750687824288259e-62,1.0611201833082691e-39,4.4069865689387776e-41,6.2193347538297943e-58,8.6752278606694464e-55,1.37427210451456e-51,1.8457112620727543e-59,9.4779216137774805e-70,4.786418161985529e-113,8.5658705899869467e-95,7.4749649610017463e-98
6.314065370848172e-13,0.11224537201435272,0.0,0.0,0.0,0.0,0.99999999974426201,2.5410108675094056e-10,8.184318125642711e-13,1.7554932136434065e-17,8.1843201950830887e-13,1.2688746821599739e-17,3.8078087345651666e-18,1.735071592473887e-33,1.3658638088423414e-31,4.1565030859809227e-36,1.213740333643838e-51,2.5304637217814764e-54,3.499110335798897e-57,5.0702076229846805e-59,1.142815681454965e-59,3.3951763746408895e-38,1.4100031146055626e-39,7.9669449237253366e-56,5.5758645966289989e-53,8.7944182014683197e-50,2.3646372330279359e-57,2.428284236982381e-67,3.8453360596608849e-109,1.7523566068853304e-91,3.0518857452847519e-94
