Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6)
5.6279684934037284e-12,0.11224537212793113,0.0,0.0,0.0,0.0,0.99999999772050829,2.2648992761328818e-09,7.2961830932754016e-12,1.2639561844040979e-15,7.2949191370909976e-12
8.44195288919585e-12,0.11224537219189669,0.0,0.0,0.0,0.0,0.99999999658076166,3.3973482504390235e-09,1.0944995750167341e-11,2.6168604762435256e-15,1.0942378889691097e-11
1e-11,0.11224537225586226,0.0,0.0,0.0,0.0,0.99999999594970679,4.0243624836825934e-09,1.2965477452919975e-11,3.5727512373704048e-15,1.2961904701682602e-11
1.1255937284987973e-11,0.11224537225586226,0.0,0.0,0.0,0.0,0.9999999954410147,4.529796742023468e-09,1.4594289229934735e-11,4.450593814874402e-15,1.4589838636119861e-11
1.4069921680780096e-11,0.11224537231982779,0.0,0.0,0.0,0.0,0.99999999430126718,5.6622447164958582e-09,1.8244097877161744e-11,6.7995009593625712e-15,1.8237298376202383e-11
1.9697890472364343e-11,0.11224537244775896,0.0,0.0,0.0,0.0,0.99999999202177026,7.9271390816875349e-09,2.5545293032701508e-11,1.307519571592027e-14,2.5532217836985583e-11
2.532585926394859e-11,0.11224537257569009,0.0,0.0,0.0,0.0,0.99999998974227167,1.0192031346656785e-08,3.2848580553527141e-11,2.1443281735587788e-14,3.2827137271791548e-11
3.658179684711708e-11,0.11224537283155232,0.0,0.0,0.0,0.0,0.9999999851832676,1.4721809576694534e-08,4.7461431798890669e-11,4.4455736910060774e-14,4.7416976061980619e-11
5.909367201345407e-11,0.11224537334327686,0.0,0.0,0.0,0.0,0.99999997606523461,2.3781340836613961e-08,7.6712238843775935e-11,1.1558552871030746e-13,7.6596653315065624e-11
9.999999999999999e-11,0.11224537436672587,0.0,0.0,0.0,0.0,0.99999995949677212,4.0243328933418308e-08,1.2994955135891122e-10,3.3050818064646479e-13,1.2961904317826477e-10
1.0411742234612802e-10,0.11224537436672587,0.0,0.0,0.0,0.0,0.99999995782906892,4.1900302550599661e-08,1.3531426979973085e-10,3.5826336528984565e-13,1.3495600643444097e-10
1.9416492301147595e-10,0.11224537641362389,0.0,0.0,0.0,0.0,0.99999992135633731,7.8137822707207896e-08,2.529199946480585e-10,1.2452881411313477e-12,2.5167470650692702e-10
3.742599243421718e-10,0.11224538050741972,0.0,0.0,0.0,0.0,0.99999984840927425,1.5061124954932109e-07,4.8973806190406673e-10,4.6259848701571088e-12,4.8511207703390967e-10
5.543549256728676e-10,0.11224538460121536,0.0,0.0,0.0,0.0,0.9999997754600789,2.2308252459228965e-07,7.2869824218856842e-10,1.0148840584278645e-11,7.1854940160428989e-10
7.344499270035634e-10,0.11224538869501065,0.0,0.0,0.0,0.0,0.99999970250875203,2.9555164713149193e-07,9.6980047444017517e-10,1.7813803256001225e-11,9.5198667118417397e-10
9.145449283342593e-10,0.11224539278880565,0.0,0.0,0.0,0.0,0.99999962955529398,3.6801861643845649e-07,1.2130446956017331e-09,2.7620819167596355e-11,1.1854238764341368e-09
9.999999999999999e-10,0.11224540097639438,0.0,0.0,0.0,0.0,0.99999959493813606,4.0240343732345841e-07,1.3292133744023575e-09,3.3023577460132428e-11,1.2961897969422251e-09
1.2747349309956509e-09,0.11224540097639438,0.0,0.0,0.0,0.0,0.99999948364198943,5.1294609265495595e-07,1.7059588707805656e-09,5.3660811465739897e-11,1.6522980593148254e-09
1.6349249336570426e-09,0.11224540916398128,0.0,0.0,0.0,0.0,0.99999933772017213,6.5786494740026318e-07,2.2074402618704054e-09,8.8268386529425146e-11,2.1191718753409804e-09
1.9951149363184344e-09,0.11224541735156594,0.0,0.0,0.0,0.0,0.99999919178984875,8.0277517452560799e-07,2.7174883361028692e-09,1.3144309044860869e-10,2.5860452456542602e-09
2.715494941641218e-09,0.11224543372672698,0.0,0.0,0.0,0.0,0.99999889990371327,1.0925697219965437e-06,3.763282457114665e-09,2.4349211488768062e-10,3.5197903422269846e-09
3.4358749469640015e-09,0.11224545010187463,0.0,0.0,0.0,0.0,0.99999860798363838,1.3823296874671527e-06,4.8433370986463196e-09,3.8980436044305497e-10,4.4535327382032651e-09
4.8766349576095685e-09,0.11224548285211805,0.0,0.0,0.0,0.0,0.99999802404189331,1.961745683659718e-06,7.1062114939116253e-09,7.8520448935860145e-10,6.3210070045530235e-09
6.3173949682551355e-09,0.11224551560227285,0.0,0.0,0.0,0.0,0.99999743996505797,2.5410227849622561e-06,9.5060785177612795e-09,1.3176153306040967e-09,8.1884631871571829e-09
7.758154978900703e-09,0.11224554835231552,0.0,0.0,0.0,0.0,0.999996855753576,3.120160613680906e-06,1.2042905083120561e-08,1.987008652930019e-09,1.005589643019054e-08
9.19891498954627e-09,0.112245581102223,0.0,0.0,0.0,0.0,0.9999962714078916,3.6991587924685233e-06,1.4716658006205347e-08,2.7933561280941786e-09,1.1923301878111169e-08
9.999999999999999e-09,0.11224561385197185,0.0,0.0,0.0,0.0,0.99999594644469725,4.021030250322753e-06,1.6262526231514886e-08,3.300931646604272e-09,1.2961594584910615e-08
1.0639675000191837e-08,0.11224561385197185,0.0,0.0,0.0,0.0,0.99999568692844765,4.2780169443286335e-06,1.7527304007615756e-08,3.7366293318592996e-09,1.3790674675756456e-08
1.352119502148297e-08,0.11224567935090067,0.0,0.0,0.0,0.0,0.99999451757005531,5.4353116610994486e-06,2.3559141695288505e-08,6.0338387915177926e-09,1.7525302903770718e-08
1.6402715042774105e-08,0.11224574484891582,0.0,0.0,0.0,0.0,0.99999334768194437,6.5920417556289699e-06,3.0138150083433834e-08,8.8784077934316295e-09,2.1259742290002211e-08
1.928423506406524e-08,0.11224581034583163,0.0,0.0,0.0,0.0,0.99999217726765455,7.7482042258506144e-06,3.7264059663610534e-08,1.2270105636443142e-08,2.4993954027167391e-08
2.2165755085356373e-08,0.11224587584146253,0.0,0.0,0.0,0.0,0.99999100633072502,8.9037960759974631e-06,4.4936599503584052e-08,1.6208700177265192e-08,2.8727899326318866e-08
2.7928795127938638e-08,0.11224600682812894,0.0,0.0,0.0,0.0,0.99998866290307709,1.1213255964517139e-05,6.1920479119055859e-08,2.5725643567103477e-08,3.6194835551952382e-08
3.945487521310317e-08,0.11224626877791076,0.0,0.0,0.0,0.0,0.99998396993136407,1.5825197191137905e-05,1.0243572244570065e-07,5.1311916152598653e-08,5.112380629310198e-08
5.0980955298267704e-08,0.11224653068648593,0.0,0.0,0.0,0.0,0.99997926899196765,2.0427675951796146e-05,1.5166604034551992e-07,8.5621860743922785e-08,6.6044179601597137e-08
6.250703538343224e-08,0.11224679254215214,0.0,0.0,0.0,0.0,0.99997456030910803,2.5020504427558464e-05,2.0959323211388505e-07,1.2863974497821285e-07,8.0953487135672182e-08
7.403311546859678e-08,0.11224705433328447,0.0,0.0,0.0,0.0,0.99996984410602763,2.9603496493601346e-05,2.7619873937804518e-07,1.8034947119869065e-07,9.5849268179354601e-08
8.555919555376131e-08,0.11224731604833267,0.0,0.0,0.0,0.0,0.99996512060495302,3.4176467747844214e-05,3.5146364956467695e-07,2.4073457886768853e-07,1.1072907069698835e-07
9.708527563892585e-08,0.11224757767582627,0.0,0.0,0.0,0.0,0.99996039002706361,3.8739235538009835e-05,4.3536869927960225e-07,3.0977824693643802e-07,1.2559045234316423e-07
9.999999999999998e-08,0.11224810062267199,0.0,0.0,0.0,0.0,0.99995919265987498,3.989143397349712e-05,4.5795307567228537e-07,3.2860767291038217e-07,1.2934540276190317e-07
1.201374358092549e-07,0.11224810062267199,0.0,0.0,0.0,0.0,0.99995090852012658,4.7833439015251542e-05,6.2902042908269818e-07,4.7377219132311929e-07,1.5524823775957876e-07
1.4318959597958398e-07,0.11224862308369173,0.0,0.0,0.0,0.0,0.99994140133245146,5.688468168096203e-05,8.5699293376857144e-07,6.7218961707882481e-07,1.8480331668974652e-07
1.6624175614991305e-07,0.11224914497014311,0.0,0.0,0.0,0.0,0.99993187019244179,6.5891567906881023e-05,1.1191198257256227e-06,9.0488322687795679e-07,2.1423659884766609e-07
1.8929391632024213e-07,0.11224966619466904,0.0,0.0,0.0,0.0,0.99992231680869192,7.4852732428780895e-05,1.415229439689039e-06,1.1717001981717076e-06,2.4352924151733137e-07
