Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8)
5.042539680519783e-12,0.11224537211462364,0.0,0.0,0.0,0.0,0.99999999795762351,2.0293015426091095e-09,6.536372744142902e-12,1.0132603670731024e-15,6.5368242944959205e-12,7.324053600459225e-16
6.3773296791511595e-12,0.1122453721449652,0.0,0.0,0.0,0.0,0.99999999741699397,2.5664693301840182e-09,8.2666723745397193e-12,1.5817136493761577e-15,8.267377267452434e-12,1.1433032810459164e-15
7.712119677782537e-12,0.1122453721753068,0.0,0.0,0.0,0.0,0.99999999687636409,3.1036369999874522e-09,9.9970045196604729e-12,2.2675014960828989e-15,9.9980150574037776e-12,1.6390196196942212e-15
1e-11,0.11224537223599002,0.0,0.0,0.0,0.0,0.9999999959497039,4.0243624059079802e-09,1.2962916461823996e-11,3.6504291499435284e-15,1.2964543370035533e-11,2.6386686807417113e-15
1.038169967504529e-11,0.11224537223599002,0.0,0.0,0.0,0.0,0.99999999579510379,4.1779720708084972e-09,1.345774295385917e-11,3.9066564513186545e-15,1.34594840647453e-11,2.8238836687253071e-15
1.3051279672308043e-11,0.1122453722966732,0.0,0.0,0.0,0.0,0.99999999471384304,5.252306706207001e-09,1.6918601562000821e-11,5.979527544339699e-15,1.6921266603115607e-11,4.3222843295644459e-15
1.5720859669570798e-11,0.11224537235735652,0.0,0.0,0.0,0.0,0.99999999363258119,6.3266408767259424e-09,2.0379588484435918e-11,8.5155326050362372e-15,2.038338394968935e-11,6.1554989292369413e-15
2.1060019664096304e-11,0.11224537247872315,0.0,0.0,0.0,0.0,0.99999999147005569,8.4753077969818333e-09,2.7301954432024038e-11,1.5003040881415425e-14,2.7308642003289172e-11,1.0845306073276777e-14
2.639917965862181e-11,0.11224537260008995,0.0,0.0,0.0,0.0,0.99999998930752687,1.0623972828740254e-08,3.4224841485825283e-11,2.3371995524763031e-14,3.4235260350117985e-11,1.6895429908732806e-14
3.707749964767282e-11,0.11224537284282401,0.0,0.0,0.0,0.0,0.99999998498245912,1.4921297222906187e-08,4.8072179414284692e-11,4.5757990598260588e-14,4.8092581165267697e-11,3.3079870790632732e-14
5.843413962577484e-11,0.11224537332829397,0.0,0.0,0.0,0.0,0.99999997633228532,2.3515923332358866e-08,7.5773107334165152e-11,1.1312311133738044e-13,7.5823563272543098e-11,8.1789524857666081e-14
9.999999999999999e-11,0.11224537429924127,0.0,0.0,0.0,0.0,0.99999995949653286,4.0243328834946783e-08,1.2971056149589221e-10,3.3060688553902059e-13,1.2985813173604864e-10,2.3908856284773198e-13
1.0114741958197889e-10,0.11224537429924127,0.0,0.0,0.0,0.0,0.99999995903178152,4.0705084827044531e-08,1.3119994452814271e-10,3.382290194069152e-13,1.3135091930005957e-10,2.4460189566189361e-13
1.4386069953818294e-10,0.11224537527019829,0.0,0.0,0.0,0.0,0.99999994173107054,5.7894125349182066e-08,1.8666005401191721e-10,6.8383550902721748e-13,1.8696550010846304e-10,4.9464080278652981e-13
1.86573979494387e-10,0.11224537624116512,0.0,0.0,0.0,0.0,0.99999992443015229,7.508304488890336e-08,2.4215338532220667e-10,1.1499423455342566e-12,2.4266735567676853e-10,8.3195635004805123e-13
2.2928725945059104e-10,0.11224537721214176,0.0,0.0,0.0,0.0,0.99999990712902687,9.2271843436325352e-08,2.9767988627877574e-10,1.7365489692732959e-12,2.984565373669906e-10,1.2566000287440732e-12
3.1471381936299917e-10,0.1122453791541244,0.0,0.0,0.0,0.0,0.99999987252615385,1.2664907751809935e-07,4.0883220394716454e-10,3.2712590305680502e-12,4.102970687868672e-10,2.3680619351353461e-12
4.0014037927540727e-10,0.11224538109614625,0.0,0.0,0.0,0.0,0.99999983792245084,1.6102582751624822e-07,5.2011658958157086e-10,5.2879601989458097e-12,5.2248750422548047e-10,3.829437421427686e-12
4.855669391878154e-10,0.11224538303820736,0.0,0.0,0.0,0.0,0.99999980331791793,1.9540209334850664e-07,6.3153260491060454e-10,7.7866465725512499e-12,6.3502827384928878e-10,5.6411577556178105e-12
6.564200590126316e-10,0.11224538692244766,0.0,0.0,0.0,0.0,0.99999973410635989,2.6415317219577722e-07,8.5475783032234774e-10,1.4229951366193091e-11,8.6116247775397916e-10,1.0317299398912302e-11
8.272731788374478e-10,0.11224539080684544,0.0,0.0,0.0,0.0,0.99999966489147829,3.3290231342332123e-07,1.0785045133651457e-09,2.2601127063206893e-11,1.0887029836956749e-09,1.639979869686779e-11
9.981262986622639e-10,0.1122453946914012,0.0,0.0,0.0,0.0,0.9999995956732689,4.0164951639868813e-07,1.302769329933176e-09,3.2900127659398302e-11,1.3176530524592709e-09,2.3891925092746525e-11
9.999999999999999e-10,0.11224539857611511,0.0,0.0,0.0,0.0,0.9999995949141528,4.0240343818919787e-07,1.3052316433467088e-09,3.3023760830214264e-11,1.3201717137373949e-09,2.3981915610450165e-11
1.1689794184870802e-09,0.11224539857611511,0.0,0.0,0.0,0.0,0.99999952645173074,4.7039478048987118e-07,1.527548979764111e-09,4.512690725182246e-11,1.5480159209390924e-09,3.2796924213401839e-11
1.5106856581367126e-09,0.11224540634601896,0.0,0.0,0.0,0.0,0.99999938799865595,6.0787948948865179e-07,1.9786397036196551e-09,7.5363620052304809e-11,2.0129928782576997e-09,5.4858397345174822e-11
1.8182212738213817e-09,0.11224541333947677,0.0,0.0,0.0,0.0,0.99999926337947731,7.3160909025561194e-07,2.3863493767569473e-09,1.0916920607897193e-10,2.4363359845312488e-09,7.957790692663651e-11
2.125756889506051e-09,0.11224542033345225,0.0,0.0,0.0,0.0,0.99999913874947322,8.5533239919537777e-07,2.7956766731470176e-09,1.4922008420440362e-10,2.8643060072304064e-09,1.0892470914389579e-10
2.4332925051907204e-09,0.11224542732794707,0.0,0.0,0.0,0.0,0.99999901410863012,9.7904941261594029e-07,3.2066030461109039e-09,1.9551598854615228e-10,3.2969211194598848e-09,1.4291703094756627e-10
2.7408281208753898e-09,0.11224543432296313,0.0,0.0,0.0,0.0,0.99999888945693416,1.1027601268252221e-06,3.6191101613101745e-09,2.4805665388013291e-10,3.7341992809386886e-09,1.8157288675432386e-10
3.048363736560059e-09,0.1122454413185022,0.0,0.0,0.0,0.0,0.99999876479437189,1.2264645381311499e-06,4.0331798935616057e-09,3.0684181564613421e-10,4.176158241193547e-09,2.2491008163903724e-10
3.6634349679293974e-09,0.11224545531115629,0.0,0.0,0.0,0.0,0.9999985154365949,1.4738544372645019e-06,4.8659356639561124e-09,4.4314457334126464e-10,5.0741885958076057e-09,3.2569875259637838e-10
4.278506199298736e-09,0.11224546930592301,0.0,0.0,0.0,0.0,0.99999826603519637,1.7212190804787065e-06,5.7047293614534176e-09,6.0442215824387837e-10,5.9911501534011148e-09,4.4542147509578757e-10
4.893577430668074e-09,0.11224548330281574,0.0,0.0,0.0,0.0,0.99999801659007514,1.9685584382354797e-06,6.5494233031880431e-09,7.9067247812181518e-10,6.9271775536448127e-09,5.8421336428929189e-10
5.508648662037413e-09,0.11224549730184741,0.0,0.0,0.0,0.0,0.99999776710113397,2.2158724809952154e-06,7.3998828865427963e-09,1.0018934515848168e-09,7.8824023390414094e-09,7.4220645204171509e-10
6.123719893406752e-09,0.11224551130303083,0.0,0.0,0.0,0.0,0.99999751756827837,2.4631611792169225e-06,8.2559763874245737e-09,1.2380830078063225e-09,8.8569531571618938e-09,9.1952988877182172e-10
6.7387911247760905e-09,0.11224552530637819,0.0,0.0,0.0,0.0,0.99999726799141708,2.7104245033583004e-06,9.1175749419140236e-09,1.4992390867315521e-09,9.8509557787497805e-09,1.1163099617836525e-09
7.58983622824295e-09,0.11224554468574152,0.0,0.0,0.0,0.0,0.99999692259093098,3.0525092243911098e-06,1.0318572894326354e-08,1.9017562961934483e-09,1.1258615725333622e-08,1.4208995636003591e-09
