Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470)
1.2537546960649767e-15,0.11224537200002849,0.0,0.0,0.0,0.0,0.99999999999949241,5.0455678570215402e-13,1.6251049282852049e-15,6.9230948665239704e-23,1.6251049291006927e-15,5.0039838512644508e-23,1.5016620295146116e-23,2.6995390801022669e-44,1.0679980818382479e-39,6.4563128087025274e-47,7.4403284390323565e-68,1.1699571399047494e-70,4.8847229747844298e-76,4.6569452987949454e-78,1.0496729490608425e-78,1.0493156675651941e-51,4.3581548056898142e-53,9.6985975877084647e-75,3.39337079867927e-69,5.3990955921436905e-66,2.8780239476778053e-76,5.8720447793578283e-89,5.6645853802610297e-145,2.0972878555260906e-121,7.2881245616265963e-127,1.3798923708081095e-109
2.508053792779569e-15,0.11224537200005705,0.0,0.0,0.0,0.0,0.99999999999898392,1.0093326580155546e-12,3.2509155719652521e-15,2.7701397211854767e-22,3.2509155752282703e-15,2.0022453757199766e-22,6.0086042344458615e-23,4.3217723650274873e-43,8.5472612074699674e-39,1.0334341056084142e-45,4.764834751328107e-66,7.4943023430693459e-69,6.2515167507573136e-74,5.9661671960344909e-76,1.3447708409962847e-76,3.3598264213338128e-50,1.3954467197465278e-51,1.2422148011795737e-72,2.1731205408174029e-67,3.4575297709098379e-64,3.6861512396823052e-74,1.5042087737602017e-86,4.6466717658170189e-141,4.3002139623946419e-118,2.9886433876912866e-123,1.4058585889709443e-106
5.016651986208754e-15,0.11224537200011404,0.0,0.0,0.0,0.0,0.99999999999796829,2.0188844022254185e-12,6.5025370647012669e-15,1.1082362689075989e-21,6.5025370777555036e-15,8.0102855758854087e-22,2.4038330394146699e-22,6.9168391013144692e-42,6.839156704818484e-38,1.6538425192648247e-44,3.0504737141624634e-64,4.79845216156713e-67,7.9889667083717202e-72,7.6400621940315453e-74,1.722065825012756e-74,1.0754663878337351e-48,4.4667650099206004e-50,1.5905508700722085e-70,1.3912691109097931e-65,2.2134926308087394e-62,4.7197589930258071e-72,3.8520288378342196e-84,3.8086430362044792e-137,8.8118610590206012e-115,1.2248250723399275e-119,1.4227954910937902e-103
1.0033848373067122e-14,0.1122453720002281,0.0,0.0,0.0,0.0,0.99999999999593592,4.0379878889773917e-12,1.3005780871676846e-14,4.4333058607945892e-21,1.3005780923898368e-14,3.2043752370232151e-21,9.616115437699699e-22,1.1068528805229714e-40,5.4719234592872491e-37,2.6464540132168432e-43,1.9526310617413002e-62,3.0716725518189926e-65,1.0186103991793368e-69,9.7814086594085871e-72,2.2047240454012587e-72,3.4420025944602542e-47,1.4295756706616925e-48,2.036254231513952e-68,8.9060882316216616e-64,1.4168490540230436e-60,6.0423070994190788e-70,9.8628934100305305e-82,3.1201265747810668e-133,1.8051556360330372e-111,5.0180592062231374e-116,1.4225481211638928e-100
2.0068241146783858e-14,0.11224537200045617,0.0,0.0,0.0,0.0,0.99999999999187184,8.0761948558103219e-12,2.6012271771641377e-14,1.7733945028037308e-20,2.6012271980538561e-14,1.2818024367980555e-20,3.8466032630926428e-21,1.7710861831448441e-39,4.3778723276893049e-36,4.2346595039845227e-42,1.2498072357466686e-60,1.9660723966871834e-63,1.2933345525150351e-67,1.2521500784230207e-69,2.822339029257497e-70,1.1015192427767679e-45,4.5749613163209861e-47,2.6066771600100371e-66,5.7011084943994621e-62,9.0684948586376794e-59,7.7349688954457966e-68,2.5251662394469231e-79,2.5547827455017271e-129,3.6973421886662931e-108,2.0554652567280535e-112,1.3904749139404916e-97
4.0137026694217336e-14,0.11224537200091236,0.0,0.0,0.0,0.0,0.99999999998374356,1.6152608762792121e-11,5.2025266715617121e-14,7.0937223218263193e-20,5.202526755124348e-14,5.1273155434095201e-20,1.5386730645423909e-20,2.8338180827612904e-38,3.5025821858850235e-35,6.7760041849098775e-41,7.9993968784537641e-59,1.2583395334376205e-61,1.6289984941598926e-65,1.6028206818733943e-67,3.6127479003455987e-68,3.5249664398639857e-44,1.4640270123802827e-45,3.3368443009579585e-64,3.6498433796846879e-60,5.8040184971503504e-57,9.9017067022722226e-66,6.465011007075132e-77,2.090316367942702e-125,7.5720793924492947e-105,8.4179117742645716e-109,1.3049643009274098e-94
8.027459778908428e-14,0.11224537200182479,0.0,0.0,0.0,0.0,0.99999999996748634,3.2305436470019461e-11,1.0405130917970069e-13,2.8375177839660058e-19,1.0405131252240519e-13,2.050948265098278e-19,6.1547585065039937e-20,4.5341184508665313e-37,2.8024209139571606e-34,1.0842949900894423e-39,5.1201176097761581e-57,8.0534384190585176e-60,2.0203517045462712e-63,2.0516278179404969e-65,4.6243547714400327e-66,1.1279928538099115e-42,4.6848747273711662e-44,4.2716675632604712e-62,2.3372175863077308e-58,3.7145919782882771e-55,1.2675876733005977e-63,1.6552434680233952e-74,1.7079793165754942e-121,1.550561526882046e-101,3.4465586019272676e-105,1.1450033369113803e-91
1.6054973997881817e-13,0.1122453720036495,0.0,0.0,0.0,0.0,0.99999999993497291,6.4611091457529081e-11,2.0810360441196e-13,1.1350128789442115e-18,2.081036177841664e-13,8.2038442624764372e-19,2.4619188356614678e-19,7.2544223147486309e-36,2.24246509211148e-33,1.7352687257690226e-38,3.2774227078295683e-55,5.1541818925612684e-58,2.4347240333011009e-61,2.6260746555918558e-63,5.919149740814724e-64,3.6094984990951113e-41,1.4991102082606002e-42,5.4688688452862688e-60,1.4974632239169579e-56,2.3772966310327047e-53,1.622898613219531e-61,4.2383236993962294e-72,1.3919216750760396e-117,3.1745579704367652e-98,1.4104735049688748e-101,9.1155183381449439e-89
3.21100024358286e-13,0.11224537200729903,0.0,0.0,0.0,0.0,0.99999999986994537,1.2922239972476765e-10,4.1620903608935545e-13,4.5400630007983309e-18,4.1620908958888073e-13,3.281553630546733e-18,9.8477236755844874e-19,1.1606382518078251e-34,1.7948014841877428e-32,2.7776730588819154e-37,2.0982200045790872e-53,4.3591505321824015e-56,3.6805630328889099e-59,4.433565133805645e-61,9.9932034614320429e-62,1.1549729346498183e-39,4.7967670387956674e-41,7.002951103117955e-58,9.6046681429818831e-55,1.5213940184042502e-51,2.0782693265999005e-59,1.0854555599008308e-69,5.9643712916732029e-113,1.0321429249211566e-94,9.1605736911877408e-98,1.0192115911581111e-85
6.422005931172215e-13,0.11224537201459808,0.0,0.0,0.0,0.0,0.99999999973989007,2.5844500942811904e-10,8.3242326426772371e-13,1.8160274607503639e-17,8.3242347835060371e-13,1.3126291853932849e-17,3.9391131103418204e-18,1.8567867868247118e-33,1.4371618395166429e-31,4.4482335736915067e-36,1.3437074169034606e-51,2.8014068716133331e-54,3.9170268227748441e-57,5.7090443584032959e-59,1.2868082104354739e-59,3.6954613319403099e-38,1.5347079052298012e-39,8.9708732900134519e-56,6.1736940507696469e-53,9.7358817454405971e-50,2.6626203063662102e-57,2.7810215120755578e-67,4.7901368663354327e-109,2.1114526348321229e-91,3.7398650316851012e-94,6.4637356380749299e-83
