Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25)
2.7418809095176742e-14,0.11224537200062326,0.0,0.0,0.0,0.0,0.99999999998889455,1.1034332464345239e-11,3.5540015520997521e-14,3.3104037537067392e-20,3.5540015910950392e-14,2.3927468157475506e-20,7.1804729560008513e-21,6.1714629269729026e-39,1.1165616220719998e-35,1.4756111488387694e-41
5.483799008679706e-14,0.11224537200124653,0.0,0.0,0.0,0.0,0.9999999999777891,2.2068814527019685e-11,7.1080545804688517e-14,1.3241749686677349e-19,7.1080547364568477e-14,9.5710884010051901e-20,2.8722195601972199e-20,9.8744204194150536e-38,8.933300037629264e-35,2.3611871799492052e-40
1.0967635207003769e-13,0.11224537200249307,0.0,0.0,0.0,0.0,0.99999999995557798,4.4137778453127548e-11,1.421617045141092e-13,5.2967267909419008e-19,1.4216171075408171e-13,3.8284578535815093e-19,1.1488945956983161e-19,1.5798897340140377e-36,7.1478041213494195e-34,3.7784973338348184e-39
2.1935307603651893e-13,0.11224537200498615,0.0,0.0,0.0,0.0,0.99999999991115596,8.8275705508379104e-11,2.8432441449999248e-13,2.118696085067733e-18,2.8432443946331342e-13,1.5313894524641809e-18,4.5955974943446796e-19,2.5277330266622436e-35,5.7200549519050762e-33,6.0474511939957574e-38
4.3870652396948146e-13,0.1122453720099724,0.0,0.0,0.0,0.0,0.99999999982231103,1.765515564310244e-10,5.6865140473102186e-13,8.4747949610632385e-18,5.6865150461137325e-13,6.1255849309479993e-18,1.8382472747026893e-18,4.0440555898556096e-34,4.5789222262161227e-32,9.6818132107560335e-37
8.774134198354065e-13,0.11224537201994476,0.0,0.0,0.0,0.0,0.99999999964462205,3.5310324552487627e-10,1.1373116661589018e-12,3.3899200153037465e-17,1.1373120658960822e-12,2.4502509956911217e-17,7.3530412903215678e-18,6.469451951974061e-33,3.6677347666985259e-31,1.5509716020770273e-35
1e-12,0.11224537203988953,0.0,0.0,0.0,0.0,0.99999999959497088,4.0243655865316177e-10,1.2962142438955018e-12,4.8107735777826875e-17,1.2962148114197144e-12,3.4772683819149741e-17,1.0435053824026644e-17,2.0022843172570513e-32,7.2650312228331278e-31,4.8097547680167984e-35
1.7548272115672566e-12,0.11224537203988953,0.0,0.0,0.0,0.0,0.99999999928924399,7.0620657270676224e-10,2.2746573123081228e-12,1.3559683376724793e-16,2.274658912981458e-12,9.8011308201674137e-17,2.9412554650748415e-17,1.0347788765434796e-31,2.9415394248186864e-30,2.487572125887432e-34
2.6322410032991068e-12,0.11224537205983434,0.0,0.0,0.0,0.0,0.9999999989338656,1.0593098488513734e-09,3.4120280810799339e-12,2.8814328433881429e-16,3.4120314850430454e-12,2.0827586653409079e-16,6.2502242809387138e-17,3.9445064159539725e-31,8.4250003910766315e-30,9.1681225657002832e-34
4.387068586762807e-12,0.11224537209972393,0.0,0.0,0.0,0.0,0.99999999822310837,1.7655161971164818e-09,5.6868701049600807e-12,7.9663140111058504e-16,5.6868795339674911e-12,5.7583451846859666e-16,1.7280431420890044e-16,3.2419269112706946e-30,3.8921920131707397e-29,7.0893900285985161e-33
5.9664134118801365e-12,0.11224537213562454,0.0,0.0,0.0,0.0,0.99999999758342695,2.4011017456277264e-09,7.7343090912413382e-12,1.4185644236786612e-15,7.7343259028143882e-12,1.0254059918532746e-15,3.0771799348901234e-16,9.453019096376066e-30,8.7920766503725176e-29,1.9577706885746085e-32
7.545758236997467e-12,0.11224537217152518,0.0,0.0,0.0,0.0,0.99999999694374486,3.0366871196139054e-09,9.7818339849806793e-12,2.2143989390133753e-15,9.7818602616352471e-12,1.600697337178936e-15,4.8035954038920806e-16,2.1624168670243054e-29,1.6671251673208647e-28,4.4216315665417702e-32
9.125103062114797e-12,0.11224537220742586,0.0,0.0,0.0,0.0,0.99999999630406289,3.6722723287196129e-09,1.1829440024099155e-11,3.1745018108314305e-15,1.1829477739438726e-11,2.294749054822897e-15,6.8864047962189472e-16,4.2753047166687773e-29,2.7959862306703351e-28,8.5211567630247691e-32
1e-11,0.1122453722792272,0.0,0.0,0.0,0.0,0.99999999594970268,4.0243622960915111e-09,1.2963762405066084e-11,3.7601086772943244e-15,1.2963807105409396e-11,2.7180860298683319e-15,8.1568151956533202e-16,5.9412627907191014e-29,3.558477848993902e-28,1.1570606266056785e-31
1.2283792712349458e-11,0.1122453722792272,0.0,0.0,0.0,0.0,0.99999999502469739,4.9434423706296417e-09,1.5924837142560519e-11,5.4693184291283929e-15,1.5924902254651184e-11,3.9536967072690221e-15,1.1864814473707107e-15,1.1954691017557678e-28,6.0096087370000443e-28,2.2146109812596287e-31
1.544248236258412e-11,0.11224537235102862,0.0,0.0,0.0,0.0,0.999999993745331,6.214611802945816e-09,2.0020534179597852e-11,8.3713374708108691e-15,2.002063403801798e-11,6.0516700565786818e-15,1.8160721111120075e-15,2.675962837566697e-28,1.0999802173035549e-27,4.7129126268208481e-31
1.860117201281878e-11,0.1122453724228301,0.0,0.0,0.0,0.0,0.99999999246596294,7.4857805844276181e-09,2.4116551455876147e-11,1.1921743848048427e-14,2.4116693953341418e-11,8.6184792620517764e-15,2.5863586053972549e-15,5.2853646427394818e-28,1.8319024160413819e-27,8.9616812904132095e-31
2.4918551313288098e-11,0.11224537256643316,0.0,0.0,0.0,0.0,0.99999998990722383,1.002811615828392e-08,3.2309564627375972e-11,2.1004253104152286e-14,3.2309816812237821e-11,1.5185229407524651e-14,4.5570104245341194e-15,1.6847591786096555e-27,4.2925186596772667e-27,2.7548586443518977e-30
3.123593061375742e-11,0.11224537271003646,0.0,0.0,0.0,0.0,0.99999998734847917,1.2570449088223901e-08,4.050387841865201e-11,3.2720785822207042e-14,4.0504273008601238e-11,2.3657061326567023e-14,7.0993734408643125e-15,4.0595747151771415e-27,8.3644575802873893e-27,6.5580429893540684e-30
4.387068921469606e-11,0.11224537299724367,0.0,0.0,0.0,0.0,0.99999998223097497,1.7655107010927432e-08,5.6896409360014923e-11,6.4061165134248973e-14,5.6897189153332258e-11,4.6321333744899175e-14,1.3900854519155734e-14,1.6146917248250736e-26,2.3726112463912129e-26,2.6506265752354895e-29
6.914020641657334e-11,0.11224537357166067,0.0,0.0,0.0,0.0,0.99999997199590529,2.7824391105398583e-08,8.9697078222114633e-11,1.5837226968166195e-13,8.9699043969099726e-11,1.1454318881588942e-13,3.437418048277214e-14,1.054516227660618e-25,1.0040734958042621e-25,1.8718516152896815e-28
9.999999999999999e-11,0.11224537472050491,0.0,0.0,0.0,0.0,0.99999995949646059,4.0243328690940495e-08,1.2978230997050697e-10,3.3075012046030885e-13,1.2978652648061502e-10,2.3929629702642548e-13,7.1812981743320797e-14,5.3814056032381117e-25,3.5095668438556051e-25,1.0893835394509189e-27
1.196792408203279e-10,0.11224537472050491,0.0,0.0,0.0,0.0,0.99999995152552135,4.8162832277085261e-08,1.5536078953844275e-10,4.7352016733628824e-13,1.5536690210953609e-10,3.4264472933689866e-13,1.0282836012399145e-13,9.9988807439947054e-25,6.0082378160067252e-25,2.0700738294529978e-27
1.7021827522408248e-10,0.11224537586936288,0.0,0.0,0.0,0.0,0.99999993105480944,6.8501104081012288e-08,2.2110759202920064e-10,9.5736842641964781e-13,2.2112036435834055e-10,6.9306224187132779e-13,2.0799186409808255e-13,3.761007906435094e-24,1.8249768969187455e-24,8.2545821082845036e-27
2.2075730962783705e-10,0.11224537701823459,0.0,0.0,0.0,0.0,0.99999991058377069,8.8839206500949312e-08,2.8693738310489331e-10,1.6099165416878071e-12,2.8695953238658231e-10,1.1659432903041724e-12,3.4991037863213501e-13,1.0010020163904166e-23,4.1919654375451858e-24,2.3080215548859902e-26
2.712963440315916e-10,0.11224537816712007,0.0,0.0,0.0,0.0,0.99999989011240464,1.0917713952056361e-07,3.5285005672451763e-10,2.4311635469399087e-12,3.5288451084118324e-10,1.7614399189260212e-12,5.2863108715760464e-13,2.1903526045246181e-23,8.2120596704495374e-24,5.3027023548373441e-26
3.723744128391007e-10,0.11224538046493235,0.0,0.0,0.0,0.0,0.99999984916868934,1.4985249729892787e-07,4.8492365940449291e-10,4.5797499825641359e-12,4.8499228538456024e-10,3.3208421735460102e-12,9.9665419233947328e-13,7.3421980686371077e-23,2.3566731934744435e-23,1.9618998429076663e-25
4.734524816466099e-10,0.11224538276279973,0.0,0.0,0.0,0.0,0.99999980822366252,1.9052717728652766e-07,6.1732755308292191e-10,7.4031185759202591e-12,6.1744452237103368e-10,5.3724841923559498e-12,1.6124402606053659e-12,1.8425266007556178e-22,5.3434904740865593e-23,5.3709642113300766e-25
5.74530550454119e-10,0.11224538506072244,0.0,0.0,0.0,0.0,0.99999976727732265,2.3120117934711791e-07,7.5006084982178141e-10,1.0901259520946322e-11,7.5024209629188645e-10,7.9176422290528751e-12,2.3763892340756295e-12,3.885935782518435e-22,1.048900565349853e-22,1.2325344665311776e-24
6.756086192616281e-10,0.11224538735870063,0.0,0.0,0.0,0.0,0.99999972632966738,2.7187450334576561e-07,8.8312267408976443e-10,1.5074162937478793e-11,8.8338586917216663e-10,1.095757780236704e-11,3.2888987934401661e-12,7.2877113476755296e-22,1.8653075272737152e-22,2.5164710026166389e-24
8.777647568766464e-10,0.11224539195482379,0.0,0.0,0.0,0.0,0.99999964443040756,3.5321911663962878e-07,1.1502285805798215e-09,2.5444219201433789e-11,1.150715284431621e-09,1.8526594978078704e-11,5.5611334542379174e-12,2.0319359390010419e-21,4.8459964072498689e-22,8.5031309633995452e-24
9.999999999999999e-10,0.11224539609152555,0.0,0.0,0.0,0.0,0.99999959490683932,4.0240343803648942e-07,1.3123692688097778e-09,3.3023903168849144e-11,1.3130342323733935e-09,2.4069831498975001e-11,7.2253981373248829e-12,3.3752436984147405e-21,7.838382471782896e-22,1.5634050609189627e-23
1.0597052807301628e-09,0.11224539609152555,0.0,0.0,0.0,0.0,0.99999957071656254,4.2642694832265219e-07,1.3917390584158502e-09,3.7084861742932116e-11,1.3925040294985561e-09,2.7043019770727848e-11,8.1181033636265621e-12,4.2212234311276131e-21,9.7047305644459402e-22,2.0400390982401478e-23
1.2416458045836791e-09,0.11224540022840891,0.0,0.0,0.0,0.0,0.99999949699843538,4.9963258105227747e-07,1.6343009757810445e-09,5.0911586360142186e-11,1.6354272452365747e-09,3.718137313656207e-11,1.1162445239206183e-11,7.7726280515842768e-21,1.7480813145504615e-21,4.2700996427988502e-23
1.4235863284371955e-09,0.11224540436547466,0.0,0.0,0.0,0.0,0.99999942327601743,5.7283601406472436e-07,1.8779095242181688e-09,6.6924337524986063e-11,1.8794896635538738e-09,4.8948681543162221e-11,1.4696443130470377e-11,1.3121428939217438e-20,2.9136437068569217e-21,8.093983494379324e-23
1.6055268522907119e-09,0.1122454085027235,0.0,0.0,0.0,0.0,0.99999934954930003,6.4603724659608138e-07,2.1225599367817706e-09,8.5123059740023552e-11,2.1246959747235354e-09,6.2351940084202377e-11,1.8722391271207389e-11,2.0748154088853969e-20,4.5772133988003936e-21,1.4236274112914897e-22
