Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13)
1.0352303412698305e-06,0.11228098394285047,0.0,0.0,0.0,0.0,0.9993549581761888,0.00035962868562629019,8.2296144397037407e-06,3.6194381408708076e-05,2.3008666171521023e-05,0.00012172831960362355,9.6247916316024809e-05,9.4170697448694602e-11,4.146074644313729e-09
1.0533708823828923e-06,0.11228193625052425,0.0,0.0,0.0,0.0,0.99933756047176969,0.00036460304582916394,8.4487796283232927e-06,3.7512618530543952e-05,2.3665140457453815e-05,0.00012728148645598157,0.00010092385314039447,9.9837291466464965e-11,4.5043513057695116e-09
1.0715114234959542e-06,0.11228290217212608,0.0,0.0,0.0,0.0,0.99931990933287818,0.00036952479559046984,8.6688745939043303e-06,3.8855730738160038e-05,2.4324776866869855e-05,0.00013297993942988664,0.00010573155796663021,1.057239143166959e-10,4.8862122613725478e-09
1.089651964609016e-06,0.11228388174083004,0.0,0.0,0.0,0.0,0.99930200407450465,0.00037439383386091938,8.8898191056374289e-06,4.022374121476342e-05,2.4987303677169728e-05,0.00013882419255761659,0.0001106716305464951,1.1183365223101819e-10,5.2926989161078136e-09
1.1077925057220778e-06,0.11228487498480043,0.0,0.0,0.0,0.0,0.99928384410473525,0.00037921007688182973,9.1115339438657752e-06,4.1616668194814037e-05,2.5652452561805086e-05,0.00014481470428525983,0.00011574461635587742,1.1816946854911366e-10,5.7248716838111122e-09
1.1259330468351397e-06,0.11228588192727632,0.0,0.0,0.0,0.0,0.99926542892333714,0.00038397345806608573,9.3339409445110505e-06,4.3034524884388193e-05,2.6319958743706993e-05,0.0001509518781871055,0.00012095100729342907,1.2473420163639842e-10,6.1838092760024165e-09
1.1440735879482015e-06,0.11228690258665727,0.0,0.0,0.0,0.0,0.99924675812030361,0.00038868392786367892,9.556963041190752e-06,4.44773193906865e-05,2.6989561140929067e-05,0.00015723606371204543,0.00012629124240933845,1.3153056303305944e-10,6.6706079615811404e-09
1.1622141290612633e-06,0.1122879369765924,0.0,0.0,0.0,0.0,0.99922783137435256,0.00039334145361226349,9.7805243050227981e-06,4.5945054660596526e-05,2.7661002504476869e-05,0.00016366755696035879,0.00013176570866266793,1.3856113583229985e-10,7.1863807990539085e-09
1.1803546701743252e-06,0.1122889851060697,0.0,0.0,0.0,0.0,0.99920864845138779,0.00039794601937319238,1.0004549982118203e-05,4.7437728428205456e-05,2.8334029548312846e-05,0.00017024660148924696,0.00013737474170568472,1.4582837328518276e-10,7.7322568430081295e-09
1.216635752400449e-06,0.11229112259685832,0.0,0.0,0.0,0.0,0.99916951356437156,0.00040699628967896177,1.0453701638241004e-05,5.0497856098136244e-05,2.9683848052657446e-05,0.00018384806098907698,0.00014899759917944125,1.6108199923180757e-10,8.918909760916538e-09
