,base.py,chemkin.py,model.py,model.py,poll.py,~,~,~,~,~,~,~,~,~,~,~
,1260,1659,234,1066,77,0,0,0,0,0,0,0,0,0,0,0
,isMoleculeForbidden,markDuplicateReaction,checkForExistingSpecies,removeSpeciesFromEdge,poll,<gc.collect>,<method 'copy' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.species.Species' objects>,<method 'isCyclic' of 'rmgpy.molecule.graph.Graph' objects>,<method 'isIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isIsomorphic' of 'rmgpy.species.Species' objects>,<method 'isSubgraphIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'simulate' of 'rmgpy.solver.base.ReactionSystem' objects>,<method 'split' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'update' of 'rmgpy.molecule.molecule.Molecule' objects>
,,,,,,,,,,,,,,,,
32,898.137642,1145.13605,1436.716595,544.759847,0.0,0.0,4809.938043,11996.756792,1096.258654,206.743334,2739.985921,580.340724,3300.187704,0.0,2092.26506,1114.642269
33,905.521132,1156.966364,1443.709091,544.759847,0.0,0.0,4825.779222,12021.730883,1098.330838,208.522617,2753.836315,583.392055,3321.078385,0.0,2101.653472,1121.911504
34,905.931468,1157.986903,1444.411394,544.759847,0.0,0.0,4826.79304,12023.687584,1098.63734,208.651637,2755.625182,584.446643,3322.496265,0.0,2102.327163,1122.342805
35,905.977347,1158.188634,1444.700009,544.759847,0.0,0.0,4827.058379,12024.936563,1098.849829,208.704883,2755.63691,584.881144,3322.817666,0.0,2102.489966,1122.426308
36,906.025401,1158.369012,1444.980947,544.759847,0.0,0.0,4827.336052,12026.222294,1099.090588,208.742146,2755.652303,585.312026,3323.144103,0.0,2102.655312,1122.510205
37,906.068141,1158.576643,1445.280814,544.759847,0.0,0.0,4827.572298,12027.430379,1099.326644,208.783151,2755.662268,585.791002,3323.499912,0.0,2102.810907,1122.588256
38,906.60192,1159.84633,1446.050515,544.759847,0.0,0.0,4828.986919,12030.798476,1099.718428,208.91153,2758.037787,586.987648,3326.330485,0.0,2103.733451,1123.184116
39,912.154706,1161.86013,1452.064377,682.121461,0.0,0.0,4863.569069,12076.759869,1104.130287,209.405364,2769.654065,589.460136,3345.181449,0.0,2114.09903,1129.138614
40,912.92359,1162.106872,1452.782816,687.1372,0.0,0.0,4865.52924,12081.11439,1104.326428,209.424599,2771.286368,589.632009,3349.454752,0.0,2115.220084,1129.973464
41,915.277435,1162.340705,1454.77479,687.429221,0.0,0.0,4875.507736,12108.877756,1105.959131,209.631583,2788.941029,590.891896,3360.583058,0.0,2122.183922,1133.336686
42,918.630765,1162.762248,1458.661294,691.901099,0.0,0.0,4889.540658,12148.933083,1109.011807,209.902631,2804.157832,592.349718,3378.171647,0.0,2132.120535,1138.209667
43,922.052877,1163.148378,1462.448703,692.253634,0.0,0.0,4903.760147,12190.175135,1111.93395,210.153282,2819.357879,593.891314,3394.885184,0.0,2142.178824,1143.09199
44,925.243205,1163.542503,1466.061266,692.812996,0.0,0.0,4917.069959,12228.934873,1114.820512,210.365214,2834.391544,595.474117,3409.890661,0.0,2151.590066,1147.662492
45,928.940137,1163.935952,1469.331383,693.441146,0.0,0.0,4932.487175,12273.363226,1117.659386,210.572336,2852.7494,597.11682,3426.728808,0.0,2162.474725,1152.947561
46,932.231969,1164.305523,1472.972617,694.033667,0.0,0.0,4946.360611,12313.141873,1120.567652,210.811246,2868.491909,598.961713,3443.299174,0.0,2172.290169,1157.77649
47,935.82081,1164.667662,1476.647976,695.410233,0.0,0.0,4961.24758,12353.953399,1123.442539,211.069405,2884.400964,600.816095,3461.802205,0.0,2182.644359,1162.738218
48,939.115186,1165.04756,1480.131567,695.410233,0.0,0.0,4975.144469,12392.634646,1126.275822,211.30728,2900.376343,602.898185,3478.588393,0.0,2192.37048,1167.525984
49,942.246975,1165.336443,1483.581357,696.169414,0.0,0.0,4988.373499,12429.219594,1129.239775,211.52376,2915.312622,604.965668,3494.657742,0.0,2201.674812,1171.991599
