Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4)
3.0433237195303532e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999989,1.224744871391589e-16
8.521306414684989e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,3.429285639896448e-16
1.9477271804994262e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999911,7.8383671769061634e-16
4.138920258561281e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999822,1.6656530250925584e-15
8.52130641468499e-18,0.11224537200000019,0.0,0.0,0.0,0.0,0.99999999999999667,3.4292856398964393e-15
1.728607872693241e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.99999999999999312,6.9565508695041848e-15
3.481562335142724e-17,0.11224537200000077,0.0,0.0,0.0,0.0,0.99999999999998601,1.4011081328719615e-14
6.987471260041692e-17,0.11224537200000156,0.0,0.0,0.0,0.0,0.9999999999999718,2.812014224715022e-14
1.3999289109839627e-16,0.11224537200000316,0.0,0.0,0.0,0.0,0.99999999999994371,5.6338264084010449e-14
2.80229248094355e-16,0.11224537200000632,0.0,0.0,0.0,0.0,0.99999999999988731,1.1277450775772694e-13
5.607019620862723e-16,0.11224537200001267,0.0,0.0,0.0,0.0,0.99999999999977429,2.2564699510514392e-13
1.121647390070107e-15,0.11224537200002532,0.0,0.0,0.0,0.0,0.99999999999954858,4.5139196979991422e-13
2.243538246037776e-15,0.11224537200005068,0.0,0.0,0.0,0.0,0.99999999999909706,9.0288191918919997e-13
4.487319957973115e-15,0.11224537200010135,0.0,0.0,0.0,0.0,0.99999999999819411,1.8058618179667524e-12
8.974883381843792e-15,0.11224537200020271,0.0,0.0,0.0,0.0,0.99999999999638811,3.6118216155177798e-12
1.795001022958515e-14,0.11224537200040541,0.0,0.0,0.0,0.0,0.99999999999277622,7.2237412106035281e-12
3.5900263925067864e-14,0.11224537200081083,0.0,0.0,0.0,0.0,0.99999999998555233,1.4447580400709794e-11
7.180077131603328e-14,0.11224537200162167,0.0,0.0,0.0,0.0,0.99999999997110467,2.8895258780661398e-11
1.4360178609796414e-13,0.11224537200324336,0.0,0.0,0.0,0.0,0.99999999994220945,5.7790615539520859e-11
2.872038156618258e-13,0.11224537200648674,0.0,0.0,0.0,0.0,0.99999999988441857,1.1558132905306443e-10
