Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14)
7.929440933200922e-16,0.11224537200001805,0.0,0.0,0.0,0.0,0.99999999999967859,3.1910973035079165e-13,1.0278078061852513e-15,2.7692379465808277e-23,1.0278078065114319e-15,2.001593527132886e-23,6.0066551608566141e-24,4.3192634353609303e-45
1.586232495842668e-15,0.11224537200003604,0.0,0.0,0.0,0.0,0.99999999999935762,6.3835802327316433e-13,2.0560619305887559e-15,1.1080558885054048e-22,2.0560619318939041e-15,8.008981396248127e-23,2.4034444954939752e-23,6.9148386894931598e-44
3.17280930088782e-15,0.11224537200007213,0.0,0.0,0.0,0.0,0.99999999999871481,1.2768546089511336e-12,4.1125702615461765e-15,4.4329450760970937e-22,4.1125702667676318e-15,3.2041141451893623e-22,9.6153432357562454e-23,1.1066951863399646e-42
6.345962910978123e-15,0.11224537200014427,0.0,0.0,0.0,0.0,0.99999999999742961,2.5538477796399719e-12,8.2255872520626402e-15,1.773322344778012e-21,8.2255872729502476e-15,1.2817500267337161e-21,3.8464505021995822e-22,1.7709675858620478e-41
1.269227013115873e-14,0.11224537200028852,0.0,0.0,0.0,0.0,0.99999999999485922,5.1078341183492409e-12,1.6451622547501846e-14,7.0935780152436468e-21,1.6451622631056334e-14,5.1272092028128614e-21,1.5386429525679624e-21,2.8337474204433751e-40
2.5384884571519943e-14,0.11224537200057702,0.0,0.0,0.0,0.0,0.99999999998971845,1.0215806785094158e-11,3.2903698396003669e-14,2.8374889320924399e-20,3.2903698730233622e-14,2.050925781950555e-20,6.1546981789139513e-21,4.5341394213294273e-39
5.0770113452242376e-14,0.11224537200115406,0.0,0.0,0.0,0.0,0.99999999997943678,2.0431752075889486e-11,6.5807871123487085e-14,1.1350071163315073e-19,6.5807872460462279e-14,8.2037895774503944e-20,2.4619052359466696e-20,7.2546870859254119e-38
1.0154057121368724e-13,0.11224537200230818,0.0,0.0,0.0,0.0,0.99999999995887301,4.0863642486702135e-11,1.3161630070026257e-13,4.5400515379599777e-19,1.3161630604852463e-13,3.2815349187854976e-19,9.8476783962163007e-20,1.1607387898075458e-36
2.0308148673657695e-13,0.11224537200461632,0.0,0.0,0.0,0.0,0.99999999991774613,8.1727422625215273e-11,2.6323349634016516e-13,1.8160252181547547e-18,2.6323351773594012e-13,1.3126192233203119e-18,3.9390872677607828e-19,1.8571210986307545e-35
4.0616331778235636e-13,0.11224537200923264,0.0,0.0,0.0,0.0,0.99999999983549204,1.6345498016979218e-10,5.2646923355831034e-13,7.2641099860404371e-18,5.2646931916289791e-13,5.2504989107454557e-18,1.5756416239909052e-18,2.9711784606681505e-34
8.123269798739153e-13,0.11224537201846525,0.0,0.0,0.0,0.0,0.99999999967098396,3.2691008432914233e-10,1.0529460916914359e-12,2.9056457430772421e-17,1.0529464342810321e-12,2.1002131723772154e-17,6.3026082102418819e-18,4.7531805553876712e-33
1e-12,0.11224537203693055,0.0,0.0,0.0,0.0,0.99999999959497088,4.0243655756423763e-10,1.2962163099154835e-12,4.9195315656747315e-17,1.2962168902680118e-12,3.5558812743104371e-17,1.0670978650654716e-17,2.1219941794183306e-32
1.624654304057033e-12,0.11224537203693055,0.0,0.0,0.0,0.0,0.99999999934196782,6.5382024892857828e-10,2.105921342292833e-12,1.1622585877439197e-16,2.1059227140198413e-12,8.4009535409081762e-17,2.5210742517817163e-17,7.6028210308701717e-32
2.4369816282401506e-12,0.1122453720553958,0.0,0.0,0.0,0.0,0.99999999901295122,9.8073036978179159e-10,3.1589181266905715e-12,2.4697996159423748e-16,3.1589210436200087e-12,1.785217214437945e-16,5.3573275928063137e-17,2.8981755174034321e-31
4.061636276606386e-12,0.11224537209232639,0.0,0.0,0.0,0.0,0.99999999835491815,1.634550436610493e-09,5.2649978274007433e-12,6.8282693171434084e-16,5.2650059061771393e-12,4.9357037705930373e-16,1.4811752300376996e-16,2.3820613208358678e-30
5.523825460135998e-12,0.11224537212556392,0.0,0.0,0.0,0.0,0.99999999776268811,2.222988355390123e-09,7.160539128688423e-12,1.2159124001405583e-15,7.1605535315022639e-12,8.7891476813925102e-16,2.6375716114829477e-16,6.9458875316076518e-30
6.98601464366561e-12,0.11224537215880147,0.0,0.0,0.0,0.0,0.99999999717045795,2.8114261245769828e-09,9.0561540660698836e-12,1.8980563031973619e-15,9.0561765756914078e-12,1.3720174939110858e-15,4.1173453154920834e-16,1.5889339241384907e-29
8.448203827195221e-12,0.112245372192039,0.0,0.0,0.0,0.0,0.99999999657822702,3.3998637524378897e-09,1.0951838557906989e-11,2.7210016684912616e-15,1.0951870863467517e-11,1.9669130609418298e-15,5.9025944643204755e-16,3.141530283707718e-29
1e-11,0.11224537225851411,0.0,0.0,0.0,0.0,0.99999999594970279,4.0243623448100512e-09,1.2963753657189482e-11,3.7114508675067568e-15,1.29637977688509e-11,2.6829065305965105e-15,8.0512526613435141e-16,5.7145970163644295e-29
1.1372582194254445e-11,0.11224537225851411,0.0,0.0,0.0,0.0,0.9999999953937655,4.5767386856161684e-09,1.4743366150988344e-11,4.6879874722160802e-15,1.4743421915232192e-11,3.388851509576427e-15,1.0169756515434363e-15,8.7846312598942505e-29
1.4296960561313669e-11,0.11224537232498931,0.0,0.0,0.0,0.0,0.99999999420930274,5.7536130962863707e-09,1.8535150823582306e-11,7.1754325655600189e-15,1.853523633334749e-11,5.1870886993247941e-15,1.5566175339513633e-15,1.9664185480336861e-28
1.7221338928372893e-11,0.11224537239146451,0.0,0.0,0.0,0.0,0.99999999302483866,6.9304869490997648e-09,2.2327209995267781e-11,1.021863832220428e-14,2.2327331999234357e-11,7.3871735480856932e-15,2.2168524036953863e-15,3.884025352240847e-28
2.307009566249134e-11,0.1122453725244151,0.0,0.0,0.0,0.0,0.99999999065590739,9.2842329497825686e-09,2.9912167189451089e-11,1.8003647212613916e-14,2.9912383035443444e-11,1.301569320969497e-14,3.9059466072056844e-15,1.2381694741092054e-27
2.891885239660979e-11,0.11224537265736578,0.0,0.0,0.0,0.0,0.99999998828697234,1.1637976684259553e-08,3.7498239255290055e-11,2.804639109490773e-14,3.7498576878444748e-11,2.0277062944072269e-14,6.0850558192664496e-15,2.9836871589036894e-27
4.061636586484668e-11,0.1122453729232679,0.0,0.0,0.0,0.0,0.99999998354908781,1.6345457349954374e-08,5.2673729356874982e-11,5.4909579022830489e-14,5.2674396121573451e-11,3.9702850310423754e-14,1.1914678449788533e-14,1.1869747471601108e-26
6.401139280132047e-11,0.11224537345507417,0.0,0.0,0.0,0.0,0.99999997407326713,2.5760391466463436e-08,8.3038088352203721e-11,1.3574769510306186e-13,8.3039766841158633e-11,9.8175301799857057e-14,2.9462209770955247e-14,7.7551108848348367e-26
9.999999999999999e-11,0.11224537451869554,0.0,0.0,0.0,0.0,0.99999995949646059,4.0243328762812247e-08,1.2978242873634894e-10,3.3067851879804172e-13,1.2978664184786645e-10,2.3924281644034039e-13,7.1797001283096428e-14,5.2159334078417808e-25
1.1080144667426806e-10,0.11224537451869554,0.0,0.0,0.0,0.0,0.9999999551214156,4.4590150828922661e-08,1.4382027854215686e-10,4.0587461785513387e-13,1.438254837329256e-10,2.936710758864703e-13,8.8131171575273164e-14,7.3598145758156971e-25
1.5759150054721563e-10,0.11224537558232865,0.0,0.0,0.0,0.0,0.99999993616928384,6.3419765021558672e-08,2.0467370656284324e-10,8.2060203613578098e-13,2.0468455900366285e-10,5.939851217136927e-13,1.7825788323878822e-13,2.7697409130635326e-24
2.0438155442016321e-10,0.11224537664597352,0.0,0.0,0.0,0.0,0.99999991721687154,8.2249234031451286e-08,2.6559829097874443e-10,1.3799295892940878e-12,2.6561707340049451e-10,9.9923460359838269e-13,2.9987859808367383e-13,7.375123828830101e-24
2.511716082931108e-10,0.1122453777096302,0.0,0.0,0.0,0.0,0.99999989826417879,1.0107855784562599e-07,3.2659394758720677e-10,2.0838565239729995e-12,3.2662311003336035e-10,1.5095402333732504e-12,4.5303074832610488e-13,1.6145205466453855e-23
3.4475171603900597e-10,0.1122453798369789,0.0,0.0,0.0,0.0,0.99999986035795074,1.3873676983928269e-07,4.4879816586135944e-10,3.9255051767663783e-12,4.4885605690484505e-10,2.8457663560798549e-12,8.5406824600803264e-13,5.4168604345890462e-23
4.3833182378490114e-10,0.11224538196437486,0.0,0.0,0.0,0.0,0.99999982245059871,1.7639440089968277e-07,5.7128568853907137e-10,6.3455407447587329e-12,5.7138406248216826e-10,4.6036283827561322e-12,1.3816710389644044e-12,1.3604728416448457e-22
5.319119315307964e-10,0.11224538409181824,0.0,0.0,0.0,0.0,0.99999978454212135,2.1405145091869911e-07,6.9405581000977741e-10,9.3439554531718183e-12,6.9420782171528973e-10,6.784139861625585e-12,2.0361562825706154e-12,2.8715898286502435e-22
6.254920392766915e-10,0.11224538621930909,0.0,0.0,0.0,0.0,0.99999974663251745,2.5170791978925592e-07,8.1710783422221495e-10,1.2920741457760378e-11,8.1732801993790508e-10,9.3883028574387079e-12,2.8178392712524268e-12,5.3898927817480242e-22
8.126522547684819e-10,0.11224539047443353,0.0,0.0,0.0,0.0,0.99999967080992647,3.270191136742524e-07,1.0640549457295235e-09,2.180939718967605e-11,1.0644603372187658e-09,1.5871408406971525e-11,4.7640140690180628e-12,1.5057263661681873e-21
