Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30)
9.711534492846868e-16,0.11224537200002209,0.0,0.0,0.0,0.0,0.99999999999960654,3.9082800566020207e-13,1.2588008586451844e-15,4.1538536593330422e-23,1.2588008591344767e-15,3.002387941741549e-23,9.0099650669542735e-24,9.7183268355786615e-45,4.9635947336421285e-40,2.3242653179940207e-47,1.4996033059762972e-68,2.5271000652135842e-71,8.1746457007140434e-77,7.7916405036504472e-79
1.9427285891682812e-15,0.11224537200004416,0.0,0.0,0.0,0.0,0.9999999999992133,7.8182571510401693e-13,2.5181483501319654e-15,1.6620825280933398e-22,2.5181483520897738e-15,1.2013462726297614e-22,3.6051596806742251e-23,1.555836058541028e-43,3.9723953725498778e-39,3.7203481926276624e-46,9.603567540077858e-67,1.6187649575477503e-69,1.0464429146567099e-74,9.9821314868139679e-77
3.88587886893547e-15,0.11224537200008836,0.0,0.0,0.0,0.0,0.99999999999842593,1.5638211337414833e-12,5.0368434563309813e-15,6.6494123944387326e-22,5.0368434641635086e-15,4.8061674946011691e-22,1.4422986674522565e-22,2.4900596067361412e-42,3.1785375237274615e-38,5.9538003984781317e-45,6.1482560815681121e-65,1.0364633381245898e-67,1.337896390080409e-72,1.2782769234323487e-74
7.772179428469848e-15,0.11224537200017666,0.0,0.0,0.0,0.0,0.99999999999685218,3.127811970015766e-12,1.0074234161630794e-14,2.6599814289556844e-21,1.0074234192963597e-14,1.9226235704333967e-21,5.769664541345438e-22,3.9846687213481136e-41,2.5430997550024525e-37,9.5271523225566131e-44,3.9355384421428171e-63,6.6348033659781996e-66,1.7074233578317672e-70,1.6365520324884314e-72
1.5544780547538604e-14,0.11224537200035337,0.0,0.0,0.0,0.0,0.99999999999370381,6.2557936385617227e-12,2.0149017543837122e-14,1.0640358668411027e-20,2.0149017669174637e-14,7.6908080831351785e-21,2.3079599923763858e-21,6.3759149935139118e-40,2.0346216554796454e-36,1.5244547294666606e-42,2.5189836654877345e-61,4.24671683487069e-64,2.1718895449079535e-68,2.0950068562824349e-70
3.1089982785676116e-14,0.11224537200070668,0.0,0.0,0.0,0.0,0.99999999998740796,1.251175695964322e-11,4.0298592194673451e-14,4.2562300552735071e-20,4.0298592696043289e-14,3.0763865107071738e-20,9.2320299100238505e-21,1.020177626381366e-38,1.6278083890168825e-35,2.439294633624243e-41,1.6122639198376077e-59,2.718020255118533e-62,2.7453702791585188e-66,2.6817299010715667e-68
6.218038726195114e-14,0.11224537200141343,0.0,0.0,0.0,0.0,0.99999999997481515,2.5023683537764499e-11,8.0597773042015321e-14,1.7025093365252778e-19,8.059777504759181e-14,1.2305676727314424e-19,3.6928512208470061e-20,1.6322951778482178e-37,1.3023780539380277e-34,3.9032571577495835e-40,1.0319339814659178e-57,1.7395515257772891e-60,3.4283431217608442e-64,3.4326518278326766e-66
1.243611962145012e-13,0.1122453720028269,0.0,0.0,0.0,0.0,0.99999999994963007,5.004753643784024e-11,1.6119626091917336e-13,6.8100719485262326e-19,1.6119626894213378e-13,4.9223001307016291e-19,1.4771493544607458e-19,2.6116362450468037e-36,1.0420940464597496e-33,6.2463267330832828e-39,6.6052701123322894e-56,1.1133058248845906e-58,4.1839855371218536e-62,4.3937667112715216e-64
2.487228141196013e-13,0.11224537200565379,0.0,0.0,0.0,0.0,0.99999999989926003,1.0009524121332421e-10,3.2239374140176373e-13,2.7240356786623113e-18,3.2239377349859637e-13,1.96892858245287e-18,5.9086232679118537e-19,4.1784457324223061e-35,8.339743828487214e-33,9.997596372746159e-38,4.2284524539762822e-54,9.4153433484567651e-57,6.4628514353718048e-60,7.4175857838110042e-62
4.974460499298015e-13,0.1122453720113076,0.0,0.0,0.0,0.0,0.99999999979851972,2.0019064666562077e-10,6.4479072126706076e-13,1.0896156343179411e-17,6.4479084969383009e-13,7.8757525276874464e-18,2.3634609714526098e-18,6.6849165036136762e-34,6.6765516654749873e-32,1.6007193363418941e-36,2.7075709711641683e-52,6.0499615211055012e-55,7.1080700126867529e-58,9.5502588253882499e-60
9.94892521550202e-13,0.11224537202261525,0.0,0.0,0.0,0.0,0.99999999959703922,4.0038144117551704e-10,1.2895927564942765e-12,4.3584651269883749e-17,1.2895932705158772e-12,3.1503255604646599e-17,9.4539191691557461e-18,1.0693921181078311e-32,5.3488398468830279e-31,2.5646772910094828e-35,1.7345805838634969e-50,3.8750718191330996e-53,7.0509564114958756e-56,1.2234588743844651e-57
1e-12,0.11224537204523051,0.0,0.0,0.0,0.0,0.99999999959497055,4.0243687841323682e-10,1.2962133582606728e-12,4.4255902598936446e-17,1.2962138802116729e-12,3.1988449531830742e-17,9.5995227320405474e-18,1.1517090497363531e-32,5.5416789528315371e-31,2.762750440264537e-35,2.2967214632201089e-50,5.1310033823150549e-53,1.0213003215414896e-55,2.022791139466427e-57
1.9897854647910027e-12,0.11224537204523051,0.0,0.0,0.0,0.0,0.999999999194078,8.0076296461643077e-10,2.5792291281044767e-12,1.743386459946289e-16,2.5792311867050176e-12,1.2601486615899228e-16,3.7816242891049804e-17,1.7104023526738044e-31,4.2912241736158918e-30,4.1147625870581974e-34,1.1123479666193184e-48,2.4851975538153448e-51,6.2299052066164146e-54,1.5692652008001231e-55
2.9846784080318034e-12,0.11224537206784573,0.0,0.0,0.0,0.0,0.9999999987911169,1.2011444224380064e-09,3.8688977999098201e-12,3.7046963644569716e-16,3.8689021781275714e-12,2.6778426473251226e-16,8.0360337633698946e-17,6.5198068163478149e-31,1.229342112165897e-29,1.5167935663518806e-33,6.2081566808259885e-48,1.2339068445308752e-50,3.3162594715182338e-53,9.2999613133188302e-55
3.979571351272605e-12,0.11224537209046102,0.0,0.0,0.0,0.0,0.99999999838815568,1.6015258146401186e-09,5.1585987710796312e-12,6.3197761348472472e-16,5.1586062456017795e-12,4.5681263491827711e-16,1.3708656710179616e-16,1.7539540358697541e-30,2.5984432259689995e-29,3.8530872980157772e-33,2.3431081264432623e-47,5.2274694905705309e-50,1.4306247359078201e-52,4.2051201045342445e-54
5.969357237754206e-12,0.11224537213569157,0.0,0.0,0.0,0.0,0.99999999758223279,2.4022884449336183e-09,7.7380765151340368e-12,1.3084293252924889e-15,7.7380920102157364e-12,9.4578695967871814e-16,2.8382475618272291e-16,7.0925956164826855e-30,7.1300809831635615e-29,1.3521869062839561e-32,1.7071467579032134e-46,4.7319084771347263e-49,1.3591694218300213e-51,4.373773135249494e-53
7.959143124235808e-12,0.11224537218092208,0.0,0.0,0.0,0.0,0.99999999677630946,3.2030508338676341e-09,1.0317673028403575e-11,2.2252954604972326e-15,1.0317699413894761e-11,1.6085592100634011e-15,4.8271873422192885e-16,1.9208075005986068e-29,1.4981024095439767e-28,3.389194916572726e-32,6.2878280871902792e-46,1.8712328266584899e-48,5.5910214091865363e-51,1.9627194863395193e-52
1e-11,0.11224537227138327,0.0,0.0,0.0,0.0,0.99999999594970024,4.0243657765767706e-09,1.2963613984740943e-11,3.4390576705219304e-15,1.2963654826955767e-11,2.4859765732758219e-15,7.4602663060433483e-16,4.9921165257446448e-29,2.8965977768375997e-28,8.3843035903227228e-32,3.1821934529302424e-45,9.5400214665393731e-48,3.1231331032513457e-50,1.5809464080591532e-51
1.193871489719901e-11,0.11224537227138327,0.0,0.0,0.0,0.0,0.99999999516446136,4.8045748193733417e-09,1.5477256017743024e-11,4.8484642850343682e-15,1.54773136758767e-11,3.5048443372936135e-15,1.0517831279399644e-15,9.6248428590866717e-29,4.7815188041335082e-28,1.5854823834837987e-31,7.5620353752385032e-45,2.2672769687863286e-47,7.5565817289599709e-50,4.04829060034732e-51
1.5918286670162214e-11,0.11224537236184456,0.0,0.0,0.0,0.0,0.99999999355261082,6.4060977603501149e-09,2.0637353022301616e-11,8.5122703246433486e-15,2.0637454534309736e-11,6.1535310410692728e-15,1.8466398746903417e-15,2.8859135044071848e-28,1.0975607687394779e-27,4.6325527005381478e-31,3.5106983385561964e-44,1.090089452090714e-46,3.7511707005481017e-49,2.3544694154956006e-50
2.387743021608862e-11,0.11224537254276737,0.0,0.0,0.0,0.0,0.99999999032890408,9.6091404942753679e-09,3.0959095908971724e-11,1.89761733647779e-14,3.0959323586743681e-11,1.371889592155101e-14,4.1169703531916029e-15,1.4906236084608751e-27,3.7402373770465139e-27,2.3999206689885169e-30,4.5244599909727118e-43,1.3805567987881982e-45,5.0329513263945477e-48,4.9263366154992406e-49
3.979571730794143e-11,0.11224537290461394,0.0,0.0,0.0,0.0,0.99999998388146671,1.6015213366547506e-08,5.16087770121645e-11,5.2452319998065586e-14,5.1609414383934622e-11,3.7926410232859804e-14,1.1381564348801656e-14,1.2136748794790294e-26,1.8327588658628031e-26,2.0678283631776356e-29,1.2138744056986613e-41,3.5193519919117681e-44,1.3422297196859054e-46,2.4133683556866938e-47
7.163229149164705e-11,0.11224537362831118,0.0,0.0,0.0,0.0,0.99999997098649451,2.882730871312353e-08,9.2932912992942628e-11,1.6961131344425648e-13,9.2935027573931225e-11,1.2267860302970405e-13,3.6815655813582633e-14,1.3345464045204597e-25,1.1847768769722289e-25,2.5371455868182716e-28,5.1838602977717088e-40,1.4407156758772442e-42,5.637975402400152e-45,1.9554360159176946e-45
