Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8)
1e-11,0.11224537223599002,0.0,0.0,0.0,0.0,0.99999999594970079,4.0243655649404006e-09,1.2962941923764123e-11,3.6504314788195676e-15,1.2964568833013152e-11,2.6386703639224384e-15
1.0381691525402291e-11,0.11224537223599002,0.0,0.0,0.0,0.0,0.99999999579510379,4.1779720707093356e-09,1.3457758822650402e-11,3.9066533844969914e-15,1.3459499932169061e-11,2.8238814515768227e-15
1.3051269427042496e-11,0.1122453722966732,0.0,0.0,0.0,0.0,0.99999999471384304,5.2523067060831795e-09,1.6918621511106264e-11,5.9795228502638598e-15,1.6921286550127728e-11,4.3222809358648427e-15
1.57208473286827e-11,0.11224537235735652,0.0,0.0,0.0,0.0,0.99999999363258119,6.3266408765778249e-09,2.0379612513754948e-11,8.5155259201352949e-15,2.0383407976026866e-11,6.1554940960269669e-15
2.106000313196311e-11,0.11224537247872315,0.0,0.0,0.0,0.0,0.99999999147005558,8.4753077967862332e-09,2.7301986621462918e-11,1.5003029103666433e-14,2.7308674187473572e-11,1.0845297557159385e-14
2.639915893524352e-11,0.11224537260008995,0.0,0.0,0.0,0.0,0.99999998930752687,1.0623972828498648e-08,3.422488183497571e-11,2.3371977177189348e-14,3.4235300691080545e-11,1.6895416641017799e-14
3.707747054180434e-11,0.11224537284282401,0.0,0.0,0.0,0.0,0.99999998498245912,1.4921297222577012e-08,4.8072236081633892e-11,4.5757954677174636e-14,4.8092637816576845e-11,3.3079844810066451e-14
5.843409375492598e-11,0.11224537332829398,0.0,0.0,0.0,0.0,0.99999997633228499,2.3515923331872269e-08,7.5773196633023975e-11,1.1312302253325297e-13,7.5823652531696658e-11,8.1789460602972984e-14
9.999999999999999e-11,0.11224537429924128,0.0,0.0,0.0,0.0,0.99999995949650056,4.024336042503351e-08,1.2971081618068123e-10,3.3060714449594946e-13,1.2985838653608398e-10,2.3908874994935425e-13
1.0114734018116925e-10,0.11224537429924128,0.0,0.0,0.0,0.0,0.99999995903178107,4.0705084826314045e-08,1.312000990705443e-10,3.3822875389059569e-13,1.3135107372342968e-10,2.4460170338799276e-13
1.4386058660741252e-10,0.11224537527019833,0.0,0.0,0.0,0.0,0.9999999417310701,5.7894125348302309e-08,1.8666027377199151e-10,6.8383497220469092e-13,1.8696571962732206e-10,4.9464041376762666e-13
1.865738330336558e-10,0.11224537624116518,0.0,0.0,0.0,0.0,0.99999992443015184,7.508304488796899e-08,2.4215367027422123e-10,1.1499414428124688e-12,2.4266764022225225e-10,8.3195569542171885e-13
2.2928707945989907e-10,0.1122453772121418,0.0,0.0,0.0,0.0,0.99999990712902653,9.2271843435430952e-08,2.9768023639714002e-10,1.736547606060434e-12,2.9845688687009391e-10,1.2565990395071671e-12
