Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25)
5.4837947038928613e-14,0.11224537200124653,0.0,0.0,0.0,0.0,0.9999999999777891,2.2068814526479804e-11,7.1080629630946179e-14,1.3241739291568747e-19,7.1080631190757174e-14,9.5710808874475969e-20,2.8722206927456014e-20,9.8744049162326324e-38,8.9332860122264726e-35,2.3611816193213194e-40
1.0967626597400886e-13,0.11224537200249307,0.0,0.0,0.0,0.0,0.99999999995557798,4.4137778452048006e-11,1.4216187216715805e-13,5.2967226328773557e-19,1.4216187840685467e-13,3.8284548481364452e-19,1.1488950487180471e-19,1.5798872535566077e-36,7.1477928992846713e-34,3.7784884354658122e-39
2.1935290384416935e-13,0.11224537200498615,0.0,0.0,0.0,0.0,0.99999999991115596,8.8275705506220822e-11,2.8432474980651866e-13,2.1186944218377203e-18,2.8432477476873615e-13,1.531388250277705e-18,4.5955993064128002e-19,2.5277290581500479e-35,5.7200459715451609e-33,6.0474369523750771e-38
4.387061795844903e-13,0.1122453720099724,0.0,0.0,0.0,0.0,0.99999999982231103,1.7655155642671117e-10,5.6865207534408289e-13,8.4747883081350109e-18,5.686521752200201e-13,6.1255801221528398e-18,1.8382479995185295e-18,4.0440492409822168e-34,4.5789150376272185e-32,9.6817904107348248e-37
8.774127310651322e-13,0.11224537201994476,0.0,0.0,0.0,0.0,0.99999999964462205,3.5310324551626315e-10,1.137313007383354e-12,3.3899173541309887e-17,1.1373134071028766e-12,2.4502490721373225e-17,7.3530441894881359e-18,6.4694417961980256e-33,3.6677290089588185e-31,1.5509679497854328e-35
1e-12,0.11224537203988953,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243687455658528e-10,1.296216790063558e-12,4.8107788998448498e-17,1.296217357563786e-12,3.4772722287366998e-17,1.043507767437685e-17,2.002289853518846e-32,7.265042854496717e-31,4.8097643105008019e-35
1.7548258340264159e-12,0.11224537203988953,0.0,0.0,0.0,0.0,0.99999999928924399,7.0620657268958925e-10,2.2746599947486434e-12,1.3559672732032189e-16,2.2746615953513435e-12,9.8011231256736788e-17,2.9412566246629265e-17,1.0347772523964134e-31,2.941534807642907e-30,2.4875662685062687e-34
2.6322389369876996e-12,0.11224537205983434,0.0,0.0,0.0,0.0,0.9999999989338656,1.0593098488256803e-09,3.4120321047298102e-12,2.881430581391019e-16,3.4120355085428159e-12,2.0827570302202877e-16,6.2502267449477246e-17,3.9445002252634899e-31,8.4249871678542445e-30,9.1681009788198333e-34
4.3870651429102675e-12,0.11224537209972393,0.0,0.0,0.0,0.0,0.99999999822310837,1.7655161970739081e-09,5.6868768110018247e-12,7.9663077573504447e-16,5.686886239594198e-12,5.7583406637689122e-16,1.7280438232324565e-16,3.2419218245892257e-30,3.8921859058014842e-29,7.0893733388403791e-33
5.966408728240579e-12,0.11224537213562454,0.0,0.0,0.0,0.0,0.99999999758342695,2.4011017455700893e-09,7.7343182114140862e-12,1.4185633100702991e-15,7.7343350222480342e-12,1.0254051867777486e-15,3.0771811477072995e-16,9.4530042659531393e-30,8.792062856669226e-29,1.9577660800020481e-32
