Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6)
5.543544905037835e-10,0.11224538460121544,0.0,0.0,0.0,0.0,0.99999977546007712,2.2308252459480068e-07,7.2869908161791225e-10,1.0148832617511627e-11,7.1855024900040056e-10
7.344493504597514e-10,0.11224538869501079,0.0,0.0,0.0,0.0,0.99999970250874959,2.9555164713825035e-07,9.6980158314885916e-10,1.7813789272456441e-11,9.5198779387640225e-10
9.145442104157193e-10,0.1122453927888058,0.0,0.0,0.0,0.0,0.99999962955529131,3.680186164511462e-07,1.2130460719083945e-09,2.7620797485956682e-11,1.1854252744224375e-09
9.999999999999999e-10,0.1122454009763946,0.0,0.0,0.0,0.0,0.99999959493781476,4.0240375320078335e-07,1.3292159464529567e-09,3.3023603383123996e-11,1.296192343069832e-09
1.2747339303276553e-09,0.1122454009763946,0.0,0.0,0.0,0.0,0.99999948364198576,5.1294609268456134e-07,1.7059607772394585e-09,5.3660769344337889e-11,1.6523000078951205e-09
1.6349236502395911e-09,0.11224540916398157,0.0,0.0,0.0,0.0,0.99999933772016703,6.5786494745352536e-07,2.2074426917572333e-09,8.8268317244190464e-11,2.1191743745130421e-09
1.995113370151527e-09,0.11224541735156626,0.0,0.0,0.0,0.0,0.99999919178984265,8.0277517460927282e-07,2.7174912826941668e-09,1.3144298727633417e-10,2.5860482954178326e-09
2.715492809975399e-09,0.11224543372672745,0.0,0.0,0.0,0.0,0.99999889990370505,1.0925697221612674e-06,3.763286416947751e-09,2.4349192377506866e-10,3.5197944931726825e-09
3.4358722497992705e-09,0.11224545010187523,0.0,0.0,0.0,0.0,0.99999860798362827,1.382329687739967e-06,4.8433420448370345e-09,3.8980405450733816e-10,4.4535379903296975e-09
4.876631129447014e-09,0.11224548285211887,0.0,0.0,0.0,0.0,0.99999802404187921,1.9617456842299435e-06,7.1062183321907834e-09,7.8520387315500883e-10,6.3210144590357749e-09
6.317390009094757e-09,0.11224551560227389,0.0,0.0,0.0,0.0,0.99999743996503976,2.5410227859384188e-06,9.5060871406694223e-09,1.3176142966816331e-09,8.1884728439877895e-09
7.7581488887425e-09,0.11224554835231686,0.0,0.0,0.0,0.0,0.99999685575355413,3.1201606151717979e-06,1.2042915383249862e-08,1.9870070938912485e-09,1.0055908289358612e-08
9.198907768390245e-09,0.11224558110222453,0.0,0.0,0.0,0.0,0.99999627140786562,3.6991587945831969e-06,1.4716669876199747e-08,2.7933539365953683e-09,1.1923315939604375e-08
9.999999999999999e-09,0.11224561385197367,0.0,0.0,0.0,0.0,0.99999594644148493,4.0210334067109931e-06,1.6262554283619984e-08,3.300934238268416e-09,1.2961620045351564e-08
1.0639666648037989e-08,0.11224561385197367,0.0,0.0,0.0,0.0,0.99999568692841834,4.2780169471764083e-06,1.7527317340171122e-08,3.7366264006105617e-09,1.3790690939560556e-08
1.3521184407333476e-08,0.11224567935090296,0.0,0.0,0.0,0.0,0.999994517570019,5.4353116657424258e-06,2.355915763126169e-08,6.0338340591155524e-09,1.7525323572146133e-08
1.6402702166628962e-08,0.1122457448489186,0.0,0.0,0.0,0.0,0.99999334768190118,6.5920417625075619e-06,3.0138168194234583e-08,8.8784008313658059e-09,2.1259767362868784e-08
1.928421992592445e-08,0.1122458103458349,0.0,0.0,0.0,0.0,0.99999217726760548,7.7482042354073212e-06,3.7264079521068759e-08,1.2270096016639238e-08,2.4993983504429531e-08
2.216573768521994e-08,0.11224587584146634,0.0,0.0,0.0,0.0,0.99999100633067006,8.9037960886768483e-06,4.4936620679951885e-08,1.6208687472086381e-08,2.8727933207865511e-08
2.7928773203810912e-08,0.11224600682813374,0.0,0.0,0.0,0.0,0.99998866290301169,1.1213255984783839e-05,6.1920501651698552e-08,2.5725623410025539e-08,3.6194878241673027e-08
3.945484424099286e-08,0.11224626877791757,0.0,0.0,0.0,0.0,0.9999839699312828,1.5825197232004229e-05,1.024357425767274e-07,5.1311875979570124e-08,5.1123866597157307e-08
5.0980915278174806e-08,0.11224653068649475,0.0,0.0,0.0,0.0,0.99997926899187684,2.0427676020602882e-05,1.5166605127922521e-07,8.562179376274916e-08,6.6044257516476035e-08
6.250698631535675e-08,0.11224679254216309,0.0,0.0,0.0,0.0,0.99997456030901399,2.5020504531773108e-05,2.0959322708283952e-07,1.2863964442597009e-07,8.0953582656869396e-08
7.40330573525387e-08,0.11224705433329751,0.0,0.0,0.0,0.0,0.99996984410593581,2.9603496640815574e-05,2.7619871164361246e-07,1.8034933034224462e-07,9.5849381301367817e-08
8.555912838972066e-08,0.1122473160483479,0.0,0.0,0.0,0.0,0.99996512060486953,3.4176467945771236e-05,3.5146359241752203e-07,2.4073439100420685e-07,1.1072920141331515e-07
9.708519942690261e-08,0.11224757767584374,0.0,0.0,0.0,0.0,0.99996039002699333,3.8739235794481742e-05,4.3536860604019265e-07,3.0977800539389433e-07,1.2559060064629824e-07
9.999999999999998e-08,0.11224810062269416,0.0,0.0,0.0,0.0,0.99995919262755595,3.9891465268380451e-05,4.5795358792040208e-07,3.286079312981567e-07,1.2934565662224535e-07
1.201373415012665e-07,0.11224810062269416,0.0,0.0,0.0,0.0,0.99995090852009971,4.7833439412771835e-05,6.2902024374185293e-07,4.7377182253207897e-07,1.5524842120977404e-07
1.4318948357563041e-07,0.11224862308371904,0.0,0.0,0.0,0.0,0.99994140133248766,5.6884682252218621e-05,8.5699262997797869e-07,6.7218909473314877e-07,1.8480353524482998e-07
1.6624162564999432e-07,0.11224914497017588,0.0,0.0,0.0,0.0,0.99993187019255969,6.5891568685415039e-05,1.1191193773926331e-06,9.0488252493535883e-07,2.1423685245727418e-07
1.8929376772435823e-07,0.11224966619470775,0.0,0.0,0.0,0.0,0.99992231680890897,7.485273344894182e-05,1.4152288209839213e-06,1.1716992908610974e-06,2.4352953012282385e-07
