Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470)
4.013699518661753e-14,0.11224537200091236,0.0,0.0,0.0,0.0,0.99999999998374356,1.6152608762396945e-11,5.2025328069742683e-14,7.0937167530747653e-20,5.202532890533208e-14,5.1273115183327428e-20,1.5386736712592571e-20,2.8338136335601386e-38,3.5025766867720734e-35,6.775988227307016e-41,7.9993717602816344e-59,1.2583355823226803e-61,1.6289921622556587e-65,1.6028150297605379e-67,3.6127351605192771e-68,3.5249578749105962e-44,1.4640235645486648e-45,3.3368304450830139e-64,3.6498319194479906e-60,5.8040002723200864e-57,9.9016678379784622e-66,6.4649804230382587e-77,2.0902999203644337e-125,7.5720316845058251e-105,8.417852130986326e-109,1.3049573014138871e-94
8.027453477345732e-14,0.11224537200182479,0.0,0.0,0.0,0.0,0.99999999996748634,3.2305436469229213e-11,1.0405143188876525e-13,2.837515556442742e-19,1.0405143523132195e-13,2.0509466550485456e-19,6.1547609333885918e-20,4.5341113321856711e-37,2.8024165141336156e-34,1.0842924365658056e-39,5.1201015327711778e-57,8.0534131324442254e-60,2.0203439235630951e-63,2.0516205833592625e-65,4.6243384647471359e-66,1.1279901130295893e-42,4.6848636944164214e-44,4.2716498258229862e-62,2.3372102479055664e-58,3.714580314378389e-55,1.2675826980542098e-63,1.6552356376333903e-74,1.7079658812940626e-121,1.5505517579538551e-101,3.4465341837321026e-105,1.1449973026852842e-91
1.6054961394713692e-13,0.1122453720036495,0.0,0.0,0.0,0.0,0.99999999993497291,6.4611091455949024e-11,2.081038498308463e-13,1.1350119879303879e-18,2.0810386320246153e-13,8.2038378222236096e-19,2.4619198064142011e-19,7.2544109253007284e-36,2.2424615714621991e-33,1.7352646392261446e-38,3.2774124170917808e-55,5.1541657099279261e-58,2.4347148149898011e-61,2.6260653957356736e-63,5.9191288691850557e-64,3.6094897288754912e-41,1.4991066778825971e-42,5.4688461371350165e-60,1.4974585225452967e-56,2.3772891663202334e-53,1.6228922435088842e-61,4.2383036497102038e-72,1.3919107322540689e-117,3.1745379715431201e-98,1.4104635133836516e-101,9.1154714368887776e-89
3.2109977229449607e-13,0.11224537200729903,0.0,0.0,0.0,0.0,0.99999999986994537,1.2922239972160935e-10,4.1620952692766044e-13,4.5400594367340849e-18,4.1620958042482086e-13,3.2815510544221322e-18,9.8477275585569559e-19,1.1606364296622508e-34,1.7947986664286775e-32,2.7776665175794748e-37,2.0982134167431989e-53,4.3591368465269758e-56,3.6805495007855399e-59,4.4335495013433964e-61,9.9931682260692122e-62,1.1549701283965838e-39,4.7967557428171152e-41,7.0029220262885174e-58,9.604637993275372e-55,1.5213892412996187e-51,2.0782611699164307e-59,1.0854504252680088e-69,5.9643244550692802e-113,1.0321364237374585e-94,9.1605088164493268e-98,1.0192064839485234e-85
6.422000889892144e-13,0.11224537201459808,0.0,0.0,0.0,0.0,0.99999999973989007,2.5844500942180956e-10,8.3242424594396665e-13,1.8160260351229414e-17,8.3242446001738698e-13,1.3126281549286022e-17,3.9391146634941065e-18,1.8567838719429808e-33,1.4371595833360287e-31,4.4482230985893568e-36,1.3437031984634239e-51,2.8013980769273551e-54,3.9170130586082523e-57,5.7090242294903939e-59,1.2868036734208905e-59,3.6954523533818614e-38,1.5347042913297559e-39,8.9708360453479739e-56,6.173674677130704e-53,9.7358511761738193e-50,2.6626098570472822e-57,2.7810083577222095e-67,4.7900993334126402e-109,2.1114393396511211e-91,3.7398385603027406e-94,6.4637039934367189e-83
1e-12,0.11224537202919617,0.0,0.0,0.0,0.0,0.99999999959497055,4.0243687414980753e-10,1.2962169908203773e-12,4.8514066824048343e-17,1.2962175630815992e-12,3.5066360550788845e-17,1.052319652780273e-17,1.7370062653429701e-32,7.0538779366595651e-31,4.1693355689273265e-35,4.8568148659597171e-50,1.012473630574309e-52,2.0937136894150276e-55,4.1015543792121554e-57,9.2447769059093832e-58,6.7505279822638458e-37,2.803214291735226e-38,6.4473474726285191e-54,2.2477399858829856e-51,3.5139115699228655e-48,1.9140908155420359e-55,3.9852690712432391e-65,2.1039338121930507e-105,2.4039223162138179e-88,8.4760247996970872e-91,2.0986594729149708e-80
1.284400722378651e-12,0.11224537202919617,0.0,0.0,0.0,0.0,0.99999999947977991,5.168902014977041e-10,1.6648671430438581e-12,7.2641083687472134e-17,1.6648680000141208e-12,5.2505644698828964e-17,1.5756617723677684e-17,2.9700942442858787e-32,1.1518380882907471e-30,7.1298009817267784e-35,8.6104956210468963e-50,1.7949809116125461e-52,3.7267875226719339e-55,7.316335844011191e-57,1.6490794472489275e-57,1.1822513878930666e-36,4.9093888472726427e-38,1.1500778455275373e-53,3.9853058183849289e-51,6.2295918363451591e-48,3.4143604142254586e-55,7.1308936510542571e-65,3.7758852206931746e-105,4.313024938350819e-88,1.5210302502631111e-90,3.7616615297922828e-80
2.5688019891575246e-12,0.11224537205839231,0.0,0.0,0.0,0.0,0.9999999989595596,1.033780476351274e-09,3.3298067717253912e-12,2.9056439590662865e-16,3.3298102050155624e-12,2.1002652641628628e-16,6.3027683377217464e-17,4.749712764973857e-31,9.2484591588238609e-30,1.1448126445747557e-33,5.5245001366772934e-48,1.1521102640192179e-50,3.1566347096094539e-53,9.3918898885826384e-55,2.1168789261710604e-55,3.7813217031998693e-35,1.569937033822328e-36,1.4767253199393437e-51,2.5942671866410825e-49,3.9852012617788504e-46,4.3862809497018868e-53,1.8313913393459108e-62,2.8780839039720411e-101,8.78810151509072e-85,6.1434197099665727e-87,2.0724338032319627e-77
3.853203255936398e-12,0.11224537208758852,0.0,0.0,0.0,0.0,0.99999999843933873,1.550670641839131e-09,4.994800232884813e-12,6.1744935399557193e-16,4.9948075365690361e-12,4.4631211023531214e-16,1.3393559112590648e-16,1.8103982698265351e-30,2.6509259873160644e-29,4.2218742331139041e-33,3.0855085931044281e-47,5.7214553786190416e-50,1.6631081432294343e-52,5.5669334337114417e-54,1.2547506762147597e-54,1.7743610513464124e-34,7.3663000856540911e-36,9.6647874345857173e-51,1.4668428414589782e-48,2.2393635006401063e-45,2.8877716560530805e-52,1.3771904917331087e-61,1.647777437836434e-100,6.968952334232498e-84,5.4739788200433956e-86,1.3338376896694849e-76
5.137604522715272e-12,0.11224537211678468,0.0,0.0,0.0,0.0,0.99999999791911753,2.0675606979610061e-09,6.6598475247349003e-12,1.0532959382917644e-15,6.6598599964350182e-12,7.6136494276480513e-16,2.2848112355978573e-16,4.8700422183577366e-30,5.606582995146667e-29,1.072971385626171e-32,1.1605795946314364e-46,2.4249654049492482e-49,7.1533888492170011e-52,2.5181040807464493e-53,5.6756317201267824e-54,5.5302821928300385e-34,2.2957662840270923e-35,4.0401903367576095e-50,5.2775873245722619e-48,7.977099706803116e-45,1.1632885685079859e-51,6.366603507205404e-61,2.8235696026959636e-99,5.8315585556131845e-83,4.6133083214534375e-85,1.01513132537407e-75
7.706407056273018e-12,0.11224537217517709,0.0,0.0,0.0,0.0,0.99999999687867502,3.1013405533528155e-09,9.9900684396608207e-12,2.1807153141210872e-15,9.990094303833409e-12,1.5763404173873974e-15,4.730506740347172e-16,1.9691580231125266e-29,1.5404776245407143e-28,3.7692432893063429e-32,8.3655933166440315e-46,2.1983037445476303e-48,6.7538947372115474e-51,2.622414958252892e-52,5.9107194974173949e-53,2.7240927817367441e-33,1.1307284035967327e-34,3.3528068060455708e-49,3.2459299106552805e-47,4.7290593680980863e-44,8.2683924788845946e-51,6.0691340874443016e-60,3.0751895957024259e-97,2.33134193210179e-81,1.9613652511727011e-83,2.747187043512678e-74
1e-11,0.11224537223356952,0.0,0.0,0.0,0.0,0.99999999594970013,4.0243656895808662e-09,1.2963672196702304e-11,3.5259461714016011e-15,1.2963714075795055e-11,2.5487901880855578e-15,7.6487755600881619e-16,4.8821237562705861e-29,3.023969637565168e-28,8.7035291703095878e-32,2.7648288987974998e-45,7.7858975318585281e-48,2.4671996002318611e-50,1.047112427501436e-51,2.3601019245541946e-52,7.7473555387993845e-33,3.2155653752542928e-34,1.2503621788260106e-48,1.0571909369128404e-46,1.513325994531051e-43,2.9492277706640137e-50,2.5007039869348178e-59,2.3230305711156591e-96,1.3949151729753585e-80,1.3034352229837977e-82,1.3007610057496397e-73
1.0275209589830766e-11,0.11224537223356952,0.0,0.0,0.0,0.0,0.99999999583823185,4.1351200064774368e-09,1.3320487294110407e-11,3.7088252934117556e-15,1.3320531352036504e-11,2.6809923120725673e-15,8.0455070231765155e-16,5.332418796008464e-29,3.2405574148173986e-28,9.4557785601947732e-32,3.0776579883890536e-45,8.6998615736638193e-48,2.7616066420245291e-50,1.1776257956306334e-51,2.6542674383215323e-52,8.5456481712741291e-33,3.5468813083630233e-34,1.4014812765596654e-48,1.1761511880462519e-46,1.6818686202151499e-43,3.2982201917031212e-50,2.817242767740651e-59,2.6753926950372083e-96,1.5950992000028765e-80,1.4956533019848964e-82,1.4739438858930004e-73
1.2844012123388513e-11,0.11224537229196199,0.0,0.0,0.0,0.0,0.99999999479778778,5.168899028676479e-09,1.6651118214924827e-11,5.6662465027332618e-15,1.6651185634542069e-11,4.0960288197526533e-15,1.2291957597669954e-15,1.1975582752479809e-28,5.9318167104374635e-28,2.0144098064203504e-31,9.1703076320982363e-45,2.7540500645089308e-47,8.9163883725292414e-50,4.1226060203437388e-51,9.2919659898151526e-52,2.1963459965683018e-32,9.1151864324486475e-34,4.636471152724636e-48,3.4761590531685636e-46,4.8631572348249412e-43,1.0632001452589636e-49,1.0286442213952932e-58,2.2279245052790435e-95,9.5208086299485012e-80,9.2242790346918367e-82,7.6557667760680845e-73
