Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8)
7.238556112531601e-16,0.11224537200001646,0.0,0.0,0.0,0.0,0.9999999999997069,2.9130599605640872e-13,9.3825586095208879e-16,2.3076982888306965e-23,9.3825587123499778e-16,1.6679945966572426e-23
1.4480255323679151e-15,0.11224537200003291,0.0,0.0,0.0,0.0,0.99999999999941369,5.8273848186070701e-13,1.876919140635154e-15,9.2337990709851244e-23,1.8769191817801852e-15,6.6741510892172448e-23
2.8963653745974248e-15,0.11224537200006586,0.0,0.0,0.0,0.0,0.99999999999882683,1.1656034533303238e-12,3.7542457384071255e-15,3.6941208968329919e-22,3.7542459030140487e-15,2.6700950615215531e-22
5.793045059056444e-15,0.1122453720001317,0.0,0.0,0.0,0.0,0.99999999999765354,2.3313333957136392e-12,7.5088990875744172e-15,1.4777686207166801e-21,7.5088997460557478e-15,1.0681249746979154e-21
1.1586404427974483e-14,0.1122453720002634,0.0,0.0,0.0,0.0,0.99999999999530698,4.6627932782565988e-12,1.5018206400402265e-14,5.9113150132497571e-21,1.501820903443516e-14,4.2726739550178842e-21
2.3173123165810563e-14,0.11224537200052673,0.0,0.0,0.0,0.0,0.9999999999906144,9.3257130344478336e-12,3.0036823484029945e-14,2.3645741105144201e-20,3.0036834020379123e-14,1.7091045137573353e-20
4.634656064148272e-14,0.11224537200105354,0.0,0.0,0.0,0.0,0.99999999998122813,1.8651552511251546e-11,6.0074067483164654e-14,9.458392639595022e-20,6.0074109629015839e-14,6.8364888782352907e-20
9.269343559282703e-14,0.11224537200210703,0.0,0.0,0.0,0.0,0.99999999996245659,3.7303231322543978e-11,1.2014859480888349e-13,3.7833762844326395e-19,1.2014876339335169e-13,2.7346104832652256e-19
1.8538718549551567e-13,0.1122453720042141,0.0,0.0,0.0,0.0,0.99999999992491284,7.4606588375868708e-11,2.4029780676957256e-13,1.513354350701763e-18,2.4029848111080897e-13,1.0938477935189275e-18
3.707746853008929e-13,0.11224537200842818,0.0,0.0,0.0,0.0,0.99999999984982568,1.4921330020547718e-10,4.8059685992359078e-13,6.0534250062828139e-18,4.8059955730515454e-13,4.3754032849751799e-18
7.415496849116475e-13,0.1122453720168564,0.0,0.0,0.0,0.0,0.99999999969965092,2.9842671475652515e-10,9.6119748312725686e-13,2.4213714668970357e-17,9.6120827276587798e-13,1.7501676644937879e-17
1e-12,0.11224537203371279,0.0,0.0,0.0,0.0,0.99999999959497077,4.0243655722800371e-10,1.2962057323081001e-12,4.9531134915231996e-17,1.2962278036919841e-12,3.5801259399641733e-17
1.4830996841331566e-12,0.11224537203371279,0.0,0.0,0.0,0.0,0.99999999939930162,5.9685350742590811e-10,1.9224087968376831e-12,9.6854883458612439e-17,1.9224519562499199e-12,7.0007147847547868e-17
2.2246496833546656e-12,0.11224537205056924,0.0,0.0,0.0,0.0,0.99999999909895199,8.9528026364011794e-10,2.8836301774995956e-12,2.0581663792569562e-16,2.8837218924986654e-12,1.4876581849744144e-16
3.707749681797684e-12,0.11224537208428206,0.0,0.0,0.0,0.0,0.99999999849825305,1.4921336303371767e-09,4.8061132046828345e-12,5.6902245805713309e-16,4.8063667785392074e-12,4.1129815721485379e-16
5.0425396803964e-12,0.11224537211462364,0.0,0.0,0.0,0.0,0.99999999795762351,2.0293015425594555e-09,6.5363804522539681e-12,1.0132603670235757e-15,6.5368320026069074e-12,7.3240535998084877e-16
