Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535)
1.2112418626206677e-15,0.11224537200002754,0.0,0.0,0.0,0.0,0.99999999999950939,4.8744816477021906e-13,1.5699998659634547e-15,6.4615538898693472e-23,1.5699998667246157e-15,4.6703853463613724e-23,1.4015503596267285e-23,2.3515982597548686e-44,9.629992187946992e-40,5.6241614518241909e-47,6.0492571533561554e-68,9.5121917654285377e-71,3.8369320688901573e-76,3.6578859642635053e-78,8.2448559312145437e-79,8.8307574412802979e-52,3.6677055795736734e-53,7.6179275606345929e-75,2.7589344005583811e-69,4.3896620324134545e-66,2.2605968384442523e-76,4.4559038838004432e-89,3.6174905690421448e-145,1.4350307057041356e-121
2.4230096661282746e-15,0.11224537200005509,0.0,0.0,0.0,0.0,0.99999999999901867,9.7510798731990134e-13,3.1406815152458332e-15,2.5854632120559734e-22,3.1406815182914721e-15,1.8687625169887615e-22,5.6080271424913453e-23,3.7647436262670317e-43,7.7069472347480869e-39,9.0023512602197771e-46,3.8739833246619565e-66,6.093149991156721e-69,4.9107155778030707e-74,4.6862392740474479e-76,1.056275882792046e-76,2.8275392790470544e-50,1.1743703616700046e-51,9.7571852980434254e-73,1.7668253507999448e-67,2.8110981037159722e-64,2.8953549312484602e-74,1.1414437814209098e-86,2.967443697721163e-141,2.9423528392997373e-118
4.8465452731434875e-15,0.11224537200011016,0.0,0.0,0.0,0.0,0.99999999999803713,1.9504276320301233e-12,6.282045005494621e-15,1.0343536398665657e-21,6.2820450176791977e-15,7.4762671937185693e-22,2.2435761098863068e-22,6.0253351189743326e-42,6.1667715237376164e-38,1.4406789652554889e-44,2.4801452618652884e-64,3.9013225340512129e-67,6.275962230897818e-72,6.0010322540997836e-74,1.3526295043168142e-74,9.0508352932383581e-49,3.759109253284203e-50,1.2493246982069829e-70,1.1311506415655939e-65,1.7996504815174476e-62,3.7072201534644778e-72,2.9230473160726896e-84,2.43227785180467e-137,6.0294180262908551e-115
9.693616487173913e-15,0.11224537200022038,0.0,0.0,0.0,0.0,0.9999999999960737,3.9010669198939961e-12,1.2564772752728229e-14,4.1377512922763189e-21,1.2564772801470794e-14,2.9907504764127199e-21,8.9750354779725089e-22,9.6419186408899036e-41,4.9339541105691004e-37,2.305351802353011e-43,1.5875590206847953e-62,2.4973859039087359e-65,8.0030974144414574e-70,7.6829945100333267e-72,1.7317428354829658e-72,2.8966968165380308e-47,1.2030925299231842e-48,1.5994091643906575e-68,7.240945733733102e-64,1.1519501779050592e-60,4.746037209398284e-70,7.484287617681278e-82,1.992599283475197e-133,1.2351751388782551e-111
1.938775891523477e-14,0.11224537200044073,0.0,0.0,0.0,0.0,0.99999999999214739,7.8023454893954638e-12,2.5130231314138819e-14,1.6551678648640503e-20,2.5130231509119329e-14,1.1963490372354414e-20,3.5901607885832098e-21,1.5428130973946784e-39,3.9474602105127285e-36,3.688849558801704e-42,1.016137389140993e-60,1.59849152559326e-63,1.0164359093538811e-67,9.8352543749290099e-70,2.2168608633782683e-70,9.2700909366014995e-46,3.8501653950779701e-47,2.0474554613534998e-66,4.6351692655279962e-62,7.3730193382276827e-59,6.0755625325676232e-68,1.9161774751643169e-79,1.6315913958570599e-129,2.5299725317162722e-108
3.877604377135647e-14,0.11224537200088143,0.0,0.0,0.0,0.0,0.99999999998429479,1.560490260349328e-11,5.0261160704727291e-14,6.6208061497094847e-20,5.0261161484683837e-14,4.7854948452316119e-20,1.4360939430383097e-20,2.4685714823997425e-38,3.1582183877604577e-35,5.9026263889055085e-41,6.5037832988892569e-59,1.0230781646478206e-61,1.2809211397496564e-65,1.2589668384480213e-67,2.8377037632726694e-68,2.9665181334410958e-44,1.2320865212957836e-45,2.6209723058008931e-64,2.9674028430661954e-60,4.7188812686542251e-57,7.7774484297613316e-66,4.9058501595895786e-77,1.335023039609297e-125,5.1816234392185629e-105
7.755261348359989e-14,0.1122453720017629,0.0,0.0,0.0,0.0,0.9999999999685889,3.1210016732068404e-11,1.0052306855692425e-13,2.6483493917328531e-19,1.0052307167693098e-13,1.9142184784958997e-19,5.7444374887340243e-20,3.9497248150789828e-37,2.5268851155319614e-34,9.4453366987219475e-40,4.1628196691298197e-57,6.5477552632073795e-60,1.5902758625919354e-63,1.6114916255142124e-65,3.6322912937735072e-66,9.4928932817582637e-43,3.9426698550368278e-44,3.3552314355178901e-62,1.900174157090817e-58,3.0201017845478553e-55,9.9564245456205547e-64,1.2560455883298502e-74,1.0909322844329108e-121,1.0611791733094584e-101
1.5510575290808673e-13,0.11224537200352576,0.0,0.0,0.0,0.0,0.99999999993717781,6.2420244590736736e-11,2.0104708054500482e-13,1.0593451379338203e-18,2.0104709302628588e-13,7.6569214027271429e-19,2.2977893075458079e-19,6.3194209330846114e-36,2.0219687606625525e-33,1.5115880845429187e-38,2.6646354784395242e-55,4.1905451600013372e-58,1.9200202207074156e-61,2.0627007762787842e-63,4.6493105074693472e-64,3.0376628849771505e-41,1.2616143433639361e-42,4.2955584842063294e-60,1.2174031431006767e-56,1.9328325926750917e-53,1.2747159652510171e-61,3.2161378991191162e-72,8.8921384749850573e-118,2.1731058526105348e-98
3.102120317570604e-13,0.11224537200705155,0.0,0.0,0.0,0.0,0.99999999987435495,1.2484069871414507e-10,4.0209588965276407e-13,4.2373912730157213e-18,4.0209593958754037e-13,3.0627831850486787e-18,9.1912016038685825e-19,1.011049167914562e-34,1.6182976808484381e-32,2.4195873534683678e-37,1.7058928480470058e-53,3.5441267339879201e-56,2.911622933391025e-59,3.4824016776620607e-61,7.8492937470266563e-62,9.7199814135601441e-40,4.0368530093515922e-41,5.5004397745319301e-58,7.8078005392723231e-55,1.236953500396216e-51,1.6323645062012889e-59,8.2365745087118959e-70,3.8115325506363424e-113,7.0685867024604297e-95
6.204245894550078e-13,0.11224537201410309,0.0,0.0,0.0,0.0,0.99999999974871001,2.4968160058524595e-10,8.0419664836949174e-13,1.6949586204848816e-17,8.0419684818504946e-13,1.2251202997355026e-17,3.676502116003638e-18,1.6174815121702937e-33,1.295788646641004e-31,3.8746698109735082e-36,1.0924365222889876e-51,2.2775828487525994e-54,3.1132209054031083e-57,4.484147094695317e-59,1.0107188842805914e-59,3.1100267541638565e-38,1.2915836673999355e-39,7.0459482366145014e-56,5.0179701326753999e-53,7.9156861661435675e-50,2.0912749602099304e-57,2.1102166431830935e-67,3.0631362969701685e-109,1.4473123350688291e-91
