Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32)
1.828565792328638e-08,0.11224578866794942,0.0,0.0,0.0,0.0,0.99999257103632599,7.3476070951865384e-06,2.8456835563371366e-08,1.1033171444936327e-08,2.9975390645798745e-08,9.0835220045217997e-09,2.8076589720320403e-09,1.1584949092713939e-16,5.2833545780054743e-17,1.8046143429369639e-17,2.4846956510602082e-25
1.889442609166066e-08,0.1122458025781652,0.0,0.0,0.0,0.0,0.99999232288238638,7.5918341430520448e-06,2.9547786159553719e-08,1.1779716705600895e-08,3.1208680772169603e-08,9.7337962167919344e-09,3.0134908188950836e-09,1.291109671743715e-16,5.9875594238080497e-17,2.1143594310007731e-17,3.0266569251623713e-25
1.9503194260034938e-08,0.11224581649108024,0.0,0.0,0.0,0.0,0.99999207467219708,7.8360357344381636e-06,3.0646935506414045e-08,1.2550678486555122e-08,3.2458154888785221e-08,1.0408623938284256e-08,3.2276752978682831e-09,1.4338287492430867e-16,6.7580802499816217e-17,2.4646547022784333e-17,3.662924265722763e-25
2.0111962428409217e-08,0.11224583040671327,0.0,0.0,0.0,0.0,0.99999182640550144,8.0802118407556448e-06,3.1754207213023046e-08,1.3346054938958735e-08,3.3723886110478079e-08,1.1108188138958886e-08,3.4503215506238913e-09,1.5870636645846126e-16,7.5986996016499614e-17,2.8592512640887701e-17,4.4060117910853222e-25
2.0720730596783496e-08,0.1122458443250828,0.0,0.0,0.0,0.0,0.99999157808204042,8.3243624334156838e-06,3.2869527023929383e-08,1.4165844223002302e-08,3.5005945401745803e-08,1.1832670126877818e-08,3.6815391953328446e-09,1.751229486531203e-16,8.5132786987621573e-17,3.3021125985601606e-17,5.2695868455849586e-25
2.1329498765157775e-08,0.11224585824620732,0.0,0.0,0.0,0.0,0.99999132970155902,8.5684874838299888e-06,3.3992822827988909e-08,1.5010044507885161e-08,3.6304401567937058e-08,1.2582249541439424e-08,3.9214383287319167e-09,1.9267448301741531e-16,9.5057578498933975e-17,3.7974145948556856e-17,6.2685699646635074e-25
2.1938266933532054e-08,0.11224587217010489,0.0,0.0,0.0,0.0,0.99999108126380243,8.8125869634106877e-06,3.5124024523253741e-08,1.5878653971929188e-08,3.7619321390254582e-08,1.3357104457113903e-08,4.1701294947454578e-09,2.1140317743917174e-16,1.0580153269987749e-16,4.3495543278716838e-17,7.4191647754425076e-25
2.2547035101906333e-08,0.11224588609679367,0.0,0.0,0.0,0.0,0.9999908327685163,9.0566608435703272e-06,3.6263064035926154e-08,1.6771670802547118e-08,3.8950769606824619e-08,1.4157411368903597e-08,4.4277236889037563e-09,2.3135158712215043e-16,1.1740557757730282e-16,4.9631495135818509e-17,8.7389668732768187e-25
2.3155803270280612e-08,0.11224590002629137,0.0,0.0,0.0,0.0,0.99999058421544862,9.3007090957218434e-06,3.7409875181678349e-08,1.7689093196358589e-08,4.0298809051268374e-08,1.4983345298809004e-08,4.6943323261253298e-09,2.5256260591161775e-16,1.2991137470120197e-16,5.6430476094942684e-17,1.0246989534738791e-24
2.376457143865489e-08,0.11224591395861581,0.0,0.0,0.0,0.0,0.99999033560434758,9.5447316912785503e-06,3.8564393695217594e-08,1.8630919359148922e-08,4.1663500623168791e-08,1.5835079773142122e-08,4.9700672476000239e-09,2.7507946834289164e-16,1.4336132871339109e-16,6.3943246551493891e-17,1.196378242236087e-24
2.437333960702917e-08,0.11224592789378439,0.0,0.0,0.0,0.0,0.99999008693496239,9.7887286016540821e-06,3.9726557087265513e-08,1.9597147505987721e-08,4.3044903430980685e-08,1.6712786932313799e-08,5.2550406875518288e-09,2.9894574036987206e-16,1.5779855440745419e-16,7.2222947508762351e-17,1.3911451982979595e-24
2.498210777540345e-08,0.11224594183181459,0.0,0.0,0.0,0.0,0.99998983820704324,1.0032699798262417e-05,4.0896304685245123e-08,2.0587775861178219e-08,4.4443074751384015e-08,1.7616637499609707e-08,5.5493652827069824e-09,3.2420532253440666e-16,1.7326688901942023e-16,8.1325082428186126e-17,1.6113790927174719e-24
2.559087594377773e-08,0.11224595577272362,0.0,0.0,0.0,0.0,0.99998958942034166,1.0276645252517819e-05,4.2073577484999853e-08,2.1602802658378889e-08,4.5858070177452643e-08,1.8546800895004939e-08,5.8531540378230666e-09,3.5090243991171389e-16,1.8981085836186371e-16,9.1307616464768931e-17,1.8596292067361884e-24
2.6199644112152008e-08,0.1122459697165285,0.0,0.0,0.0,0.0,0.99998934057461009,1.0520564935834867e-05,4.3258318203136154e-08,2.264222614054345e-08,4.7289943566360143e-08,1.9503445194994385e-08,6.1665203378677552e-09,3.7908164654671685e-16,2.0747569201648066e-16,1.0223095131805099e-16,2.1386289746635418e-24
2.6808412280526287e-08,0.11224598366324619,0.0,0.0,0.0,0.0,0.99998909166960148,1.0764458819628386e-05,4.4450471122522514e-08,2.3706044560045769e-08,4.8738747193766231e-08,2.048673725117003e-08,6.4895779120900942e-09,4.0878781450536319e-16,2.2630728823560768e-16,1.1415802961558478e-16,2.4512965752895007e-24
2.7417180448900567e-08,0.1122459976128935,0.0,0.0,0.0,0.0,0.99998884270507038,1.1008326875313489e-05,4.5649982156942542e-08,2.4794256178610773e-08,5.0204531689220258e-08,2.1496842640604784e-08,6.8224408490636337e-09,4.4006613972270758e-16,2.4635223218181595e-16,1.2715430222705141e-16,2.800750402676282e-24
2.8025948617274846e-08,0.11224601156548698,0.0,0.0,0.0,0.0,0.99998859368077142,1.1252169074305492e-05,4.6856798689374251e-08,2.5906859267442788e-08,5.1687346197764964e-08,2.2533925789958581e-08,7.1652235590662851e-09,4.729621299737482e-16,2.6765775929949374e-16,1.4128783853923983e-16,3.1903087087010307e-24
2.8634716785649125e-08,0.11224602552104336,0.0,0.0,0.0,0.0,0.99998834459646024,1.1495985388019985e-05,4.8070869649687693e-08,2.704385210714751e-08,5.3187238302303089e-08,2.3598149915853949e-08,7.5180407921603574e-09,5.0752161226238357e-16,2.9027177677625814e-16,1.5662928562633076e-16,3.6235065540264315e-24
2.9243484954023404e-08,0.11224603947957883,0.0,0.0,0.0,0.0,0.99998809545189393,1.173977578787275e-05,4.9292145344617762e-08,2.8205232987864147e-08,5.470425419350555e-08,2.4689677155344044e-08,7.8810075986270062e-09,5.4379071952386266e-16,3.1424282505971129e-16,1.7325198523188462e-16,4.1040943270824874e-24
2.985225312239768e-08,0.11224605344110987,0.0,0.0,0.0,0.0,0.99998784624682924,1.1983540245279804e-05,5.0520577549322274e-08,2.9391000209178596e-08,5.6238438578324408e-08,2.5808668495655457e-08,8.2542393502749913e-09,5.8181589973235685e-16,3.3962010274755152e-16,1.9123192411312012e-16,4.6360563504360189e-24
3.0461021290771966e-08,0.11224606740565235,0.0,0.0,0.0,0.0,0.99998759698102502,1.2227278731657352e-05,5.1756119327885387e-08,3.0601152080259309e-08,5.7789834859368669e-08,2.6955283911909186e-08,8.6378516986576414e-09,6.2164390113954544e-16,3.6645342590051174e-16,2.1064785861332215e-16,5.2236080790383468e-24
3.106978945914625e-08,0.11224608137322259,0.0,0.0,0.0,0.0,0.99998734765424024,1.2470991218421815e-05,5.2998725139658705e-08,3.183568691976228e-08,5.9358485028640507e-08,2.8129682285524985e-08,9.0319605998271227e-09,6.6332178329051995e-16,3.9479325660893404e-16,2.3158125540659827e-16,5.8712165613734877e-24
3.167855762752053e-08,0.11224609534383631,0.0,0.0,0.0,0.0,0.999987098266234,1.2714677676989773e-05,5.4248350649049792e-08,3.3094603055970344e-08,6.0944429857624314e-08,2.9332021550149081e-08,9.4366822700423919e-09,7.068969005683072e-16,4.2469065972477016e-16,2.5411642461994292e-16,6.5835960945635385e-24
3.228732579589481e-08,0.1122461093175095,0.0,0.0,0.0,0.0,0.99998684881676769,1.2958338078778045e-05,5.5504952847675704e-08,3.4377898826690656e-08,6.2547708775216463e-08,3.0562458597932786e-08,9.8521332142109073e-09,7.524169153290517e-16,4.5619733539369423e-16,2.7834045011090632e-16,7.3657307676897933e-24
3.2896093964269095e-08,0.11224612329425769,0.0,0.0,0.0,0.0,0.99998659930560119,1.3201972395203564e-05,5.6768489852092139e-08,3.5685572579397001e-08,6.4168360069872309e-08,3.182114943469649e-08,1.0278430178772708e-08,7.9992977950380097e-16,4.8936557279372024e-16,3.0434333218749204e-16,8.2228683230986682e-24
3.350486213264338e-08,0.11224613727409663,0.0,0.0,0.0,0.0,0.99998634973249689,1.3445580597683503e-05,5.803892104290239e-08,3.7017622671120496e-08,6.5806420750585225e-08,3.3108249073207963e-08,1.0715690184098293e-08,8.4948375009692622e-16,5.2424828696707664e-16,3.3221790644904902e-16,9.1605450402976398e-24
3.411363030101766e-08,0.11224615125704171,0.0,0.0,0.0,0.0,0.99998610009721711,1.3689162657635164e-05,5.9316206848977476e-08,3.8374047468594464e-08,6.7461926762542901e-08,3.4423911698693125e-08,1.1164030474209008e-08,9.0112736856973048e-16,5.6089896911378823e-16,3.6205999724898062e-16,1.0184577520606486e-23
3.472239846939194e-08,0.11224616524310845,0.0,0.0,0.0,0.0,0.99998585039952559,1.3932718546476078e-05,6.0600308904790171e-08,3.9754845348139271e-08,6.913491282988388e-08,3.5768290548142489e-08,1.1623568553429727e-08,9.5490947897326525e-16,5.993717281083718e-16,3.9396832401599204e-16,1.1301090204902573e-23
3.5331166637766225e-08,0.1122461792323119,0.0,0.0,0.0,0.0,0.99998560063918474,1.4176248235623883e-05,6.189118981955977e-08,4.1160014695808764e-08,7.0825412686430749e-08,3.7141538087367605e-08,1.2094422132578119e-08,1.0108792048053315e-15,6.3972123685195189e-16,4.2804466671188491e-16,1.2516504762729171e-23
3.593993480614051e-08,0.11224619322466756,0.0,0.0,0.0,0.0,0.99998535081596018,1.4419751696496456e-05,6.3188813354217844e-08,4.2589553907270879e-08,7.2533458898816517e-08,3.8543805875260206e-08,1.2576709170203091e-08,1.0690859700827585e-15,6.8200277891438612e-16,4.6439375842764693e-16,1.3837570576286948e-23
3.654870297451479e-08,0.1122462072201903,0.0,0.0,0.0,0.0,0.9999851009296159,1.4663228900511794e-05,6.4493144173781515e-08,4.404346138795411e-08,7.425908311399204e-08,3.9975244753692455e-08,1.3070547814844833e-08,1.1295794733307165e-15,7.2627219039695803e-16,5.0312346420826571e-16,1.5271351374418512e-23
3.715747114288907e-08,0.11224622121889541,0.0,0.0,0.0,0.0,0.99998485097991829,1.4906679819088128e-05,6.5804148045504932e-08,4.5521735552925612e-08,7.6002315861165731e-08,4.1436004695540035e-08,1.3576056451224743e-08,1.1924097119378589e-15,7.7258591220195932e-16,5.4434465858428077e-16,1.6825259058975218e-23
3.7766239311263355e-08,0.11224623522079763,0.0,0.0,0.0,0.0,0.99998460096663178,1.51501044236438e-05,6.7121791572643182e-08,4.7024374827036225e-08,7.7763186817925738e-08,4.2926235008832782e-08,1.4093353638144601e-08,1.2576269528983407e-15,8.210009267997521e-16,5.8817141926750971e-16,1.8507037178410693e-23
3.837500747963764e-08,0.11224624922591196,0.0,0.0,0.0,0.0,0.99998435088952464,1.5393502685597412e-05,6.8446042415505007e-08,4.8551377644798048e-08,7.95417245892752e-08,4.4446084167230171e-08,1.4622558160031842e-08,1.3252817608339948e-15,8.7157481669617342e-16,6.3472088813205441e-16,2.0324798521716424e-23
3.898377564801192e-08,0.11224626323425298,0.0,0.0,0.0,0.0,0.9999841007483633,1.563687457636769e-05,6.9776869004612787e-08,5.0102742450525938e-08,8.1337956994365709e-08,4.5995700029948095e-08,1.5163788960009164e-08,1.3954249650664755e-15,9.2436569543182843e-16,6.8411348143046391e-16,2.2287004975091221e-23
3.95925438163862e-08,0.11224627724583568,0.0,0.0,0.0,0.0,0.99998385054291528,1.5880220067373592e-05,7.1114240786546901e-08,5.1678467698217015e-08,8.3151910820734182e-08,4.7575229653240919e-08,1.5717165197240371e-08,1.4681076917369527e-15,9.7943227289348757e-16,7.3647273257802142e-16,2.440250936350359e-23
4.0201311984760485e-08,0.11224629126067433,0.0,0.0,0.0,0.0,0.99998360027294886,1.6123539130034244e-05,7.2458127914336276e-08,5.3278551851686185e-08,8.4983612133817597e-08,4.9184819527761777e-08,1.6282806174661091e-08,1.5433813267386329e-15,1.0368337797989158e-15,7.9192552069956318e-16,2.6680531176377011e-23
4.081008015313477e-08,0.11224630527878386,0.0,0.0,0.0,0.0,0.99998334993823312,1.6366831735768999e-05,7.3808501520175029e-08,5.4902993384450665e-08,8.6833086004306463e-08,5.0824615369460181e-08,1.6860831402615546e-08,1.6212975524157274e-15,1.0966300405827562e-15,8.5060189339578638e-16,2.9130703198213395e-23
4.141884832150905e-08,0.11224631930017832,0.0,0.0,0.0,0.0,0.99998309953853615,1.6610097855997399e-05,7.5165333380688624e-08,5.655179077985599e-08,8.8700356842799054e-08,5.2494762376176383e-08,1.7451360520694229e-08,1.7019083058335288e-15,1.1588813905361372e-15,9.1263531560779211e-16,3.1763042524825787e-23
4.202761648988333e-08,0.11224633332487263,0.0,0.0,0.0,0.0,0.999982849073629,1.6853337462139212e-05,7.6528596218812341e-08,5.822494253096997e-08,9.0585448097978681e-08,5.4195404996205448e-08,1.8054513368201214e-08,1.7852658205950381e-15,1.2236487570914802e-15,9.7816247035264632e-16,3.458800259307755e-23
4.2636384658257615e-08,0.11224634735288057,0.0,0.0,0.0,0.0,0.99998259854327998,1.7096550525614428e-05,7.7898263341370969e-08,5.9922447140694547e-08,9.248838261897373e-08,5.5926687206084153e-08,1.8670409899495523e-08,1.8714225798668477e-15,1.2909935686915222e-15,1.0473235300871758e-15,3.7616438837110268e-23
