Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18),C3H7(19)
8.39491813243628e-15,0.11224537200019084,0.0,0.0,0.0,0.0,0.99999999999659972,3.3784230549728792e-12,1.0881412159431534e-14,3.1033134695443106e-21,1.0881412195988398e-14,2.2430628153955247e-21,6.7312764797060797e-22,5.4235820550746459e-41,3.2046852872319178e-37,1.2967557236293922e-43,6.6975037564874317e-63,1.0535856909333172e-65,2.9270824690414729e-70,2.8070190481336731e-72,6.327005928479325e-73,1.4110955411278402e-47,5.8607404377416416e-49
1.6790291743041537e-14,0.11224537200038166,0.0,0.0,0.0,0.0,0.99999999999319955,6.7570294048457391e-12,2.1763417772146473e-14,1.2413758989177075e-20,2.17634179183814e-14,8.9726174439378477e-21,2.6926204884138525e-21,8.6783326960925631e-40,2.5639315542097625e-36,2.0749629470880541e-42,4.286815705640169e-61,6.7436482431545037e-64,3.7214523794188145e-68,3.593360541990489e-70,8.0994148522776973e-71,4.5158300685217785e-46,1.875569417382284e-47
3.358103896425206e-14,0.11224537200076334,0.0,0.0,0.0,0.0,0.99999999998639877,1.3514242085912617e-11,4.3527438198403067e-14,4.965604614439521e-20,4.3527438783366747e-14,3.5891208656551027e-20,1.0770703748578915e-20,1.3885743463548359e-38,2.0512925142548495e-35,3.3201795668524541e-41,2.7437657810375447e-59,4.3161244311720533e-62,4.6994410489737424e-66,4.5997058066254271e-68,1.0367709995832362e-68,1.4451104513819681e-44,6.0019940517948483e-46
6.71625334066731e-14,0.1122453720015267,0.0,0.0,0.0,0.0,0.9999999999727972,2.7028667373331011e-11,8.705551585419115e-14,1.986262045525587e-19,8.7055518194166319e-14,1.435663644254708e-19,4.3083274571753345e-20,2.221729448399007e-37,1.6412112235032721e-34,5.3128490043980581e-40,1.756166768416863e-57,2.7623464226405695e-60,5.8573799307052561e-64,5.887682428885847e-66,1.3270797842124338e-66,4.6243799468046866e-43,1.9206399678714524e-44
1.3432552229151516e-13,0.11224537200305339,0.0,0.0,0.0,0.0,0.99999999994559441,5.405751764930633e-11,1.7411181837861135e-13,7.9450885483112996e-19,1.7411182773933294e-13,5.7426893351008603e-19,1.7233414531550652e-19,3.554703841130295e-36,1.3132291485557306e-33,8.5021937295556144e-39,1.1241139417333241e-55,1.7678904982069627e-58,7.1232285202651315e-62,7.5361874598172682e-64,1.6986507382471251e-64,1.4797768798231477e-41,6.1458868293685619e-43
2.686515000611993e-13,0.11224537200610679,0.0,0.0,0.0,0.0,0.99999999989118848,1.0811521700581086e-10,3.4822501227678318e-13,3.1780434658079379e-18,3.4822504972595123e-13,2.2970860152323184e-18,6.893396982838383e-19,5.6872461742955122e-35,1.0509902402758264e-32,1.3608613282896293e-37,7.1963625217673139e-54,1.4951403091849013e-56,1.093602603713947e-59,1.2722786689307951e-61,2.8677026895847143e-62,4.7350612506155496e-40,1.9665530179269825e-41
5.373034556005676e-13,0.11224537201221363,0.0,0.0,0.0,0.0,0.9999999997823763,2.1623061093703347e-10,6.964537554540943e-13,1.2712189742005832e-17,6.9645390530044983e-13,9.1883912596541287e-18,2.7573732109213384e-18,9.0986361709768391e-34,8.4143951912897724e-32,2.1790007908981439e-36,4.6082397163995902e-52,9.6075542605614219e-55,1.1914188732859894e-57,1.6381337316797489e-59,3.6923273841082291e-60,1.5150651147194634e-38,6.2920886214733824e-40
1e-12,0.11224537202442723,0.0,0.0,0.0,0.0,0.99999999959497077,4.0243664336157674e-10,1.2962127091182802e-12,4.555332924193652e-17,1.296213246424212e-12,3.2926265976177789e-17,9.8809483892805429e-18,1.2660049428087638e-32,5.9225551779887936e-31,3.0370175983799595e-35,2.5489696948736719e-50,5.3131151738516942e-53,1.0068836466082056e-55,1.8096199961615821e-57,4.0788353946506804e-58,4.1951817167349275e-37,1.7421334747551036e-38
1.0746073666793043e-12,0.11224537202442723,0.0,0.0,0.0,0.0,0.99999999956475283,4.3246137967231924e-10,1.3929206632017295e-12,5.084878901190561e-17,1.3929212629834655e-12,3.6753872523940318e-17,1.1029587149985881e-17,1.4554704644052058e-32,6.741858161008275e-31,3.4915853642227833e-35,2.952547012701398e-50,6.1543351773675984e-53,1.1673172008866118e-55,2.098770230302694e-57,4.7305723122915198e-58,4.8472029224040178e-37,2.0128976091073828e-38
2.1492151888367772e-12,0.11224537204885447,0.0,0.0,0.0,0.0,0.99999999912950521,8.6492284063413784e-10,2.7858921632222349e-12,2.0339520242596534e-16,2.7858945655172772e-12,1.4701780972511717e-16,4.4119060991416417e-17,2.3277531986847576e-31,5.4100269069174652e-30,5.6031182182620645e-34,1.8938113015184201e-48,3.9478142487307153e-51,1.0181476658727551e-53,2.6925673563699915e-55,6.0689177392914636e-56,1.5504591389687648e-35,6.4376107799445326e-37
