Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50)
9.842654626680655e-05,0.12386485037816763,0.0,0.0,0.0,0.0,0.80560700288997455,0.00058845911566107799,0.00010100898263757856,0.018019385031677902,8.4819574344794139e-05,0.088938997789483332,0.084419038870226212,1.1307833840612433e-07,1.6561835038615283e-06,0.0022395063142195649,3.0288594860059562e-09,9.1044537860150781e-09,3.6619466615060381e-11
9.921912685029874e-05,0.12394995480681384,0.0,0.0,0.0,0.0,0.80432944067555157,0.00058790574984858806,0.0001013587661057118,0.018148640709736385,8.4729198330541858e-05,0.089497978981758014,0.084976973046365631,1.1368204444267202e-07,1.674152299237424e-06,0.002271172670810436,3.0687990453085766e-09,9.2611008647431917e-09,3.7249524457820019e-11
9.999999999999998e-05,0.124034921163569,0.0,0.0,0.0,0.0,0.80307466198584554,0.00058736204802744402,0.0001017010307604839,0.018275742148834834,8.4640453498214502e-05,0.09004658720089144,0.085524967063200119,1.1427313016326415e-07,1.6918877981671722e-06,0.0023025193452548736,3.108277647849024e-09,9.4166060157294773e-09,3.7874989297456577e-11
0.00010001170743379092,0.124034921163569,0.0,0.0,0.0,0.0,0.80305587885172702,0.00058735390766334768,0.00010170614457648233,0.018277645903156198,8.4639125193013861e-05,0.090054796421934619,0.085533170213675638,1.1428196433000293e-07,1.6921539417945876e-06,0.0023029904304663136,3.1088705055448716e-09,9.4189462849865421e-09,3.7884402208388171e-11
0.00010080428801728311,0.1241197499200185,0.0,0.0,0.0,0.0,0.80178629706940929,0.00058680358199467207,0.00010205113503002281,0.018406401543378106,8.4549353762229369e-05,0.090609461803011215,0.086087639261676396,1.1487812484724856e-07,1.7101877705108581e-06,0.002334958420262176,3.1490720100528604e-09,9.5779844737303069e-09,3.8524077451263512e-11
0.0001015968686007753,0.12420444155116254,0.0,0.0,0.0,0.0,0.80052067514028502,0.00058625476627150916,0.00010239375638401905,0.018534908555740821,8.4459880758935035e-05,0.091161986723371974,0.086640389009732588,1.1547055236933123e-07,1.7282532558361153e-06,0.0023670754768678488,3.1894017123709653e-09,9.7382087797128111e-09,3.9168523434092294e-11
0.00010231019112591826,0.12428054715765706,0.0,0.0,0.0,0.0,0.79938498450277373,0.00058576211730447362,0.00010270010332550599,0.018650353050615749,8.4379609776696679e-05,0.091657438580507872,0.087136401021679313,1.1600056723773601e-07,1.7445386950470458e-06,0.0023961073257747806,3.2258065537196118e-09,9.8834203860388157e-09,3.9752586106658702e-11
0.00010302351365106123,0.12435654241583836,0.0,0.0,0.0,0.0,0.7982524705970373,0.0005852706808368482,0.00010300455790892989,0.018765597569025367,8.42995776766501e-05,0.092151174327472066,0.087631033832033078,1.1652759864807579e-07,1.7608488512167581e-06,0.0024252581493236182,3.2623124492572274e-09,1.0029583507671457e-08,4.034047591531448e-11
0.00010366550392368989,0.12442484406908451,0.0,0.0,0.0,0.0,0.79723591226541235,0.00058482942047312911,0.00010327695888967057,0.018869147204003803,8.422775239707683e-05,0.092594076073085133,0.088075029351150927,1.1699939160251939e-07,1.7755487395073976e-06,0.002451594928390559,3.2952530797895911e-09,1.0161940469018201e-08,4.0872835294449536e-11
0.00010430749419631855,0.12449305685816593,0.0,0.0,0.0,0.0,0.79622190496573853,0.0005843891346292672,0.00010354784619171646,0.018972535876281206,8.4156118511007633e-05,0.093035600472955407,0.088517917378494557,1.1746879681884498e-07,1.7902679903586663e-06,0.0024780268056679368,3.3282735699918363e-09,1.0295061354125804e-08,4.140826728857168e-11
0.00010494948446894722,0.12456118101841235,0.0,0.0,0.0,0.0,0.79521043831331584,0.0005839498196489976,0.00010381722858588861,0.019075764064573373,8.4084675215869291e-05,0.093475753489971211,0.088959702449407027,1.1793582784528675e-07,1.805006286148293e-06,0.0025045531849050154,3.3613729899286716e-09,1.0428943012810585e-08,4.1946759227173844e-11
0.00010559147474157588,0.12462921679788762,0.0,0.0,0.0,0.0,0.79420150199174644,0.00058351147215425525,0.00010408511516770312,0.019178832245024882,8.4013421365192775e-05,0.093914541046973096,0.089400389069122899,1.184004980621915e-07,1.81976333417279e-06,0.0025311734739924354,3.3945504136078177e-09,1.0563582101504241e-08,4.2488297661925668e-11
0.00010623346501420455,0.12469716443345817,0.0,0.0,0.0,0.0,0.79319508574046593,0.00058307408856191371,0.00010435151469013541,0.019281740891687073,8.3942356062794162e-05,0.094351969034154437,0.089839981718382936,1.1886282085398486e-07,1.8345388289880428e-06,0.0025578870845317505,3.4278049279644941e-09,1.0698975400845123e-08,4.30328696440759e-11
