Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(809)
1.2326814361264102e-15,0.11224537200002802,0.0,0.0,0.0,0.0,0.99999999999950084,4.9607623574425633e-13,1.5977896322072578e-15,6.6923236716383914e-23,1.597789632995603e-15,4.8371848245097321e-23,1.4516057300719701e-23,2.5225690299421868e-44,1.0150464375065658e-39,6.0330613034618411e-47,6.7208153657111663e-68,1.0568187001987756e-70,4.3382672955431624e-76,4.1359000777892941e-78,9.3222972541976288e-79,9.6404624800042169e-52,4.0040028452001491e-53,8.6134422142980451e-75,3.0652182351333884e-69,4.8769800714033955e-66,2.5560128058558801e-76,5.1273823493869298e-89,4.5442956538502009e-145,1.7405219855495507e-121,5.9466941894272664e-127
2.4658981225507475e-15,0.11224537200005606,0.0,0.0,0.0,0.0,0.99999999999900135,9.923678757118781e-13,3.1962731167826963e-15,2.6778011839055083e-22,3.1962731199371085e-15,1.9355040366471757e-22,5.8083138298217275e-23,4.0384557848528835e-43,8.1234851101765691e-39,9.6568600884729674e-46,4.3040537191073174e-66,6.7695804566863064e-69,5.5522537591881676e-74,5.298638954192839e-76,1.194310450133111e-76,3.0868004567686446e-50,1.2820500757157654e-51,1.1032259824873976e-72,1.9629705080444965e-67,3.123171950216599e-64,3.2737216154386654e-74,1.3134527061388806e-86,3.7277008103249584e-141,3.5687125997274538e-118,2.438563213230111e-123
4.932331495399422e-15,0.11224537200011213,0.0,0.0,0.0,0.0,0.99999999999800226,1.9849511552440809e-12,6.3932402844634646e-15,1.0712948412826845e-21,6.3932402970832062e-15,7.7432767459094304e-22,2.3237038310330721e-22,6.463401353360486e-42,6.5000682211144133e-38,1.5454225736127072e-44,2.7554789064842206e-64,4.3344273440497452e-67,7.0956069704763343e-72,6.7852494061222403e-74,1.5293916355231769e-74,9.8807193445383107e-49,4.1037873149147282e-50,1.4125873098200274e-70,1.2567267289400892e-65,1.9994385164393641e-62,4.1916823741379777e-72,3.3635338731416732e-84,3.0554172331403026e-137,7.3128931106303737e-115,9.9938814439726505e-120
9.865198241096772e-15,0.11224537200022429,0.0,0.0,0.0,0.0,0.99999999999600409,3.9701177126963245e-12,1.2787175413944455e-14,4.2855281240818284e-21,1.2787175464427839e-14,3.0975630010746303e-21,9.295572482823229e-22,1.0342924770451715e-40,5.2006217631364918e-37,2.4729614633947351e-43,1.7638023855510386e-62,2.7746327039318545e-65,9.0476736489184718e-70,8.6870105965410394e-72,1.9580475190909646e-72,3.1622989911530451e-47,1.3134057314689355e-48,1.8084214369363851e-68,8.0448176561294103e-64,1.279833785040167e-60,5.3662541080654993e-70,8.6121289348492376e-82,2.5030807844295291e-133,1.4980847654090982e-111,4.0944570053682165e-116
1.973093173249147e-14,0.11224537200044853,0.0,0.0,0.0,0.0,0.99999999999200839,7.9404508211521656e-12,2.5575048849383474e-14,1.7142810028457076e-20,2.5575049051327672e-14,1.2390757946833033e-20,3.7183808355434425e-21,1.6549816794280725e-39,4.1608124240064358e-36,3.9570477398532356e-42,1.1289445809441066e-60,1.7759475521296565e-63,1.1489436721044497e-67,1.1120527243648314e-69,2.5065606452242043e-70,1.0120077840421442e-45,4.2031919502288818e-47,2.3150198170853727e-66,5.1497663186226086e-62,8.1915336939770416e-59,6.8695264893034625e-68,2.2049359226291042e-79,2.0495637145472856e-129,3.0683979531421556e-108,1.6771483975263976e-112
3.946239871528087e-14,0.11224537200089703,0.0,0.0,0.0,0.0,0.99999999998401679,1.5881117012269263e-11,5.1150808426163141e-14,6.8572635118054884e-20,5.1150809233975969e-14,4.9564054243637909e-20,1.4873830274701371e-20,2.6480459774572218e-38,3.3289169520784299e-35,6.3317834572833179e-41,7.2258101353950092e-59,1.1366546719002853e-61,1.4475173791373771e-65,1.4234886238869117e-67,3.2085348693609494e-68,3.2385216747234708e-44,1.3450578546759296e-45,2.9634871511555315e-64,3.2968596270811245e-60,5.2427463736168488e-57,8.7938260737013666e-66,5.645142349484874e-77,1.676984470160063e-125,6.2840235048689817e-105,6.8685862298811428e-109
7.892533268085967e-14,0.11224537200179409,0.0,0.0,0.0,0.0,0.9999999999680329,3.1762449291325096e-11,1.0230237840327707e-13,2.7429332982655584e-19,1.0230238163471814e-13,1.9825834633131594e-19,5.9495960907768961e-20,4.2368836024436479e-37,2.6634659753174395e-34,1.0132089749909926e-39,4.624967283812909e-57,7.2746499674441343e-60,1.7961801123468641e-63,1.8220810887341151e-65,4.1069584788732505e-66,1.0363305084482334e-42,4.3041759132513071e-44,3.7937074028093261e-62,2.1111612147880596e-58,3.3553766414587023e-55,1.1257578577641019e-63,1.4453291864064892e-74,1.3703095467849237e-121,1.28680533406118e-101,2.8122370011722074e-105
1.5785120061201726e-13,0.11224537200358817,0.0,0.0,0.0,0.0,0.99999999993606581,6.3525113436723293e-11,2.0460572165130884e-13,1.0971788926081089e-18,2.046057345783937e-13,7.9303831946506913e-19,2.3798533076293962e-19,6.778861179223797e-36,2.1312667171337391e-33,1.6214990347464581e-38,2.9604657413785463e-55,4.6557573887654391e-58,2.1665754898655119e-61,2.332254995043716e-63,5.2568833622025379e-64,3.3161871210043511e-41,1.3772916115383304e-42,4.8569368000162374e-60,1.3526034269208595e-56,2.1474038851075165e-53,1.4413076828652821e-61,3.7008163594535529e-72,1.1168340755426898e-117,2.6345686450473605e-98,1.1509003078390396e-101
3.1570293647433243e-13,0.11224537200717635,0.0,0.0,0.0,0.0,0.99999999987213117,1.2705044007666536e-10,4.0921322131926945e-13,4.3887266736080674e-18,4.0921327303777991e-13,3.172168549403859e-18,9.5194595739535642e-19,1.0845541855994208e-34,1.7057884975479189e-32,2.5955406752030157e-37,1.8952928026577576e-53,3.9375924740027612e-56,3.28029550142699e-59,3.937498153586869e-61,8.875075594796833e-62,1.0611198161593455e-39,4.4069851673135161e-41,6.2193236675132312e-58,8.675227380306006e-55,1.3742712547439671e-51,1.8457114603998296e-59,9.477908424124649e-70,4.7864073896420234e-113,8.5658576975134811e-95,7.474952208482596e-98
6.314064081989628e-13,0.11224537201435272,0.0,0.0,0.0,0.0,0.99999999974426201,2.5410108675312944e-10,8.184314733162337e-13,1.7554928553184812e-17,8.1843168027085518e-13,1.2688747966359493e-17,3.8078063789672497e-18,1.7350713946144918e-33,1.3658649097394793e-31,4.1565003438887393e-36,1.2137393442771902e-51,2.5304654731497635e-54,3.4991126313789944e-57,5.0702110418296717e-59,1.1428165585940309e-59,3.3951751996641971e-38,1.4100026661214558e-39,7.9669307225018871e-56,5.5758642731215822e-53,8.7944127628879761e-50,2.3646374855409284e-57,2.4282808577932372e-67,3.8453274232328206e-109,1.7523539701861652e-91,3.0518805497125556e-94
