Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18)
4.096078358331598e-15,0.11224537200009312,0.0,0.0,0.0,0.0,0.99999999999834088,1.6484122118861049e-12,5.309296997906268e-15,7.3882402852249224e-22,5.3092970066095289e-15,5.3401907949906767e-22,1.6025543464878348e-22,3.0741515106811492e-42,3.7227585678156333e-38,7.3503876029263422e-45,9.0384210241393573e-65,1.4217655882157693e-67,1.9341958223674608e-72,1.8483239202746313e-74,4.1661123933100042e-75,3.9027316581261747e-49
8.192601217841528e-15,0.11224537200018624,0.0,0.0,0.0,0.0,0.99999999999668177,3.2970033058722514e-12,1.061917088410931e-14,2.9555366377112569e-21,1.0619170918925361e-14,2.1362502941580716e-21,6.4107394853763914e-22,4.9193492530751476e-41,2.9785245660863554e-37,1.176195008494319e-43,5.7855531263061734e-63,9.1012707013186359e-66,2.4679962544696141e-70,2.3663712375357969e-72,5.3337881285632048e-73,1.2490596830994162e-47
1.638564693686139e-14,0.11224537200037248,0.0,0.0,0.0,0.0,0.9999999999933632,6.5941854893971989e-12,2.1238920847189389e-14,1.1822627609140163e-20,2.1238920986460668e-14,8.5453498968561727e-21,2.5644004498708469e-21,7.8715050202370289e-40,2.3829886596808297e-36,1.8820504501296214e-42,3.7031094675878715e-61,5.8254185533213091e-64,3.1382902788144691e-68,3.0292726938631985e-70,6.8279639766510632e-71,3.9972782508070315e-46
3.277173837490111e-14,0.11224537200074491,0.0,0.0,0.0,0.0,0.99999999998672673,1.3188549838657728e-11,4.2478429536041851e-14,4.7291472521672495e-20,4.2478430093149558e-14,3.418210308440991e-20,1.0257812971600123e-20,1.2594783263102679e-38,1.906525597274636e-35,3.0114939899821745e-41,2.3701640534508964e-59,3.7284324158671091e-62,3.9642972914886872e-66,3.8776421113166244e-68,8.7401827105502705e-69,1.2791688317357675e-44
6.554392125098055e-14,0.11224537200148994,0.0,0.0,0.0,0.0,0.99999999997345257,2.6377278466021284e-11,8.4957481964486199e-14,1.8916781388518673e-19,8.495748419302954e-14,1.3672986769720876e-19,4.1031689090047562e-20,2.0151755784787929e-37,1.5253816506310171e-34,4.8188890582571541e-40,1.517037777069577e-57,2.3862204457347709e-60,4.9441455126674822e-64,4.9634327958001193e-66,1.1187545349438842e-66,4.0933644232432294e-43
1.3108828700313943e-13,0.1122453720029798,0.0,0.0,0.0,0.0,0.99999999994690547,5.2754735436118453e-11,1.6991572702409531e-13,7.5667510004402973e-19,1.6991573593903275e-13,5.4692276834548933e-19,1.6412774961696791e-19,3.2242258928754457e-36,1.2205414766579565e-33,7.7116712132558388e-39,9.7104535182933927e-56,1.5271710907521864e-58,6.0195026436188342e-62,6.353153878851918e-64,1.4319959385482183e-64,1.3098551985396261e-41
2.621770185074572e-13,0.11224537200595962,0.0,0.0,0.0,0.0,0.99999999989381094,1.0550964823779266e-10,3.3983277795229446e-13,3.0267080643130992e-18,3.398328136178848e-13,2.1877007630989436e-18,6.5651393575418145e-19,5.1585150399630598e-35,9.7680234096652788e-33,1.2343192190082101e-37,6.2164048757473405e-54,1.2915538690978116e-56,9.2597315198086366e-60,1.0725515549659517e-61,2.417520020932484e-62,4.1913405573849435e-40
5.243544815160927e-13,0.11224537201191927,0.0,0.0,0.0,0.0,0.99999999978762122,2.1101946928705893e-10,6.7966912302941271e-13,1.2106847386449885e-17,6.7966926573795544e-13,8.7508471884159095e-18,2.6260692237916871e-18,8.2527795582053485e-34,7.8202904564236564e-32,1.9763471620422644e-36,3.9806637120190455e-52,8.2992413017697826e-55,1.0118726450111816e-57,1.3809573952610682e-59,3.1126563664807072e-60,1.3410940728964452e-38
1e-12,0.11224537202383854,0.0,0.0,0.0,0.0,0.99999999959497066,4.0243664386206764e-10,1.2962124621378255e-12,4.5053456419158797e-17,1.2962129935358466e-12,3.2564945831738296e-17,9.7725186114294814e-18,1.2052005801868657e-32,5.7562211455730542e-31,2.8909319732690139e-35,2.3171667479991164e-50,4.8299710373280544e-53,9.0379581884504185e-56,1.6061531781399304e-57,3.6202274109978792e-58,3.9045078063521812e-37
1.0487094075333638e-12,0.11224537202383854,0.0,0.0,0.0,0.0,0.99999999957524222,4.2203909316924967e-10,1.3593507859449062e-12,4.8427418211464654e-17,1.359351357147432e-12,3.5003675075801145e-17,1.0504364707050418e-17,1.320170077556314e-32,6.2656129945519321e-31,3.1667443347668924e-35,2.5503842543530672e-50,5.3160946469358045e-53,9.9531456547556799e-56,1.7692202323371281e-57,3.9877762872908011e-58,4.290622812226648e-37
