Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356)
1.1445159807303387e-15,0.11224537200002606,0.0,0.0,0.0,0.0,0.99999999999953626,4.6059522179510078e-13,1.4835104282466804e-15,5.7692445445584083e-23,1.4835104289262882e-15,4.1699869123894521e-23,1.2513842484363707e-23,1.8746797852275468e-44,8.1245406856318605e-40,4.4835462469633376e-47,4.3057411930200973e-68,6.7705905663380844e-71,2.5807441637421151e-76,2.4601812561427887e-78,5.545235754115868e-79,6.6520102620443809e-52,2.762799855664038e-53,5.123581961150235e-75,1.9637532308383146e-69,3.1244748001943937e-66,1.5204073275944489e-76
2.2895289288860923e-15,0.11224537200005205,0.0,0.0,0.0,0.0,0.99999999999907274,9.213904413996366e-13,2.9676650778494934e-15,2.3084492965043219e-22,2.9676650805688145e-15,1.6685379583921868e-22,5.0071670816635877e-23,3.0012307297976614e-43,6.5021230738004302e-39,7.176616654485466e-46,2.7574240899643119e-66,4.336984260480809e-69,3.3031591664744152e-74,3.1518201292760496e-76,7.1041861046440957e-77,2.129921573905623e-50,8.8462672646661953e-52,6.5623793311744052e-73,1.2575891051141089e-67,2.0008841957549098e-64,1.9473255654161742e-74
4.5795548251975986e-15,0.11224537200010415,0.0,0.0,0.0,0.0,0.99999999999814493,1.842980880261258e-12,5.9359745482015763e-15,9.2353003561577024e-22,5.93597455908066e-15,6.67523854017591e-22,2.0031929473768986e-22,4.8033607804352874e-42,5.2027204637772776e-38,1.148499601170157e-44,1.7653174859501764e-64,2.7768848863430483e-67,4.2219458143633565e-72,4.0361097743635443e-74,9.0973701609276008e-75,6.8177904707458975e-49,2.8316524811834754e-50,8.4025665525129585e-71,8.0512776318253671e-66,1.2809557820520342e-62,2.4933598844216258e-72
9.159606617820611e-15,0.11224537200020819,0.0,0.0,0.0,0.0,0.99999999999629041,3.6861617565947103e-12,1.1872594173491504e-14,3.6944207968402866e-21,1.1872594217011622e-14,2.670312904851164e-21,8.0134244708681897e-22,7.6864801514692938e-41,4.1626261487793177e-37,1.8378096237943198e-43,1.1299919712662568e-62,1.7775906581921442e-65,5.3849926081704036e-70,5.1673468478867993e-72,1.1647172092523133e-72,2.1820167266653735e-47,9.0626268086196248e-49,1.0757117933542207e-68,5.1539247551170049e-64,8.1993553203448131e-61,3.1920331946857186e-70
1.8319710203066636e-14,0.11224537200041644,0.0,0.0,0.0,0.0,0.99999999999257994,7.3725235037024319e-12,2.3745836162413711e-14,1.4778284509034796e-20,2.3745836336503227e-14,1.0681687668312857e-20,3.2055006536610731e-21,1.2299216812781525e-39,3.33034633236994e-36,2.9407195831763737e-42,7.2326500968376003e-61,1.1377755301171588e-63,6.8421749444354003e-68,6.6148931684057724e-70,1.4909932534100953e-70,6.9829529830284674e-46,2.9002442567293825e-47,1.3770516890199327e-66,3.2991740600851947e-62,5.2479714382095294e-59,4.0862232918956163e-68
3.663991737355869e-14,0.1122453720008329,0.0,0.0,0.0,0.0,0.99999999998515965,1.4745246975681162e-11,4.7492331093622395e-14,5.9114340632966816e-20,4.7492331790010331e-14,4.272763123350878e-20,1.2822266945097926e-20,1.9679317547580905e-38,2.664480022895703e-35,4.7055097767078493e-41,4.6292451217501514e-59,7.2820774887645967e-62,8.6298331686907556e-66,8.4674327581234865e-68,1.9085543416894246e-68,2.2346129484709636e-44,9.2810399375716805e-46,1.7627757585182374e-64,2.1120774574153492e-60,3.3588089191935029e-57,5.2308397963146205e-66
7.32803317145428e-14,0.1122453720016658,0.0,0.0,0.0,0.0,0.99999999997031919,2.9490693830691761e-11,9.498536476945534e-14,2.3645976720349158e-19,9.4985367555161016e-14,1.7091235364568975e-19,5.1289617207416434e-20,3.148701825142291e-37,2.131832865065193e-34,7.5296754917669208e-40,2.9629880276626747e-57,4.660571026045279e-60,1.0731288737781439e-63,1.083841384252348e-65,2.4429712881194665e-66,7.1507939229961733e-43,2.9699308592578893e-44,2.2566013157843388e-62,1.3524280031035493e-58,2.1496519202870786e-55,6.6963022032607254e-64
1.46561160396511e-13,0.11224537200333155,0.0,0.0,0.0,0.0,0.99999999994063837,5.8981587184925497e-11,1.8997160737445156e-13,9.4584387383109473e-19,1.8997161851833543e-13,6.8365361262590346e-19,2.0515973378042923e-19,5.0378209071864635e-36,1.7058340914927477e-33,1.2050002555680368e-38,1.8966031764920504e-55,2.9827496163855778e-58,1.2994736670284801e-61,1.3873099191602617e-63,3.1269853313041023e-64,2.288210420783889e-41,9.5034988764814244e-43,2.8889992451674518e-60,8.6642312748922394e-57,1.3757560598742611e-53,8.5731373993499664e-62
2.931228177604474e-13,0.11224537200666307,0.0,0.0,0.0,0.0,0.99999999988127686,1.1796337247024275e-10,3.799447935951093e-13,3.7833850705998091e-18,3.7994483817879399e-13,2.7346271714249632e-18,8.2064279376896955e-19,8.0600771960472057e-35,1.3652436065692106e-32,1.9287889902302603e-37,1.2141802382813766e-53,2.5226114167254506e-56,1.9804781324535287e-59,2.3421299336658831e-61,5.2791350087355991e-62,7.3218910031909864e-40,3.0408977155729369e-41,3.6992704961489133e-58,5.5561534775162246e-55,8.8044418619362969e-52,1.0978245854453704e-59
5.862461324883203e-13,0.11224537201332614,0.0,0.0,0.0,0.0,0.99999999976255338,2.3592693734827418e-10,7.5989397005783876e-13,1.5133559154729792e-17,7.5989414845709084e-13,1.0938568725870032e-17,3.2825895223760449e-18,1.289463996012426e-33,1.0931121490600336e-31,3.0885711063979187e-36,7.7752280482089435e-52,1.6210669253276002e-54,2.1336084541363723e-57,3.0157663357430626e-59,6.7974864348646894e-60,2.3427439828246391e-38,9.7293841894180975e-40,4.7384894982336552e-56,3.5700480568239224e-53,5.6342945448051281e-50,1.4063903717772843e-57
