Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(809),C5H8(470),C7H9(588)
1.2744790580399661e-15,0.11224537200002896,0.0,0.0,0.0,0.0,0.99999999999948397,5.1289713231279292e-13,1.651967302460197e-15,7.1538632351746472e-23,1.6519673033029107e-15,5.1707837810347778e-23,1.5517164710326042e-23,2.8825074877519418e-44,1.1218415140891418e-39,6.8939031913961275e-47,8.2094315859582708e-68,1.2908969152557241e-70,5.4786588478634734e-76,5.223275815604091e-78,1.177323650473541e-78,1.1389564057530218e-51,4.7304625391590738e-53,1.0878016793094489e-74,3.7441456519619883e-69,5.9571983779833639e-66,3.2280184835219733e-76,6.6949992635699816e-89,7.010183899879617e-145,2.5117694050861252e-121,8.8727363796547175e-127,1.6255571699892083e-109,5.2949867290858626e-176
2.5495115155840746e-15,0.11224537200005798,0.0,0.0,0.0,0.0,0.99999999999896727,1.0260169727461438e-12,3.3046519866757415e-15,2.8624771276031083e-22,3.3046519900476999e-15,2.0689870761467351e-22,6.2088872050439022e-23,4.6146918898045162e-43,8.9781743866885856e-39,1.1034773715335937e-45,5.257373625168545e-66,8.2689966089981272e-69,7.0115220539928598e-74,6.6917119128387453e-76,1.5083083655973932e-76,3.6468490009927952e-50,1.5146566964536801e-51,1.3932771243745007e-72,2.3977580402919779e-67,3.8149334914173557e-64,4.134421830260097e-74,1.7150204976132298e-86,5.7504613510841043e-141,5.1500536340068446e-118,3.6384447812724717e-123,1.6559777478732173e-106,3.478091641029712e-171
5.0995764306722915e-15,0.11224537200011594,0.0,0.0,0.0,0.0,0.99999999999793432,2.05225665318201e-12,6.6100215673284371e-15,1.145177244113747e-21,6.6100215808185092e-15,8.277295851753273e-22,2.4839592737758137e-22,7.3856459984754083e-42,7.1839560476492921e-38,1.7659355306933418e-44,3.3658001145197355e-64,5.2944732686068136e-67,8.9598911742996345e-72,8.569168771678559e-74,1.9314861162855994e-74,1.1673410965557633e-48,4.8483509182694653e-50,1.7839735660139551e-70,1.5350867628671682e-65,2.4423006049632943e-62,5.2937266134010528e-72,4.3918831088129141e-84,4.71335100196769e-137,1.0553323555781642e-114,1.491130172546509e-119,1.6755933239360159e-103,2.2819429790053716e-166
1.0199706260848725e-14,0.1122453720002319,0.0,0.0,0.0,0.0,0.99999999999586853,4.1047360123303963e-12,1.3220761577520138e-14,4.5810817876834472e-21,1.3220761631485155e-14,3.3111880515682567e-21,9.9366464961186914e-22,1.1818726960110225e-40,5.7477944513023266e-37,2.825824219359882e-43,2.1544742012629354e-62,3.3891944140750861e-65,1.1423280727555369e-69,1.0970923352984774e-71,2.4728402194685613e-72,3.7360451233231071e-47,1.5517011070782755e-48,2.2838782038256046e-68,9.8267354958902254e-64,1.5633082107447896e-60,6.7771107591757016e-70,1.1245160890720197e-81,3.8612628280372783e-133,2.1619025594673737e-111,6.1090948699744081e-116,1.67465727491611e-100,1.4962298693123252e-161
2.0399965921201593e-14,0.11224537200046374,0.0,0.0,0.0,0.0,0.99999999999173739,8.2096947237337891e-12,2.6442244993447897e-14,1.8325072788014971e-20,2.6442245209319453e-14,1.324529310514917e-20,3.9748209323392583e-21,1.8911260023750973e-39,4.5985881212289812e-36,4.5216764868435128e-42,1.3790000443319443e-60,2.1693070401446569e-63,1.4502256818319358e-67,1.4044235953351948e-69,3.1655629408505563e-70,1.1956194736101267e-45,4.9657895423352335e-47,2.9236700842091679e-66,6.2904622052959312e-62,1.0005901215453709e-58,8.6756208875797538e-68,2.8790651326097593e-79,3.1615962661744964e-129,4.428032637591104e-108,2.502363663706039e-112,1.6357271067433237e-97,9.8068279907363253e-157
4.0800485241907334e-14,0.11224537200092745,0.0,0.0,0.0,0.0,0.99999999998347466,1.641961211896705e-11,5.288522540747364e-14,7.3301782359372926e-20,5.2885226270999113e-14,5.2982265901154297e-20,1.5899611986341291e-20,3.0258868267802431e-38,3.679172648413809e-35,7.2352752141106249e-41,8.826301769425386e-59,1.3884149863581045e-61,1.826131934975542e-65,1.7977388428702225e-67,4.0520925833167408e-68,3.8260956438575082e-44,1.589095130426903e-45,3.7426344820975917e-64,4.0271651132170055e-60,6.4039766342200691e-57,1.1105866847423109e-65,7.3710803909930497e-77,2.5867535031305186e-125,9.0685057318540777e-105,1.0248092761437267e-108,1.5332126544507597e-94,6.4257084587907463e-152
8.160152388331882e-14,0.1122453720018549,0.0,0.0,0.0,0.0,0.9999999999669491,3.2839446799139464e-11,1.0577124056414878e-13,2.9321011112827987e-19,1.0577124401845917e-13,2.1193134389375663e-19,6.3599133132655816e-20,4.8414278006701444e-37,2.9437167792174379e-34,1.1577895861137948e-39,5.6493961368140081e-57,8.8859269451660104e-60,2.2637196070772985e-63,2.3011248816503135e-65,5.1867198331795144e-66,1.2243541906012465e-42,5.0850899166324528e-44,4.7911484543484683e-62,2.5788629405765661e-58,4.0985663429786596e-55,1.4217434353434619e-63,1.8872285098133903e-74,2.113522586731743e-121,1.856984976955063e-101,4.1958614015740577e-105,1.3426348301067741e-91,4.2085578881658338e-147
1.6320360116614176e-13,0.11224537200370988,0.0,0.0,0.0,0.0,0.99999999993389765,6.5679115718307785e-11,2.115434881915351e-13,1.1728464019181494e-18,2.1154350201023395e-13,8.4773068264170196e-19,2.5439813225190554e-19,7.7461018275195507e-36,2.3555373648879805e-33,1.8528937773471481e-38,3.6162269454809448e-55,5.6869747694635445e-58,2.7255368331949203e-61,2.9454309179672044e-63,6.6389764795140097e-64,3.9178460407974807e-41,1.6271736785177921e-42,6.1339623521681468e-60,1.6523159075421905e-56,2.6230346748377297e-53,1.8202718509499108e-61,4.8323477687196309e-72,1.7222727827933813e-117,3.80189641852849e-98,1.7170936632437009e-101,1.0661050805108767e-88,2.7544603014405603e-142
3.2640775573178764e-13,0.11224537200741969,0.0,0.0,0.0,0.0,0.99999999986779553,1.3135845179193816e-10,4.2308885269878485e-13,4.6913974744844681e-18,4.2308890798481695e-13,3.3909393164494899e-18,1.0175975631904403e-18,1.2393009592743441e-34,1.8853154261167687e-32,2.9659791800460284e-37,2.3151359355639545e-53,4.809778994207645e-56,4.1139287251122083e-59,4.9727491662006637e-61,1.1208518424666261e-61,1.2536371680486313e-39,5.2065298788282446e-41,7.8546623962173341e-58,1.0598266437218651e-54,1.6786570133334485e-51,2.3310412984205776e-59,1.2375963204137751e-69,7.3787347985332164e-113,1.2360959377528054e-94,1.1151645852002577e-97,1.1886949938980826e-85,5.2038037774099788e-136
6.528160648630795e-13,0.11224537201483939,0.0,0.0,0.0,0.0,0.99999999973559039,2.627171168803703e-10,8.4618305869385411e-13,1.8765613247390486e-17,8.4618327992703054e-13,1.356383821104744e-17,4.0704149991203769e-18,1.9826270201577584e-33,1.5096624673899342e-31,4.7498612499564307e-36,1.4826364935751878e-51,3.0910361380363849e-54,4.3683977164944819e-57,6.4034127033789175e-59,1.4433175713859655e-59,4.0111399968365205e-38,1.6658053287017245e-39,1.0062057695810341e-55,6.8128441861268339e-53,1.0742238026995475e-49,2.9865096316198173e-57,3.170860274988619e-67,5.9241660895502106e-109,2.5286246342652269e-91,4.5524669949860706e-94,7.5206788643102706e-83,3.4188888983779899e-131
