Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4)
3.0433214979771444e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999989,1.2247448713915888e-16
8.521300194336004e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,3.4292856398964485e-16
1.9477257587053722e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999911,7.8383671769061644e-16
4.138917237248916e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999822,1.6656530250925588e-15
8.521300194336005e-18,0.11224537200000019,0.0,0.0,0.0,0.0,0.99999999999999667,3.4292856398964401e-15
1.728606610851018e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.99999999999999312,6.9565508695041872e-15
3.481559793685853e-17,0.11224537200000077,0.0,0.0,0.0,0.0,0.99999999999998601,1.4011081328719618e-14
6.987466159355524e-17,0.11224537200000156,0.0,0.0,0.0,0.0,0.9999999999999718,2.812014224715023e-14
1.3999278890694863e-16,0.11224537200000316,0.0,0.0,0.0,0.0,0.99999999999994371,5.6338264084010461e-14
2.8022904353373545e-16,0.11224537200000632,0.0,0.0,0.0,0.0,0.99999999999988731,1.1277450775772696e-13
5.607015527873091e-16,0.11224537200001267,0.0,0.0,0.0,0.0,0.99999999999977429,2.2564699510514397e-13
1.1216465712944563e-15,0.11224537200002532,0.0,0.0,0.0,0.0,0.99999999999954858,4.5139196979991432e-13
2.243536608308751e-15,0.11224537200005068,0.0,0.0,0.0,0.0,0.99999999999909706,9.0288191918920027e-13
4.48731668233734e-15,0.11224537200010135,0.0,0.0,0.0,0.0,0.99999999999819411,1.8058618179667528e-12
8.974876830394518e-15,0.11224537200020271,0.0,0.0,0.0,0.0,0.99999999999638811,3.6118216155177806e-12
1.7949997126508875e-14,0.11224537200040541,0.0,0.0,0.0,0.0,0.99999999999277622,7.2237412106035297e-12
3.590023771873759e-14,0.11224537200081083,0.0,0.0,0.0,0.0,0.99999999998555233,1.4447580400709797e-11
7.180071890319501e-14,0.11224537200162167,0.0,0.0,0.0,0.0,0.99999999997110467,2.8895258780661404e-11
1.4360168127210987e-13,0.11224537200324336,0.0,0.0,0.0,0.0,0.99999999994220945,5.7790615539520865e-11
2.872036060099396e-13,0.11224537200648674,0.0,0.0,0.0,0.0,0.99999999988441857,1.1558132905306445e-10
5.74407455485599e-13,0.11224537201297348,0.0,0.0,0.0,0.0,0.99999999976883724,2.31162756063448e-10
1e-12,0.11224537202594695,0.0,0.0,0.0,0.0,0.99999999959756314,4.0243690053265189e-10
1.1488151544369178e-12,0.11224537202594695,0.0,0.0,0.0,0.0,0.99999999953767449,4.6232561001738106e-10
2.2976305523395552e-12,0.1122453720518939,0.0,0.0,0.0,0.0,0.99999999907534876,9.246513176577562e-10
4.5952613481448305e-12,0.11224537210378784,0.0,0.0,0.0,0.0,0.99999999815069729,1.8493027318673048e-09
9.19052293975538e-12,0.11224537220757567,0.0,0.0,0.0,0.0,0.99999999630139436,3.6986055559916883e-09
1e-11,0.11224537241515134,0.0,0.0,0.0,0.0,0.99999999597563094,4.0243689927994543e-09
1.838104612297648e-11,0.11224537241515134,0.0,0.0,0.0,0.0,0.99999999260278882,7.397211186982353e-09
3.676209248941868e-11,0.11224537283030271,0.0,0.0,0.0,0.0,0.99999998520557765,1.4794422379297271e-08
7.352418522230308e-11,0.11224537366060545,0.0,0.0,0.0,0.0,0.99999997041115551,2.9588844480189507e-08
9.999999999999999e-11,0.11224537449090818,0.0,0.0,0.0,0.0,0.99999995975631129,4.0243688691674829e-08
1.1028627795518749e-10,0.11224537449090818,0.0,0.0,0.0,0.0,0.99999995561673383,4.4383266235862789e-08
1.838104634209563e-10,0.11224537615151353,0.0,0.0,0.0,0.0,0.99999992602789156,7.3972108544632832e-08
2.5733464888672513e-10,0.11224537781211896,0.0,0.0,0.0,0.0,0.99999989643905063,1.035609493778505e-07
3.3085883435249394e-10,0.11224537947272432,0.0,0.0,0.0,0.0,0.99999986685021136,1.3314978868141497e-07
4.779072052840316e-10,0.11224538279393484,0.0,0.0,0.0,0.0,0.99999980767253704,1.9232746291479972e-07
7.720039471471068e-10,0.1122453894363554,0.0,0.0,0.0,0.0,0.99999968931720951,3.1068279048568359e-07
9.999999999999999e-10,0.11224539541453314,0.0,0.0,0.0,0.0,0.99999959756324686,4.0243675316865646e-07
1.0366910148238746e-09,0.11224539541453314,0.0,0.0,0.0,0.0,0.99999958279744028,4.1720255977215743e-07
1.3013780825006423e-09,0.11224540139271015,0.0,0.0,0.0,0.0,0.99999947627769792,5.2372230204245474e-07
1.56606515017741e-09,0.11224540737088601,0.0,0.0,0.0,0.0,0.9999993697579852,6.3024201486608119e-07
2.0954392855309453e-09,0.11224541932723374,0.0,0.0,0.0,0.0,0.99999915671866113,8.4328133899886435e-07
2.571876007349127e-09,0.11224543008794191,0.0,0.0,0.0,0.0,0.99999896498339536,1.0350166045966921e-06
3.048312729167309e-09,0.11224544084864554,0.0,0.0,0.0,0.0,0.99999877324826525,1.2267517347096852e-06
3.5247494509854907e-09,0.11224545160934177,0.0,0.0,0.0,0.0,0.9999985815132848,1.4184867152999276e-06
4.0011861728036725e-09,0.112245462370031,0.0,0.0,0.0,0.0,0.99999838977846833,1.6102215317471994e-06
4.954059616440036e-09,0.1122454838913841,0.0,0.0,0.0,0.0,0.99999800630938018,1.9936906197825865e-06
5.9069330600764e-09,0.11224550541270077,0.0,0.0,0.0,0.0,0.99999762284111793,2.377158882032438e-06
6.859806503712763e-09,0.11224552693397122,0.0,0.0,0.0,0.0,0.99999723937380469,2.7606261952182022e-06
8.76555339098549e-09,0.11224556997635113,0.0,0.0,0.0,0.0,0.99999647244249978,3.5275575000653654e-06
9.999999999999999e-09,0.11224561301847132,0.0,0.0,0.0,0.0,0.99999597566584997,4.0243341499258882e-06
1.0671300278258218e-08,0.11224561301847132,0.0,0.0,0.0,0.0,0.99999570551641392,4.2944835860871729e-06
1.4482794052803672e-08,0.11224569910172126,0.0,0.0,0.0,0.0,0.99999417168365701,5.8283163429809556e-06
1.8294287827349126e-08,0.11224578518329874,0.0,0.0,0.0,0.0,0.99999263788307058,7.3621169293734103e-06
2.210578160189458e-08,0.11224587126277744,0.0,0.0,0.0,0.0,0.99999110412218772,8.8958778123180602e-06
2.9728769150985492e-08,0.1122460434137583,0.0,0.0,0.0,0.0,0.99998803674966374,1.1963250336228418e-05
4.4974744249167316e-08,0.11224638767196458,0.0,0.0,0.0,0.0,0.99998190281245258,1.8097187547417842e-05
6.022071934734913e-08,0.11224673184928839,0.0,0.0,0.0,0.0,0.99997577035383667,2.4229646163269688e-05
7.546669444553095e-08,0.11224707591871771,0.0,0.0,0.0,0.0,0.99996963985518839,3.0360144811678932e-05
9.071266954371277e-08,0.11224741985327222,0.0,0.0,0.0,0.0,0.99996351179726473,3.6488202735345134e-05
9.999999999999998e-08,0.11224776362601226,0.0,0.0,0.0,0.0,0.99995978019327814,4.02198067219302e-05
1.0595864464189459e-07,0.11224776362601226,0.0,0.0,0.0,0.0,0.99995738666005018,4.2613339949793196e-05
1.212046197400764e-07,0.11224810721009007,0.0,0.0,0.0,0.0,0.99995126492271591,4.8735077283972848e-05
1.4168216189953823e-07,0.11224856834898826,0.0,0.0,0.0,0.0,0.99994304873505291,5.6951264947191476e-05
1.6215970405900006e-07,0.11224902903420626,0.0,0.0,0.0,0.0,0.99993484069759675,6.5159302403263188e-05
1.8263724621846188e-07,0.11224948920121258,0.0,0.0,0.0,0.0,0.999926641960313,7.3358039687003722e-05
2.031147883779237e-07,0.11224994878576641,0.0,0.0,0.0,0.0,0.99991845366804144,8.1546331958438434e-05
2.2359233053738554e-07,0.11225040772388319,0.0,0.0,0.0,0.0,0.9999102769597128,8.9723040287122875e-05
2.440698726968474e-07,0.11225086595203417,0.0,0.0,0.0,0.0,0.99990211296780496,9.7887032194947574e-05
2.6454741485630924e-07,0.11225132340701885,0.0,0.0,0.0,0.0,0.99989396281776333,0.00010603718223662698
3.055024991752329e-07,0.11225223574686868,0.0,0.0,0.0,0.0,0.99987770850475255,0.00012229149524750019
3.4214931164500317e-07,0.11225304887289045,0.0,0.0,0.0,0.0,0.9998632220156779,0.0001367779843221709
3.751314428677964e-07,0.11225377776865827,0.0,0.0,0.0,0.0,0.99985023633369818,0.00014976366630176972
4.0811357409058966e-07,0.11225450364019676,0.0,0.0,0.0,0.0,0.99983730469807786,0.00016269530192212432
4.410957053133829e-07,0.11225522624098247,0.0,0.0,0.0,0.0,0.99982443149796174,0.00017556850203813163
4.7407783653617615e-07,0.11225594532912145,0.0,0.0,0.0,0.0,0.99981162104011434,0.00018837895988578653
5.400420989817626e-07,0.11225737202489051,0.0,0.0,0.0,0.0,0.99978620513425409,0.00021379486574586004
5.994099351827904e-07,0.11225864171636177,0.0,0.0,0.0,0.0,0.99976358672857957,0.00023641327142044652
6.587777713838183e-07,0.11225989650743842,0.0,0.0,0.0,0.0,0.99974123427209494,0.00025876572790495077
