Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14)
2.741757273319308e-06,0.1124244612249963,0.0,0.0,0.0,0.0,0.99670973759950854,0.0006227223016558736,2.6121501805246457e-05,0.00025812946412942148,7.5624772872250864e-05,0.0012307387098150014,0.0010769239962152163,1.6539984276270317e-09
2.7992328516585665e-06,0.1124307730246258,0.0,0.0,0.0,0.0,0.99659290123064359,0.00062615057881173228,2.6517901548017156e-05,0.00026828572953899231,7.6704875977383054e-05,0.0012843362821346434,0.0011251016657480544,1.735597590311234e-09
2.856708429997825e-06,0.11243714890403887,0.0,0.0,0.0,0.0,0.9964748671457746,0.00062936163003610764,2.6900604340854697e-05,0.00027855486102244044,7.7739325776760151e-05,0.0013386347938215955,0.0011739398209100554,1.8183176326843007e-09
2.914184008337083e-06,0.11244358611339303,0.0,0.0,0.0,0.0,0.9963556877136015,0.00063236678728751294,2.7269970982068901e-05,0.00028893142759592804,7.8729370585250256e-05,0.0013936031696853415,0.0012234096581740848,1.9020882979257183e-09
2.9716595866763414e-06,0.11245008198462543,0.0,0.0,0.0,0.0,0.99623541376501301,0.00063517697619901159,2.7626374744053279e-05,0.0002994101604841177,7.9676298995405882e-05,0.0014492112466239664,0.0012734831910982628,1.9868420317888917e-09
3.0291351650155997e-06,0.11245663393270783,0.0,0.0,0.0,0.0,0.99611409456454292,0.00063780271101283555,2.7970198171942287e-05,0.00030998595837115244,8.0581428965604635e-05,0.001505429794244853,0.0013241332721764985,2.0725140532395358e-09
3.086610743354858e-06,0.11246323945637769,0.0,0.0,0.0,0.0,0.99599177779246628,0.00064025409236876209,2.8301830209897461e-05,0.00032065389121385858,8.144609804287794e-05,0.0015622305285684446,0.0013753336080874669,2.1590424423279672e-09
3.1440863216941163e-06,0.11246989613839434,0.0,0.0,0.0,0.0,0.99586850953636119,0.00064254080762189084,2.8621663635966007e-05,0.00033140920275138416,8.227165465400814e-05,0.0016195861195619557,0.0014270587690453996,2.2463681570983121e-09
3.2015619000333746e-06,0.11247660164538062,0.0,0.0,0.0,0.0,0.99574433429103715,0.00064467213338256747,2.8930092786013487e-05,0.00034224731184171202,8.3059450396430091e-05,0.001677470193206045,0.00147928419291499,2.3344350095865643e-09
3.259037478372633e-06,0.1124833537272995,0.0,0.0,0.0,0.0,0.99561929496580248,0.00064665693999028549,2.9227511546951222e-05,0.00035316381275054181,8.3810833259435571e-05,0.001735857328751233,0.0015319861847094057,2.4231896856899372e-09
3.3165130567118912e-06,0.11249015021661553,0.0,0.0,0.0,0.0,0.99549343289812853,0.00064850369765404254,2.9514311599361743e-05,0.00036415447451221858,8.4527141706077332e-05,0.0017947230517728183,0.0015851419120450588,2.5125817077096481e-09
3.3739886350511495e-06,0.11249698902718437,0.0,0.0,0.0,0.0,0.99536678787284527,0.00065022048401215942,2.9790880889864295e-05,0.00037521523947580922,8.5209699547062344e-05,0.0018540438235847556,0.0016387293970815937,2.6025633417987404e-09
3.431464213390408e-06,0.11250386815291115,0.0,0.0,0.0,0.0,0.99523939814607143,0.00065181499288480586,3.0057602314124344e-05,0.00038634222114230252,8.5859811539776195e-05,0.0019137970275262147,0.0016927275054318108,2.6930895732628787e-09
3.488939791729666e-06,0.11251078566621307,0.0,0.0,0.0,0.0,0.9951113004731631,0.00065329454401258792,3.0314852592131354e-05,0.00039753170139146917,8.6478759648173109e-05,0.0019739609525902522,0.001747115932484541,2.7841180443547747e-09
3.5464153700689244e-06,0.11251773971632024,0.0,0.0,0.0,0.0,0.99498253014002269,0.00065466609359381622,3.0563001318181897e-05,0.00040878012718938085,8.7067799902263809e-05,0.0020345147748212925,0.0018018751875434758,2.8756089145755868e-09
3.6038909484081828e-06,0.11252472852744251,0.0,0.0,0.0,0.0,0.99485312099718148,0.00065593624545153798,3.0802410168913903e-05,0.00042008410686011097,8.7628159799140807e-05,0.0020954385368671669,0.0018569865761468053,2.9675248071674613e-09
3.661366526747441e-06,0.11253175039682992,0.0,0.0,0.0,0.0,0.99472310549611831,0.00065711126267943012,3.1033432253708771e-05,0.00043144040599780493,8.8161036190853928e-05,0.002156713126032966,0.0019124321808962376,3.0598307465124031e-09
3.7188421050866994e-06,0.11253880369275092,0.0,0.0,0.0,0.0,0.99459251472734689,0.00065819707963234164,3.1256411592772113e-05,0.00044284594308820067,8.8667593607982373e-05,0.0022183202511477039,0.0019681948410899871,3.1524939885429345e-09
3.7763176834259577e-06,0.11254588685240748,0.0,0.0,0.0,0.0,0.99446137845984761,0.00065919931414257379,3.1471682709211047e-05,0.00045429778490185384,8.9148962971357922e-05,0.0022802424185207485,0.0020242581314226936,3.2454839464284763e-09
3.833793261765216e-06,0.1125529983798075,0.0,0.0,0.0,0.0,0.9943297251814649,0.00066012327985770546,3.1679570322439854e-05,0.00046579314171482644,8.9606240647968196e-05,0.002342462907233985,0.0020806063399859522,3.3387721465656775e-09
3.891268840104475e-06,0.1125601368436095,0.0,0.0,0.0,0.0,0.99419758213994724,0.00066097399860925023,3.1880389131241179e-05,0.00047732936240650663,9.0040487810549101e-05,0.0024049657439869977,0.0021372244457761335,3.4323320436492291e-09
3.948744418443733e-06,0.11256730087495499,0.0,0.0,0.0,0.0,0.99406497538433258,0.00066175621273328097,3.2074443675764562e-05,0.00048890392947850746,9.04527300637462e-05,0.0024677356776856528,0.0021940980958913342,3.526138926517857e-09
4.006219996782992e-06,0.11257448916529939,0.0,0.0,0.0,0.0,0.99393192980643252,0.00066247439727561575,3.2262028268658997e-05,0.00050051445403330322,9.0843957302960519e-05,0.0025307581539404569,0.0022512135825765614,3.6201699064407871e-09
4.063695575122251e-06,0.11258170046425409,0.0,0.0,0.0,0.0,0.99379846918218928,0.00066313277202452708,3.2443426986412537e-05,0.00051215867074635632,9.1215123775064091e-05,0.0025940192896192777,0.0023085578202555043,3.7144037305282001e-09
4.12117115346151e-06,0.11258893357744756,0.0,0.0,0.0,0.0,0.99366461621272295,0.0006637353133226129,3.2618913712802141e-05,0.00052383443286100674,9.156714831307856e-05,0.0026575058475784962,0.0023661183226685164,3.8088206628780411e-09
4.178646731800768e-06,0.11259618736441365,0.0,0.0,0.0,0.0,0.99353039256490339,0.00066428576561785755,3.2788752227133039e-05,0.00053553970723127931,9.1900914719640227e-05,0.0027212052116787947,0.0024238831802194144,3.903402513448206e-09
4.236122310140027e-06,0.11260346073651405,0.0,0.0,0.0,0.0,0.99339581891131012,0.00066478765272168542,3.2953196330673413e-05,0.00054727256943404171,9.2217272276610466e-05,0.0027851053621759723,0.0024818410376184464,3.9981324644430678e-09
4.293597888479286e-06,0.11261075265490063,0.0,0.0,0.0,0.0,0.99326091496946578,0.00066524428874778518,3.3112490005363255e-05,0.00055903119896858183,9.2517036360544887e-05,0.002849194851562013,0.0025399810718950487,4.0929949176695075e-09
