Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5)
3.287162915046676e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999989,1.3228756555322953e-16,0.0
9.204056162130693e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,3.7040518354904263e-16,0.0
2.103784265629873e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999911,8.4664041954066859e-16,0.0
4.470541564463479e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999822,1.7991108915239191e-15,0.0
9.204056162130692e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999634,3.704051835490417e-15,0.0
1.867108535746512e-17,0.11224537200000043,0.0,0.0,0.0,0.0,0.99999999999999245,7.5139337234233908e-15,0.0
3.760514374813397e-17,0.11224537200000086,0.0,0.0,0.0,0.0,0.9999999999999849,1.5133697499289272e-14,0.0
7.547326052947168e-17,0.1122453720000017,0.0,0.0,0.0,0.0,0.99999999999996969,3.0373225051020741e-14,0.0
1.512094940921471e-16,0.11224537200000342,0.0,0.0,0.0,0.0,0.99999999999993916,6.0852280154482512e-14,0.0
3.026819612174979e-16,0.11224537200000682,0.0,0.0,0.0,0.0,0.99999999999987821,1.218103903614014e-13,0.0
6.056268954681995e-16,0.11224537200001368,0.0,0.0,0.0,0.0,0.9999999999997562,2.4372661077522061e-13,0.0
1.2115167639696027e-15,0.11224537200002736,0.0,0.0,0.0,0.0,0.99999999999951239,4.8755905160278467e-13,0.0
2.4232965009724095e-15,0.11224537200005474,0.0,0.0,0.0,0.0,0.99999999999902478,9.7522393325761562e-13,0.0
4.846855974978022e-15,0.11224537200010949,0.0,0.0,0.0,0.0,0.99999999999804934,1.9505536965660882e-12,0.0
9.693974922989248e-15,0.11224537200021896,0.0,0.0,0.0,0.0,0.99999999999609879,3.9012132231782776e-12,0.0
1.93882128190117e-14,0.11224537200043791,0.0,0.0,0.0,0.0,0.99999999999219746,7.8025322763836296e-12,0.0
3.877668861105661e-14,0.11224537200087581,0.0,0.0,0.0,0.0,0.99999999998439482,1.5605170382718235e-11,0.0
7.755364019514643e-14,0.11224537200175162,0.0,0.0,0.0,0.0,0.99999999996878952,3.1210446595083019e-11,0.0
1.5510754336332606e-13,0.11224537200350325,0.0,0.0,0.0,0.0,0.99999999993757893,6.2420999018594869e-11,0.0
3.102153496996853e-13,0.11224537200700646,0.0,0.0,0.0,0.0,0.99999999987515797,1.2484210386074735e-10,0.0
6.204309623724037e-13,0.11224537201401295,0.0,0.0,0.0,0.0,0.99999999975031573,2.4968431352556426e-10,0.0
