Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51)
9.977658998541783e-16,0.11224537200002269,0.0,0.0,0.0,0.0,0.99999999999959588,4.0153760514297824e-13,1.2932944044968284e-15,4.3846258539182233e-23,1.2932944050133303e-15,3.1691900467223799e-23,9.5105202675515342e-24,1.0828151424658723e-44,5.382933614019155e-40,2.5896952594229787e-47,1.7636836485793628e-68,2.9721271067525407e-71,9.8774569417002039e-77,9.4148786792071507e-79,2.1221087596631149e-79
1.9959650458654795e-15,0.11224537200004539,0.0,0.0,0.0,0.0,0.99999999999919142,8.0324956434695333e-13,2.587150421774482e-15,1.7544214653863652e-22,2.5871504238411647e-15,1.2680888430211443e-22,3.8054469656061617e-23,1.7335111849792288e-43,4.3079951841660081e-39,4.1452104085651829e-46,1.129475767325255e-66,1.9038324376474188e-69,1.2643933931820055e-74,1.2061715941933649e-76,2.7187044786852992e-77
3.9923633378880815e-15,0.11224537200009072,0.0,0.0,0.0,0.0,0.99999999999838318,1.6066734824908435e-12,5.1748625864011015e-15,7.0188282710245734e-22,5.1748625946691992e-15,5.073181247670214e-22,1.522426626837412e-22,2.7744221965147296e-42,3.4470703814175815e-38,6.6337229056977857e-45,7.2309659628553058e-65,1.2189863682175447e-67,1.6164792869397362e-72,1.5445811729960572e-74,3.4814778419478936e-75
7.985159921933286e-15,0.11224537200018152,0.0,0.0,0.0,0.0,0.9999999999967657,3.2135213177223783e-12,1.0350287435939526e-14,2.8077598058744093e-21,1.0350287469014766e-14,2.0294377733928483e-21,6.0902024924975472e-22,4.4397141671158322e-41,2.7579496700142473e-37,1.0615153851725077e-43,4.6285890257139462e-63,7.8032031739409811e-66,2.0627710961774923e-70,1.9774957702374619e-72,4.4572649107485389e-73
1.5970753090023696e-14,0.11224537200036304,0.0,0.0,0.0,0.0,0.9999999999935314,6.4272169839604736e-12,2.0701139216156704e-14,1.1231496229072887e-20,2.0701139348464354e-14,8.1180823535525208e-21,2.4361804124885737e-21,7.1040379729764818e-40,2.2065149167815804e-36,1.6985485791163033e-42,2.9625794092447929e-61,4.9945696868039558e-64,2.6234488332968792e-68,2.5314602619009719e-70,5.7058975162068169e-71
3.194193942620452e-14,0.11224537200072607,0.0,0.0,0.0,0.0,0.99999999998706268,1.2854608299536763e-11,4.1402851101148903e-14,4.4926898898706734e-20,4.1402851630400683e-14,3.2472997542493604e-20,9.7449222039073785e-21,1.1366806910406419e-38,1.7653345335562472e-35,2.7178670789277358e-41,1.8961869643612456e-59,3.1966663819219813e-62,3.3150397390142886e-66,3.2404144720386973e-68,7.3038753803837443e-69
6.388431209856616e-14,0.11224537200145218,0.0,0.0,0.0,0.0,0.99999999997412503,2.5709390863089726e-11,8.2806308169337234e-14,1.7970942321587065e-19,8.2806310286449075e-14,1.2989337121074777e-19,3.8980103682631152e-20,1.8187007644932796e-37,1.4124135096739694e-34,4.3490273842415526e-40,1.2136617940258321e-57,2.0458873154318495e-60,4.1370324409760361e-64,4.1477740848719272e-66,9.3490560388253654e-67
1.2776905744328945e-13,0.11224537200290437,0.0,0.0,0.0,0.0,0.99999999994824984,5.1418955719797175e-11,1.6561335549830962e-13,7.1884134524137387e-19,1.656133639674656e-13,5.1957660511530696e-19,1.559213545127486e-19,2.9098792434280975e-36,1.1301441084441108e-33,6.9597192989485846e-39,7.7685119603128272e-56,1.3093590821120664e-58,5.0427639509554383e-62,5.309116387122269e-64,1.1966707356932725e-64
2.55538548132736e-13,0.11224537200580875,0.0,0.0,0.0,0.0,0.99999999989649935,1.0283808435161796e-10,3.3122798292487776e-13,2.8753726626938088e-18,3.3122801680691181e-13,2.0783155264408504e-18,6.2368817797911408e-19,4.6556090196746315e-35,9.0444852133335404e-33,1.1139526244998752e-37,4.9731514587509146e-54,1.1073421498213477e-56,7.7730114843157853e-60,8.9629152909146966e-62,2.020231878710787e-62
5.110775295116291e-13,0.1122453720116175,0.0,0.0,0.0,0.0,0.99999999979299858,2.0567633728888159e-10,6.6245936883842949e-13,1.1501505029898316e-17,6.624595044093319e-13,8.3133032409789201e-18,2.4947652746991614e-18,7.4482909477920534e-34,7.2408876807691991e-32,1.7835878085595008e-36,3.184461709848449e-52,7.1154541740752304e-55,8.5209743902479267e-58,1.1540014308743747e-59,2.6011014775890595e-60
