Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28)
9.156127845842709e-16,0.1122453720000208,0.0,0.0,0.0,0.0,0.99999999999962941,3.6847617744533994e-13,1.1868083380364096e-15,3.6923165085880927e-23,1.1868083384713583e-15,2.6687916151370023e-23,8.0088591629801838e-24,7.6786893311681581e-45,4.1597621053153576e-40,1.8364593781967568e-47,1.0532216108661284e-68,1.7748754888207593e-71
1.831623143108874e-15,0.11224537200004166,0.0,0.0,0.0,0.0,0.99999999999925804,7.3711235315675812e-13,2.3741320440299139e-15,1.4774075498193533e-22,2.3741320457702771e-15,1.0678642863345289e-22,3.2045869106464073e-23,1.2293044049841392e-43,3.3290826500753649e-39,2.939538452839553e-46,6.7449062708325226e-67,1.1369218181710764e-69
3.663643860158079e-15,0.11224537200008328,0.0,0.0,0.0,0.0,0.99999999999851619,1.4743847043572281e-12,4.7487795655506587e-15,5.9105922283937197e-22,4.7487795725132642e-15,4.2721526094101295e-22,1.2820434690233009e-22,1.9674575297399503e-42,2.6637858934809407e-38,4.7042424305162004e-45,4.3181246490883919e-65,7.279531874807254e-68
7.327685294256489e-15,0.11224537200016657,0.0,0.0,0.0,0.0,0.99999999999703204,2.9489294058686987e-12,9.4980750467270508e-15,2.3644293103400436e-21,9.4980750745798645e-15,1.7090002140585097e-21,5.1285915229591639e-22,3.1483853235258899e-41,2.1312534121910808e-37,7.5276300185085106e-44,2.7640582498449286e-63,4.6599680392520336e-66
1.465576816245331e-14,0.11224537200033316,0.0,0.0,0.0,0.0,0.99999999999406386,5.8980188053337653e-12,1.899666776161911e-14,9.4581020886804897e-21,1.8996667873035903e-14,6.8362797473333185e-21,2.051520307620625e-21,5.0377689783345076e-40,1.7051194393044412e-36,1.2045065161771877e-42,1.7691635969668998e-61,2.9827635588888583e-64
2.931193389884695e-14,0.11224537200066628,0.0,0.0,0.0,0.0,0.99999999998812794,1.1796197590032404e-11,3.7993860201557713e-14,3.7833178028285095e-20,3.799386064724198e-14,2.734568110628324e-20,8.206249959061571e-21,8.0606797380803361e-39,1.3641851581191766e-35,1.9273376828122747e-41,1.1323430025367088e-59,1.9091457490524825e-62
5.862426537163423e-14,0.1122453720013326,0.0,0.0,0.0,0.0,0.99999999997625566,2.3592555102503689e-11,7.5988273122031482e-14,1.5133425119572728e-19,7.5988274904850969e-14,1.0938388326768957e-19,3.2825347926247388e-20,1.2897182740969852e-37,1.091452644410099e-34,3.0840298898026999e-40,7.2475667521126139e-58,1.2219792940494689e-60
1.172489283172088e-13,0.11224537200266518,0.0,0.0,0.0,0.0,0.99999999995251099,4.7185269899742288e-11,1.5197721112519543e-13,6.0534008073584993e-19,1.5197721825702397e-13,4.3753812755540373e-19,1.313021729270458e-19,2.0635234630914119e-36,8.7331380248134981e-34,4.93528043150173e-39,4.6390364235013828e-56,7.821958415160225e-59
2.3449825420835797e-13,0.11224537200533047,0.0,0.0,0.0,0.0,0.99999999990502131,9.4370698583403399e-11,3.0395553577902887e-13,2.421366457055498e-18,3.0395556431053e-13,1.7501599135115687e-18,5.252109344697753e-19,3.3015100746277163e-35,6.9888752323333777e-33,7.8990377395714313e-38,2.9696990262546411e-54,6.6170476672866859e-57
4.689969059906562e-13,0.11224537201066093,0.0,0.0,0.0,0.0,0.99999999981004262,1.8874155230746025e-10,6.0791397966584034e-13,9.6854779540000998e-18,6.079140938249044e-13,7.0006721750219481e-18,2.1008536659509593e-18,5.2819723174617602e-34,5.5948589772568763e-32,1.2646685024107732e-36,1.9015091490239452e-52,4.2538163804904294e-55
