Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12)
3.888720176065355e-11,0.1122453728839615,0.0,0.0,0.0,0.0,0.99999998424945524,1.5649586202552691e-08,5.0430070922609224e-11,5.0333774839398863e-14,5.0430681399616912e-11,3.6393722582299976e-14,1.0921596658750156e-14
6.128623016466892e-11,0.11224537339312694,0.0,0.0,0.0,0.0,0.99999997517705441,2.4663702651318278e-08,7.9500059343300865e-11,1.2443537901823261e-13,7.9501594995140075e-11,8.9991806687027059e-14,2.7006291258305418e-14
9.999999999999999e-11,0.11224537441146598,0.0,0.0,0.0,0.0,0.99999995949645293,4.0243337013857158e-08,1.2978223184828656e-10,3.3064277380099789e-13,1.2978644272707247e-10,2.3921547240129041e-13,7.1788646107824759e-14
1.0608428697269965e-10,0.11224537441146598,0.0,0.0,0.0,0.0,0.99999995703205935,4.2691835751526885e-08,1.3768905673169933e-10,3.7205174903468165e-13,1.3769381203305144e-10,2.6918662191252207e-13,8.0783096719102019e-14
1.5088234378073038e-10,0.11224537542981579,0.0,0.0,0.0,0.0,0.99999993888680749,6.0719835780662795e-08,1.9594336355699619e-10,7.5221863670610495e-13,1.9595326625581875e-10,5.4445317465288967e-13,1.6339250688854699e-13
1.9568040058876112e-10,0.11224537644817635,0.0,0.0,0.0,0.0,0.99999992074129862,7.8747702727365498e-08,2.5426290833767323e-10,1.2649357467095014e-12,2.5428002856206268e-10,9.1589432461416378e-13,2.7486633906465744e-13
2.4047845739679183e-10,0.11224537746654774,0.0,0.0,0.0,0.0,0.99999990259553273,9.6775436580240913e-08,3.1264761714972782e-10,1.9102024249112221e-12,3.1267417192390856e-10,1.383616040085741e-12,4.1523744053975768e-13
3.3007457101285326e-10,0.11224537950332293,0.0,0.0,0.0,0.0,0.99999986630322846,1.3283050496278353e-07,4.2961225332788975e-10,3.5983815399611099e-12,4.2966487130169781e-10,2.6082930740799047e-12,7.8279331719535154e-13
4.196706846289147e-10,0.11224538154014144,0.0,0.0,0.0,0.0,0.99999983000989412,1.6888504083801915e-07,5.4683668124167859e-10,5.8167496282505783e-12,5.469259464884223e-10,4.2193313738150787e-12,1.2663239363179378e-12
5.092667982449761e-10,0.11224538357700331,0.0,0.0,0.0,0.0,0.99999979371552861,2.049390441110464e-07,6.6432028116110778e-10,8.5652998700218181e-12,6.6445800786311819e-10,6.2176208290366159e-12,1.8661075430206396e-12
5.988629118610375e-10,0.1122453856139087,0.0,0.0,0.0,0.0,0.99999975742013092,2.4099251468789219e-07,7.8206244161178376e-10,1.1844025378959834e-11,7.8226165749407846e-10,8.604041348641543e-12,2.5824207180143238e-12
7.780551390931604e-10,0.11224538968785035,0.0,0.0,0.0,0.0,0.99999968482623414,3.1309785739256459e-07,1.0183201194191182e-09,1.9991975711717091e-11,1.0186860099862387e-09,1.454463502991883e-11,4.3657018904999807e-12
9.39328143602071e-10,0.11224539335454747,0.0,0.0,0.0,0.0,0.99999961948818694,3.7799084309375119e-07,1.2318304308503865e-09,2.9138263685212012e-11,1.2324025432847087e-09,2.1227072009074618e-11,6.3718839493073816e-12
9.999999999999999e-10,0.1122453970213869,0.0,0.0,0.0,0.0,0.99999959490675794,4.0240352029290983e-07,1.3123689641780837e-09,3.3023802346745037e-11,1.3130338909149057e-09,2.4069724017975248e-11,7.2253594761917479e-12
1.1006011481109816e-09,0.1122453970213869,0.0,0.0,0.0,0.0,0.99999955414677899,4.4288210144361223e-07,1.4461693907814683e-09,4.0002216146251727e-11,1.447007968408119e-09,2.9180212987878395e-11,8.7598161014272286e-12
1.2618741526198921e-09,0.11224540068836923,0.0,0.0,0.0,0.0,0.99999948880200484,5.0777163191019179e-07,1.6613336295305547e-09,5.2583794398613329e-11,1.6625056017741503e-09,3.8408967680257779e-11,1.1531084359153455e-11
1.5844201616377135e-09,0.11224540802276435,0.0,0.0,0.0,0.0,0.9999993581023352,6.3754550706498346e-07,2.0941246334013017e-09,8.2899673596962061e-11,2.0961905897321675e-09,6.0712830380993944e-11,1.8230015417080414e-11
1.8747115697537527e-09,0.11224541462421364,0.0,0.0,0.0,0.0,0.99999924046106126,7.5433608000484697e-07,2.4864257194863267e-09,1.160578572544944e-10,2.4895911660687703e-09,8.5197758207652693e-11,2.5586106289184055e-11
2.165002977869792e-09,0.1122454212261337,0.0,0.0,0.0,0.0,0.99999912280879066,8.7112104632622343e-07,2.8813494725975623e-09,1.5478054760679263e-10,2.8859329016613367e-09,1.1389114668207432e-10,3.420915834679139e-11
2.455294385985831e-09,0.11224542782852742,0.0,0.0,0.0,0.0,0.99999900514548867,9.8790040292511274e-07,3.2788771388524476e-09,1.9906751985720565e-10,3.2852342372961522e-09,1.4682094489430652e-10,4.4108635743852076e-11
2.7455857941018703e-09,0.11224543443139778,0.0,0.0,0.0,0.0,0.99999888747112242,1.1046741466976379e-06,3.6789902263648604e-09,2.4891854954838912e-10,3.6875133511160388e-09,1.840148995673103e-10,5.5294062417527198e-11
3.0358772022179095e-09,0.1122454410347477,0.0,0.0,0.0,0.0,0.9999987697856576,1.2214422745400713e-06,4.0816705005053401e-09,3.0433341256791073e-10,4.0927881633637771e-09,2.2550055855821544e-10,6.7775020845042071e-11
3.616460018449988e-09,0.1122454542428975,0.0,0.0,0.0,0.0,0.9999985343813016,1.4549616700203931e-06,4.8946608420260488e-09,4.3185374376776843e-10,4.9123953892155127e-09,3.2145627509160244e-10,9.666212961298713e-11
4.197042834682066e-09,0.11224546745299978,0.0,0.0,0.0,0.0,0.99999829893215486,1.6884585645388943e-06,5.7177071954767643e-09,5.8162672741307721e-10,5.7441943549427507e-09,4.3490468281688601e-10,1.3084773937735397e-10
4.777625650914144e-09,0.11224548066507675,0.0,0.0,0.0,0.0,0.99999806343795405,1.9219329332704243e-06,6.550672635183876e-09,7.5365058333909464e-10,6.5883194474797297e-09,5.6605924564619324e-10,1.7041054782872004e-10
5.358208467146223e-09,0.11224549387915067,0.0,0.0,0.0,0.0,0.99999782789843927,2.1553847513915638e-06,7.393423968328007e-09,9.4792353714972257e-10,7.4449013103043624e-09,7.151305420013359e-10,2.1543010243829795e-10
5.938791283378301e-09,0.11224550709524327,0.0,0.0,0.0,0.0,0.99999759231335028,2.3888139940804449e-06,8.2458314675878135e-09,1.1644438201187966e-09,8.3140671110790329e-09,8.8232647092657079e-10,2.6598673912156369e-10
6.519374099610379e-09,0.11224552031337616,0.0,0.0,0.0,0.0,0.99999735668243073,2.6222206365167722e-06,9.1077688352442389e-09,1.403209669332065e-09,9.1959405773703561e-09,1.0678522792521508e-09,3.2216157352306047e-10
7.099956915842458e-09,0.11224553353357043,0.0,0.0,0.0,0.0,0.99999712100542459,2.8556046538818685e-06,9.9791132921829886e-09,1.6642193279742303e-09,1.009064190717746e-08,1.2719104923994089e-09,3.8403652091505739e-10
7.680539732074535e-09,0.11224554675584697,0.0,0.0,0.0,0.0,0.99999688528207897,3.0889660213586251e-06,1.0859745550482736e-08,1.9474710455058115e-09,1.0998287796075175e-08,1.4947009353057468e-09,4.5169428975662108e-10
8.261122548306613e-09,0.11224555998022634,0.0,0.0,0.0,0.0,0.99999664951214229,3.3223047141313023e-06,1.1749549603912695e-08,2.2529630776396026e-09,1.1918991646835441e-08,1.7364208940339007e-09,5.2521833375272568e-10
8.84170536453869e-09,0.11224557320672902,0.0,0.0,0.0,0.0,0.99999641369536452,3.5556207073853472e-06,1.2648412465410028e-08,2.5806936862665974e-09,1.2852863832188841e-08,1.9972653181450763e-09,6.0469279162237118e-10
9.422288180770768e-09,0.11224558643537506,0.0,0.0,0.0,0.0,0.99999617783149752,3.7889139763074075e-06,1.3556224136094376e-08,2.9306611395396479e-09,1.3800011725713776e-08,2.2774268442450546e-09,6.9020247966553132e-10
9.999999999999999e-09,0.11224559966618422,0.0,0.0,0.0,0.0,0.99999594308699835,4.0210310233577432e-06,1.4468323276947479e-08,3.3009684588532309e-09,1.4755756651204392e-08,2.5755655231510849e-09,7.813646065960113e-10
1.0002870997002846e-08,0.11224559966618422,0.0,0.0,0.0,0.0,0.99999594192029428,4.022184496085435e-06,1.4472877735393712e-08,3.3028637121196872e-09,1.4760539571285621e-08,2.5770956951263833e-09,7.8183292112058432e-10
1.0583453813234923e-08,0.11224561289917606,0.0,0.0,0.0,0.0,0.99999570596151044,4.2554322419086244e-06,1.5398269452084959e-08,3.6972996853356527e-09,1.5734548531801761e-08,2.8964597172701217e-09,8.7967033474389347e-10
1.1164036629467e-08,0.1122456261343699,0.0,0.0,0.0,0.0,0.99999546995490241,4.4886571889671431e-06,1.6332298225425176e-08,4.1139673471061707e-09,1.6722137008298173e-08,3.2357046268354453e-09,9.8380156184585703e-10
1.1744619445699078e-08,0.11224563937178483,0.0,0.0,0.0,0.0,0.99999523390022793,4.7218593124519737e-06,1.7274865516619811e-08,4.5528649918395269e-09,1.7723400868746489e-08,3.5950141858723938e-09,1.0943140138892866e-09
1.2325202261931156e-08,0.1122456526114397,0.0,0.0,0.0,0.0,0.99999499779724699,4.9550385875550805e-06,1.8225875451113651e-08,5.0139909205990404e-09,1.873843330547124e-08,3.9745700921163115e-09,1.2112957046379943e-09
1.2905785078163233e-08,0.11224566585335306,0.0,0.0,0.0,0.0,0.99999476164572065,5.188194989469557e-06,1.9185235032236223e-08,5.4973434414160513e-09,1.9767324620929504e-08,4.3745518136700692e-09,1.3348352986154e-09
1.3486367894395311e-08,0.11224567909754331,0.0,0.0,0.0,0.0,0.99999452544541068,5.4213284933894463e-06,2.0152853944944117e-08,6.002920869351833e-09,2.0810162423930439e-08,4.7951367402925225e-09,1.4650220661234392e-09
1.4066950710627389e-08,0.11224569234402866,0.0,0.0,0.0,0.0,0.99999428919608147,5.6544390745093689e-06,2.1128644079990032e-08,6.5307215262573824e-09,2.1867032106032203e-08,5.2365005506453254e-09,1.6019457744955463e-09
1.4647533526859466e-08,0.11224570559282718,0.0,0.0,0.0,0.0,0.99999405289749776,5.8875267080244783e-06,2.2112519421328637e-08,7.0807437406837841e-09,2.2938016954355617e-08,5.698817299010208e-09,1.7456966621548219e-09
1.5228116343091545e-08,0.1122457188439565,0.0,0.0,0.0,0.0,0.99999381654942632,6.120591369130819e-06,2.310439644830573e-08,7.6529858482233488e-09,2.4023197748724996e-08,6.1822591043886574e-09,1.8963655300673464e-09
1.5808699159323625e-08,0.11224573209743416,0.0,0.0,0.0,0.0,0.99999358015163375,6.3536330330254715e-06,2.4104194350531546e-08,8.247446191875481e-09,2.5122652546110961e-08,6.686995984233505e-09,2.0540437905060561e-09
1.6389281975555704e-08,0.11224574535327743,0.0,0.0,0.0,0.0,0.99999334370389059,6.586651674906148e-06,2.5111834535545339e-08,8.8641231219061186e-09,2.6236457173345393e-08,7.2131962344106096e-09,2.2188233545575235e-09
1.6969864791787783e-08,0.11224575861150386,0.0,0.0,0.0,0.0,0.9999931072059659,6.8196472699707067e-06,2.6127240025738052e-08,9.5030149954292504e-09,2.7364685831114226e-08,7.7610268947818431e-09,2.3907964943791309e-09
1.7550447608019862e-08,0.11224577187213028,0.0,0.0,0.0,0.0,0.99999287065763043,7.05261979341739e-06,2.715033565742617e-08,1.0164120176455959e-08,2.8507410894789697e-08,8.3306535952918425e-09,2.5700558883820986e-09
1.813103042425194e-08,0.11224578513517341,0.0,0.0,0.0,0.0,0.9999926340586569,7.2855692204454291e-06,2.8181048801409752e-08,1.0847437036497822e-08,2.9664702192647995e-08,8.9222399991877492e-09,2.756694785319714e-09
1.871161324048402e-08,0.11224579840064987,0.0,0.0,0.0,0.0,0.99999239740881862,7.5184955262550138e-06,2.9219309369905516e-08,1.1552963954876516e-08,3.0836626998376275e-08,9.5359477972880057e-09,2.9508070056143663e-09
1.92921960567161e-08,0.11224581166857629,0.0,0.0,0.0,0.0,0.99999216070789076,7.7513986860463646e-06,3.0265048681632005e-08,1.2280699318082247e-08,3.2023251167410628e-08,1.0171937584264002e-08,3.1524866823335719e-09
1.987277887294818e-08,0.11224582493896898,0.0,0.0,0.0,0.0,0.99999192395564773,7.9842786750197416e-06,3.1318199439785088e-08,1.3030641519616821e-08,3.3224639159290954e-08,1.0830368875571965e-08,3.3618282560106211e-09
2.0453361689180258e-08,0.11224583821184413,0.0,0.0,0.0,0.0,0.99999168715186659,8.2171354683759674e-06,3.2378696267894681e-08,1.3802788960324457e-08,3.4440853501118026e-08,1.1511399693438909e-08,3.5789265966650103e-09
2.1033944505412338e-08,0.1122458514872176,0.0,0.0,0.0,0.0,0.99999145029632475,8.4499690413167279e-06,3.3446476119533508e-08,1.4597140048870649e-08,3.5671954376889648e-08,1.2215186250110033e-08,3.8038770969966406e-09
2.1614527321644417e-08,0.11224586476510523,0.0,0.0,0.0,0.0,0.99999121338880081,8.6827793690442102e-06,3.4521477824214103e-08,1.5413693201683008e-08,3.6918000081806277e-08,1.2941883298210277e-08,4.0367755685726892e-09
2.2195110137876496e-08,0.11224587804552295,0.0,0.0,0.0,0.0,0.99999097642907453,8.9155664267604643e-06,3.5603641304596966e-08,1.6252446842429494e-08,3.8179047806207216e-08,1.3691644735161112e-08,4.2777180631412329e-09
2.2775692954108575e-08,0.11224589132848632,0.0,0.0,0.0,0.0,0.99999073941692518,9.1483301896675063e-06,3.6692907655512177e-08,1.7113399401898178e-08,3.945515355679866e-08,1.446462354215681e-08,4.5268008905644831e-09
2.3356275770340654e-08,0.11224590461401057,0.0,0.0,0.0,0.0,0.99999050235213449,9.3810706329680808e-06,3.7789220033446849e-08,1.7996549318613241e-08,4.0746371265868596e-08,1.5260971097025676e-08,4.7841208215081795e-09
2.3936858586572734e-08,0.1122459179021109,0.0,0.0,0.0,0.0,0.99999026523448453,9.6137877318658894e-06,3.8892523903853876e-08,1.8901895039324063e-08,4.2052752543003057e-08,1.6080836982761451e-08,5.0497751435248211e-09
2.4517441402804813e-08,0.11224593119280282,0.0,0.0,0.0,0.0,0.99999002806375825,9.8464814615645357e-06,4.0002765781546639e-08,1.9829435018388448e-08,4.3374347936086289e-08,1.6924369959985034e-08,5.3238613735209898e-09
2.5098024219036892e-08,0.11224594448610123,0.0,0.0,0.0,0.0,0.99998979083973949,1.0079151797267377e-05,4.1119893042802265e-08,2.0779167717411774e-08,4.4711207119958208e-08,1.7791718112166383e-08,5.6064772148825341e-09
2.567860703526897e-08,0.11224595778202101,0.0,0.0,0.0,0.0,0.99998955356221242,1.0311798714178035e-05,4.2243854470640567e-08,2.1751091605570433e-08,4.606337835044559e-08,1.8683028424445346e-08,5.8977206817576131e-09
2.625918985150105e-08,0.1122459710805769,0.0,0.0,0.0,0.0,0.99998931623096199,1.0544422187500726e-05,4.3374600674468071e-08,2.2745205159992293e-08,4.7430908043933025e-08,1.9598446459259217e-08,6.1976901945305867e-09
2.683977266773313e-08,0.11224598438178357,0.0,0.0,0.0,0.0,0.99998907884577493,1.0777022192440169e-05,4.4512083883631684e-08,2.3761506865798634e-08,4.8813840983768144e-08,2.0538116515413115e-08,6.5064845324455667e-09
2.742035548396521e-08,0.11224599768565566,0.0,0.0,0.0,0.0,0.9999888414064374,1.1009598704201112e-05,4.5656257416998708e-08,2.4799995215850824e-08,5.0212220851264013e-08,2.1502182037502852e-08,6.8242027124447782e-09
2.8000938300197288e-08,0.11224601099220763,0.0,0.0,0.0,0.0,0.99998860391273747,1.1242151697988198e-05,4.6807075473896297e-08,2.5860668710581696e-08,5.1626090435139199e-08,2.2490785777343352e-08,7.1509439414310459e-09
2.8581521116429367e-08,0.11224602430145378,0.0,0.0,0.0,0.0,0.99998836636446309,1.1474681149006174e-05,4.7964493414765757e-08,2.694352585812855e-08,5.3055491350583451e-08,2.3504069577190447e-08,7.4868076802173166e-09
2.9162103932661447e-08,0.11224603761340832,0.0,0.0,0.0,0.0,0.99998812876140264,1.1707187032460217e-05,4.9128468084616903e-08,2.8048565174588838e-08,5.4500463715267903e-08,2.4542174119732188e-08,7.831893717112257e-09
2.9956437949646645e-08,0.1122460558307932,0.0,0.0,0.0,0.0,0.99998780359169481,1.2025255591120333e-05,5.0731525515472863e-08,2.9596376003364941e-08,5.6502723087271473e-08,2.6002938100947919e-08,8.3191513133661354e-09
3.075077196663185e-08,0.11224607405331016,0.0,0.0,0.0,0.0,0.99998747831850365,1.2343279924220842e-05,5.2346674183281983e-08,3.1185702669297135e-08,5.8534298951158558e-08,2.7510780011468446e-08,8.8241162928815938e-09
3.154510598361705e-08,0.11224609228099497,0.0,0.0,0.0,0.0,0.99998715294129437,1.2661259968262862e-05,5.3973813888188724e-08,3.2816541444027507e-08,6.0595283611760614e-08,2.9066052050728886e-08,9.3470464669291793e-09
3.233944000060225e-08,0.11224611051388239,0.0,0.0,0.0,0.0,0.99998682745953349,1.2979195659747805e-05,5.5612847835568903e-08,3.4488888626704639e-08,6.2685765924492129e-08,3.0669103739845048e-08,9.8882003820311059e-09
3.313377401758745e-08,0.11224612875200778,0.0,0.0,0.0,0.0,0.99998650187269111,1.3297086935177759e-05,5.7263682894064862e-08,3.6202740544421275e-08,6.4805831036454035e-08,3.232028172119553e-08,1.04478373777903e-08
3.3928108034572655e-08,0.11224614699540543,0.0,0.0,0.0,0.0,0.99998617618023777,1.3614933731055251e-05,5.8926229255341938e-08,3.7958093552064213e-08,6.6955560727074553e-08,3.4019930020768646e-08,1.1026217508870212e-08
3.4722442051557857e-08,0.11224616524410987,0.0,0.0,0.0,0.0,0.99998585038164667,1.3932735983883448e-05,6.060040049297096e-08,3.9754944032574554e-08,6.9135033348731475e-08,3.5768390001701105e-08,1.1623601557533557e-08
3.586602064829017e-08,0.11224619152560407,0.0,0.0,0.0,0.0,0.99998538115184232,1.4390187897650965e-05,6.3030902042480521e-08,4.2414684130597649e-08,7.232513810378236e-08,3.8371997821860839e-08,1.2517537725911085e-08
3.7009599245022484e-08,0.11224621781826818,0.0,0.0,0.0,0.0,0.99998491169940318,1.4847547168249542e-05,6.5485088070185675e-08,4.5160415873752547e-08,7.5577258089641654e-08,4.1078479764556035e-08,1.3452186817951773e-08
3.81531778417548e-08,0.1122462441222016,0.0,0.0,0.0,0.0,0.99998444202277526,1.5304813606214675e-05,6.7962733294286955e-08,4.7992128775398516e-08,7.8891594004042609e-08,4.3888828677156137e-08,1.4428333934579047e-08
3.929675643848711e-08,0.11224627043750288,0.0,0.0,0.0,0.0,0.9999839721204119,1.5761987022084158e-05,7.0463624039930907e-08,5.0909812469936708e-08,8.2268334743814121e-08,4.6804028210484249e-08,1.5446766623574278e-08
