Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30)
2.3081529647958664e-10,0.11224537724687907,0.0,0.0,0.0,0.0,0.99999990650968551,9.2886777318704526e-08,3.0004807593241274e-10,1.7595653260118031e-12,3.0007249136586436e-10,1.2744725171012119e-12,3.8248213738931736e-13,1.2314163973816415e-23,4.96673894377962e-24,2.9517312676194597e-26,4.3858985381313626e-37,1.4535883106626293e-39,5.7815832234988425e-42,4.7588521530983342e-42
2.944884818316632e-10,0.11224537869434444,0.0,0.0,0.0,0.0,0.9999998807180529,1.1851009422252637e-07,3.8312449763160686e-10,2.8641551094889941e-12,3.8316574333508271e-10,2.0756274087514572e-12,6.2292700231665061e-13,3.0925960697470151e-23,1.1017579509374603e-23,7.8920291388719063e-26,1.6837948808514225e-36,5.9549350719761116e-39,2.3717708068656093e-41,2.2043996258808633e-41
3.5816166718373976e-10,0.11224538014183165,0.0,0.0,0.0,0.0,0.99999985492590016,1.4413314219901412e-07,4.6633222983727474e-10,4.2365181221919411e-12,4.6639544762088169e-10,3.0717671335137757e-12,9.2189918071149317e-13,6.5124187168510845e-23,2.1154817825041955e-23,1.7654232476606685e-25,5.1718445912604788e-36,1.9292217093578308e-38,7.691946207640469e-41,7.937694164950862e-41
4.855080378878928e-10,0.11224538303687173,0.0,0.0,0.0,0.0,0.99999980334003247,1.9537843125025077e-07,6.3314084428716458e-10,7.7845552508260341e-12,6.3326498284453454e-10,5.6501234316733342e-12,1.6957765278737877e-12,2.0794650202376673e-22,5.9465909987007943e-23,6.3425054352433737e-25,3.2582088909164323e-35,1.3181568672022538e-37,5.2655023933091969e-40,6.6744336674668551e-40
6.12854408592046e-10,0.1122453859319996,0.0,0.0,0.0,0.0,0.99999975175208045,2.4662264421338658e-07,8.0047223220318422e-10,1.2403658176960999e-11,8.0068275866002827e-10,9.0119666461845738e-12,2.7048743299924236e-12,5.0669881753272841e-22,1.3352864041803698e-22,1.7112490537122883e-24,1.2633975631488441e-34,5.4232012938483718e-37,2.1680055069112023e-39,3.1225093630922319e-39
7.402007792961991e-10,0.11224538882721559,0.0,0.0,0.0,0.0,0.99999970016204043,2.9786578081600639e-07,9.6832462748879874e-10,1.8093807198696838e-11,9.6865051414635651e-10,1.3159841750231732e-11,3.9499948235504687e-12,1.0468867441394777e-21,2.6078307522115862e-22,3.8942659166623388e-24,3.8640102189001416e-34,1.7479688752874028e-36,6.9930580745666294e-39,1.124959261378182e-38
8.675471500003523e-10,0.1122453917225199,0.0,0.0,0.0,0.0,0.99999964856990975,3.4910784078826393e-07,1.1366962918389137e-09,2.4854982601428422e-11,1.1371699606011745e-09,1.8096261780439797e-11,5.4319361012375661e-12,1.9326920853061444e-21,4.6248648570651447e-22,7.9098918177336168e-24,1.023514660771536e-33,4.8292309928603376e-36,1.9332131854797071e-38,3.4732642590338052e-38
9.999999999999999e-10,0.11224539584546575,0.0,0.0,0.0,0.0,0.99999959490675794,4.0240352050171325e-07,1.3123686537548733e-09,3.3023563138198753e-11,1.3130339614225439e-09,2.4069823894999114e-11,7.2253884966202379e-12,3.3560060439949827e-21,7.7958283796777989e-22,1.5278846090104857e-23,2.6430435811846988e-33,1.2928690614078389e-35,5.1796108043128655e-38,1.1007270172106516e-37
1.0488830856051831e-09,0.11224539584546575,0.0,0.0,0.0,0.0,0.99999957510124748,4.2207254448560773e-07,1.3773434362606913e-09,3.6330963589919169e-11,1.3780899667664644e-09,2.6491135358882338e-11,7.9523883165077992e-12,4.0383965571763687e-21,9.3006831113155657e-22,1.9077093742278745e-23,3.6016033051881953e-33,1.7775330996795936e-35,7.1228424740364368e-38,1.5810476974381059e-37
1.230219021210014e-09,0.11224539996859205,0.0,0.0,0.0,0.0,0.99999950162833195,4.95035063862766e-07,1.6190353247663115e-09,4.9978525744092879e-11,1.6201366404611293e-09,3.6496770067043337e-11,1.0956849357675304e-11,7.4806487674518863e-21,1.6839099023695611e-21,4.0429405927003197e-23,1.0346639242130894e-32,5.2968585071976018e-35,2.1239223202696903e-37,5.8451646735299843e-37
1.4115549568148448e-09,0.11224540409189941,0.0,0.0,0.0,0.0,0.99999942815115472,5.6799539816566581e-07,1.8617672080726339e-09,6.5797614171281511e-11,1.8633146553257756e-09,4.8120104766392589e-11,1.4447574071250187e-11,1.2687040269293819e-20,2.8184854511138328e-21,7.7376586318881883e-23,2.5244715261739379e-32,1.3340750780233772e-34,5.351429843839453e-37,1.7004241133297941e-36
1.5928908924196757e-09,0.11224540821538866,0.0,0.0,0.0,0.0,0.99999935466970724,6.4095354663728157e-07,2.1055343568252972e-09,8.3788173908541375e-11,2.1076286647879368e-09,6.1368075519392908e-11,1.8426834610863602e-11,2.0125704676039998e-20,4.4410122585880995e-21,1.3696183638384908e-22,5.4890099089805367e-32,2.988072823654492e-34,1.1989477836435531e-36,4.2696232630401723e-36
1.9555627636293374e-09,0.11224541646291553,0.0,0.0,0.0,0.0,0.99999920769396922,7.8686328306137065e-07,2.5961558118144542e-09,1.2628348775480482e-10,2.5996830020752605e-09,9.2765443325154559e-11,2.7860104376391606e-11,4.3818781877398589e-20,9.6637666075617044e-21,3.6447077191986648e-22,2.092721564701464e-31,1.2097942759621959e-33,4.8564492322923879e-36,2.124577535017742e-35
2.2819674477180326e-09,0.11224542388631883,0.0,0.0,0.0,0.0,0.99999907540111832,9.1817456271049971e-07,3.0412091817232039e-09,1.7195515163054607e-10,3.0464627907634497e-09,1.2664820099417333e-10,3.8043820764629111e-11,7.8243999251287008e-20,1.7390718646487145e-20,7.608868140207588e-22,5.6238470118411476e-31,3.4017239545613397e-33,1.3658955733831808e-35,6.8655292929348478e-35
2.608372131806728e-09,0.11224543131032262,0.0,0.0,0.0,0.0,0.99999894309430359,1.0494787484999295e-06,3.4895451293801529e-09,2.2466152974226602e-10,3.4969936989056135e-09,1.6590118189056224e-10,4.9846132431741406e-11,1.287291643364609e-19,2.8960052342580211e-20,1.4371013343704775e-21,1.304249646690455e-30,8.2339696693943761e-33,3.3067600230860983e-35,1.8498922231420608e-34
