Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50)
9.437915075486822e-16,0.11224537200002149,0.0,0.0,0.0,0.0,0.99999999999961742,3.7981655002830157e-13,1.2233345414297006e-15,3.923084011601296e-23,1.2233345418918098e-15,2.8355886105281294e-23,8.509411448692721e-24,8.6685076659699263e-45,4.5557607171939135e-40,2.0731871172336531e-47,1.2632974341781505e-68,2.128882588615421e-71,6.6926208252472144e-77
1.887992824696821e-15,0.11224537200004292,0.0,0.0,0.0,0.0,0.99999999999923528,7.5979802249198982e-13,2.4472003133686431e-15,1.5697446098731188e-22,2.4472003152176845e-15,1.1346048121455455e-22,3.4048730290022312e-23,1.3877673764729445e-43,3.6460030168655718e-39,3.3184582241916955e-46,8.0902472773034658e-67,1.3636819357356289e-69,8.5674707917643239e-75
3.776395458993099e-15,0.11224537200008584,0.0,0.0,0.0,0.0,0.99999999999847045,1.5197609671831011e-12,4.8949319736261266e-15,6.2800005948052005e-22,4.8949319810235112e-15,4.5391581821948096e-22,1.3621709615079741e-22,2.2210717757525025e-42,2.9173721388992164e-38,5.3106413373544273e-45,5.1794196614759724e-65,8.7313878858255748e-68,1.0954161624237618e-72
7.553200727585655e-15,0.1122453720001717,0.0,0.0,0.0,0.0,0.99999999999694067,3.0396868556202639e-12,9.7903957596594376e-15,2.5122046829485988e-21,9.7903957892515223e-15,1.8158111441326279e-21,5.4491276048046488e-22,3.5542263989934254e-41,2.3341445526296381e-37,8.4979794784692503e-44,3.3153792585270241e-63,5.5893007606139694e-66,1.3980955059977662e-70
1.5106811264770767e-14,0.1122453720003434,0.0,0.0,0.0,0.0,0.99999999999388134,6.0795386287143505e-12,1.9581325193799081e-14,1.0049227631645173e-20,1.958132531217334e-14,7.2635409216342012e-21,2.1797399787375276e-21,5.6871596608633984e-40,1.8674446677094944e-36,1.3597743281280905e-42,2.1220431804503593e-61,3.5775267836814075e-64,1.7787320994048938e-68
3.021403233914099e-14,0.11224537200068681,0.0,0.0,0.0,0.0,0.99999999998776257,1.2159242159781571e-11,3.916319151036756e-14,4.0197728302750119e-20,3.9163191983883004e-14,2.9054761123833689e-20,8.7191392469651132e-21,9.099735464964085e-39,1.4940558001431827e-35,2.1757853044662006e-41,1.3582027880510944e-59,2.2897211185405421e-62,2.2491853528299951e-66
6.042847448788143e-14,0.11224537200137363,0.0,0.0,0.0,0.0,0.99999999997552458,2.431864916143217e-11,7.8326953936637921e-14,1.6079254847316813e-19,7.8326955830789372e-14,1.1622027727295377e-19,3.4876927296862136e-20,1.4559679337247895e-37,1.1953621942208092e-34,3.4815921141727295e-40,8.6931991754676142e-58,1.4654389659125819e-60,2.8106104514188804e-64
1.208573587853623e-13,0.11224537200274728,0.0,0.0,0.0,0.0,0.99999999995104905,4.863746292279804e-11,1.5665459796152624e-13,6.4317346199372526e-19,1.566546055387339e-13,4.6488387779715026e-19,1.3950854294325044e-19,2.3295180493663753e-36,9.5646082067870467e-34,5.5715151550968234e-39,5.5643798122853949e-56,9.3787659003467359e-59,3.4343956553995074e-62
2.417151273803241e-13,0.11224537200549452,0.0,0.0,0.0,0.0,0.99999999990209831,9.7275089477788273e-11,3.1331036269920382e-13,2.5727003646888371e-18,3.1331039301261789e-13,1.8595434737193142e-18,5.580365843669796e-19,3.7270800329755949e-35,7.6543555113434015e-33,8.917436117097185e-38,3.5620874226751472e-54,7.9317176800660746e-57,5.3165704248737429e-60
4.834306645702477e-13,0.11224537201098901,0.0,0.0,0.0,0.0,0.99999999980419652,1.9455033871680142e-10,6.2662379891424899e-13,1.0290814336176022e-17,6.2662392020410733e-13,7.4382092207122307e-18,2.2321571233262196e-18,5.9628112117016591e-34,6.127727439834601e-32,1.4277467669948228e-36,2.2808506873980973e-52,5.0966152028831502e-55,5.8674370092358997e-58
