Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52)
2.555383997027866e-13,0.11224537200580875,0.0,0.0,0.0,0.0,0.99999999989649935,1.0283808435073517e-10,3.3122812022023545e-13,2.8753709925045938e-18,3.3122815410050952e-13,2.0783137074993851e-18,6.236880742273406e-19,4.6556022414559449e-35,9.0444637240237895e-33,1.1139507361095016e-37,4.9731401400887449e-54,1.1073379069260942e-56,7.772977585395005e-60,8.9628740725783264e-62,2.0202223998130698e-62
5.110772326514787e-13,0.1122453720116175,0.0,0.0,0.0,0.0,0.99999999979299858,2.0567633728711941e-10,6.624596434294678e-13,1.1501498349133281e-17,6.6245977899332958e-13,8.3132959651653607e-18,2.4947648596750118e-18,7.4482801046262666e-34,7.2408704768096325e-32,1.7835847850117995e-36,3.1844544625819969e-52,7.1154269123214082e-55,8.5209375403011725e-58,1.1539961241906693e-59,2.6010892739324593e-60
1e-12,0.11224537202323494,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243687815855396e-10,1.296213483943461e-12,4.4510271124387701e-17,1.2962140088953806e-12,3.2172309389413873e-17,9.6546978673268948e-18,1.1430800162330948e-32,5.5810744398175389e-31,2.7416213867536241e-35,1.9530886846997227e-50,4.3631639639280451e-53,8.0549371195256791e-56,1.414812037158078e-57,3.1889499079062723e-58
1.022154898548863e-12,0.11224537202323494,0.0,0.0,0.0,0.0,0.99999999958599728,4.1135282585437376e-10,1.3249312139772478e-12,4.6006020679984168e-17,1.3249317565737801e-12,3.3253449514473091e-17,9.9791409081879686e-18,1.1915021075543922e-32,5.8011624989159412e-31,2.8577723076618294e-35,2.0401473611392833e-50,4.5576507943633996e-53,8.4160749543873513e-56,1.4783994839930008e-57,3.3322743707248761e-58
2.0443102303436315e-12,0.11224537204646991,0.0,0.0,0.0,0.0,0.99999999917199411,8.2270573376672755e-10,2.6499084506891762e-12,1.8402412548852061e-16,2.6499106238018139e-12,1.3301579639706495e-16,3.9917177334055596e-17,1.9056878671341122e-31,4.6544699750324416e-30,4.5853469194824679e-34,1.3083722433093527e-48,2.923158731771125e-51,7.402311973974267e-54,1.8963981209600754e-55,4.2743940068317331e-56
3.0664655621384e-12,0.1122453720697049,0.0,0.0,0.0,0.0,0.99999999875799084,1.2340585724142156e-09,3.9749197819794528e-12,3.9105128052630781e-16,3.9749244038472537e-12,2.8266146667206388e-16,8.4824892508814064e-17,7.2641733531671837e-31,1.3334726574378439e-29,1.6903309328660746e-33,7.3023485502290587e-48,1.4513806939371434e-50,3.9359067976422124e-53,1.1238826364188046e-54,2.5331721879297088e-55
4.088620893933168e-12,0.11224537209293983,0.0,0.0,0.0,0.0,0.99999999834398745,1.6454113417967018e-09,5.2999652069472344e-12,6.6708747588297479e-16,5.2999730975974606e-12,4.8219174391915074e-16,1.4470268086408626e-16,1.9541954483160362e-30,2.8187018789740128e-29,4.294108640325072e-33,2.7561546809902772e-47,6.1490491066768145e-50,1.6973596643028927e-52,5.0819803385105997e-54,1.1454497144695287e-54
6.132931557522705e-12,0.11224537213940981,0.0,0.0,0.0,0.0,0.99999999751598045,2.4681167178891995e-09,7.9501360695038978e-12,1.3811198297708084e-15,7.9501524278182001e-12,9.9833239838640213e-16,2.9959332635046168e-16,7.9022789066901165e-30,7.7354356770202491e-29,1.5071007244782525e-32,2.0082460062331361e-46,5.5668808903323629e-49,1.6114364101225286e-51,5.2864248286986552e-53,1.1915268579153587e-53
8.177242221112243e-12,0.11224537218587981,0.0,0.0,0.0,0.0,0.99999999668797257,3.2908218392132685e-09,1.0600432299012492e-11,2.3489229578169558e-15,1.0600460155374503e-11,1.6979272066938858e-15,5.0953754678082168e-16,2.1400732326790477e-29,1.6254766727156984e-28,3.7777944483349808e-32,7.397185148948867e-46,2.2015768549463359e-48,6.624209550025521e-51,2.372422838218135e-52,5.3472762703240759e-53
1e-11,0.11224537227881987,0.0,0.0,0.0,0.0,0.99999999594970035,4.0243657695440405e-09,1.2963617454700944e-11,3.4460817186365437e-15,1.2963658380987677e-11,2.4910544885552301e-15,7.4755048587226638e-16,4.9975128974993324e-29,2.9079908350430583e-28,8.4330591188581601e-32,3.210687884739056e-45,9.6254154292157517e-48,3.1528656489057299e-50,1.6072714690399224e-51,3.6226119765676416e-52
1.2265863548291316e-11,0.11224537227881987,0.0,0.0,0.0,0.0,0.99999999503195569,4.9362312454785352e-09,1.5901436382620541e-11,5.1178233234512209e-15,1.5901497259802059e-11,3.6995692661882505e-15,1.1102190137071139e-15,1.0723312443886834e-28,5.1895480200636157e-28,1.7677518009316288e-31,8.8984585086967919e-45,2.668362585671362e-47,8.9345247232073062e-50,4.8949328398438095e-51,1.1032603264356154e-51
1.635448487547039e-11,0.11224537237175995,0.0,0.0,0.0,0.0,0.99999999337593692,6.581639549184777e-09,2.1202983033139245e-11,8.9851740309280658e-15,2.1203090220678183e-11,6.495419701776246e-15,1.9492389168461734e-15,3.2152268678852355e-28,1.1915088586376977e-27,5.1661614924887253e-31,4.1316752472370004e-44,1.2831405944470416e-46,4.4326854900389678e-49,2.8472932015649191e-50,6.417403292433059e-51
2.4531727529828537e-11,0.11224537255764047,0.0,0.0,0.0,0.0,0.99999999006389273,9.8724528336751855e-09,3.1807711238420512e-11,2.0030404550701808e-14,3.1807951685039283e-11,1.448114301972047e-14,4.3457174349883592e-15,1.6606455009372197e-27,4.0625549745802984e-27,2.6777157249834867e-30,5.3271141521474014e-43,1.6259253150694646e-45,5.9423528944660907e-48,5.9607725370460886e-49,1.3434211296705579e-49
4.088621283854483e-11,0.1122453729294026,0.0,0.0,0.0,0.0,0.99999998343977836,1.6454066107302317e-08,5.3023707024758436e-11,5.5366334642681198e-14,5.302438037042082e-11,4.0033838306575138e-14,1.2013998154081049e-14,1.3519706201926921e-26,1.9927694260773577e-26,2.3095476346153831e-29,1.4304075291059974e-41,4.1488509900251397e-44,1.5845007494978662e-46,2.9230279345570042e-47,6.5872106390908562e-48
7.359518345597742e-11,0.11224537367293111,0.0,0.0,0.0,0.0,0.99999997019144737,2.9617239456555377e-08,9.5481847726278668e-11,1.7903414547432401e-13,9.5484083155067402e-11,1.2949650313964929e-13,3.8861716008456322e-14,1.4863055124776666e-25,1.2905965746403522e-25,2.8388748103698013e-28,6.1171679238145809e-40,1.701237715678518e-42,6.6622831022400335e-45,2.3724068819044558e-45,5.3453286405966591e-46
9.999999999999999e-11,0.11224537441646537,0.0,0.0,0.0,0.0,0.9999999594964295,4.0243360619937075e-08,1.2978224989278848e-10,3.3041262596797767e-13,1.2978645258069671e-10,2.3904523144818165e-13,7.173757451107597e-14,4.7891016567936945e-25,3.3371065602299401e-25,9.3968670939267688e-28,3.1185526350492178e-39,9.3958509516602654e-42,3.6942872402902191e-44,1.5218554912688108e-44,3.4287393578170409e-45
1.0630415407341001e-10,0.11224537441646537,0.0,0.0,0.0,0.0,0.99999995694297905,4.2780341871364382e-08,1.3797483426806173e-10,3.7336375223312227e-13,1.3797959993824378e-10,2.701313337277301e-13,8.1066622521325915e-14,5.8698750030754562e-25,3.9796837740260899e-25,1.1550817273852426e-27,3.984516819473313e-39,1.2072440839918075e-41,4.7479010739774402e-44,1.9732738253094547e-44,4.445770512570416e-45
1.717220953082752e-10,0.11224537590355115,0.0,0.0,0.0,0.0,0.99999993044563185,6.9106333867478219e-08,2.2306519757450607e-10,9.7401401688243389e-13,2.2307822785753006e-10,7.0513837087247187e-13,2.1161622092618342e-13,4.0446440338136049e-24,1.9205112218847071e-24,9.1017908626549083e-27,9.1279091688437156e-38,2.8244645734432228e-40,1.1212841612988412e-42,8.0212279974456516e-43,1.8065697992270404e-43
2.371400365431404e-10,0.11224537739065987,0.0,0.0,0.0,0.0,0.99999990394773663,9.543204206189693e-08,3.0829459169247228e-10,1.8573172838953909e-12,3.0832046870579508e-10,1.3453519055619182e-12,4.0375475697472077e-13,1.3704818830193217e-23,5.4403745963209758e-24,3.3193039240452774e-26,5.1931929004850465e-37,1.7239342464526148e-39,6.8588836728882161e-42,5.7983333467621079e-42,1.3057532395734104e-42
3.0255797777800555e-10,0.11224537887779167,0.0,0.0,0.0,0.0,0.99999987744929253,1.2175746641968306e-07,3.9366279251984623e-10,3.0232718749705751e-12,3.937065440007151e-10,2.1910938940548315e-12,6.5758221618778531e-13,3.441115849394712e-23,1.2085015574883313e-23,8.8854564866793205e-26,1.995227608868762e-36,7.0699975640990224e-39,2.8166061673292497e-41,2.6884481479533093e-41,6.0535720031576707e-42
3.679759190128707e-10,0.11224538036494656,0.0,0.0,0.0,0.0,0.99999985095029909,1.4808260690550248e-07,4.791695701493042e-10,4.4718755011401477e-12,4.7923668042734869e-10,3.2426942568071009e-12,9.732013673224645e-13,7.2448374234015763e-23,2.323173080446651e-23,1.9897246897353026e-25,6.1328439590828668e-36,2.2928235641048448e-38,9.1437317444223112e-41,9.6896624124764181e-41,2.181589134097131e-41
4.988118014826011e-10,0.11224538333932571,0.0,0.0,0.0,0.0,0.99999979795066418,2.0073203613139411e-07,6.5059800870695378e-10,8.2170205452763003e-12,6.5072997100453037e-10,5.9646869615965293e-12,1.7901955405008754e-12,2.3123835838359767e-22,6.5427415670999773e-23,7.160992341359415e-25,3.8689550669617419e-35,1.5695629058569453e-37,6.270888979680753e-40,8.1627758784092078e-40,1.8373878040608267e-40
6.296476839523314e-10,0.11224538631379753,0.0,0.0,0.0,0.0,0.99999974494882815,2.5338032945867171e-07,8.2257807870963422e-10,1.3092732306677201e-11,8.2280214147489799e-10,9.5139593939836077e-12,2.8555618588009407e-12,5.6324433333267327e-22,1.4712258761936446e-22,1.9346056334252504e-24,1.5013369020380986e-34,6.4644621995490442e-37,2.5846728722184027e-39,3.8226826153519779e-39,8.6031531726874801e-40
7.604835664220617e-10,0.1122453892883624,0.0,0.0,0.0,0.0,0.9999996919447881,3.0602748659191179e-07,9.9510786614264806e-10,1.909898941607174e-11,9.9545507654589724e-10,1.389327053003528e-11,4.170170621978542e-12,1.1632905837309707e-21,2.8765208105259898e-22,4.4072381338354487e-24,4.594502324766898e-34,2.0853847387476211e-36,8.3441026403223454e-39,1.3783726910051333e-38,3.1015832892361283e-39
