Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3)
9.999999999999999e-11,0.11224537613461363,0.0,0.0,0.0,0.0,0.99999995975597844,4.0243360560660214e-08,3.3047917714028975e-13,3.3047917714028975e-13
1.8306220031737234e-10,0.11224537613461363,0.0,0.0,0.0,0.0,0.99999992632790868,7.3669877402594377e-08,1.106943644125269e-12,1.106943644125269e-12
3.528590240609107e-10,0.11224537996961748,0.0,0.0,0.0,0.0,0.99999985799240443,1.419993714755735e-07,4.1120595808688738e-12,4.1120595808688738e-12
5.226558478044491e-10,0.11224538380462107,0.0,0.0,0.0,0.0,0.99999978965500436,2.1032695294315156e-07,9.0213437408861112e-12,9.0213437408861112e-12
6.924526715479875e-10,0.11224538763962444,0.0,0.0,0.0,0.0,0.99999972131570924,2.7865262122234753e-07,1.5834744965521585e-11,1.5834744965521585e-11
8.622494952915259e-10,0.11224539147462752,0.0,0.0,0.0,0.0,0.99999965297451987,3.4697637571043928e-07,2.4552210429466456e-11,2.4552210429466456e-11
9.999999999999999e-10,0.11224539914463265,0.0,0.0,0.0,0.0,0.99999959753019885,4.0240375440514921e-07,3.3023301251972797e-11,3.3023301251972797e-11
1.2018431427786026e-09,0.11224539914463265,0.0,0.0,0.0,0.0,0.99999951628646055,4.8361814107876249e-07,4.769913816439014e-11,4.769913816439014e-11
1.5414367902656794e-09,0.11224540681463623,0.0,0.0,0.0,0.0,0.9999993795908324,6.2025224421487892e-07,7.8461703209726294e-11,7.8461703209726294e-11
1.881030437752756e-09,0.11224541448463791,0.0,0.0,0.0,0.0,0.99999924288764097,7.5687868003127019e-07,1.1683945930780017e-10,1.1683945930780017e-10
2.5602177327269098e-09,0.11224542982463445,0.0,0.0,0.0,0.0,0.99999896945859268,1.0301085299129033e-06,2.1643880524001434e-10,2.1643880524001434e-10
3.2394050277010633e-09,0.11224544516461987,0.0,0.0,0.0,0.0,0.9999986959993612,1.3033076513373146e-06,3.464937127742051e-10,3.464937127742051e-10
4.597779617649371e-09,0.11224547584454787,0.0,0.0,0.0,0.0,0.99999814899053441,1.8496135526312704e-06,6.9795643888616005e-10,6.9795643888616005e-10
5.956154207597678e-09,0.11224550652440274,0.0,0.0,0.0,0.0,0.9999976018615292,2.3957960710057042e-06,1.1712000041981125e-09,1.1712000041981125e-09
7.314528797545985e-09,0.11224553720416526,0.0,0.0,0.0,0.0,0.99999705461271282,2.9418548939065716e-06,1.7661967116525358e-09,1.7661967116525358e-09
8.672903387494293e-09,0.11224556788381655,0.0,0.0,0.0,0.0,0.99999650724445344,3.4877897090492924e-06,2.4829187892796921e-09,2.4829187892796921e-09
9.999999999999999e-09,0.11224559856333742,0.0,0.0,0.0,0.0,0.99999597236491644,4.0210337548730186e-06,3.3006642768082732e-09,3.3006642768082732e-09
1.0031277977442601e-08,0.11224559856333742,0.0,0.0,0.0,0.0,0.99999595975711886,4.0336002044220114e-06,3.3213383910678179e-09,3.3213383910678179e-09
1.2748027157339215e-08,0.11224565992191175,0.0,0.0,0.0,0.0,0.99999486442669394,5.1248469892326043e-06,5.3631584490380144e-09,5.3631584490380144e-09
1.546477633723583e-08,0.1122457212797359,0.0,0.0,0.0,0.0,0.99999376862437628,6.215592758189807e-06,7.8914327057074568e-09,7.8914327057074568e-09
1.8181525517132442e-08,0.1122457826366578,0.0,0.0,0.0,0.0,0.99999267235310219,7.305835026073565e-06,1.0905935865242092e-08,1.0905935865242092e-08
2.0898274697029058e-08,0.11224584399252546,0.0,0.0,0.0,0.0,0.99999157561580432,8.3955713125931863e-06,1.440644153286109e-08,1.440644153286109e-08
2.6331773056822286e-08,0.11224596670049167,0.0,0.0,0.0,0.0,0.99998938075485633,1.0573516045012217e-05,2.2864549319377841e-08,2.2864549319377841e-08
3.719876977640874e-08,0.11224621209711351,0.0,0.0,0.0,0.0,0.99998498556942594,1.4923225150942702e-05,4.5602711605163151e-08,4.5602711605163151e-08
4.80657664959952e-08,0.11224645745995554,0.0,0.0,0.0,0.0,0.99998058325482098,1.9264563090967151e-05,7.6091044087982732e-08,7.6091044087982732e-08
