Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470)
1e-12,0.11224537202919617,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243694449726113e-10,1.2962160157201035e-12,4.8514073173242553e-17,1.2962165880018494e-12,3.5066365609070479e-17,1.052318814940897e-17,1.7370064392516108e-32,7.0538812296931878e-31,4.1693352609067978e-35,4.8568139434615389e-50,1.0124738485358702e-52,2.0937155419068982e-55,4.1015562735968029e-57,9.2447755047466514e-58,6.7505265494345164e-37,2.8032141542657024e-38,6.447336190067325e-54,2.2477402031157646e-51,3.5139113895383186e-48,1.914091414484806e-55,3.9852656847853265e-65,2.1039306600537542e-105,2.403919477675349e-88,8.4760132972555166e-91,2.0986587190484493e-80
1.2844004978854064e-12,0.11224537202919617,0.0,0.0,0.0,0.0,0.99999999947977991,5.1689020150765891e-10,1.6648655996255253e-12,7.2641070992339712e-17,1.6648664566262572e-12,5.2505636224914783e-17,1.5756600362703439e-17,2.9700932458603763e-32,1.1518381779708043e-30,7.1297973436508967e-35,8.6104898957512671e-50,1.7949804454255382e-52,3.7267890420939414e-55,7.3163356988971927e-57,1.6490784029421766e-57,1.1822505910438204e-36,4.9093863395993687e-38,1.1500752789512418e-53,3.9853043099127727e-51,6.2295885577266028e-48,3.4143598378858555e-55,7.1308841325045438e-65,3.7758777195339512e-105,4.3130177405068297e-88,1.521027443449004e-90,3.7616583467358912e-80
2.56880154017094e-12,0.11224537205839233,0.0,0.0,0.0,0.0,0.99999999895955949,1.0337804763712091e-09,3.3298036848449073e-12,2.9056434512609068e-16,3.3298071182569568e-12,2.1002649252125625e-16,6.3027613933378405e-17,4.7497111683230073e-31,9.2484598766780184e-30,1.1448120601534975e-33,5.5244964641036569e-48,1.1521099631500003e-50,3.1566368444875069e-53,9.3918896889095353e-55,2.1168775825967816e-55,3.7813191545400172e-35,1.5699362321549787e-36,1.4767220240585766e-51,2.5942661743594208e-49,3.985199164260173e-46,4.3862801969869361e-53,1.8313888941304106e-62,2.8780782660169762e-101,8.7880868646072914e-85,6.1434083740164271e-87,2.0724320663825289e-77
3.853202582456474e-12,0.11224537208758849,0.0,0.0,0.0,0.0,0.99999999843933873,1.5506706418690656e-09,4.9947956025098061e-12,6.1744924608692928e-16,4.9948029064530223e-12,4.4631203820930327e-16,1.3393544355785221e-16,1.8103976612495958e-30,2.6509261926472034e-29,4.2218720773206593e-33,3.0855065424713846e-47,5.7214538821289833e-50,1.6631093748856758e-52,5.5669333134013117e-54,1.2547498793873589e-54,1.7743598554019079e-34,7.3662963246012357e-36,9.6647658648231496e-51,1.4668422630567892e-48,2.2393623219791341e-45,2.887771157962114e-52,1.3771886530466166e-61,1.6477742250593482e-100,6.9689407203588464e-84,5.4739687200926798e-86,1.3338365734682298e-76
5.137603624742008e-12,0.11224537211678468,0.0,0.0,0.0,0.0,0.99999999791911753,2.0675606980009589e-09,6.6598413508329959e-12,1.0532957542123221e-15,6.6598538229749285e-12,7.6136481989837207e-16,2.2848087182621843e-16,4.8700405812689174e-30,5.6065834283879417e-29,1.0729708375902056e-32,1.1605788221115205e-46,2.4249647701200744e-49,7.1533942888530379e-52,2.5181040257324741e-53,5.6756281144840912e-54,5.5302784653379649e-34,2.2957651119873081e-35,4.0401813145924064e-50,5.2775852087246196e-48,7.9770955080284563e-45,1.1632883662911413e-51,6.3665949998326761e-61,2.8235640810290072e-99,5.8315488354153801e-83,4.6132998082054738e-85,1.0151304747866256e-75
7.706405709313074e-12,0.11224537217517709,0.0,0.0,0.0,0.0,0.99999999687867502,3.1013405534128493e-09,9.990059178629147e-12,2.1807149330080164e-15,9.9900850437164581e-12,1.5763401630131235e-15,4.7305015285295494e-16,1.9691573611780733e-29,1.5404777429397172e-28,3.7692413629263775e-32,8.3655877195364457e-46,2.1983031674761596e-48,6.7539001826624123e-51,2.6224148993596657e-52,5.9107157388134128e-53,2.7240909456588408e-33,1.1307278264343079e-34,3.3527993021544744e-49,3.2459285319847749e-47,4.7290568786661564e-44,8.2683910002366476e-51,6.0691259478956981e-60,3.0751835812696738e-97,2.3313380373499558e-81,1.9613616247264324e-83,2.7471847325074837e-74
1e-11,0.11224537223356952,0.0,0.0,0.0,0.0,0.99999999594969935,4.0243663930549324e-09,1.296366244528944e-11,3.525946702042169e-15,1.2963704325874869e-11,2.5487906058528648e-15,7.6487696211714724e-16,4.8821249063919832e-29,3.0239712182394942e-28,8.7035293884148395e-32,2.7648289789488304e-45,7.7859011233317706e-48,2.467203499444858e-50,1.0471132077277381e-51,2.3601022353337063e-52,7.747355253835675e-33,3.2155657830821642e-34,1.2503603102230419e-48,1.0571912105333176e-46,1.5133262385265767e-43,2.9492293870587745e-50,2.5007025780845457e-59,2.3230281981911935e-96,1.3949140708925859e-80,1.3034339912385064e-82,1.3007609759394304e-73
1.0275207793884142e-11,0.11224537223356952,0.0,0.0,0.0,0.0,0.99999999583823185,4.135120006557622e-09,1.3320474945829903e-11,3.7088246452383008e-15,1.332051900531173e-11,2.680991879456763e-15,8.0454981592499065e-16,5.3324170035229049e-29,3.2405576626742635e-28,9.4557737249401708e-32,3.0776559276733279e-45,8.6998592857137172e-48,2.7616089799670508e-50,1.1776257686884021e-51,2.6542657493631548e-52,8.5456424113822871e-33,3.5468794981589779e-34,1.4014781377812205e-48,1.1761506746787582e-46,1.6818677348087416e-43,3.2982195919151715e-50,2.8172389839780417e-59,2.675387471762811e-96,1.5950965331728744e-80,1.4956505340629521e-82,1.4739426443345079e-73
1.284400987845521e-11,0.11224537229196199,0.0,0.0,0.0,0.0,0.99999999479778778,5.1688990287768896e-09,1.6651102779267948e-11,5.6662455124707882e-15,1.6651170201262008e-11,4.0960281588263011e-15,1.2291944055608903e-15,1.1975578726932322e-28,5.9318171618880769e-28,2.0144087757692575e-31,9.1703014874437456e-45,2.7540493390054758e-47,8.9163961642003426e-50,4.1226059243512154e-51,9.2919600733862676e-52,2.1963445161980443e-32,9.1151817810429502e-34,4.6364607642087756e-48,3.4761574889368236e-46,4.8631546744762289e-43,1.0631999486327703e-49,1.0286428385153556e-58,2.227920151371007e-95,9.5207926984380774e-80,9.2242619491519335e-82,7.655760302978364e-73
1.7981614047597343e-11,0.11224537240874705,0.0,0.0,0.0,0.0,0.99999999271689688,7.2364557534260265e-09,2.3313007884916442e-11,1.0895986654702057e-14,2.3313138021559674e-11,7.8768662944964626e-15,2.3638046455299621e-15,4.6390168803861489e-28,1.587370982729823e-27,7.4736752206295292e-31,7.6856596076985206e-44,2.3043910688550087e-46,8.0466748570957388e-49,5.5113346102799685e-50,1.2421714687844972e-50,1.2378582557864021e-31,5.1354250448226353e-33,6.0114690852497196e-47,3.1503382099062738e-45,4.0596102374147694e-42,1.3748287946162222e-48,2.1114533477564362e-57,4.6308920790698978e-93,9.9803577021103005e-78,1.8182880858026941e-79,2.5539138995076293e-71
2.8256822385881612e-11,0.11224537264231749,0.0,0.0,0.0,0.0,0.99999998855510552,1.1371563955706153e-08,3.6639399501463045e-11,2.6582893153524552e-14,3.6639719550613293e-11,1.9219002571944628e-14,5.7675314200720851e-15,2.9761015025389063e-27,6.3082842109564883e-27,4.8689370276752003e-30,1.4281445517534715e-42,4.0606155159313205e-45,1.5083450942252908e-47,1.8207677597600666e-48,4.10349430362774e-49,1.3825560479867356e-30,5.7305321212296291e-32,2.1010782281781109e-45,7.1181961068394318e-44,8.1723044328494478e-41,5.3117064664685993e-47,1.4100563519893122e-55,3.0360133310562377e-90,3.0970992390764675e-75,1.0740179274793896e-76,2.4398655975371157e-69
3.853203072416588e-11,0.1122453728758886,0.0,0.0,0.0,0.0,0.99999998439330029,1.5506665155867417e-08,4.996923532435604e-11,4.9245684316485409e-14,4.9969832581433152e-11,3.5606979384942709e-14,1.0685508688178115e-14,9.8051298042203744e-27,1.6004822739528055e-26,1.6150837573079031e-29,7.5746008702655904e-42,2.2366275287374684e-44,8.4242017822111044e-47,1.2057930223257476e-47,2.7174552493755765e-48,5.8355721604841854e-30,2.4175504137811873e-31,1.3553372395772451e-44,3.9785770279459197e-43,4.3097659540084317e-40,3.4614719064671773e-46,1.0803347873279534e-54,3.740948739425565e-89,3.603966977914693e-74,1.377988507030829e-75,2.2626523010046293e-68
5.908244740073442e-11,0.11224537334303243,0.0,0.0,0.0,0.0,0.9999999760696493,2.377684655544059e-08,7.6639231779711905e-11,1.1549256208026396e-13,7.6640654580675487e-11,8.3522588851996443e-14,2.5064907330216016e-14,5.579513500462679e-26,6.1063264408180381e-26,9.688972815445738e-29,1.1967012162703605e-40,3.4638436591409954e-43,1.3387466767786474e-45,3.1491853469469692e-46,7.0964815211498775e-47,5.3646213169452382e-29,2.2188092865135522e-30,3.6135369818097149e-43,7.3599719846892506e-42,6.5250609334519763e-39,9.3761180091343998e-45,4.9142088836872327e-53,2.8290479846954207e-86,8.732373332338386e-72,5.5720657720446238e-73,1.8850943192303137e-66
9.999999999999999e-11,0.1122453742773268,0.0,0.0,0.0,0.0,0.99999995949642217,4.0243367609220678e-08,1.2978232806179677e-10,3.3045809641548299e-13,1.297865305946618e-10,2.3907762421577247e-13,7.17473095764663e-14,4.8222345371471466e-25,3.3380020078062921e-25,9.4992584271696387e-28,3.7309303210061851e-39,1.0339104296224009e-41,4.0718228761137297e-44,1.8226663119756537e-44,4.1062792719845804e-45,8.6091423860937506e-28,3.5474076177460122e-29,2.2215927085405373e-41,2.9694599736877645e-40,1.9944664886706627e-37,6.1723216730469252e-43,5.9447137194244311e-51,4.0754751395294887e-83,5.3532658977853856e-69,5.8700703583652597e-70,3.577367696867696e-64
1.0018328075387149e-10,0.1122453742773268,0.0,0.0,0.0,0.0,0.99999995942218578,4.0317125348429392e-08,1.3002049300822311e-10,3.3166976448729304e-13,1.3002471139469263e-10,2.3995455492343263e-13,7.2010479446001871e-14,4.8513647033796754e-25,3.3557002902766473e-25,9.5582025335756045e-28,3.7572536794827637e-39,1.0411861149434238e-41,4.1005083746163034e-44,1.8358735733950807e-44,4.1360336484215632e-45,8.6666292852810741e-28,3.5710847721173873e-29,2.237720179963223e-41,2.9906894741779626e-40,2.0085227120244924e-37,6.217216484346748e-43,5.9884926914517976e-51,4.1058986873049495e-83,5.393160970177712e-69,5.9138705448251073e-70,3.6038542414060706e-64
1.4128411410700857e-10,0.11224537521163028,0.0,0.0,0.0,0.0,0.99999994277450599,5.6857292128578977e-08,1.8345673806392015e-10,6.5942305327988399e-13,1.834653572236985e-10,4.7724348263583366e-13,1.4322237610996372e-13,1.7775860974659368e-24,9.8488277680981107e-25,3.680960815070268e-27,2.2929741826166554e-38,6.8163203929700756e-41,2.6938645515862854e-43,1.4200224713506469e-43,3.1989131735707868e-44,4.0634708503439644e-27,1.6711618047791505e-28,1.6430751970179703e-40,1.9657016068551507e-39,1.1700446433311069e-36,4.5685312957968174e-42,5.1543175555729403e-50,5.1383390161613208e-82,6.9476396172724791e-68,8.1811184114647653e-69,3.8109097140008559e-63
2.2348578081328273e-10,0.11224537708026451,0.0,0.0,0.0,0.0,0.9999999094784966,8.993728960753578e-08,2.9049387940536908e-10,1.6496520900542844e-12,2.9051670917804145e-10,1.1948179108494251e-12,3.5857697950428323e-13,1.126903149342054e-23,4.5731600410060862e-24,2.7524360337612332e-26,4.7365472648277945e-37,1.4387630031070912e-39,5.7273366003223889e-42,5.1553294248300854e-42,1.1608659260207828e-42,4.2506294879966284e-26,1.7366855844069317e-27,5.8961390120288239e-39,5.1294203852421423e-38,2.0562136981266549e-35,1.6592374735587598e-40,3.2167057001272058e-48,7.0869248009583027e-79,2.3915793834731403e-65,4.1061818364780322e-66,4.7977880037108871e-61
2.956523381385868e-10,0.1122453787208074,0.0,0.0,0.0,0.0,0.99999988024652198,1.1897853977651281e-07,3.8464476847473854e-10,2.8868893989660574e-12,3.8468645437555067e-10,2.0921854712164428e-12,6.2789782137688039e-13,3.2097096592164142e-23,1.1372977735713566e-23,8.4248543923211645e-26,2.1745694508426173e-36,7.0323820170750244e-39,2.8026144190669694e-41,2.795250804141596e-41,6.2937307821363184e-42,1.4696588723599792e-25,5.9870375638737991e-27,3.0605768701498888e-38,2.5108915003762203e-37,8.4075158802084244e-35,8.4555449944487818e-40,1.8424339089896757e-47,1.3505797222657707e-77,2.5197702165697116e-64,4.3674969415798439e-65,4.3798897276283036e-60
3.678188954638909e-10,0.11224538036137836,0.0,0.0,0.0,0.0,0.999999851013879,1.4801944448415998e-07,4.7896431001170516e-10,4.4681012314341156e-12,4.7903150815523312e-10,3.2400628555269444e-12,9.7241316815579867e-13,7.360350104202506e-23,2.3603518076819973e-23,2.0847053528393625e-25,7.2992709456278803e-36,2.5061619108421538e-38,1.0002348557307041e-40,1.1619948048876447e-40,2.6158964366028918e-41,4.0155937185842939e-25,1.6303174334296437e-26,1.2125890472389214e-37,9.0016968676671264e-37,2.7083752529875982e-34,3.3846945878705172e-39,8.4577714875298922e-47,6.7854587223030778e-77,1.3623882001548574e-63,2.5927021508222334e-64,1.9546243561817515e-59
