Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356)
1.1445151158766639e-15,0.11224537200002606,0.0,0.0,0.0,0.0,0.99999999999953626,4.6059522179340108e-13,1.4835106921298785e-15,5.7692401850066001e-23,1.4835106928094579e-15,4.1699825896829213e-23,1.2513835254206484e-23,1.8746764252840308e-44,8.1245220161548019e-40,4.4835363593415902e-47,4.3057283197111632e-68,6.7705628734212374e-71,2.5807316619831417e-76,2.4601692646391567e-78,5.5452048068023158e-79,6.6519919169045797e-52,2.7627928162581717e-53,5.1235583865955301e-75,1.9637464486778753e-69,3.1244652768464706e-66,1.5204009433138901e-76
2.2895271988032093e-15,0.11224537200005205,0.0,0.0,0.0,0.0,0.99999999999907274,9.2139044139623619e-13,2.9676656057304579e-15,2.3084475521157408e-22,2.9676656084496642e-15,1.6685362287464758e-22,5.0071641886587591e-23,3.0012253507658107e-43,6.5021081324955223e-39,7.1766008278009178e-46,2.7574158458196242e-66,4.3369665214584218e-69,3.3031431703744997e-74,3.1518047665707225e-76,7.1041464570315224e-77,2.129915699936855e-50,8.8462447250501129e-52,6.5623491364561264e-73,1.2575847618138173e-67,2.0008780970938601e-64,1.9473173884816647e-74
4.5795513646563e-15,0.11224537200010415,0.0,0.0,0.0,0.0,0.99999999999814493,1.8429808802544576e-12,5.9359756040780258e-15,9.2352933774675045e-22,5.9359756149566535e-15,6.6752316204664618e-22,2.0031917899864515e-22,4.8033521714960728e-42,5.2027085083844662e-38,1.1484970683692012e-44,1.7653122080090491e-64,2.7768735284156045e-67,4.2219253821788172e-72,4.0360901014481084e-74,9.0973193896464503e-75,6.8177716684240976e-49,2.8316452663524275e-50,8.4025278907695556e-71,8.0512498253603314e-66,1.2809518777220335e-62,2.4933494146596178e-72
9.159599696362482e-15,0.11224537200020819,0.0,0.0,0.0,0.0,0.99999999999629041,3.6861617565811103e-12,1.1872596285358742e-14,3.6944180051370184e-21,1.1872596328877043e-14,2.6703101367418527e-21,8.0134198409285381e-22,7.6864663752087245e-41,4.1626165834308632e-37,1.8378055708488176e-43,1.1299885928239792e-62,1.7775833875670801e-65,5.3849665811189045e-70,5.1673216611242916e-72,1.1647107091251101e-72,2.1820107090347223e-47,9.0626037177750471e-49,1.0757068438110468e-68,5.1539069551650866e-64,8.19933032887725e-61,3.1920197911610873e-70
1.8319696359774842e-14,0.11224537200041644,0.0,0.0,0.0,0.0,0.99999999999257994,7.3725235036752367e-12,2.3745840386261796e-14,1.4778273341767343e-20,2.3745840560344036e-14,1.0681676595422964e-20,3.2054988016089915e-21,1.2299194769304162e-39,3.3303386795261907e-36,2.9407130979682761e-42,7.2326284727650889e-61,1.1377708764617865e-63,6.8421419591783307e-68,6.6148609261368952e-70,1.4909849324140179e-70,6.9829337252665297e-46,2.9002368671568731e-47,1.377045352965613e-66,3.2991626658406246e-62,5.2479554425238338e-59,4.0862061336348188e-68
3.663988968659956e-14,0.1122453720008329,0.0,0.0,0.0,0.0,0.99999999998515965,1.4745246975626791e-11,4.7492339541429252e-14,5.9114295962988323e-20,4.7492340237788094e-14,4.27275869410314e-20,1.2822259536731995e-20,1.9679282277187704e-38,2.6644739001526489e-35,4.7054993995815456e-41,4.6292312813704248e-59,7.282047704386927e-62,8.629791774391906e-66,8.4673914865673105e-68,1.9085436904300918e-68,2.2346067858211095e-44,9.281016290388433e-46,1.7627676477001308e-64,2.1120701630207262e-60,3.3587986816587328e-57,5.230817831795859e-66
7.3280276340249e-14,0.1122453720016658,0.0,0.0,0.0,0.0,0.99999999997031919,2.9490693830583109e-11,9.4985381665168032e-14,2.3645958852176122e-19,9.4985384450757335e-14,1.7091217647384445e-19,5.1289587573596186e-20,3.1486961819214988e-37,2.1318279662962379e-34,7.5296588864594247e-40,2.9629791690987814e-57,4.6605519642072796e-60,1.0731237761163426e-63,1.0838361015216376e-65,2.442957654560367e-66,7.1507742025645261e-43,2.9699232922325921e-44,2.2565909328448252e-62,1.3524233322981072e-58,2.1496453682609496e-55,6.696274085319071e-64
1.4656104964754789e-13,0.11224537200333155,0.0,0.0,0.0,0.0,0.99999999994063837,5.8981587184708543e-11,1.8997164116592928e-13,9.4584315910054751e-19,1.899716523093476e-13,6.8365290393385026e-19,2.0515961524410484e-19,5.0378118784139894e-36,1.7058301716281186e-33,1.2049975981597725e-38,1.8965975062565341e-55,2.9827374171869005e-58,1.2994676049293318e-61,1.3873031574443559e-63,3.126967880775751e-64,2.2882041104540802e-41,9.5034746631515984e-43,2.8889859526050244e-60,8.6642013519651463e-57,1.3757518666925429e-53,8.5731014008273017e-62
2.9312259626214565e-13,0.11224537200666307,0.0,0.0,0.0,0.0,0.99999999988127686,1.1796337246981026e-10,3.7994486117793014e-13,3.783382211670425e-18,3.7994490575975261e-13,2.7346243366410009e-18,8.2064231961894229e-19,8.060062751426505e-35,1.3652404693462708e-32,1.9287847366285733e-37,1.2141766084187759e-53,2.5226010997019538e-56,1.9804691811168386e-59,2.342118518410159e-61,5.2791055483907252e-62,7.3218708117530345e-40,3.0408899681531276e-41,3.6992534757804675e-58,5.5561342890136101e-55,8.8044150274291841e-52,1.0978199757664932e-59
5.862456894913412e-13,0.11224537201332614,0.0,0.0,0.0,0.0,0.99999999976255338,2.3592693734741489e-10,7.5989410522259842e-13,1.5133547718998309e-17,7.5989428361440142e-13,1.0938557386651442e-17,3.2825876257453332e-18,1.2894616853416112e-33,1.0931096371628909e-31,3.0885642950726235e-36,7.7752048055946113e-52,1.6210602953975496e-54,2.133599280461987e-57,3.0157516371553798e-59,6.7974485010767586e-60,2.3427375226448592e-38,9.7293594032604206e-40,4.7384676972560644e-56,3.5700357278629093e-53,5.6342773732183015e-50,1.4063844666501839e-57
1e-12,0.11224537202665233,0.0,0.0,0.0,0.0,0.99999999959497043,4.024369458370559e-10,1.2962147208646712e-12,4.7175933557337606e-17,1.2962152773299034e-12,3.4099117448343114e-17,1.0232918053796204e-17,1.4936991582421376e-32,6.5038329310827368e-31,3.5842326222244256e-35,3.5389014136989231e-50,7.3773548934486641e-53,1.4607941878175282e-55,2.736137018083543e-57,6.1671705321074056e-58,5.3587128061824411e-37,2.2252842762342021e-38,4.3007633267663344e-54,1.6357963657637225e-51,2.5610320602419967e-48,1.2767607401205017e-55
1.1724918759497324e-12,0.11224537202665233,0.0,0.0,0.0,0.0,0.99999999952510621,4.7185404433221007e-10,1.5198038092246279e-12,6.0534226394720475e-17,1.5198045233065745e-12,4.3754626408967572e-17,1.3130472238521919e-17,2.0626571059802071e-32,8.7595334456102195e-31,4.9497187803293014e-35,4.9818353766518227e-50,1.0385352103923695e-52,2.0608963210720842e-55,3.8642448555646469e-57,8.7098915167676275e-58,7.49506300978217e-37,3.1124317823995656e-38,6.0739732818201095e-54,2.3028675119982918e-51,3.6052231240615972e-48,1.8031720685224741e-55
2.3449842488665146e-12,0.11224537205330465,0.0,0.0,0.0,0.0,0.99999999905021209,9.4370816721999522e-10,3.0396680795197494e-12,2.4213695880898356e-16,3.0396709399625089e-12,1.7502151355534946e-16,5.2522812771672109e-17,3.2987057645119346e-31,7.0310678253466254e-30,7.9451901261341734e-34,3.1956583517443065e-48,6.6637267951972606e-51,1.7717561322742929e-53,4.9589103422021408e-55,1.1177118986490253e-55,2.3973305918708096e-35,9.953604247293795e-37,7.7969997823852454e-52,1.4969098855420241e-49,2.3064248985973255e-46,2.3157292783347324e-53
3.5174766217832967e-12,0.11224537207995698,0.0,0.0,0.0,0.0,0.99999999857531763,1.4155621989697502e-09,4.5595772105658024e-12,5.1454105131734031e-16,4.5595832950489372e-12,3.7192508714868884e-16,1.1161231992267855e-16,1.2573591193544525e-30,2.0149215185957207e-29,2.9295581616303415e-33,1.7846675984693483e-47,3.3089791376225978e-50,9.3681856115848239e-53,2.9391297271787111e-54,6.6246188709324027e-55,1.1249513413764282e-34,4.6704389746828902e-36,5.1024709276950086e-51,8.4594773363724645e-49,1.2960424452613735e-45,1.5244434570780552e-52
4.689968994700079e-12,0.11224537210660934,0.0,0.0,0.0,0.0,0.99999999810042284,1.8874161395812699e-09,6.0795312010031689e-12,8.7774648896196777e-16,6.0795415899051309e-12,6.3446728448327454e-16,1.9039958902149382e-16,3.3824037787576192e-30,4.2604784406606981e-29,7.4440209736396373e-33,6.7120894606007849e-47,1.4022311507604079e-49,4.0334519073955957e-52,1.3292735282024854e-53,2.9960957896728005e-54,3.5062706272477244e-34,1.4556089648870632e-35,2.1327493159109272e-50,3.0411522845614687e-48,4.6168308592850097e-45,6.1399748252214707e-52
7.034953740533644e-12,0.11224537215991406,0.0,0.0,0.0,0.0,0.99999999715063348,2.8311238067612995e-09,9.1195444594339936e-12,1.8172625176303756e-15,9.1195660011251738e-12,1.3136075196959538e-15,3.9420541529175018e-16,1.3676818259389022e-29,1.1700202314819516e-28,2.6139938784735252e-32,4.8364677888046259e-46,1.270443844979192e-48,3.8161981444153957e-51,1.3836608742939095e-52,3.1186708551527197e-53,1.7271509135581928e-33,7.1695092559662326e-35,1.7692553862115608e-49,1.8648398772069516e-47,2.7370208058365575e-44,4.3614804676472226e-51
9.379938486367208e-12,0.11224537221321879,0.0,0.0,0.0,0.0,0.99999999620084346,3.774831138719177e-09,1.2159722670319475e-11,3.0906873570823445e-15,1.2159759360150514e-11,2.234140477291069e-15,6.7045188322986045e-16,3.7037299115066708e-29,2.4601315197314451e-28,6.5554104076477766e-32,1.7789688938728819e-45,5.0263336204165336e-48,1.5635838960776402e-50,6.2118096499615436e-52,1.4000920479360157e-52,5.4182813402435114e-33,2.2489974530750249e-34,7.3939297216786514e-49,6.7472129511502683e-47,9.734185419265461e-44,1.7391302085943458e-50
1e-11,0.11224537226652354,0.0,0.0,0.0,0.0,0.99999999594969946,4.0243664318368743e-09,1.2963636974954515e-11,3.4872130398791528e-15,1.2963678388882531e-11,2.5207860311083555e-15,7.5647254716204388e-16,4.7022895026781548e-29,2.9267915381459634e-28,8.176604032961941e-32,2.4934514092129667e-45,7.2103241832428473e-48,2.262135655426491e-50,9.2771526002305015e-52,2.0909929101685446e-52,7.1994738934405471e-33,2.9882474397479046e-34,1.0793073008378818e-48,9.4220645053454854e-47,1.3492698889659514e-43,2.5119457294920151e-50
1.1724923232200772e-11,0.11224537226652354,0.0,0.0,0.0,0.0,0.99999999525105265,4.7185381115730773e-09,1.5200077607097781e-11,4.7218715371405655e-15,1.520013374383748e-11,3.4133214424691517e-15,1.0243173040515207e-15,8.3180754290791396e-29,4.5011493814142617e-28,1.3960403067849192e-31,5.2994205810576712e-45,1.5905887922441431e-47,5.0546847008537049e-50,2.1739792731274643e-51,4.8999584340412327e-52,1.3925986394676362e-32,5.7798922291013396e-34,2.4455313597050719e-48,1.9907745462843919e-46,2.8146859047573709e-43,5.6040715790594316e-50
1.64148927238679e-11,0.11224537237313317,0.0,0.0,0.0,0.0,0.99999999335146872,6.6059509574591357e-09,2.1281328697842039e-11,9.0799896053999481e-15,2.1281437016939404e-11,6.5639619003135138e-15,1.969807548931282e-15,3.2224977241380666e-28,1.2031563824263531e-27,5.1739376997757391e-31,4.4367977322413043e-44,1.3291310615274244e-46,4.5829897543085662e-49,2.9022967205523515e-50,6.5413743357454989e-51,7.8493567397099936e-32,3.2567343014296645e-33,3.1666560150062961e-47,1.7932906491206201e-45,2.3497482868203613e-42,7.2334597871766493e-49
2.579483170720216e-11,0.11224537258635277,0.0,0.0,0.0,0.0,0.99999998955229263,1.0380772276732146e-08,3.3445982156237808e-11,2.2152413757508588e-14,3.3446248365918482e-11,1.601547458514701e-14,4.8061628660692689e-15,2.0678069693363135e-27,4.7705978881749942e-27,3.3631652320917617e-30,8.2290326442393531e-43,2.3367037968208418e-45,8.6167931313045607e-48,9.5656731814655591e-49,2.1558545720980216e-49,8.7687755536489344e-31,3.635198792731119e-32,1.1042242984992003e-45,4.021078906740011e-44,4.7310384306438022e-41,2.7874657821058519e-47
3.517477069053642e-11,0.11224537279957289,0.0,0.0,0.0,0.0,0.99999998575310511,1.4155587760934331e-08,4.5613505973306971e-11,4.1038077192956766e-14,4.5614002449125618e-11,2.9671587296966479e-14,8.9043107911895947e-15,6.8136274353319778e-27,1.2081978424377207e-26,1.1139613911587318e-29,4.3606194396667532e-42,1.2855530766268641e-44,4.8127987071833501e-47,6.3282977201711502e-48,1.4262051875047437e-48,3.7016172323741742e-30,1.5338390048374678e-31,7.116402063528674e-45,2.2395404724645e-43,2.4951656766339611e-40,1.8144850129797695e-46
5.393464865720493e-11,0.11224537322601447,0.0,0.0,0.0,0.0,0.99999997815469654,2.1705201228850296e-08,6.9957158515707612e-11,9.6243826869303318e-14,6.9958339676785206e-11,6.9598905866728838e-14,2.0886411893389225e-14,3.8787900032869172e-26,4.5919357133434962e-26,6.658093654024141e-29,6.8673660264971865e-41,1.9826346536558031e-43,7.6342825729143886e-46,1.6458421667332917e-46,3.7088768403998895e-47,3.4041898366597588e-29,1.408486412437358e-30,1.8900870593704882e-43,4.0987072810448953e-42,3.7788112318752924e-39,4.8916905162089888e-45
9.145440459054196e-11,0.1122453740789033,0.0,0.0,0.0,0.0,0.99999996295774407,3.6804358160426437e-08,1.1867885965421018e-10,2.7639159591399335e-13,1.1868235244326744e-10,1.9994589213415763e-13,6.0003699649239423e-14,3.3756122831656691e-25,2.5060160874276421e-25,6.5230106959935294e-28,2.1449426243051377e-39,5.9186051626723716e-42,2.3263087392905126e-44,9.5281011102728914e-45,2.1466737294251862e-45,5.5043136197080666e-28,2.2696165893184145e-29,1.1632332203710615e-41,1.6467320787304471e-40,1.1640030955380488e-37,3.2216372957377028e-43
9.999999999999999e-11,0.11224537493179965,0.0,0.0,0.0,0.0,0.99999995949642251,4.0243367644331861e-08,1.2978224668182968e-10,3.304229244455062e-13,1.2978645006052437e-10,2.3905306266282354e-13,7.1739911093695145e-14,4.8966732239079766e-25,3.3591105979185554e-25,9.6246805326363122e-28,3.8540074650572751e-39,1.0995628526648815e-41,4.3301101232331232e-44,1.9297048074898711e-44,4.3474429732102438e-45,8.7988289771840448e-28,3.6254245862876789e-29,2.2929202185193928e-41,3.0649666109298898e-40,2.0486460586478305e-37,6.3514763766393466e-43
1.28974160523879e-10,0.11224537493179965,0.0,0.0,0.0,0.0,0.99999994776061185,5.1903421749575265e-08,1.6744639125171891e-10,5.4951955425072174e-13,1.6745351227898541e-10,3.9765852128201439e-13,1.1933823052572862e-13,1.2375162064613652e-24,7.3200199152455546e-25,2.5022389308039355e-27,1.3062406538579439e-38,3.8631982171420176e-41,1.5242504657309211e-43,7.3507080032106416e-44,1.6559899270573328e-44,2.5819017431692793e-27,1.0627533140915674e-28,8.5231006366106312e-41,1.0780099844625807e-39,6.7826876944825809e-37,2.3610968412509426e-42
2.0401367239055307e-10,0.11224537663761508,0.0,0.0,0.0,0.0,0.99999991736580596,8.2101268868194101e-08,2.6511871717763607e-10,1.3747114455680666e-12,2.651374962984471e-10,9.9550452327050018e-13,2.987592400939139e-13,7.857369255325793e-24,3.3680156420537763e-24,1.8540991101854377e-26,2.6795306617042159e-37,8.071019473814212e-40,3.2097268153832145e-42,2.6410162483891123e-42,5.9474912153136705e-43,2.7047989324619522e-26,1.1066760227105785e-27,3.0339170577978263e-39,2.7864812117503837e-38,1.1932714135575703e-35,8.4887968520940525e-41
2.715492330705597e-10,0.11224537817287486,0.0,0.0,0.0,0.0,0.99999989000986356,1.0927901197980279e-07,3.5318011167771345e-10,2.4353691975393169e-12,3.5321475493866735e-10,1.7645808268217011e-12,5.295745976111482e-13,2.2978380083569814e-23,8.5161148662226513e-24,5.8186115413544264e-26,1.2816797671629179e-36,4.1053789568832377e-39,1.63486985909018e-41,1.5078510493828561e-41,3.3953193447896736e-42,9.6805645696009681e-26,3.9496007951645388e-27,1.6596102330832965e-38,1.4268437472538815e-37,5.0964582376856039e-35,4.5618834680179198e-40
3.3908479375056637e-10,0.11224537970815922,0.0,0.0,0.0,0.0,0.99999986265333629,1.3645645255925111e-07,4.4138930344696625e-10,3.7972726502855679e-12,4.4144545059906008e-10,2.7529106022044389e-12,8.2620070109559038e-13,5.3441342757017929e-23,1.781258337727873e-23,1.4540703892199983e-25,4.3652744015602725e-36,1.4847653772743888e-38,5.9219446340695933e-41,6.3430770393780377e-41,1.4280992823950492e-41,2.6850170264600612e-25,1.0920491421959615e-26,6.6563819898572229e-38,5.1898709486034414e-37,1.6660752132267477e-34,1.8457925960542575e-39
