Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12)
1e-12,0.11224537203535827,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243687319301216e-10,1.2962174629581701e-12,4.9469678552411718e-17,1.2962180465478298e-12,3.5757125049462886e-17,1.0730490943442719e-17
1.5554868504158243e-12,0.11224537203535827,0.0,0.0,0.0,0.0,0.9999999993699823,6.2598523467634521e-10,2.0162638392208519e-12,1.0654028752780794e-16,2.0162650965295018e-12,7.7008603710670869e-17,2.3109805621824498e-17
2.333230440449089e-12,0.11224537205303746,0.0,0.0,0.0,0.0,0.99999999905497283,9.3897785152836294e-10,3.0244288717877758e-12,2.2639812216498402e-16,3.0244315453323312e-12,1.6364456375233042e-16,4.9108730392069489e-17
3.888717620515618e-12,0.11224537208839581,0.0,0.0,0.0,0.0,0.99999999842495402,1.5649629249279836e-09,5.0408378914676717e-12,6.2592420411032292e-16,5.0408452956038254e-12,4.5243815022227817e-16,1.3577398009039565e-16
5.2886560825754945e-12,0.1122453721202183,0.0,0.0,0.0,0.0,0.99999999785793714,2.1283493614021092e-09,6.8556697826103749e-12,1.1145855099160451e-15,6.855682982021266e-12,8.0566897182541193e-16,2.4177651142289301e-16
6.688594544635371e-12,0.11224537215204083,0.0,0.0,0.0,0.0,0.99999999729091948,2.6917356607497041e-09,8.6705691739844054e-12,1.7398836128510545e-15,8.6705898018192517e-12,1.2576774316965371e-15,3.7742170784862906e-16
8.088533006695248e-12,0.11224537218386332,0.0,0.0,0.0,0.0,0.99999999672390227,3.2551218305486936e-09,1.0485532324162177e-11,2.4942496282574602e-15,1.0485561927593491e-11,1.8029950638140214e-15,5.4106853403070146e-16
1e-11,0.1122453722475084,0.0,0.0,0.0,0.0,0.99999999594969957,4.024365532639097e-09,1.2963749626329069e-11,3.6826924806912522e-15,1.2963793391181375e-11,2.6621142631968736e-15,7.9888559670093356e-16
1.0888409930815e-11,0.1122453722475084,0.0,0.0,0.0,0.0,0.99999999558986674,4.3818938744822425e-09,1.4115604018025155e-11,4.2973185967749951e-15,1.4115655113912992e-11,3.1064294932153201e-15,9.3222225091141615e-16
1.3688286854934753e-11,0.11224537231115356,0.0,0.0,0.0,0.0,0.9999999944558301,5.508665439450887e-09,1.7745911370998672e-11,6.5774749068410316e-15,1.7745989716168077e-11,4.7547997813106331e-15,1.426889743187943e-15
1.6488163779054507e-11,0.1122453723747987,0.0,0.0,0.0,0.0,0.99999999332179246,6.6354364930517876e-09,2.1376470351922078e-11,9.367078135528911e-15,2.1376582124757434e-11,6.7715244617043869e-15,2.0320989762648247e-15
2.208791762729401e-11,0.11224537250208916,0.0,0.0,0.0,0.0,0.99999999105371395,8.8889770373919968e-09,2.8638357276373175e-11,1.6503331149399822e-14,2.8638554987335707e-11,1.1930936701580976e-14,3.5804156456161184e-15
2.7687671475533516e-11,0.11224537262937977,0.0,0.0,0.0,0.0,0.99999998878563179,1.1142515504382453e-08,3.5901266192071824e-11,2.5709173238232616e-14,3.5901575396013977e-11,1.858708941550845e-14,5.5779008253163616e-15
3.8887179172012526e-11,0.1122453728839615,0.0,0.0,0.0,0.0,0.99999998424945524,1.5649586202064419e-08,5.0430151273178727e-11,5.0333745600147485e-14,5.0430761693591823e-11,3.6393690715636711e-14,1.0921607709018357e-14
6.128619456497055e-11,0.11224537339312697,0.0,0.0,0.0,0.0,0.99999997517705419,2.4663702650574964e-08,7.9500185988079333e-11,1.2443530673296886e-13,7.9501721499958355e-11,8.9991727869629055e-14,2.70063185636251e-14
9.999999999999999e-11,0.11224537441146604,0.0,0.0,0.0,0.0,0.99999995949642884,4.0243360388927077e-08,1.2978251400989797e-10,3.306429653955794e-13,1.2978672452159571e-10,2.3921554047811275e-13,7.1788801931455829e-14
1.0608422535088659e-10,0.11224537441146604,0.0,0.0,0.0,0.0,0.99999995703205879,4.2691835750331232e-08,1.3768927599205288e-10,3.7205153290845082e-13,1.3769403087464613e-10,2.691863860286831e-13,8.0783178277825596e-14
1.5088225613680263e-10,0.11224537542981584,0.0,0.0,0.0,0.0,0.99999993888680683,6.0719835779091827e-08,1.9594367546922441e-10,7.5221819974107638e-13,1.9595357732088667e-10,5.4445269734209876e-13,1.6339267164040905e-13
1.9568028692271867e-10,0.11224537644817639,0.0,0.0,0.0,0.0,0.99999992074129784,7.8747702725496242e-08,2.5426331293820087e-10,1.2649350119087813e-12,2.5428043173717615e-10,9.1589352131966511e-13,2.7486661587764363e-13
2.4047831770863473e-10,0.1122453774665478,0.0,0.0,0.0,0.0,0.99999990259553162,9.677543657815037e-08,3.1264811447510859e-10,1.910201315279087e-12,3.1267466709551165e-10,1.383614826048594e-12,4.1523785820753179e-13
3.300743792804668e-10,0.112245379503323,0.0,0.0,0.0,0.0,0.99999986630322724,1.328305049604815e-07,4.296129362131125e-10,3.5983794496836155e-12,4.2966555012514178e-10,2.6082907835339542e-12,7.827941026775709e-13
4.196704408522989e-10,0.11224538154014152,0.0,0.0,0.0,0.0,0.99999983000989234,1.6888504083581376e-07,5.4683754983445644e-10,5.8167462493594969e-12,5.4692680850799701e-10,4.2193276653654112e-12,1.2663252039154231e-12
5.09266502424131e-10,0.11224538357700344,0.0,0.0,0.0,0.0,0.99999979371552661,2.0493904410924592e-07,6.6432133561022219e-10,8.5652948945595432e-12,6.6445905262205253e-10,6.2176153595985381e-12,1.866109406403643e-12
5.988625639959631e-10,0.11224538561390886,0.0,0.0,0.0,0.0,0.99999975742012837,2.4099251468680486e-07,7.8206368206706401e-10,1.184401849897936e-11,7.822628845345624e-10,8.6040337734649137e-12,2.5824232902261737e-12
7.780546871396272e-10,0.11224538968785053,0.0,0.0,0.0,0.0,0.99999968482623103,3.1309785739382852e-07,1.0183217323401592e-09,1.9991964098899866e-11,1.018687600212482e-09,1.454462220269398e-11,4.3657062170827294e-12
9.39327597968925e-10,0.11224539335454768,0.0,0.0,0.0,0.0,0.99999961948818306,3.7799084309818594e-07,1.2318323795129777e-09,2.9138246759765643e-11,1.2324044588025535e-09,2.122705325998705e-11,6.3718902353165121e-12
9.999999999999999e-10,0.11224539702138717,0.0,0.0,0.0,0.0,0.9999995949065188,4.0240375402618832e-07,1.312371810921183e-09,3.3023821528531254e-11,1.3130367009955121e-09,2.4069730823473696e-11,7.2253750220434929e-12
1.1006005087982227e-09,0.11224539702138717,0.0,0.0,0.0,0.0,0.99999955414677433,4.4288210145221718e-07,1.4461716756863834e-09,4.0002192910587052e-11,1.4470102077190582e-09,2.9180187175246356e-11,8.759824703615472e-12
1.2618734196275204e-09,0.11224540068836947,0.0,0.0,0.0,0.0,0.99999948880199985,5.0777163192396698e-07,1.6613362511841585e-09,5.258376385520086e-11,1.6625081633741317e-09,3.8408933653265376e-11,1.1531095630678418e-11
1.5844192412861158e-09,0.11224540802276471,0.0,0.0,0.0,0.0,0.99999935810232865,6.3754550709209868e-07,2.0941279300931126e-09,8.2899625445703296e-11,2.0961937913765258e-09,6.0712776436834924e-11,1.8230033072276619e-11
1.874710480778852e-09,0.11224541462421404,0.0,0.0,0.0,0.0,0.99999924046105382,7.5433608004739047e-07,2.4864296254983953e-09,1.160577898452194e-10,2.4895949385555735e-09,8.5197682312320103e-11,2.5586130861120952e-11
2.165001720271588e-09,0.11224542122613418,0.0,0.0,0.0,0.0,0.99999912280878145,8.7112104638743765e-07,2.8813539896531272e-09,1.5478045770842912e-10,2.8859372400355644e-09,1.138910449685843e-10,3.4209190923150645e-11
2.455292959764324e-09,0.11224542782852798,0.0,0.0,0.0,0.0,0.99999900514547868,9.8790040300824373e-07,3.2788822687040546e-09,1.9906740423902647e-10,3.2852391365737608e-09,1.4682081344524156e-10,4.4108677390875535e-11
2.74558419925706e-09,0.11224543443139841,0.0,0.0,0.0,0.0,0.99999888747111099,1.1046741468059311e-06,3.6789959707934154e-09,2.4891840498001059e-10,3.6875188062848928e-09,1.8401473441563267e-10,5.5294114179888636e-11
3.035875438749796e-09,0.11224544103474839,0.0,0.0,0.0,0.0,0.99999876978564539,1.2214422746767756e-06,4.0816768613191984e-09,3.0433323581929253e-10,4.0927941693845802e-09,2.2550035568806057e-10,6.7775083745723623e-11
3.616457917735268e-09,0.11224545424289831,0.0,0.0,0.0,0.0,0.99999853438128739,1.45496167022367e-06,4.894668441141231e-09,4.3185349296991687e-10,4.9124024817177737e-09,3.2145598454516646e-10,9.6662217771936476e-11
4.19704039672074e-09,0.1122454674530007,0.0,0.0,0.0,0.0,0.99999829893213832,1.6884585648217561e-06,5.7177160404346629e-09,5.8162638964992231e-10,5.7442025134646633e-09,4.3490428796330644e-10,1.3084785662334382e-10
