Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5)
2.1749426687822238e-07,0.11225027112712455,0.0,0.0,0.0,0.0,0.99991271064009701,8.7289359902849043e-05,0.0
2.382914772317671e-07,0.11225073672416679,0.0,0.0,0.0,0.0,0.99990441534091168,9.558465908840939e-05,0.0
2.590886875853118e-07,0.11225120154204918,0.0,0.0,0.0,0.0,0.99989613399217481,0.00010386600782524777,0.0
2.7988589793885655e-07,0.11225166551492417,0.0,0.0,0.0,0.0,0.99988786776687077,0.00011213223312931738,0.0
3.21480318645946e-07,0.11225259066470265,0.0,0.0,0.0,0.0,0.99987138533445152,0.00012861466554852036,0.0
3.630747393530354e-07,0.11225351165689493,0.0,0.0,0.0,0.0,0.99985497724171601,0.00014502275828403763,0.0
4.0466916006012484e-07,0.1122544279848193,0.0,0.0,0.0,0.0,0.99983865251705606,0.0001613474829438397,0.0
4.4626358076721427e-07,0.11225533915155378,0.0,0.0,0.0,0.0,0.99982242000020316,0.00017757999979679145,0.0
5.032562794587524e-07,0.11225657837007923,0.0,0.0,0.0,0.0,0.99980034363657999,0.00019965636342008278,0.0
5.602489781502906e-07,0.11225780578243792,0.0,0.0,0.0,0.0,0.99977847808099707,0.00022152191900297005,0.0
6.172416768418288e-07,0.11225902022849572,0.0,0.0,0.0,0.0,0.99975684398064402,0.00024315601935603177,0.0
6.742343755333669e-07,0.11226022060118344,0.0,0.0,0.0,0.0,0.99973546104451494,0.0002645389554851028,0.0
