Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32)
8.865375966456017e-16,0.11224537200002015,0.0,0.0,0.0,0.0,0.99999999999964106,3.5677552467619581e-13,1.149122997717463e-15,3.4615441110084467e-23,1.1491229981252035e-15,2.5019895444692979e-23,7.5083047945884737e-24,6.7488360211375399e-45,3.7759338271328809e-40,1.6140719357551448e-47,8.6782524490575948e-69
1.7734601423127601e-15,0.11224537200004031,0.0,0.0,0.0,0.0,0.9999999999992818,7.1370596700965449e-13,2.2987449975237966e-15,1.3850685313011352e-22,2.2987449991552907e-15,1.0011217297929962e-22,3.0042999590741779e-23,1.0804414113271768e-43,3.0219023172109757e-39,2.5835726043417548e-46,5.5576144022550994e-67
3.5473052336470772e-15,0.11224537200008065,0.0,0.0,0.0,0.0,0.99999999999856304,1.4275668514681023e-12,4.5979890998243362e-15,5.5411760268464924e-22,4.5979891063513887e-15,4.0051389127107073e-22,1.2019156432990547e-22,1.7292076942458889e-42,2.4179932641254477e-38,4.1345776230016355e-45,3.5580137016097412e-65
7.0949954163157115e-15,0.11224537200016126,0.0,0.0,0.0,0.0,0.99999999999712652,2.8552886195511235e-12,9.1964777151768724e-15,2.2166508034199988e-21,9.1964777412873164e-15,1.6021860344177637e-21,4.8080541088569418e-22,2.7671308156397374e-41,1.9345979311441556e-37,6.6160622156230289e-44,2.2775060052378557e-63
1.419037578165298e-14,0.11224537200032257,0.0,0.0,0.0,0.0,0.99999999999425249,5.710732152381658e-12,1.8393456588887446e-14,8.8669640079427151e-21,1.8393456693334381e-14,6.409005576347029e-21,1.9233001042274021e-21,4.4277194635776441e-40,1.5477832544966449e-36,1.0586446057867396e-42,1.457740200526364e-61
2.838113651232752e-14,0.11224537200064515,0.0,0.0,0.0,0.0,0.99999999998850475,1.1421619204700709e-11,3.678742090832822e-14,3.5468577601571564e-20,3.6787421326131757e-14,2.5636549117814018e-20,7.6933585471940055e-21,7.0845715300263898e-39,1.2383062925361527e-35,1.6939410321558575e-41,9.3301737095239229e-60
5.676265797367659e-14,0.11224537200129027,0.0,0.0,0.0,0.0,0.99999999997700972,2.2843393255970749e-11,7.3575375835268993e-14,1.4187575330616566e-19,7.3575377506558517e-14,1.0254728151168134e-19,3.0773760101167243e-20,1.1335401967499618e-37,9.9073726857960553e-35,2.7105531917345643e-40,5.971770907073223e-58
1.1352570089637473e-13,0.11224537200258061,0.0,0.0,0.0,0.0,0.99999999995401867,4.5686941145038486e-11,1.4715139084123301e-13,5.6750589701672103e-19,1.4715139752689192e-13,4.1019154738682195e-19,1.2309576942462724e-19,1.8136429030563568e-36,7.9272328251658968e-34,4.3375945277922115e-39,3.82240824474438e-56
2.2705178674177103e-13,0.11224537200516119,0.0,0.0,0.0,0.0,0.99999999990803745,9.1374036069284603e-11,2.943038414602568e-13,2.2700293394994797e-18,2.9430386820669519e-13,1.6407730422309502e-18,4.9238515328195644e-19,2.9017205897250266e-35,6.3438653018879803e-33,6.9423552146516039e-38,2.4469126693841671e-54
4.541039584325636e-13,0.11224537201032239,0.0,0.0,0.0,0.0,0.99999999981607457,1.8274822250221814e-10,5.886104251168124e-13,9.0801287315610706e-18,5.8861053213257986e-13,6.5631219541657949e-18,1.9695497046495122e-18,4.6423756020354063e-34,5.0783961004869185e-32,1.111476804055082e-36,1.5667436848668608e-52
