Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39)
4.392551359405137e-15,0.11224537200009987,0.0,0.0,0.0,0.0,0.99999999999822065,1.7677251604957428e-12,5.6935905503571428e-15,8.4964699072306278e-22,5.6935905603652972e-15,6.1412130741801348e-22,1.8429373426724808e-22,4.0655575821389728e-42,4.5910392209994993e-38,9.7208741506101016e-45,1.3746269667495114e-64,2.162318403293452e-67,3.1538046477419853e-72,3.0145209767482775e-74,6.7947096046390426e-75,5.5349289736391572e-49,2.2988384776188196e-50,6.2757721955763458e-71,6.2693959919076553e-66
8.785579392859042e-15,0.1122453720001997,0.0,0.0,0.0,0.0,0.99999999999644174,3.5356421505575735e-12,1.1387799801583007e-14,3.3988645647634244e-21,1.1387799841619105e-14,2.456685312531877e-21,7.3723498171762084e-22,6.505826113774174e-41,3.6732263080134007e-37,1.5555170234457187e-43,8.7990796096187444e-63,1.3841832361910527e-65,4.02321827146202e-70,3.8594286111652758e-72,8.6991252802664486e-73,1.7714402533066499e-47,7.357370800026384e-49,8.0343537938129288e-69,4.0132654862085666e-64
1.7571635459766854e-14,0.11224537200039945,0.0,0.0,0.0,0.0,0.99999999999288269,7.071476125566791e-12,2.2776220823309622e-14,1.3596011475000734e-20,2.2776220983462254e-14,9.8271423618184794e-21,2.9490603066988055e-21,1.0410041569524488e-39,2.9387944601751534e-36,2.489014408329273e-42,5.6319533657877959e-61,8.8596898725571324e-64,5.1134486640177768e-68,4.9405845643435195e-70,1.1136042425690252e-70,5.6690151118517401e-46,2.3545244759481211e-47,1.0285014042691292e-66,2.5689927592432287e-62
3.514374759358248e-14,0.11224537200079886,0.0,0.0,0.0,0.0,0.99999999998576583,1.4143144055127473e-11,4.5553072943857856e-14,5.4385152291650979e-20,4.5553073584495274e-14,3.9309379138761582e-20,1.1796484280793514e-20,1.6656554494029371e-38,2.3512096291737593e-35,3.9827181864327681e-41,3.6047170759993342e-59,5.6704482538352494e-62,6.4532565289453639e-66,6.3242266069255869e-68,1.4254759527655352e-68,1.814140562706947e-44,7.5346910206319711e-46,1.316591253768794e-64,1.6446108984000425e-60
7.028797186121373e-14,0.11224537200159773,0.0,0.0,0.0,0.0,0.99999999997153144,2.8286479832417784e-11,9.1106817493297672e-14,2.1754282149004776e-19,9.1106820055984229e-14,1.5723919558315499e-19,4.7186441556010873e-20,2.665059640330748e-37,1.8811792382307825e-34,6.3730504636887021e-40,2.3072238157536889e-57,3.6291205210814678e-60,8.0337886358719998e-64,8.0950877286648567e-66,1.8246261612039237e-66,5.8052795482146212e-43,2.4111014790147567e-44,1.6854164657742143e-62,1.0530738462357275e-58
1.4057642039647622e-13,0.11224537200319552,0.0,0.0,0.0,0.0,0.99999999994306221,5.6573151059674155e-11,1.8221446782525768e-13,8.7017570679037743e-19,1.8221447807694247e-13,6.289606174494331e-19,1.8874692165877045e-19,4.2640141878091203e-36,1.505255059993144e-33,1.0198930653418431e-38,1.4768417116663152e-55,2.3226235057685757e-58,9.748583959212581e-62,1.0361653875731267e-63,2.33550687153424e-64,1.857656189652474e-41,7.7153097557849711e-43,2.1577286281490672e-60,6.746172409293996e-57
2.8115331746700123e-13,0.112245372006391,0.0,0.0,0.0,0.0,0.99999999988612476,1.1314649220488976e-10,3.6443041341915602e-13,3.4807116381504055e-18,3.6443045443309062e-13,2.5158539564035231e-18,7.5499117003088431e-19,6.8220697951392861e-35,1.2046920015620399e-32,1.6324693158108381e-37,9.4544427199828668e-54,1.9643049147187002e-56,1.4910404494844078e-59,1.7492952490960317e-61,3.9428898053341338e-62,5.9442032188015304e-40,2.4687267839407795e-41,2.7628638860668988e-58,4.3258076010158536e-55
5.623071116080512e-13,0.11224537201278201,0.0,0.0,0.0,0.0,0.99999999977224896,2.262931692581301e-10,7.2886488430811568e-13,1.3922863929069822e-17,7.2886504842079122e-13,1.0063469329496215e-17,3.019981027157264e-18,1.0914108264557657e-33,9.6453003078537363e-32,2.6139877493049234e-36,6.0541966571829405e-52,1.2622626377201064e-54,1.6150447035468498e-57,2.2523719206606463e-59,5.0768057884414292e-60,1.9019418649451355e-38,7.8987673741587971e-40,3.5389249869305747e-56,2.7790643420402955e-53
1e-12,0.11224537202556399,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243694657888937e-10,1.296214988492955e-12,4.6435016203438668e-17,1.2962155361886971e-12,3.3563562320273404e-17,1.0072206347306238e-17,1.3831467239280613e-32,6.2296293481325982e-31,3.3185052657282968e-35,3.0327490763598938e-50,6.3221781692393603e-53,1.2262018510856646e-55,2.2513464390395425e-57,5.0744692632783957e-58,4.7785506116464024e-37,1.9843761253306397e-38,3.5386825228395906e-54,1.4010984529532217e-51
1.1246146998901513e-12,0.11224537202556399,0.0,0.0,0.0,0.0,0.99999999954449803,4.5258650241583155e-10,1.457744144740698e-12,5.5691488505003581e-17,1.4577448016456368e-12,4.0254228567700467e-17,1.2080031845583587e-17,1.7458664181227049e-32,7.7286456416320106e-31,4.1888881710554563e-35,3.8789604423160277e-50,8.0862157115955199e-53,1.5707132574834068e-55,2.8859102660396003e-57,6.5047575649153051e-58,6.0848927387595587e-37,2.5268556042964196e-38,4.5360984081937266e-54,1.7920902763547402e-51
2.249229876454351e-12,0.11224537205112801,0.0,0.0,0.0,0.0,0.99999999908899562,9.0517308493598468e-10,2.9155439390246548e-12,2.2276600388366558e-16,2.9155465702756461e-12,1.6101957065273253e-16,4.8320943214988862e-17,2.7921314788893737e-31,6.2027572189451712e-30,6.723036875269912e-34,2.4879930676970225e-48,5.1877891445513952e-51,1.3596736867969946e-53,3.7029316800885537e-55,8.3462172289668472e-56,1.9463172379708355e-35,8.081127515611481e-37,5.8222357537011948e-52,1.1641880863297765e-49
3.373845053018551e-12,0.11224537207669204,0.0,0.0,0.0,0.0,0.99999999863349265,1.3577595836091686e-09,4.3733850053615547e-12,4.73377772280221e-16,4.3733906021018596e-12,3.4217044592961042e-16,1.0268318963637801e-16,1.0642789262973589e-30,1.7773890376367601e-29,2.4787460896448874e-33,1.3894132858990105e-47,2.5759884179057298e-50,7.20133744328689e-53,2.1946492583193905e-54,4.9466102348827279e-55,9.1331927639074774e-35,3.7918717432148906e-36,3.8100158893556884e-51,6.5777577315818006e-49
4.498460229582751e-12,0.11224537210225612,0.0,0.0,0.0,0.0,0.99999999817799001,1.8103459984352039e-09,5.8312673425516172e-12,8.0752678049538514e-16,5.8312768983061074e-12,5.8370856393873925e-16,1.7516729644593516e-16,2.8630227107016757e-30,3.7578523659406699e-29,6.2980246557446595e-33,5.2253116922969022e-47,1.0915358584775691e-49,3.1020018477893562e-52,9.9250826633306209e-54,2.2370512326957914e-54,2.8466695612051575e-34,1.181801139630713e-35,1.5924481661737601e-50,2.3638530270885373e-48
