Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40)
1.1213912147087005e-15,0.1122453720000255,0.0,0.0,0.0,0.0,0.9999999999995457,4.5128930853971948e-13,1.4535383995182567e-15,5.5384705775046933e-23,1.4535384001706413e-15,4.0031832846820723e-23,1.2013287712913692e-23,1.7277018094698409e-44,7.6419578978483626e-40,4.1320268439026098e-47,3.8094326779150535e-68,5.9901608226767673e-71,2.2371775701355803e-76,2.1326240961292684e-78,4.8069202234772286e-79,6.0066150414619626e-52,2.4947464080323923e-53,4.4414111742881559e-75,1.7373966622788311e-69,2.764326932861705e-66
2.2432693556938702e-15,0.112245372000051,0.0,0.0,0.0,0.0,0.99999999999909139,9.0277457411484487e-13,2.907708003769575e-15,2.216109649994728e-22,2.9077080063799666e-15,1.6017947784978631e-22,4.8068799677890301e-23,2.7659293343784129e-43,6.1159085059446431e-39,6.6139544750854961e-46,2.4395848445908911e-66,3.837070550097206e-69,2.8634742349850244e-74,2.7321757926190982e-76,6.1583056129965939e-77,1.9232710975943068e-50,7.9879813618642457e-52,5.6886419452365908e-73,1.1126298511947679e-67,1.7702489119920995e-64
4.48702563766421e-15,0.112245372000102,0.0,0.0,0.0,0.0,0.99999999999818268,1.8057451049315454e-12,5.816047376572804e-15,8.86588164225756e-22,5.8160473870160989e-15,6.4082223469861313e-22,1.9230650558998207e-22,4.4267695250396526e-42,4.8936874561002247e-38,1.0584546268691865e-44,1.5618349785269432e-64,2.4568001517262187e-67,3.6600999001537422e-72,3.4987281478788733e-74,7.8861092405628815e-75,6.1563109919551484e-49,2.5569188812519894e-50,7.2838195958597632e-71,7.1232221062855166e-66,1.133304276256201e-62
8.974538201604889e-15,0.11224537200020399,0.0,0.0,0.0,0.0,0.99999999999636524,3.6116861652307447e-12,1.1632726779381555e-14,3.54664128491448e-21,1.1632726821158363e-14,2.5634977243941962e-21,7.6928867871620143e-22,7.0838479358808862e-41,3.9153719894895496e-37,1.6937207457447833e-43,9.997412252252882e-63,1.5726922312642823e-65,4.6687242348971862e-70,4.4793486964101874e-72,1.0096420829343718e-72,1.9703119506766135e-47,8.1833497899629403e-49,9.3248757154954435e-69,4.5598361941872242e-64,7.2542431761859507e-61
1.7949563329486246e-14,0.11224537200040803,0.0,0.0,0.0,0.0,0.99999999999272982,7.2235682804923342e-12,2.3266088213807608e-14,1.4187142408248002e-20,2.326608838092348e-14,1.025440947678764e-20,3.0772803371646937e-21,1.1334939578327456e-39,3.1325267683269141e-36,2.7101584122713502e-42,6.3989621452465279e-61,1.00662711179729e-63,5.932970792635571e-68,5.7341644504551023e-70,1.2924765794755745e-70,6.3054496943853245e-46,2.6188561063224814e-47,1.1937054295492033e-66,2.9188741172573223e-62,4.6430556933887265e-59
3.589961358524897e-14,0.11224537200081608,0.0,0.0,0.0,0.0,0.9999999999854593,1.4447332489668284e-11,4.6532821597889067e-14,5.6749724126830947e-20,4.6532822266380917e-14,4.1018483025664958e-20,1.2309375038750151e-20,1.8136431920111878e-38,2.5062096611662424e-35,4.3365793542935447e-41,4.0956416288469584e-59,6.4426926105406856e-62,7.4852695981033371e-66,7.3400521659774916e-68,1.6544422638875889e-68,2.0178055892030394e-44,8.3805744378792865e-46,1.5280712553049308e-64,1.8686067627876206e-60,2.9716508619632008e-57
7.17997140967744e-14,0.1122453720016321,0.0,0.0,0.0,0.0,0.99999999997091904,2.8894860822631265e-11,9.3066330426930392e-14,2.2700120500439364e-19,9.3066333101043097e-14,1.6407568591638018e-19,4.9238027067924265e-20,2.9018401208638951e-37,2.0051975462966159e-34,6.9393051740170312e-40,2.6214467378300276e-57,4.1233606857759766e-60,9.3132262196598548e-64,9.3953550977895482e-66,2.1177053357900033e-66,6.4570090774700816e-43,2.681783137857114e-44,1.9561429708933841e-62,1.1965148967453846e-58,1.9018696066194474e-55
1.4359991511982526e-13,0.1122453720032642,0.0,0.0,0.0,0.0,0.99999999994183786,5.778991714700151e-11,1.8613351632821431e-13,9.0800943294296897e-19,1.8613352702566427e-13,6.5630675980161794e-19,1.9695331832852392e-19,4.6428529297974793e-36,1.6044971925598919e-33,1.1105166806269642e-38,1.6779783641595394e-55,2.6389360648965285e-58,1.1289197096164527e-61,1.2025989943632315e-63,2.7106465568446497e-64,2.0662046916130176e-41,8.5814600550446797e-43,2.5043303959323216e-60,7.6652401613394928e-57,1.2171784350133531e-53
2.87200317165927e-13,0.11224537200652847,0.0,0.0,0.0,0.0,0.99999999988367527,1.1558002842951883e-10,3.7226856110108876e-13,3.6320469249288421e-18,3.7226860389855619e-13,2.6252391394298283e-18,7.8781694324854475e-19,7.4281714391380093e-35,1.2841289787378048e-32,1.7775388747981068e-37,1.074213308627414e-53,2.23182785707501e-56,1.7235657475197185e-59,2.0302831207667634e-61,4.5762327408470742e-62,6.6115173672920311e-40,2.7458711329834769e-41,3.2066914074163667e-58,4.9153400444358521e-55,7.7895986960349107e-52
5.744011212581305e-13,0.1122453720130569,0.0,0.0,0.0,0.0,0.99999999976735077,2.3116024552965872e-10,7.4454134250807964e-13,1.4528205824334999e-17,7.4454151375863531e-13,1.050101330144585e-17,3.1512851114649311e-18,1.1883735223234288e-33,1.0281485626281371e-31,2.8463276128045214e-36,6.8788443605106013e-52,1.4341891093802258e-54,1.8617837355456891e-57,2.6141979526981462e-59,5.8923545268899285e-60,2.1154546187456411e-38,8.7854711068483165e-40,4.1074735864124419e-56,3.1580632425948595e-53,4.9848681975363611e-50
