Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18)
1.2634846745207916e-09,0.11224540072501143,0.0,0.0,0.0,0.0,0.99999948814904582,5.084200143809493e-07,1.6634883364408369e-09,5.271791589289529e-11,1.6646647518022104e-09,3.8507997704442854e-11,1.1560832088538754e-11,8.163675657764946e-21,1.8559943730894135e-21,4.5329491293302992e-23,1.2734168329487126e-32,6.0639908454905212e-35,2.4313325372442353e-37,6.50888173504716e-37,1.4631061853328093e-37,1.2776584611637228e-22
1.4747370685626802e-09,0.11224540552863417,0.0,0.0,0.0,0.0,0.99999940254835595,5.9341659324085695e-07,1.9465871925496743e-09,7.1819571192676028e-11,1.9483137656312455e-09,5.2551677950736329e-11,1.5778605833907496e-11,1.4735209782428496e-20,3.3112238089750768e-21,9.375026999585586e-23,3.4633694381881006e-32,1.7114141246733861e-34,6.8649098203521794e-37,2.1394871017442793e-36,4.8071944431613484e-37,2.7021713928724801e-22
1.6859894626045688e-09,0.112245410332504,0.0,0.0,0.0,0.0,0.99999931694186694,6.7841020519190601e-07,2.2310888943863504e-09,9.3868267416954898e-11,2.2335066780965658e-09,6.8803498033313459e-11,2.0660472503577835e-11,2.4497021758895996e-20,5.4836696195017279e-21,1.7655818712244548e-22,8.2111187783861478e-32,4.2023049208202358e-34,1.6862046719825709e-36,5.9812839929531446e-36,1.3433516766022778e-36,5.1556593586898348e-22
1.897241856646457e-09,0.11224541513662216,0.0,0.0,0.0,0.0,0.9999992313295657,7.634008490368656e-07,2.5169860581241052e-09,1.1886391768158643e-10,2.5202507526389515e-09,8.7274353866226961e-11,2.6210047821106096e-11,3.8251248505570565e-20,8.5743018777823261e-21,3.0928173565247537e-22,1.7559204455434528e-31,9.2849700973192521e-34,3.7266035427588289e-36,1.4772241397361122e-35,3.316361656821028e-36,9.0917965302317509e-22
2.1084942506883455e-09,0.11224541994098974,0.0,0.0,0.0,0.0,0.99999914571143933,8.4838852357688055e-07,2.804271363447978e-09,1.4680643507763015e-10,2.8085531888481309e-09,1.0797509950333385e-10,3.2430969343792065e-11,5.6853538795526475e-20,1.2808195677012549e-20,5.115438933812231e-22,3.464018331478673e-31,1.8893453532597676e-33,7.5845934095427498e-36,3.3180280921852099e-35,7.4459367096611943e-36,1.5070269010737089e-21
2.5309990387721227e-09,0.11224542955047767,0.0,0.0,0.0,0.0,0.9999989744576584,1.0183549599564853e-06,3.3829775465078861e-09,2.115317247666335e-10,3.3898615157439281e-09,1.5610930328810112e-10,4.6901456445436684e-11,1.1223788907467308e-19,2.5723784965920274e-20,1.2271911278475969e-21,1.1277863054456257e-30,6.5436200871843492e-33,2.6277284815158567e-35,1.3860126886964979e-34,3.1074397408886566e-35,3.5968202421904571e-21
2.911253348047522e-09,0.1122454381998812,0.0,0.0,0.0,0.0,0.99999882030920284,1.1713145856703541e-06,3.908488750251125e-09,2.7986190260500039e-10,3.9184391993554693e-09,2.0716384454679449e-10,6.2257668961495265e-11,1.8810356427138329e-19,4.3996826236305064e-20,2.406038603729563e-21,2.7711375490131086e-30,1.6901074769989563e-32,6.7883763342374939e-35,4.1017513379171473e-34,9.189134720713498e-35,6.9746732767503759e-21
3.2915076573229216e-09,0.11224544685011033,0.0,0.0,0.0,0.0,0.9999986661416721,1.3242645722291681e-06,4.4383872325111072e-09,3.5773858514177716e-10,4.4521743927435383e-09,2.6560913655413609e-10,7.9846264294952046e-11,2.9477064654177887e-19,7.0541549261290605e-20,4.3496850201687267e-21,6.0771973149337007e-30,3.8847993065423714e-32,1.560589498142892e-34,1.0617684025099809e-33,2.3768803028387454e-34,1.2424990376008915e-20
3.671761966598321e-09,0.11224545550117153,0.0,0.0,0.0,0.0,0.99999851195499145,1.477204912658165e-06,4.9726329847088804e-09,4.451612700546371e-10,4.9911063954349373e-09,3.3150633891037799e-10,9.9688999165559247e-11,4.3843582290642663e-19,1.0750261938078275e-19,7.3782225952957814e-21,1.2205528770706347e-29,8.1531852820933165e-32,3.2756804276722735e-34,2.4743504238394765e-33,5.5350036425163254e-34,2.0720887837338131e-20
4.0520162758737206e-09,0.1122454641530711,0.0,0.0,0.0,0.0,0.99999835774908608,1.6301355999830615e-06,5.5111867169284014e-09,5.4212945605785039e-10,5.5352737863941685e-09,4.0491605525529005e-10,1.2180779342781469e-10,6.2550048780151161e-19,1.5725585209653097e-19,1.1889611625122963e-20,2.2849238022316182e-29,1.5911852903243284e-31,6.3935070252878127e-34,5.3058426574741621e-33,1.1860255918680791e-33,3.277973001596304e-20
