Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535)
1.2112409473332839e-15,0.11224537200002754,0.0,0.0,0.0,0.0,0.99999999999950939,4.874481647634758e-13,1.5700009127777399e-15,6.4615490070402384e-23,1.570000913538855e-15,4.6703805048352719e-23,1.4015502350287972e-23,2.3515940449464891e-44,9.6299700587831539e-40,5.6241490485614808e-47,6.049239066914609e-68,9.5121528582997775e-71,3.8369134819296263e-76,3.6578681346058633e-78,8.2448099170525122e-79,8.8307330870699152e-52,3.6676962343503177e-53,7.6178925085923121e-75,2.7589248719400205e-69,4.3896486525285848e-66,2.2605873459045628e-76,4.4558830587001128e-89,3.6174629512656953e-145,1.4350214269563384e-121
2.423007835156074e-15,0.11224537200005509,0.0,0.0,0.0,0.0,0.99999999999901867,9.7510798730641179e-13,3.1406836093289442e-15,2.5854612582883122e-22,3.1406836123744012e-15,1.8687605797476262e-22,5.6080266439371065e-23,3.7647368786573154e-43,7.7069295246304988e-39,9.002331406855681e-46,3.8739717419949316e-66,6.0931250687423158e-69,4.9106917973980039e-74,4.6862164318954851e-76,1.0562699877682696e-76,2.8275314810216688e-50,1.1743673694041784e-51,9.7571404027455002e-73,1.7668192486639368e-67,2.8110895353657834e-64,2.8953427732800211e-74,1.1414384467746208e-86,2.9674210429883269e-141,2.9423338143943196e-118
4.846541610801655e-15,0.11224537200011016,0.0,0.0,0.0,0.0,0.99999999999803713,1.9504276320031417e-12,6.2820491941153735e-15,1.0343528582322798e-21,6.2820492062992205e-15,7.4762594434921144e-22,2.2435759104319706e-22,6.0253243196784e-42,6.1667573528551142e-38,1.440675788049683e-44,2.4801378465851022e-64,3.9013065767506771e-67,6.2759318601189267e-72,6.0010030032859755e-74,1.3526219553666229e-74,9.0508103320957865e-49,3.7590996751750871e-50,1.249318949748426e-70,1.1311467348831327e-65,1.7996449961061092e-62,3.7072045863768159e-72,2.9230336549394187e-84,2.432259283166582e-137,6.0293790408528523e-115
9.693609162092818e-15,0.11224537200022038,0.0,0.0,0.0,0.0,0.9999999999960737,3.9010669198400315e-12,1.2564781130424224e-14,4.1377481654847172e-21,1.2564781179163872e-14,2.9907473760694631e-21,8.9750346800888232e-22,9.6419013595635126e-41,4.9339427726304145e-37,2.3053467182387728e-43,1.587554274117505e-62,2.4973756890610054e-65,8.0030587386738867e-70,7.682957060931482e-72,1.7317331707438829e-72,2.896688827795151e-47,1.2030894644794724e-48,1.5994018051115087e-68,7.2409207255713249e-64,1.1519466667146339e-60,4.7460172802051384e-70,7.484252639196941e-82,1.992584072126839e-133,1.2351671524213109e-111
1.9387744264675142e-14,0.11224537200044073,0.0,0.0,0.0,0.0,0.99999999999214739,7.8023454892875393e-12,2.5130248069985129e-14,1.6551666140965181e-20,2.5130248264953995e-14,1.1963477970473815e-20,3.590160469415622e-21,1.5428103322002283e-39,3.9474511394811689e-36,3.6888414235882395e-42,1.0161343510494343e-60,1.5984849874562056e-63,1.016431010630174e-67,9.835206435336083e-70,2.2168484912816796e-70,9.2700653708477999e-46,3.8501555849952644e-47,2.0474460405177926e-66,4.6351532570627581e-62,7.3729968650042564e-59,6.0755370205832541e-68,1.9161685197525856e-79,1.6315789415100869e-129,2.5299561733990187e-108
3.8776014469839785e-14,0.11224537200088143,0.0,0.0,0.0,0.0,0.99999999998429479,1.5604902603277451e-11,5.0261194216873626e-14,6.6208011465375826e-20,5.0261194996783541e-14,4.7854898843761011e-20,1.4360938153677749e-20,2.4685670579876993e-38,3.1582111303629412e-35,5.9026133715387767e-41,6.5037638537152107e-59,1.0230739801076248e-61,1.2809149990892359e-65,1.2589607019716904e-67,2.8376879264355763e-68,2.9665099521843312e-44,1.2320833819986545e-45,2.6209602461160956e-64,2.9673925946712791e-60,4.718866885383168e-57,7.7774157714879462e-66,4.9058272317706757e-77,1.3350128508314405e-125,5.1815899362647255e-105
7.755255488016908e-14,0.1122453720017629,0.0,0.0,0.0,0.0,0.9999999999685889,3.1210016731636861e-11,1.0052313558166802e-13,2.6483473904437502e-19,1.0052313870148827e-13,1.9142164941316348e-19,5.7444369780394758e-20,3.9497177360825445e-37,2.5268793089050061e-34,9.445315868448998e-40,4.1628072231792842e-57,6.5477284824294347e-60,1.590268316559789e-63,1.6114837708795521e-65,3.6322710227308641e-66,9.4928671018311655e-43,3.9426598093994772e-44,3.3552159974434169e-62,1.9001675946825508e-58,3.0200925792587875e-55,9.9563827379319813e-64,1.2560397181535002e-74,1.090923961445136e-121,1.0611723121922821e-101
1.5510563570082768e-13,0.11224537200352576,0.0,0.0,0.0,0.0,0.99999999993717781,6.2420244589874025e-11,2.0104721459493332e-13,1.0593443374141187e-18,2.0104722707546838e-13,7.6569134652147139e-19,2.2977891032611784e-19,6.3194096071999502e-36,2.021964114309362e-33,1.5115847509672267e-38,2.6646275119372356e-55,4.1905280208481289e-58,1.9200112815588363e-61,2.0626907226185581e-63,4.6492845611801004e-64,3.0376545076968507e-41,1.2616111289231002e-42,4.2955387197651135e-60,1.2173989388823044e-56,1.9328267014642763e-53,1.2747106127160007e-61,3.2161228685654657e-72,8.8920706817762641e-118,2.1730918029850499e-98
3.1021179734214487e-13,0.11224537200705155,0.0,0.0,0.0,0.0,0.99999999987435495,1.2484069871242123e-10,4.0209615775302123e-13,4.2373880709288636e-18,4.0209620768481309e-13,3.0627800100236346e-18,9.1912007866818161e-19,1.0110473559607779e-34,1.6182939621163628e-32,2.4195820174556525e-37,1.7058877481612678e-53,3.5441122390343685e-56,2.9116098174070453e-59,3.4823847047098379e-61,7.8492499435064745e-62,9.7199546085372406e-40,4.0368427243295797e-41,5.5004144669395816e-58,7.8077735779211027e-55,1.2369497302981766e-51,1.632357652109437e-59,8.2365360162142568e-70,3.8115035314762746e-113,7.0685410071082237e-95
6.204241206247793e-13,0.11224537201410309,0.0,0.0,0.0,0.0,0.99999999974871001,2.4968160058180473e-10,8.0419718457024314e-13,1.6949573396485836e-17,8.0419738437386288e-13,1.2251190297142726e-17,3.6765017890915776e-18,1.6174786136646446e-33,1.2957856690293671e-31,3.8746612660607798e-36,1.0924332566921767e-51,2.2775735336983259e-54,3.113207585260419e-57,4.4841252391640692e-59,1.010713243861413e-59,3.1100181780718915e-38,1.291580376976578e-39,7.0459158198326462e-56,5.0179528079833283e-53,7.9156620412318108e-50,2.0912661797493992e-57,2.1102067818687755e-67,3.0631130376699381e-109,1.4473029807338134e-91
