Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470),C7H9(588)
6.528155715558991e-13,0.11224537201483939,0.0,0.0,0.0,0.0,0.99999999973559039,2.6271711687675005e-10,8.4618362288885172e-13,1.8765599066702985e-17,8.4618384410881063e-13,1.3563824150087008e-17,4.0704146371777516e-18,1.9826234673503264e-33,1.5096589983166853e-31,4.7498507749672478e-36,1.4826320616071335e-51,3.0910234960095708e-54,4.3683791100456526e-57,6.4033814933485179e-59,1.4433095167869131e-59,4.0111289359349346e-38,1.6658010849648374e-39,1.0062011402860022e-55,6.8128206650014056e-53,1.0742205287673292e-49,2.9864970924917605e-57,3.1708454572270753e-67,5.9241211178288184e-109,2.5286082949240012e-91,4.5524341204080828e-94,7.520641785989075e-83,3.4188536893270085e-131
1e-12,0.11224537202967877,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243694430538841e-10,1.2962161104034226e-12,4.8705708937219061e-17,1.2962166849527553e-12,3.5204886555095116e-17,1.0564757420027598e-17,1.7794389660364657e-32,7.1417721502406617e-31,4.2714233465232433e-35,5.1222642903393584e-50,1.0678118639659129e-52,2.2247987746286354e-55,4.3943587613233004e-57,9.9047410536595981e-58,7.0123785057577073e-37,2.9119424625534353e-38,6.9076705841602365e-54,2.3711378197997645e-51,3.7057932810610963e-48,2.0507723185273928e-55,4.3389642210804306e-65,2.482325779112319e-105,2.7480403058994309e-88,9.847856940483305e-91,2.327371855533014e-80,1.1806968624469627e-126
1.305631696510884e-12,0.11224537202967877,0.0,0.0,0.0,0.0,0.99999999947118079,5.254344188146826e-10,1.6923865067610841e-12,7.5062439892137604e-17,1.6923873923516016e-12,5.4255840671636214e-17,1.6281825466766869e-17,3.1713726271809495e-32,1.209980642916964e-30,7.6134852987482665e-35,9.5009525754571959e-50,1.9806120300513427e-52,4.1448672396814296e-55,8.2064092198208705e-57,1.8496977494345228e-57,1.2832375485224821e-36,5.3287264106610268e-38,1.2900019931364514e-53,4.3985119684883092e-51,6.8734938254926767e-48,3.8298075817890494e-55,8.1307065320755036e-65,4.6670331478815641e-105,5.164955723387723e-88,1.8513066577440201e-90,4.3695719196143969e-80,2.2200520478267832e-126
2.611263946420854e-12,0.11224537205935754,0.0,0.0,0.0,0.0,0.99999999894236102,1.0508689097490669e-09,3.3848479033755149e-12,3.0024982223072231e-16,3.3848514514193758e-12,2.1702750818107465e-16,6.5128575135026026e-17,5.0715499233510955e-31,9.7158872655643288e-30,1.222547629261557e-33,6.0960677339193721e-48,1.2713347055370445e-50,3.5014830984567726e-53,1.0535101194574484e-54,2.374549950777352e-55,4.1042828126512098e-35,1.7040147338524473e-36,1.6564762102788145e-51,2.8640283646275325e-49,4.3970872449449829e-46,4.9202810073523053e-53,2.0882783927089321e-62,3.5536536603783603e-101,1.0523114454902007e-84,7.4757053822227426e-87,2.4050502876088788e-77,1.4295708860516522e-121
3.916896196330824e-12,0.11224537208903633,0.0,0.0,0.0,0.0,0.99999999841354092,1.5763032876722236e-09,5.0773649267587299e-12,6.3803088458814842e-16,5.0773724746949372e-12,4.6118948522554115e-16,1.3840007482807721e-16,1.9330619885618801e-30,2.7850179964344652e-29,4.5086913709897123e-33,3.40479152537565e-47,6.3136299255745185e-50,1.8436299258128872e-52,6.244641834572285e-54,1.4075002753820294e-54,1.9259022281011578e-34,7.9953704542403166e-36,1.0841397970200878e-50,1.6195261158761288e-48,2.4708043781013001e-45,3.2393989327424016e-52,1.5703917066167432e-61,2.0337954072849854e-100,8.3446129993018105e-84,6.6607281178116916e-86,1.5476715595018487e-76,9.1508195433838717e-121
5.222528446240794e-12,0.11224537211871513,0.0,0.0,0.0,0.0,0.99999999788472049,2.1017375525838697e-09,6.7699375750334135e-12,1.0884056063106148e-15,6.7699504640275083e-12,7.867444467942115e-16,2.3609714659154468e-16,5.1999953557661839e-30,5.8904393314619381e-29,1.1459034374516265e-32,1.2807009993156181e-46,2.6760367169977964e-49,7.9285042536619144e-52,2.8247299659695339e-53,6.3667382776362844e-54,6.0025849983521107e-34,2.4918115638621565e-35,4.5321505328954546e-50,5.8278348643692734e-48,8.8015258502366594e-45,1.3049749784229169e-51,7.2598950145616796e-61,3.4860168001632326e-99,6.9827745106214789e-83,5.6134742891934049e-85,1.1779222502204936e-75,2.9590540816048167e-119
7.833792946060734e-12,0.11224537217807277,0.0,0.0,0.0,0.0,0.9999999968270793,3.1526058169934784e-09,1.0155213413389645e-11,2.2534054135027386e-15,1.015524014368917e-11,1.6288870189076251e-15,4.8881916239396336e-16,2.102560803745684e-29,1.6186274558443011e-28,4.0257433098087343e-32,9.2320515525048027e-46,2.4261679987348845e-48,7.4830143205158515e-51,2.9420152116034275e-52,6.6310660525243417e-53,2.9567252968764896e-33,1.2272785795311167e-34,3.7613225509178075e-49,3.5863765646815009e-47,5.2177934366228092e-44,9.2765446634394035e-51,6.9211142700826159e-60,3.7965264721082982e-97,2.7916630162906665e-81,2.3866199899101228e-83,3.1876986880699847e-74,1.4348652720166648e-116
1e-11,0.11224537223743043,0.0,0.0,0.0,0.0,0.99999999594969946,4.0243663849389497e-09,1.2963666449117342e-11,3.5340525481571971e-15,1.2963708427825357e-11,2.554651384877934e-15,7.6663575679113003e-16,4.9395970123969525e-29,3.0472239668260866e-28,8.8388179413373467e-32,2.8563572496953624e-45,8.0244141563933048e-48,2.5488555060131455e-50,1.0923697673643162e-51,2.4621054362270211e-52,7.9183536159825031e-33,3.2865135053670855e-34,1.3072570890281107e-48,1.0941435936719038e-46,1.5646997319358399e-43,3.0883285894005964e-50,2.6488143360275413e-59,2.6242476707091938e-96,1.5360213112055035e-80,1.455061663419113e-82,1.3963566897301206e-73,1.4676389129262332e-115
1.0445057445880675e-11,0.11224537223743043,0.0,0.0,0.0,0.0,0.99999999576943766,4.2034736657269617e-09,1.3540693788428143e-11,3.8324520975007323e-15,1.3540739322925027e-11,2.7703628445402974e-15,8.3136954734782658e-16,5.6936431441209354e-29,3.4052497572069504e-28,1.0099902755549859e-31,3.3965471723684459e-45,9.602180957909291e-48,3.0586610597959678e-50,1.3212136013342913e-51,2.9778984455696371e-52,9.2753977883166927e-33,3.849722164428783e-34,1.5723062566731845e-48,1.2998712674321693e-46,1.8556812703917035e-43,3.7006257111964033e-50,3.2128481401085367e-59,3.3024292372633637e-96,1.9100334263525811e-80,1.819864736143033e-82,1.710163453147162e-73,1.8750515571523218e-115
1.3056321945700615e-11,0.11224537229678816,0.0,0.0,0.0,0.0,0.99999999471179457,5.2543410691706119e-09,1.6926393297621903e-11,5.8551202978035859e-15,1.6926462978603326e-11,4.2325707484300247e-15,1.2701701088156339e-15,1.2786760660078205e-28,6.2338358470864998e-28,2.1517736560148658e-31,1.0120938741224716e-44,3.0398929807808507e-47,9.8733878844813373e-50,4.6255314443216731e-51,1.0425499408525538e-51,2.3838923947098916e-32,9.8934106194425813e-34,5.2018374495296882e-48,3.8430440079040706e-46,5.3657304774870373e-43,1.1930029913447333e-49,1.1731365150765377e-58,2.7503508223477554e-95,1.1400853576006611e-79,1.1223780986630819e-81,8.8836400185669622e-73,2.5813396588198446e-114
1.8278850945340496e-11,0.11224537241550364,0.0,0.0,0.0,0.0,0.99999999259650652,7.3560745122748842e-09,2.369846339842967e-11,1.1259186038996386e-14,2.3698597903550331e-11,8.1394504636864796e-15,2.4426048838574267e-15,4.9531597041648581e-28,1.6685493047608321e-27,7.9849250108096432e-31,8.4840770996322082e-44,2.5442004495363645e-46,8.9032966291643578e-49,6.1852849550841135e-50,1.3940682095883395e-50,1.3435380207242212e-31,5.5737479001009867e-33,6.7461792983106383e-47,3.486772932710395e-45,4.4790956961804392e-42,1.5432087560186234e-48,2.4086844023479673e-57,5.7069269926241866e-93,1.1950933088001776e-77,2.2116057520467229e-79,2.963579475223513e-71,3.1472641381431334e-111
2.8723908944620258e-11,0.11224537265293508,0.0,0.0,0.0,0.0,0.99999998836591986,1.1559535976560912e-08,3.7245271027124142e-11,2.7468988934263332e-14,3.7245601862822236e-11,1.9859720889684072e-14,5.9598085735145895e-15,3.1775031594167641e-27,6.6337195620045089e-27,5.2042053150495904e-30,1.5770617806627186e-42,4.4851351801563742e-45,1.6681139263539557e-47,2.0443281434546048e-48,4.6073266813579455e-49,1.5005281368190428e-30,6.2193033447313794e-32,2.3588967067266311e-45,7.8895199348546592e-44,9.0164655919480854e-41,5.9651500678777597e-47,1.6092860381691347e-55,3.7346433186087889e-90,3.7081246669554264e-75,1.3052688837206972e-76,2.8320167021664032e-69,1.2462031645928317e-107
