Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38)
1.0736505350455827e-15,0.11224537200002438,0.0,0.0,0.0,0.0,0.99999999999956535,4.3207661744106734e-13,1.3916567136958723e-15,5.0769322502524078e-23,1.3916567142938961e-15,3.6695852675418613e-23,1.1012179542908827e-23,1.4517499530426561e-44,6.7068980705185685e-40,3.4720516460982378e-47,2.934234866923935e-68,4.6139504701827838e-71,1.6499006678135596e-76,1.5727311348627739e-78,3.5449274687885036e-79,4.8323535142861822e-52,2.0070363432095056e-53,3.1310480106528325e-75
2.1477672665892308e-15,0.11224537200004886,0.0,0.0,0.0,0.0,0.99999999999912981,8.643408494643203e-13,2.783917757528971e-15,2.0314342009681299e-22,2.7839177599218476e-15,1.4683121153242143e-22,4.4063062896897621e-23,2.3241498249650758e-43,5.3675733232604227e-39,5.5575603333758474e-46,1.879102461661245e-66,2.9555223381879127e-69,2.1118725611339361e-74,2.0148783370161122e-76,4.5415248271723108e-77,1.5472817811030314e-50,6.4263723384156127e-52,4.010305758778138e-73
4.296000729676528e-15,0.11224537200009765,0.0,0.0,0.0,0.0,0.99999999999825995,1.7288693132050722e-12,5.5684399958040593e-15,8.1270595929241249e-22,5.5684400053771522e-15,5.8742047502885084e-22,1.7628094930917946e-22,3.7197175944800067e-42,4.2949005914417671e-38,8.8939588480005002e-45,1.2030110271526656e-64,1.8923624563232045e-67,2.6996125984447011e-72,2.5801824595177208e-74,5.8157171384609604e-75,4.9527849723836251e-49,2.0570545745539355e-50,5.1348494004761638e-71
8.59246765585112e-15,0.11224537200019531,0.0,0.0,0.0,0.0,0.99999999999651989,3.4579262394635578e-12,1.1137485074789727e-14,3.2510884129450171e-21,1.1137485113085414e-14,2.3498732804864433e-21,7.0518123024092581e-22,5.9524029136182354e-41,3.4362889800787858e-37,1.4231951241166213e-43,7.7005531237870493e-63,1.211374128126681e-65,3.4440902107980015e-70,3.3033542541996325e-72,7.4457421225184619e-73,1.5851265728631516e-47,6.5835482495671825e-49,6.5737101316187713e-69
1.718540150820031e-14,0.11224537200039063,0.0,0.0,0.0,0.0,0.99999999999303957,6.916040087088456e-12,2.2275577642502493e-14,1.3004882815162414e-20,2.2275577795693096e-14,9.399876767940708e-21,2.820840058852923e-21,9.5245039562674033e-40,2.749229312085573e-36,2.2772822292573015e-42,4.9288270052824946e-61,7.7535980496148088e-64,4.3780692496514726e-68,4.2287355765019755e-70,9.5315457556268275e-71,5.0727689815484827e-46,2.1068840350703384e-47,8.4151612688849155e-67
3.437126921289868e-14,0.1122453720007813,0.0,0.0,0.0,0.0,0.99999999998607858,1.3832267762769949e-11,4.4551772416889436e-14,5.2020589550178372e-20,4.4551773029677275e-14,3.7600281350443997e-20,1.1283592657629933e-20,1.5239655158351589e-38,2.199543851444941e-35,3.6439176955659507e-41,3.1546807162980747e-59,4.9625196725100841e-62,5.5268848571952977e-66,5.4130208677297042e-68,1.2200916166070397e-68,1.6233361833283788e-44,6.7422206191175169e-46,1.0772198641080564e-64
6.874300462229542e-14,0.11224537200156261,0.0,0.0,0.0,0.0,0.99999999997215716,2.766472303585975e-11,8.9104200521474805e-14,2.080844743499947e-19,8.9104202972754752e-14,1.5040272975729392e-19,4.5134852617880828e-20,2.4383555715479415e-37,1.7598290805722558e-34,5.8308975405317506e-40,2.0191721954184921e-57,3.1760426882635148e-60,6.8845660449522771e-64,6.9287346199459031e-66,1.5617321025768411e-66,5.194703963652295e-43,2.1575117966910788e-44,1.3789618396134674e-62
1.374864754410889e-13,0.11224537200312529,0.0,0.0,0.0,0.0,0.99999999994431366,5.5329633268946544e-11,1.782092109536172e-13,8.3234212612844235e-19,1.78209220759616e-13,6.016145740293865e-19,1.8054051156125362e-19,3.9012970006762202e-36,1.4081486049611348e-33,9.3312716774500341e-39,1.2924578537466638e-55,2.0326548891920677e-58,8.3631061436489765e-62,8.8687281206101559e-64,1.9990041151962294e-64,1.6622764985274893e-41,6.9038510350416861e-43,1.7653266600658772e-60
2.7497341707867586e-13,0.1122453720062505,0.0,0.0,0.0,0.0,0.99999999988862787,1.1065945248274876e-10,3.5641984870759661e-13,3.3293769332780328e-18,3.564198879383254e-13,2.4064691763242012e-18,7.2216534531943705e-19,6.24176003500424e-35,1.1269654027339492e-32,1.4935766278270591e-37,8.2740091024388656e-54,1.719063778606615e-56,1.2815067230850747e-59,1.4972476460289898e-61,3.374779886612438e-62,5.3190257824891573e-40,2.209081736119831e-41,2.2602383356722412e-58
5.499473003538499e-13,0.11224537201250102,0.0,0.0,0.0,0.0,0.99999999977725529,2.2131908590086555e-10,7.1284359175679318e-13,1.3317524360967565e-17,7.1284374873297717e-13,9.625927027075165e-18,2.8886767546137139e-18,9.9857397090841897e-34,9.0228273358186511e-32,2.3915453046948863e-36,5.298242477007885e-52,1.1046580729719652e-54,1.3920328673384554e-57,1.9278165649667469e-59,4.3452669946717544e-60,1.7019105359748348e-38,7.0680481900253431e-40,2.8946706453643284e-56
