Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19)
2.098386338813898e-15,0.11224537200004768,0.0,0.0,0.0,0.0,0.99999999999915024,8.4446828847055716e-13,2.7199117761062817e-15,1.9390959437688879e-22,2.7199117783903732e-15,1.4015704282635307e-22,4.2060199628377805e-23,2.1176647694705783e-43,5.0057929134975366e-39,5.0638068625702952e-46,1.6343311662032458e-66,2.5705377871832303e-69,1.7946235244573983e-74,1.7121316594063056e-76,3.8591330946822219e-77,1.3774011850310408e-50,5.7208058453381687e-52
4.197228155452587e-15,0.11224537200009543,0.0,0.0,0.0,0.0,0.9999999999982998,1.6891198776782284e-12,5.4404141306298822e-15,7.7576464371633966e-22,5.4404141397677606e-15,5.6071945302316263e-22,1.6826819167288806e-22,3.3892458108045062e-42,4.0054189501281453e-38,8.1037867312726277e-45,1.0463073056458352e-64,1.6458645293970283e-67,2.2941653766487862e-72,2.1924957742857273e-74,4.9418704451688452e-75,4.4090042966456708e-49,1.8312057756095368e-50
8.394911788729966e-15,0.11224537200019084,0.0,0.0,0.0,0.0,0.99999999999659972,3.3784230549261455e-12,1.0881419414729101e-14,3.1033111244506093e-21,1.0881419451283781e-14,2.2430604901381555e-21,6.7312758812935998e-22,5.4235723343204273e-41,3.2046779230519134e-37,1.2967528638253496e-43,6.697483731921739e-63,1.0535813815362185e-65,2.9270683316405647e-70,2.8070072054830793e-72,6.3269747642429335e-73,1.4110909675120497e-47,5.8607255047498249e-49
1.6790279055284723e-14,0.11224537200038166,0.0,0.0,0.0,0.0,0.99999999999319955,6.7570294047522726e-12,2.1763432283135107e-14,1.2413749608420582e-20,2.176343242936128e-14,8.9726081425279938e-21,2.692620249038388e-21,8.6783171418477941e-40,2.5639256624454467e-36,2.0749583710631753e-42,4.2868028887106566e-61,6.7436206602874906e-64,3.7214344641896194e-68,3.5933453818833361e-70,8.0993749580456223e-71,4.5158154319203253e-46,1.8755646384984628e-47
3.358101358839424e-14,0.11224537200076334,0.0,0.0,0.0,0.0,0.99999999998639877,1.3514242085725701e-11,4.3527467220773327e-14,4.965600862060592e-20,4.3527467805702026e-14,3.5891171450139416e-20,1.0770702791051718e-20,1.3885718576147451e-38,2.0512878005065069e-35,3.3201722446882929e-41,2.7437575776293656e-59,4.3161067775227689e-62,4.6994185713350122e-66,4.599686400997082e-68,1.036765892933982e-68,1.445105767537202e-44,6.00197875899967e-46
6.716248265461327e-14,0.1122453720015267,0.0,0.0,0.0,0.0,0.9999999999727972,2.7028667372957248e-11,8.7055573899322781e-14,1.9862605445587558e-19,8.7055576239158038e-14,1.4356621559818864e-19,4.3083270741558741e-20,2.2217254664368944e-37,1.6412074520998223e-34,5.3128372877043281e-40,1.7561615178129732e-57,2.762335124367922e-60,5.8573522634135408e-64,5.8876575897988473e-66,1.3270732477204419e-66,4.6243649584987278e-43,1.9206350742177227e-44
1.3432542078705133e-13,0.11224537200305339,0.0,0.0,0.0,0.0,0.99999999994559441,5.4057517648559115e-11,1.7411193446925806e-13,7.9450825444135152e-19,1.7411194382942003e-13,5.742683381969555e-19,1.7233412999427532e-19,3.5546974702350105e-36,1.3132261308390325e-33,8.50217497926372e-39,1.1241105809054494e-55,1.7678832675062124e-58,7.1231956586500975e-62,7.5361556666087344e-64,1.6986423717353346e-64,1.4797720836985487e-41,6.1458711703781681e-43
2.6865129705192745e-13,0.11224537200610679,0.0,0.0,0.0,0.0,0.99999999989118848,1.0811521700431761e-10,3.4822524445842951e-13,3.1780410642427764e-18,3.4822528190535906e-13,2.2970836339659477e-18,6.8933963699575863e-19,5.6872359817829893e-35,1.0509878251736508e-32,1.3608583271253144e-37,7.1963410071391739e-54,1.4951341941078417e-56,1.0935977663552787e-59,1.2722733015797228e-61,2.8676885651774566e-62,4.7350459040860228e-40,1.9665480075695523e-41
5.373030495816797e-13,0.11224537201221363,0.0,0.0,0.0,0.0,0.9999999997823763,2.1623061093405177e-10,6.9645421981761738e-13,1.2712180135733453e-17,6.9645436965501902e-13,9.1883817345141971e-18,2.7573729657447157e-18,9.0986198660108908e-34,8.4143758556973643e-32,2.1789959854818005e-36,4.6082259403202905e-52,9.6075149643765069e-55,1.1914139527624571e-57,1.6381268206302322e-59,3.6923091975408101e-60,1.5150602045486988e-38,6.2920725917663768e-40
1e-12,0.11224537202442723,0.0,0.0,0.0,0.0,0.99999999959497055,4.0243694746164731e-10,1.2962145528732427e-12,4.5553348453502465e-17,1.2962150901477218e-12,3.292627061088994e-17,9.8809591445292834e-18,1.266004593465612e-32,5.9225498668716676e-31,3.0370155049026366e-35,2.5489661635481015e-50,5.3131019593953481e-53,1.0068814943563757e-55,1.8096152891400808e-57,4.0788219028518625e-58,4.1951747257584134e-37,1.74213177958557e-38
