Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38)
1.0736503473619181e-15,0.11224537200002438,0.0,0.0,0.0,0.0,0.99999999999956535,4.3207661743880597e-13,1.3916570647481072e-15,5.0769313627329164e-23,1.3916570653461265e-15,3.6695846751038399e-23,1.10121803957577e-23,1.4517494648778177e-44,6.7068985938331785e-40,3.4720498749094421e-47,2.9342329150537853e-68,4.6139492787339098e-71,1.6498999563168826e-76,1.5727317328364565e-78,3.5449266420565693e-79,4.8323479211734034e-52,2.0070353174770031e-53,3.1310430643865485e-75
2.147766891140407e-15,0.11224537200004886,0.0,0.0,0.0,0.0,0.99999999999912981,8.6434084945979655e-13,2.7839184597858688e-15,2.0314338458447282e-22,2.7839184621787273e-15,1.4683118782718263e-22,4.4063066309403689e-23,2.3241490434474361e-43,5.3675737420724524e-39,5.5575574983118658e-46,1.8791012116711449e-66,2.9555215749924171e-69,2.1118716542147697e-74,2.0148791031012612e-76,4.541523768020943e-77,1.5472799902320924e-50,6.4263690541022283e-52,4.0102994235059349e-73
4.295999978697384e-15,0.11224537200009765,0.0,0.0,0.0,0.0,0.99999999999825995,1.7288693131960237e-12,5.5684414004702723e-15,8.1270581721992776e-22,5.5684414100432903e-15,5.8742038019245067e-22,1.7628096296142342e-22,3.7197163436893981e-42,4.2949009265570955e-38,8.8939543109481328e-45,1.2030102269031509e-64,1.8923619676662498e-67,2.6996114488077042e-72,2.5801834405422034e-74,5.8157157821550619e-75,4.9527792398798701e-49,2.0570535232599748e-50,5.1348412887108163e-71
8.592466153811338e-15,0.11224537200019531,0.0,0.0,0.0,0.0,0.99999999999651989,3.45792623944546e-12,1.113748788427452e-14,3.2510878446088262e-21,1.1137487922569907e-14,2.3498729011098968e-21,7.0518128485432649e-22,5.9524009120660319e-41,3.43628924819982e-37,1.4231943981057582e-43,7.7005480013465956e-63,1.2113738153209162e-65,3.4440887686925744e-70,3.3033555101914613e-72,7.4457403860826205e-73,1.5851247381895358e-47,6.5835448849343459e-49,6.5736997468249833e-69
1.7185398504039245e-14,0.11224537200039063,0.0,0.0,0.0,0.0,0.99999999999303957,6.9160400870522604e-12,2.2275583261624237e-14,1.3004880541725145e-20,2.2275583414813641e-14,9.3998752503721942e-21,2.8208402773152582e-21,9.5245007535627907e-40,2.7492295265978876e-36,2.2772810675532063e-42,4.9288237266190507e-61,7.7535960474759068e-64,4.3780674782803519e-68,4.2287371843534826e-70,9.5315435327877292e-71,5.0727631101718147e-46,2.1068829583153569e-47,8.4151479750878962e-67
3.4371263204495064e-14,0.1122453720007813,0.0,0.0,0.0,0.0,0.99999999998607858,1.3832267762697563e-11,4.4551783655284291e-14,5.2020580456244324e-20,4.4551784268067334e-14,3.7600275280041807e-20,1.1283593531495801e-20,1.5239650033875247e-38,2.1995440230673537e-35,3.6439158367037103e-41,3.1546786178165344e-59,4.9625183911056853e-62,5.5268827738389852e-66,5.4130229258929422e-68,1.2200913320760703e-68,1.6233343044299402e-44,6.7422171734257992e-46,1.0772181623826744e-64
6.87429926054067e-14,0.11224537200156261,0.0,0.0,0.0,0.0,0.99999999997215716,2.7664723035714991e-11,8.9104222998412645e-14,2.0808443797388868e-19,8.9104225449673382e-14,1.5040270547540116e-19,4.5134856113369811e-20,2.4383547516287399e-37,1.7598292178853963e-34,5.8308945660314138e-40,2.0191708522947377e-57,3.1760418681548938e-60,6.8845638152237613e-64,6.9287372544164234e-66,1.5617317383726408e-66,5.1946979511452797e-43,2.1575106940833232e-44,1.3789596612296287e-62
1.3748645140722998e-13,0.11224537200312529,0.0,0.0,0.0,0.0,0.99999999994431366,5.5329633268657102e-11,1.7820925590762806e-13,8.3234198062328027e-19,1.7820926571355019e-13,6.0161447690102534e-19,1.8054052554320047e-19,3.9012956888316827e-36,1.4081487148340291e-33,9.3312669173138565e-39,1.2924569940506524e-55,2.0326543642630499e-58,8.3631042549568228e-62,8.8687314924408918e-64,1.9990036489562717e-64,1.6622745745589264e-41,6.9038475068832041e-43,1.7653238713690459e-60
2.7497336901087654e-13,0.1122453720062505,0.0,0.0,0.0,0.0,0.99999999988862787,1.1065945248217016e-10,3.5641993861570203e-13,3.3293763512559188e-18,3.5641997784612386e-13,2.4064687878074016e-18,7.2216540124672519e-19,6.2417579361653719e-35,1.1269654906672962e-32,1.4935758659131315e-37,8.2740035992272754e-54,1.7190633344155272e-56,1.281506649624955e-59,1.4972482150587568e-61,3.3747790990089665e-62,5.3190196260920033e-40,2.2090806072442586e-41,2.2602347652581448e-58
5.499472042181697e-13,0.11224537201250102,0.0,0.0,0.0,0.0,0.99999999977725529,2.2131908589970954e-10,7.1284377157288124e-13,1.3317522032876275e-17,7.1284392854783779e-13,9.6259254729870526e-18,2.8886769783180185e-18,9.9857363513244482e-34,9.0228280398428559e-32,2.3915440847035928e-36,5.2982389534983435e-52,1.104657787048402e-54,1.3920331479947043e-57,1.9278172967849761e-59,4.3452659786588284e-60,1.7019085661350085e-38,7.068044578513643e-40,2.8946660730111009e-56
1e-12,0.1122453720250021,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243694700147066e-10,1.2962147799594653e-12,4.6012956851247033e-17,1.296215322666217e-12,3.3258486967784678e-17,9.9806551662147646e-18,1.3253537375753731e-32,6.080289100298587e-31,3.1796205048609185e-35,2.7875647836190144e-50,5.8110434382078669e-53,1.1144583403905488e-55,2.0248317095538518e-57,4.5639126472722221e-58,4.4868209520433008e-37,1.8632374328851436e-38,3.0406730732660307e-54
1.0998948746327557e-12,0.1122453720250021,0.0,0.0,0.0,0.0,0.99999999955451024,4.4263833269682587e-10,1.4257013075110502e-12,5.3270119549696573e-17,1.4257019358358222e-12,3.8504031023143003e-17,1.1554808862268493e-17,1.597368060747235e-32,7.2296126787950901e-31,3.8322939129169873e-35,3.3945397162488415e-50,7.0763582988291847e-53,1.3587365838474727e-55,2.4699895242857609e-57,5.5672855579937441e-58,5.4449512563375347e-37,2.2611179863597809e-38,3.7091636041431508e-54
2.1997902154619278e-12,0.1122453720500042,0.0,0.0,0.0,0.0,0.99999999910901971,8.8527674613908607e-10,2.8514558583601627e-12,2.1308052633496232e-16,2.8514583750562833e-12,1.5401861020780341e-16,4.6219998980056839e-17,2.554666080248316e-31,5.8018431660104863e-30,6.1502968143926496e-34,2.1771877948051372e-48,4.5395877976050946e-51,1.1805250215819028e-53,3.1690399531432536e-55,7.1428558970601789e-56,1.741641888357979e-35,7.2313676572525913e-37,4.7579221941844091e-52
3.2996855562911e-12,0.11224537207500629,0.0,0.0,0.0,0.0,0.99999999866352951,1.3279150793799077e-09,4.2772498869008108e-12,4.5279613251496754e-16,4.277255239868111e-12,3.2729315678936788e-16,9.8218606881428835e-17,9.737685029015251e-31,1.6624304467031826e-29,2.2674956647709469e-33,1.2158239633637337e-47,2.25408418427561e-50,6.258135398997441e-53,1.8781937277790901e-54,4.2333402475989226e-55,8.1727742033171634e-35,3.3931602178260722e-36,3.1120824526729907e-51
