Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470),C7H9(588),C5H9(108)
1.2948710393578995e-15,0.11224537200002947,0.0,0.0,0.0,0.0,0.99999999999947542,5.2110400752569008e-13,1.6784015773670418e-15,7.3846274365657448e-23,1.6784015782368879e-15,5.3375777262362545e-23,1.6017716991495828e-23,3.0714696701306331e-44,1.1765569708062638e-39,7.3458290306243386e-47,9.0297694155936696e-68,1.4198897796516387e-70,6.1224301575133766e-76,5.8371400836832769e-78,1.3156874070545262e-78,1.2330378315893237e-51,5.1212173431513382e-53,1.2156457398910456e-74,4.1182832059139694e-69,6.552478268610332e-66,3.6073909388296165e-76,7.6015413828152926e-89,8.6168664746506244e-145,2.9909729555254565e-121,1.0734555110972475e-126,1.905009736851091e-109,6.8260082771803588e-176,1.1357519657851129e-98
2.590304332749389e-15,0.11224537200005891,0.0,0.0,0.0,0.0,0.99999999999895084,1.0424342867258018e-12,3.3575320169623357e-15,2.9548128665738641e-22,3.3575320204428586e-15,2.1357263819959933e-22,6.4091733231532091e-23,4.917207022364135e-43,9.4160664799900109e-39,1.1758152592983829e-45,5.7827235621590796e-66,9.0952758895002741e-69,7.8352812763297197e-74,7.4781536731964775e-76,1.6855707353801511e-76,3.9480903096760339e-50,1.6397732768678623e-51,1.5570223120702052e-72,2.6373571768826968e-67,4.1961450734364067e-64,4.620319490246497e-74,1.9472444197514156e-86,7.0684153267895369e-141,6.1325971289030278e-118,4.4019201584761525e-123,1.9404658045552222e-106,4.4837646041196607e-171,5.8214723706365694e-96
5.181170919532368e-15,0.11224537200011776,0.0,0.0,0.0,0.0,0.99999999999790168,2.0850948446812916e-12,6.7157931152203766e-15,1.1821175522323777e-21,6.7157931291447798e-15,8.5442965479884461e-22,2.5640867674190114e-22,7.8698103020755313e-42,7.5343396910562347e-38,1.8817007327859377e-44,3.7021323898630761e-64,5.8235232008219157e-67,1.0012222218362029e-71,9.5762578872832843e-74,2.1584819443135201e-74,1.2637671582033131e-48,5.2488435956265038e-50,1.9936356355918968e-70,1.6884832696245406e-65,2.686350242331976e-62,5.9158721809465275e-72,4.9865705794038086e-84,5.7935931203226188e-137,1.2566717832872627e-114,1.8040216002431986e-119,1.9630657407809198e-103,2.9417534393415411e-166,2.9822332748980703e-93
1.0362904093098326e-14,0.11224537200023557,0.0,0.0,0.0,0.0,0.99999999999580291,4.1704159588133352e-12,1.343231618800615e-14,4.728855046003544e-21,1.3432316243708652e-14,3.4179970341376168e-21,1.0257182592656625e-21,1.2593500442515148e-40,6.0281334823349137e-37,3.011070684013924e-43,2.369763422414597e-62,3.7278592534118012e-65,1.2764085218936447e-69,1.2260277289085114e-71,2.7634579459866135e-72,4.0446541227294674e-47,1.6798775920512712e-48,2.5522922401018484e-68,1.0808702984126002e-63,1.719523495871734e-60,7.5735929057612755e-70,1.2767826150435223e-81,4.7461914262021544e-133,2.5743558564131979e-111,7.3909905860045359e-116,1.9612270368583134e-100,1.9288533040899239e-161,1.5273174846108747e-90
2.072637044023024e-14,0.11224537200047116,0.0,0.0,0.0,0.0,0.99999999999160516,8.3410581799616763e-12,2.6865365838655505e-14,1.8916189873271032e-20,2.6865366061477427e-14,1.3672546515305475e-20,4.1030406173800878e-21,2.0150981296337583e-39,4.8228787946738887e-36,4.8180964598601005e-42,1.5167992762634115e-60,2.3860745390279962e-63,1.6202325877770449e-67,1.5694778290159784e-69,3.5375917517904449e-70,1.294381295479108e-45,5.3759824101917804e-47,3.2672773239822227e-66,6.9190717874967055e-62,1.1005751242168576e-58,9.6952305603767182e-68,3.2689099414109711e-79,3.8861329666920727e-129,5.2728204745480008e-108,3.027439088424598e-112,1.9142876160325495e-97,1.2642362375448343e-156,7.8208693439985042e-88
4.145330313449408e-14,0.11224537200094231,0.0,0.0,0.0,0.0,0.9999999999832101,1.6682342593795389e-11,5.3731479160258021e-14,7.5666298800630049e-20,5.3731480051586581e-14,5.4691315071030293e-20,1.641250139431673e-20,3.2242473959100671e-38,3.8586235291595941e-35,7.7095930048098068e-41,9.7082931571827482e-59,1.5271517956352701e-61,2.0396826120216681e-65,2.0090169635811531e-67,4.5283089758299684e-68,4.1421423101194504e-44,1.720360059309702e-45,4.1824946885784573e-64,4.4296217180313763e-60,7.0438998401846028e-57,1.2411104763942492e-65,8.3691812113792982e-77,3.1794868479915903e-125,1.0798596638713786e-104,1.2398423182530665e-108,1.7921146414505285e-94,8.2835844073534396e-152,4.0044902248100411e-85
8.290716852302175e-14,0.11224537200188459,0.0,0.0,0.0,0.0,0.99999999996642019,3.3364911307610911e-11,1.0746376188461813e-13,3.0266827305803162e-19,1.0746376545015046e-13,2.1876761618336731e-19,6.5650713498569757e-20,5.1588039452986496e-37,3.0873017204697205e-34,1.2336922048774521e-39,6.2139348273909125e-57,9.7738484511933999e-60,2.5272084654396694e-63,2.5715628220431295e-65,5.7962809488719388e-66,1.325489083919275e-42,5.5051345867719478e-44,5.354245851466158e-62,2.8366079176895203e-58,4.508118322010876e-55,1.5888394626487494e-63,2.1427772536306328e-74,2.5977086796686323e-121,2.2112549098704935e-101,5.0762310574694383e-105,1.5663491211325428e-91,5.4253261760721487e-147,2.050309529840725e-82
1.658148993000771e-13,0.1122453720037692,0.0,0.0,0.0,0.0,0.99999999993284006,6.6730048279834336e-11,2.1492855165747784e-13,1.2106792416746682e-18,2.1492856592113427e-13,8.7507595942877005e-19,2.626045103694173e-19,8.2538873720591696e-36,2.47044205213962e-33,1.9743733227211627e-38,3.9776031693473071e-55,6.2552451308321281e-58,3.0400773070418866e-61,3.2915917115432059e-63,7.4192145788401796e-64,4.2414683323719813e-41,1.7615822031858762e-42,6.8549009160567316e-60,1.8174890847875889e-56,2.8851418854296943e-53,2.0342140652517204e-61,5.4867118179122397e-72,2.116649517169898e-117,4.5271863405373041e-98,2.0773416178355361e-101,1.2405936425732188e-88,3.5507472706898083e-142,1.0497384402149819e-79
3.3163036085418773e-13,0.11224537200753841,0.0,0.0,0.0,0.0,0.99999999986568,1.334603204026502e-10,4.2985902849590911e-13,4.8427292152440878e-18,4.2985908556231712e-13,3.5003210901164349e-18,1.0504232784540068e-18,1.3205403279544592e-34,1.9772971324577579e-32,3.160457736176208e-37,2.5465047377760794e-53,5.2904162193162102e-56,4.5818792513261402e-59,5.557191374146411e-61,1.2525834893887797e-61,1.3571888487743118e-39,5.6365941787731412e-41,8.7778950642399058e-58,1.1658129121518046e-54,1.8463954769951437e-51,2.6050351711893339e-59,1.4051925367446632e-69,9.0669280214860742e-113,1.4718910550924721e-94,1.349088228946356e-97,1.3795178560139434e-85,6.7079185174969735e-136,7.0854719909369154e-77
6.632612839624091e-13,0.11224537201507685,0.0,0.0,0.0,0.0,0.99999999973135956,2.6692085736175448e-10,8.5972357131284923e-13,1.9370940955158267e-17,8.5972379967186836e-13,1.4001368968814934e-17,4.201718981654138e-18,2.1125889113163714e-33,1.5833402340249248e-31,5.0613815583986904e-36,1.6308240381744718e-51,3.3999568554525764e-54,4.8546358122656113e-57,7.1560748462966678e-59,1.6129649604392227e-59,4.3424553592352027e-38,1.8033974371161506e-39,1.124489036455562e-55,7.4946760758464385e-53,1.181562661762011e-49,3.3375976275995472e-57,3.6003078053816883e-67,7.2772942521728172e-109,3.010916319270958e-91,5.5071027569324144e-94,8.7080413955621438e-83,4.406766891000895e-131,3.6510169929103823e-74
1e-12,0.11224537203015365,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243694413598467e-10,1.2962161939986901e-12,4.887490324605193e-17,1.2962167705504376e-12,3.5327186311759206e-17,1.0601458814966005e-17,1.8196507746604733e-32,7.2225750899666951e-31,4.3681842672334082e-35,5.3861689518558365e-50,1.1228280311182109e-52,2.3562894127191429e-55,4.6915040614743041e-57,1.057449495137543e-57,7.2669116621191356e-37,3.0176326514084325e-38,7.3748331852587519e-54,2.4938649554206223e-51,3.8965427696351709e-48,2.1894808318543211e-55,4.7049108131949149e-65,2.90934870278883e-105,3.1237759746999523e-88,1.1371558311689353e-90,2.5689379839059002e-80,1.4526395944828276e-126,9.519057715268215e-72
1.3265231301788519e-12,0.11224537203015365,0.0,0.0,0.0,0.0,0.99999999946271911,5.3384190213382714e-10,1.7194670132608953e-12,7.7483808785538439e-17,1.7194679274423073e-12,5.600604591377764e-17,1.6807050815231629e-17,3.3792491436075323e-32,1.2690733424700361e-30,8.1130681340386868e-35,1.0450803600047249e-49,2.1786248873866733e-52,4.5940228536520743e-55,9.1712929297144936e-57,2.0671789953154068e-57,1.3892296342993425e-36,5.7688510804398051e-38,1.4416899734003325e-53,4.8394008348572014e-51,7.5603049959884726e-48,4.280176296358325e-55,9.2321786781100097e-65,5.7297313299321775e-105,6.1498669073642624e-88,2.2392799533031245e-90,5.0514986604171458e-80,2.8611679746362471e-126,1.871393480748942e-71
2.653046822611737e-12,0.11224537206030732,0.0,0.0,0.0,0.0,0.99999999892543767,1.0676838750932112e-09,3.4390113204446108e-12,3.0993529928417797e-16,3.4390149831291509e-12,2.2402853020394991e-16,6.7229538291975261e-17,5.4039337732354226e-31,1.0190991528057924e-29,1.3028435072053755e-33,6.7057880997193302e-48,1.3985204482589858e-50,3.8710329103034583e-53,1.1774483958716097e-54,2.6538985707533436e-55,4.443249916355288e-35,1.844736957597472e-36,1.8513506141599903e-51,3.1519521812247791e-49,4.8364173610480794e-46,5.4992068960880124e-53,2.3713019036333532e-62,4.3583999184874202e-101,1.2528774935113113e-84,9.0403517319182203e-87,2.7778506297071131e-77,1.8419367452539788e-121,9.607205007601692e-69
3.9795705150446225e-12,0.11224537209046102,0.0,0.0,0.0,0.0,0.9999999983881559,1.6015257313958329e-09,5.158613048715986e-12,6.5861252294369709e-16,5.1586208406705354e-12,4.7606695043563573e-16,1.428647116893781e-16,2.0597448152039918e-30,2.9213192254020089e-29,4.8049690426258857e-33,3.7453932480750366e-47,6.9453586734670671e-50,2.0369690673343179e-52,6.9793727955365041e-54,1.5731030179855989e-54,2.084953190024602e-34,8.6556123414622899e-36,1.2117028635052619e-50,1.7825072228309666e-48,2.7176655619702144e-45,3.6206169371429955e-52,1.7832534648409757e-61,2.4934440664243493e-100,9.9348238620973251e-84,8.0543751352039815e-86,1.7873065254995726e-76,1.1789196761408738e-120,7.5988509687656851e-68
