Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550)
0.00020900223354165042,0.13469872870025298,0.0,0.0,0.0,0.0,0.65702666525096709,0.00051400177846411385,0.00013084948173754048,0.03368203434293205,7.3598866178675655e-05,0.15000576011562933,0.15003752593879785,1.5976224273536547e-07,4.1443714508489532e-06,0.0075664023038691207,9.2467827217017851e-09,2.5805473725333239e-08,1.0379361563030671e-10,7.2651426165012221e-05,2.7135972696668109e-07,0.00072622434525961292,1.3388054707982616e-07,0.00010380368077449855,2.4435672401760445e-08,1.8119093403181894e-05,2.3578151375965907e-05,1.401625779572267e-05,9.6011213815368963e-13
0.00021357286499084158,0.13509233501315618,0.0,0.0,0.0,0.0,0.65212404380913702,0.00051177431443529605,0.00013140761111972535,0.034255147052473324,7.3164807329929979e-05,0.15190264538106132,0.15219691864293133,1.6115046670287321e-07,4.2409228615182056e-06,0.007812849465180528,9.5111524338338598e-09,2.6840934511907479e-08,1.0795839944617596e-10,7.6787457623040558e-05,2.8485469560572888e-07,0.00074475367949448392,1.3647087288181216e-07,0.00010800472994231786,2.5217778709537146e-08,1.8595398689788419e-05,2.4489509200049932e-05,1.4533063633066365e-05,1.0279383965269229e-12
0.00021814349644003273,0.13548257232350924,0.0,0.0,0.0,0.0,0.64729465844038026,0.00050957680774468264,0.00013193371227838882,0.034823157113587327,7.2736379224527773e-05,0.15376226325348796,0.15432421731564552,1.6249095817466939e-07,4.336747583702241e-06,0.008060467412035038,9.7748813065630827e-09,2.7885751487393451e-08,1.1216081530478384e-10,8.1035850126816083e-05,2.9859091560346869e-07,0.00076317744367793432,1.3901254254170759e-07,0.00011224632673226796,2.5998402136372769e-08,1.9068503099411954e-05,2.5409085269146782e-05,1.5051742416574759e-05,1.0983669597004625e-12
0.0002214264796061408,0.13576082071188378,0.0,0.0,0.0,0.0,0.6438700608278346,0.00050801645625588379,0.00013229254544824435,0.035228049749022002,7.2432073106696695e-05,0.15507551889461341,0.15583281668318721,1.6342522691296903e-07,4.4051199559301667e-06,0.0082390065825694667,9.963872624742896e-09,2.8641651245426976e-08,1.1520116132275568e-10,8.4155992127838729e-05,3.0860136805353231e-07,0.00077634398431110428,1.4080835967082432e-07,0.00011531690309884305,2.6557998518348133e-08,1.9406295462152656e-05,2.607446569349018e-05,1.54253124843552e-05,1.1505600191834163e-12
0.00022427200414200412,0.13600062197153462,0.0,0.0,0.0,0.0,0.64093117631939545,0.00050667600760277904,0.00013259107719482163,0.035576925862242592,7.2170600886078262e-05,0.15619888815410554,0.15712751314257237,1.6421617125466888e-07,4.4640690334166233e-06,0.008394192276682642,1.0127359659503867e-08,2.9300305355899278e-08,1.1785037026988301e-10,8.6906348951049382e-05,3.173725563853479e-07,0.00078770996973309216,1.4234486850177485e-07,0.00011799389635934197,2.7042175096683932e-08,1.9697677199485366e-05,2.6654363559387344e-05,1.5749711998584864e-05,1.1968838026681987e-12
0.00022711752867786745,0.1362391631930215,0.0,0.0,0.0,0.0,0.63801916779050349,0.00050534651096134967,0.00013287831460002405,0.035923907657276551,7.1911227123848994e-05,0.15730865474188602,0.15841042611575812,1.6499000176385238e-07,4.5227248624546302e-06,0.0085497660215140409,1.0290530693896168e-08,2.9962040732795771e-08,1.2051197254841636e-10,8.9699051736645427e-05,3.2622945464877505e-07,0.00079903249101563102,1.4386290858761739e-07,0.00012068488604782484,2.7525481703782488e-08,1.9987739200005504e-05,2.7237127991714768e-05,1.6074617347882378e-05,1.2442147135618734e-12
0.00022996305321373078,0.1364764561549145,0.0,0.0,0.0,0.0,0.63513365219150353,0.00050402780151216099,0.00013315453562773264,0.036269016395784122,7.1653930265241683e-05,0.15840503170366926,0.15968172210468048,1.6574706669955952e-07,4.5810848116824935e-06,0.0087057114599896086,1.0453369614677919e-08,3.0626718509148232e-08,1.2318540961387748e-10,9.2533763498093663e-05,3.351700050032612e-07,0.00081031097671795853,1.4536259481169136e-07,0.00012338944191469389,2.8007847446587308e-08,2.0276463914718361e-05,2.782267916775356e-05,1.6399974862608288e-05,1.2925516615431737e-12
0.0002328085777495941,0.13671251250043517,0.0,0.0,0.0,0.0,0.63227425375262369,0.0005027197171739037,0.00013342001188080556,0.036612272974562959,7.1398687679121949e-05,0.15948822781563377,0.16094156448153873,1.6648770620323359e-07,4.6391466431194597e-06,0.0088620126738702138,1.0615861114052698e-08,3.129420245161032e-08,1.2587013351462359e-10,9.5410141220374936e-05,3.4419217625707727e-07,0.00082154489523266145,1.4684405264840898e-07,0.00012610714447264446,2.8489206207060417e-08,2.056383505530783e-05,2.8410939268879858e-05,1.6725732726961936e-05,1.3418932978442259e-12
0.00023565410228545744,0.13694734372510592,0.0,0.0,0.0,0.0,0.6294406038067939,0.00050142209828114208,0.00013367500713595942,0.036953697933771554,7.114547727888495e-05,0.16055844769375235,0.16219011356367427,1.6721224937652936e-07,4.6969082126993041e-06,0.0090186541708763071,1.0777990224437877e-08,3.1964358867552018e-08,1.2856560651816624e-10,9.832783631925599e-05,3.5329393789663175e-07,0.00083273375285798591,1.4830740922715585e-07,0.00012883758478278825,2.8969494048565105e-08,2.0849837505542662e-05,2.9001832458377309e-05,1.7051840901485532e-05,1.3922379539067279e-12
0.00023821507436773442,0.13715765371869126,0.0,0.0,0.0,0.0,0.62691203472009327,0.00050026306196970132,0.0001338957532108857,0.0372594310562527,7.0919307907910055e-05,0.16151071673849593,0.16330428205964301,1.6785084440210991e-07,4.7486351904191836e-06,0.0091599099898904118,1.0923584994855027e-08,3.2569675899424561e-08,1.3100028546663028e-10,0.00010098879592377405,3.6155190835626501e-07,0.00084276481877177485,1.4960905863088568e-07,0.00013130554210844181,2.9400786353241033e-08,2.1106057962190221e-05,2.9535826427870325e-05,1.7345597854073082e-05,1.4384041930617825e-12
