Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39)
7.036159763585132e-07,0.11226590140443181,0.0,0.0,0.0,0.0,0.99962976921363977,0.00025965617611695233,4.4877070981578839e-06,1.6424545187279132e-05,1.1906089171617424e-05,4.4837549593880766e-05,3.2917787756227359e-05,2.3052211513686512e-11,4.9085811674367079e-11,6.3252210595948006e-10,3.4287139228699797e-16,6.2759969951789396e-17,2.5242888884767494e-19,4.1009189958472831e-16,3.6538500031444751e-17,2.2654663899832598e-10,2.1719495300602348e-13,1.1132363232974969e-14,2.1286761319128466e-16
7.239532324114395e-07,0.11226670462265403,0.0,0.0,0.0,0.0,0.99961517524755061,0.0002662644699423879,4.6977369702654474e-06,1.7404571477598684e-05,1.2521035793062789e-05,4.8273928495392507e-05,3.5661943657446444e-05,2.5455192250901369e-11,5.4931971633746409e-11,7.2795102610316195e-10,4.0487089247138865e-16,7.574681258515473e-17,3.0466373450607876e-19,5.0981365617756278e-16,4.4640546379536461e-17,2.5751961531443348e-10,2.4055688931286982e-13,1.3568937114680524e-14,2.5346517470915274e-16
7.442904884643658e-07,0.11226752300069964,0.0,0.0,0.0,0.0,0.99960030031415203,0.00027281276673632676,4.9109078156270313e-06,1.8414440282169498e-05,1.3146628122715191e-05,5.1868290221209246e-05,3.8545436834060913e-05,2.8027970693465652e-11,6.1280992482885434e-11,8.3456481030662818e-10,4.7584134644161995e-16,9.0941142138354381e-17,3.6577740090568569e-19,6.2999779521202075e-16,5.4227459891107659e-17,2.916785224550416e-10,2.6569067878845751e-13,1.644800119505315e-14,3.0030340700306446e-16
7.646277445172921e-07,0.11226835672899745,0.0,0.0,0.0,0.0,0.99958514082441596,0.00027930048183170931,5.1270953533328814e-06,1.9454276251125071e-05,1.3782446563346241e-05,5.5622886831241774e-05,4.1570606948958808e-05,3.077663411107847e-11,6.8159219484501911e-11,9.5330868902510545e-10,5.5676413148821789e-16,1.0863859267019317e-16,4.3695897069825515e-19,7.7409679145319852e-16,6.5515944652646923e-17,3.2924573445919562e-10,2.9267749249520098e-13,1.983406178644777e-14,3.5411533669231266e-16
7.849650005702184e-07,0.11226920598855769,0.0,0.0,0.0,0.0,0.99956969335875501,0.00028572705652774559,5.3461750725062521e-06,2.0524200946667152e-05,1.4428070648578408e-05,5.9539873760695789e-05,4.4739699012726682e-05,3.3707202364742131e-11,7.5593318355508602e-11,1.0851761841143634e-09,6.4869260771515513e-16,1.2916361834109072e-16,5.1951344525342052e-19,9.4602249026402512e-16,7.874625582161756e-17,3.7045151179386467e-10,3.2159991466720378e-13,2.3798760927297449e-14,4.1569294183661972e-16
8.053022566231447e-07,0.11227007095100552,0.0,0.0,0.0,0.0,0.99955395466680141,0.0002920919584457573,5.5680223725470869e-06,2.1624332426026435e-05,1.5083079516807426e-05,6.3621309634246092e-05,4.8054863240310394e-05,3.6825618147511094e-11,8.3610230752336095e-11,1.2312096144587656e-09,7.5275439990676921e-16,1.5287115053637421e-16,6.1486840986503451e-19,1.1501906279371287e-15,9.4183825648498439e-17,4.1553391468275832e-10,3.525419311895956e-13,2.8421408047611601e-14,4.858894051713118e-16
8.25639512676071e-07,0.11227095177862446,0.0,0.0,0.0,0.0,0.99953792166699418,0.00029839468184888763,5.7925127007032338e-06,2.2754784838658099e-05,1.5747052376724472e-05,6.7869156190559371e-05,5.1518155013581551e-05,4.0137737545516646e-11,9.2237129089735874e-11,1.3925005167006335e-09,8.7015356075841038e-16,1.8014825538059282e-16,7.2458070053109052e-19,1.3915678949784344e-15,1.1212091912665125e-16,4.6473870385639371e-10,3.8558891796493891e-13,3.3789528908231309e-14,5.6562128356398697e-16
8.459767687289974e-07,0.11227184862440834,0.0,0.0,0.0,0.0,0.99952159144599817,0.00030463474792534142,6.01952168673624e-06,2.391566803833803e-05,1.6419568963671661e-05,7.2285278315266087e-05,5.5131534947842559e-05,4.3649320935762984e-11,1.0150137085039583e-10,1.5701899799979714e-09,1.0021726055337246e-15,2.1141578469386102e-16,8.5034304435729974e-19,1.6757215418047702e-15,1.3287831392559061e-16,5.1831922911579232e-10,4.2082762894324533e-13,3.9999430911837102e-14,6.5587058375827549e-16
8.663140247819237e-07,0.11227276163212377,0.0,0.0,0.0,0.0,0.99950496125794175,0.00031081170503491752,6.2489252744806095e-06,2.5107087210768465e-05,1.7100209986085505e-05,7.6871444180276466e-05,5.8896869060132906e-05,4.7366024235927084e-11,1.1143045254270946e-10,1.7654688940371908e-09,1.1501744087885212e-15,2.4713001341952529e-16,9.9399064554707637e-19,2.0088715155899969e-15,1.5680699902709124e-16,5.765363061243184e-10,4.5834618359683355e-13,4.7156783804447203e-14,7.5768673492431766e-16
8.8665128083485e-07,0.11227369093638018,0.0,0.0,0.0,0.0,0.99948802852348817,0.00031692512891869583,6.4805998501112768e-06,2.6329142517245023e-05,1.7788557561322852e-05,8.162932548715764e-05,6.2815929037037067e-05,5.1293390520077839e-11,1.2205196346386535e-10,1.9795781098249177e-09,1.3156039544320454e-15,2.8778425648262107e-16,1.1575076886598314e-18,2.3979451061861131e-15,1.8428988630034225e-16,6.3965808186280161e-10,4.9823405362760856e-13,5.5377214711414527e-14,8.7218844901934843e-16
9.069885368877763e-07,0.11227463666270862,0.0,0.0,0.0,0.0,0.99947079082874457,0.00032297462287184136,6.7144223669361396e-06,2.7581928754880551e-05,1.8484195640217881e-05,8.6560497812128973e-05,6.689039259953874e-05,5.543684201283923e-11,1.3339353942238546e-10,2.213808513079715e-09,1.4999899310617407e-15,3.3391045798592634e-16,1.3430337306076388e-18,2.8506340681726219e-15,2.1574352910241731e-16,7.0795988920183795e-10,5.4058204870153826e-13,6.4786916382374191e-14,1.0005654604895675e-15
9.273257929407026e-07,0.11227559892764918,0.0,0.0,0.0,0.0,0.99945324592401064,0.00032895981787958131,6.950270466539258e-06,2.8865535033822421e-05,1.9186710419768578e-05,9.166644105008007e-05,7.1121843962321807e-05,5.9801672473118771e-11,1.4548281656979e-10,2.4695010103364023e-09,1.7049461652031466e-15,3.860807457118715e-16,1.5528699531075125e-18,3.3754541751780736e-15,2.5161984186329563e-16,7.8172409106208955e-10,5.8548230101374989e-13,7.5523267455371991e-14,1.1440801374242893e-15
9.476630489936289e-07,0.11227657783884562,0.0,0.0,0.0,0.0,0.99943539172237683,0.00033488037271651018,7.1880225961195763e-06,3.0180044471842735e-05,1.9895690743391872e-05,9.6948539954866864e-05,7.5511774384788406e-05,6.4393039977144438e-11,1.5834738548725923e-10,2.7480464281588157e-09,1.9321728858182336e-15,4.4490894403227007e-16,1.7894852478443107e-18,3.9818071517826991e-15,2.9240781452485665e-16,8.6123991464874349e-10,6.3302824849826751e-13,8.7735463491625705e-14,1.3040689568901548e-15
9.680003050465553e-07,0.11227757349514762,0.0,0.0,0.0,0.0,0.99941722629817609,0.00034073597400946715,7.4275581218879648e-06,3.1525533906621998e-05,2.0610728488228726e-05,0.00010240808477300102,8.0061582810942686e-05,6.9215960109174e-11,1.7201474566953865e-10,3.0508853261313702e-09,2.1834578142095663e-15,5.1105203845639467e-16,2.0555221071163824e-18,4.6800449176524605e-15,3.3863521566044277e-16,9.4680327625997918e-10,6.8331461650842716e-13,1.0158515747930811e-13,1.4819438378179996e-15
9.883375610994816e-07,0.11227858598672041,0.0,0.0,0.0,0.0,0.99939874788529282,0.00034652633626432297,7.6687574383973323e-06,3.2902073625990082e-05,2.1331418939029914e-05,0.00010804627196772543,8.4772576595175002e-05,7.4275299566848748e-11,1.8651226054355547e-10,3.379507724566567e-09,2.4606770742315747e-15,5.8521158519240476e-16,2.3538022933171672e-18,5.4815360681103896e-15,3.9087027809650672e-16,1.0387165971812938e-09,7.3643739780687526e-13,1.1724710845773443e-13,1.6791933254880426e-15
9.999999999999997e-07,0.11227961539516067,0.0,0.0,0.0,0.0,0.99938800957000584,0.00034981729730917336,7.8077783733618027e-06,3.3705486174962088e-05,2.1747095156128542e-05,0.00011136052663516938,8.7547298351456476e-05,7.7285078118944127e-11,1.9521094114179433e-10,3.5801827212773733e-09,2.6321061184874089e-15,6.3164248067905422e-16,2.5405539338272237e-18,5.992508332701464e-15,4.2376935327363796e-16,1.0944084767128262e-09,7.6821798708016705e-13,1.2711845439182454e-13,1.8016501624524108e-15
1.008674817152408e-06,0.11227961539516067,0.0,0.0,0.0,0.0,0.99937995487533959,0.00035225120185710084,7.911502073691376e-06,3.430972711633129e-05,2.2057361148202939e-05,0.00011386420503035711,8.9645972310880965e-05,7.9575770186771578e-11,2.0186711315333807e-10,3.7354527481234577e-09,2.7657959185158474e-15,6.6813505931342275e-16,2.6873322614759263e-18,6.3987345051558873e-15,4.4972336088195204e-16,1.1372886111877221e-09,7.9249383071774975e-13,1.3490983687260071e-13,1.8973836223554604e-15
1.0290120732053342e-06,0.11228066179361919,0.0,0.0,0.0,0.0,0.99936084581570384,0.00035791034098993515,8.1556747901717333e-06,3.5748550829304665e-05,2.2788158281648214e-05,0.00011986289537567693,9.4682896638759265e-05,8.5121923394520075e-11,2.1810626263678355e-10,4.120308186778616e-09,3.1008692672240722e-15,7.6061713539591109e-16,3.0593083101923259e-18,7.4452501230774576e-15,5.1584858150899847e-16,1.2428341641844291e-09,8.5158237530835505e-13,1.5477628523854109e-13,2.1381594606710557e-15
